GEO.id,GEO.id2,GEO.display-label,VD01,VD01
Id,Id2,Geography,Median gross rent,Median gross rent 2010 dollars
1400000US11001000100,11001000100,"Census Tract 1, District of Columbia, District of Columbia",981,1284.129
1400000US11001000201,11001000201,"Census Tract 2.01, District of Columbia, District of Columbia",0,0
1400000US11001000202,11001000202,"Census Tract 2.02, District of Columbia, District of Columbia",1396,1827.364
1400000US11001000300,11001000300,"Census Tract 3, District of Columbia, District of Columbia",989,1294.601
1400000US11001000400,11001000400,"Census Tract 4, District of Columbia, District of Columbia",1257,1645.413
1400000US11001000501,11001000501,"Census Tract 5.01, District of Columbia, District of Columbia",976,1277.584
1400000US11001000502,11001000502,"Census Tract 5.02, District of Columbia, District of Columbia",921,1205.589
1400000US11001000600,11001000600,"Census Tract 6, District of Columbia, District of Columbia",874,1144.066
1400000US11001000701,11001000701,"Census Tract 7.01, District of Columbia, District of Columbia",757,990.913
1400000US11001000702,11001000702,"Census Tract 7.02, District of Columbia, District of Columbia",764,1000.076
1400000US11001000801,11001000801,"Census Tract 8.01, District of Columbia, District of Columbia",1222,1599.598
1400000US11001000802,11001000802,"Census Tract 8.02, District of Columbia, District of Columbia",792,1036.728
1400000US11001000901,11001000901,"Census Tract 9.01, District of Columbia, District of Columbia",1230,1610.07
1400000US11001000902,11001000902,"Census Tract 9.02, District of Columbia, District of Columbia",907,1187.263
1400000US11001001001,11001001001,"Census Tract 10.01, District of Columbia, District of Columbia",1171,1532.839
1400000US11001001002,11001001002,"Census Tract 10.02, District of Columbia, District of Columbia",927,1213.443
1400000US11001001100,11001001100,"Census Tract 11, District of Columbia, District of Columbia",997,1305.073
1400000US11001001200,11001001200,"Census Tract 12, District of Columbia, District of Columbia",917,1200.353
1400000US11001001301,11001001301,"Census Tract 13.01, District of Columbia, District of Columbia",1065,1394.085
1400000US11001001302,11001001302,"Census Tract 13.02, District of Columbia, District of Columbia",955,1250.095
1400000US11001001401,11001001401,"Census Tract 14.01, District of Columbia, District of Columbia",803,1051.127
1400000US11001001402,11001001402,"Census Tract 14.02, District of Columbia, District of Columbia",548,717.332
1400000US11001001500,11001001500,"Census Tract 15, District of Columbia, District of Columbia",0,0
1400000US11001001600,11001001600,"Census Tract 16, District of Columbia, District of Columbia",569,744.821
1400000US11001001701,11001001701,"Census Tract 17.01, District of Columbia, District of Columbia",616,806.344
1400000US11001001702,11001001702,"Census Tract 17.02, District of Columbia, District of Columbia",710,929.39
1400000US11001001801,11001001801,"Census Tract 18.01, District of Columbia, District of Columbia",988,1293.292
1400000US11001001803,11001001803,"Census Tract 18.03, District of Columbia, District of Columbia",577,755.293
1400000US11001001804,11001001804,"Census Tract 18.04, District of Columbia, District of Columbia",570,746.13
1400000US11001001901,11001001901,"Census Tract 19.01, District of Columbia, District of Columbia",692,905.828
1400000US11001001902,11001001902,"Census Tract 19.02, District of Columbia, District of Columbia",474,620.466
1400000US11001002001,11001002001,"Census Tract 20.01, District of Columbia, District of Columbia",569,744.821
1400000US11001002002,11001002002,"Census Tract 20.02, District of Columbia, District of Columbia",601,786.709
1400000US11001002101,11001002101,"Census Tract 21.01, District of Columbia, District of Columbia",495,647.955
1400000US11001002102,11001002102,"Census Tract 21.02, District of Columbia, District of Columbia",529,692.461
1400000US11001002201,11001002201,"Census Tract 22.01, District of Columbia, District of Columbia",616,806.344
1400000US11001002202,11001002202,"Census Tract 22.02, District of Columbia, District of Columbia",559,731.731
1400000US11001002301,11001002301,"Census Tract 23.01, District of Columbia, District of Columbia",516,675.444
1400000US11001002302,11001002302,"Census Tract 23.02, District of Columbia, District of Columbia",1133,1483.097
1400000US11001002400,11001002400,"Census Tract 24, District of Columbia, District of Columbia",523,684.607
1400000US11001002501,11001002501,"Census Tract 25.01, District of Columbia, District of Columbia",539,705.551
1400000US11001002502,11001002502,"Census Tract 25.02, District of Columbia, District of Columbia",560,733.04
1400000US11001002600,11001002600,"Census Tract 26, District of Columbia, District of Columbia",750,981.75
1400000US11001002701,11001002701,"Census Tract 27.01, District of Columbia, District of Columbia",586,767.074
1400000US11001002702,11001002702,"Census Tract 27.02, District of Columbia, District of Columbia",639,836.451
1400000US11001002801,11001002801,"Census Tract 28.01, District of Columbia, District of Columbia",520,680.68
1400000US11001002802,11001002802,"Census Tract 28.02, District of Columbia, District of Columbia",512,670.208
1400000US11001002900,11001002900,"Census Tract 29, District of Columbia, District of Columbia",485,634.865
1400000US11001003000,11001003000,"Census Tract 30, District of Columbia, District of Columbia",504,659.736
1400000US11001003100,11001003100,"Census Tract 31, District of Columbia, District of Columbia",508,664.972
1400000US11001003200,11001003200,"Census Tract 32, District of Columbia, District of Columbia",462,604.758
1400000US11001003301,11001003301,"Census Tract 33.01, District of Columbia, District of Columbia",639,836.451
1400000US11001003302,11001003302,"Census Tract 33.02, District of Columbia, District of Columbia",615,805.035
1400000US11001003400,11001003400,"Census Tract 34, District of Columbia, District of Columbia",358,468.622
1400000US11001003500,11001003500,"Census Tract 35, District of Columbia, District of Columbia",426,557.634
