OBJECTID,GEO.id,acs_mi
228,1400000US51059491801,88155
229,1400000US51059492202,176915
230,1400000US51059980100,-
231,1400000US51013100100,161528
232,1400000US51013100400,211818
233,1400000US51013100800,56094
234,1400000US51013101401,88448
235,1400000US51013101602,94297
236,1400000US51013101703,77933
237,1400000US51013101900,144792
238,1400000US51013102301,98571
239,1400000US51013102702,86920
240,1400000US51013102902,91940
241,1400000US51013103402,108203
242,1400000US51013103602,80268
243,1400000US51510200103,54600
244,1400000US51510200107,85000
245,1400000US51510200301,73008
246,1400000US51510200405,61886
247,1400000US51510200500,48423
248,1400000US51510200600,81316
249,1400000US51510200701,133708
250,1400000US51510200702,105208
251,1400000US51510200900,160172
252,1400000US51510201204,60510
253,1400000US51510201600,100234
254,1400000US51510202001,157375
255,,
256,1400000US51610500300,114493
257,1400000US51059415200,81639
258,1400000US51059415300,72794
259,1400000US51059415402,107545
260,1400000US51059415500,97309
261,1400000US51059415600,170952
262,1400000US51059415700,143929
263,1400000US51059415800,141000
264,1400000US51059415900,159100
265,1400000US51059416100,128994
266,1400000US51059416200,73858
267,1400000US51059416300,100170
268,1400000US51059420201,129219
269,1400000US51059420202,89930
270,1400000US51059420203,123417
271,1400000US51059420300,113378
272,1400000US51059420501,107404
273,1400000US51059420502,73275
274,1400000US51059420503,75809
275,1400000US51059420600,83446
276,1400000US51059420700,99100
277,1400000US51059421001,90685
278,1400000US51059421002,96639
279,1400000US51059421101,117375
280,1400000US51059421102,105352
281,1400000US51059421103,113163
282,1400000US51059421300,109479
283,1400000US51059421400,41277
284,1400000US51059421500,45943
285,1400000US51059421701,53495
286,1400000US51059421702,99750
287,1400000US51059421900,62151
288,1400000US51059422000,98224
289,1400000US51059422101,67151
290,1400000US51059422102,77475
291,1400000US51059422201,129375
292,1400000US51059422202,81889
293,1400000US51059422302,100162
294,1400000US51059422402,108867
295,1400000US51059422403,113239
296,1400000US51059430101,145583
297,1400000US51059430102,104410
298,1400000US51059430201,106875
299,1400000US51059430202,122679
300,1400000US51059430400,116519
301,1400000US51059430600,81479
302,1400000US51059430700,102775
303,1400000US51059430801,108429
304,1400000US51059430802,87056
305,1400000US51059430902,105700
306,1400000US51059431001,103824
307,1400000US51059431002,84479
308,1400000US51059431300,111283
309,1400000US51059431400,123526
310,1400000US51059431500,126938
311,1400000US51059431600,67708
312,1400000US51059431802,118309
313,1400000US51059432000,112594
314,1400000US51059432100,105801
315,1400000US51059432201,67059
316,1400000US51059432202,120143
317,1400000US51059432401,146645
318,1400000US51059432402,137745
319,1400000US51059432500,148224
320,1400000US51059432600,150179
