GEO.id,dem_acs,emp_acs,edu_acs,hsv_acs,ten_acs,pov_acs,ssh_acs
1400000US11001003301,-4.624404299,-4.205170271,-10.18275417,0.296764819,0.580316944,-4.687714358,-2.58240223
1400000US11001003302,-4.277546772,-3.975312435,-9.563195973,-0.68551089,-0.345117449,-3.237983076,-0.883883862
1400000US11001003400,-4.763905161,-8.155166848,-11.63852979,-1.205964192,0.674083923,-7.133652843,-3.555252009
1400000US11001003500,-4.35025878,-3.904880317,-6.998154427,-0.564667748,-1.203202757,-6.347415338,-1.997662718
1400000US11001003600,-4.555676063,-5.025294581,-7.67426461,-1.841161337,-2.93986605,-5.094669398,-5.725313566
1400000US11001003700,-4.56995644,-6.542240962,-9.205110361,1.736216239,-4.282057825,-7.256437583,-2.634353805
1400000US11001003800,-3.990839186,-4.342275541,-10.02904485,-1.709724856,-1.23836178,-0.916085469,-8.84864229
1400000US11001003900,-3.947484019,-4.816283176,-9.97666807,-1.729521854,-2.120676611,-0.78424877,-5.403327048
1400000US11001004001,-3.536420053,-3.979751227,-10.98458625,-1.199148174,0.392116349,-0.104709972,-5.56425417
1400000US11001004002,-3.381891971,-2.792072433,-10.32220441,-0.899197125,-0.475630163,-0.322087912,-3.712089515
1400000US11001004100,-3.617149872,-3.740762569,-10.41176318,-1.482144605,-0.273527462,-0.114133657,-2.765748594
1400000US11001004201,-3.575780329,-3.797985757,-9.66929476,-1.147202091,-1.358856223,-4.584010105,-9.933851718
1400000US11001004202,-3.258914183,-3.145019192,-10.50293705,-2.402523741,-0.499585596,-0.175040164,-2.639031484
1400000US11001004300,-3.883432914,-4.04890914,-8.608330757,-0.588306226,-2.160032818,-3.926659981,-7.829851806
1400000US11001004400,-4.12865048,-5.138996816,-10.18772486,-1.136684417,-0.012177659,-3.041909087,-7.62297538
1400000US11001004600,-4.535895627,-3.900944717,-7.814052023,-1.215428408,0.320772602,-3.322169065,-2.77503885
1400000US11001004701,-4.811978741,-7.471469217,-8.158925628,-1.330283749,-4.672997396,-13.07843392,-0.847397583
1400000US11001004702,-4.222696439,-4.488093023,-9.416147896,-1.251314606,-1.627538239,-5.454961363,-1.091314598
1400000US11001004801,-4.167846853,-3.32509231,-9.504593786,-1.080811689,0.761170841,-1.959243624,-2.12843292
1400000US11001004802,-4.463509469,-4.280072856,-8.891277129,-1.317080416,-2.987497841,-2.55397331,-4.831636923
1400000US11001004901,-4.105799816,-3.564612014,-7.945780082,-1.204686887,-1.118991404,-4.010814012,-2.321350421
1400000US11001004902,-3.739111403,-3.129344895,-8.402644975,-1.032718168,-1.641327577,-3.229532507,-3.804723721
1400000US11001005001,-3.764079954,-2.014692844,-8.803670192,-0.77962562,0.299350208,-0.979846647,-5.443209243
1400000US11001005002,-4.215350021,-6.521260505,-8.955145882,0.754847319,-3.727977127,-3.624568316,-7.896471852
1400000US11001005201,-3.967339189,-5.82522634,-10.74743908,-1.903632213,-1.614446889,-3.282885366,-11.13343795
1400000US11001005301,-4.185316314,-6.056774049,-9.430842888,1.267553386,-0.778092403,-5.495382078,-7.788901135
1400000US11001005500,-4.00277169,-6.585165189,-11.23168287,-1.750899591,-0.933676282,-3.989517489,-8.956242349
1400000US11001005600,-3.676483565,-6.372970912,-12.33563508,-1.955520912,-1.036139904,-7.524269665,-3.453467926
1400000US11001005800,-3.370514577,-3.391518289,-10.73837862,-0.457075472,-0.631526317,-0.415521064,-2.715297871
1400000US11001005900,-4.288568004,-6.532485408,-9.695916004,-1.859099337,-1.916867073,-11.55897335,-6.785776487
1400000US11001006202,0.510671967,1.078401975,1.887681751,-1.591411624,0.080642242,0.889292811,0.586414356
1400000US11001006400,-4.81300877,-4.094189431,-6.53490017,-2.850925463,-2.953335519,-5.357970964,-2.270075081
1400000US11001006500,-3.307204781,-3.158186102,-10.44652501,-1.198610096,-0.12300383,0.594710209,-1.402198979
1400000US11001006600,-3.183145215,-2.546863466,-10.71487922,-1.322379239,-0.021313104,-0.848452749,-1.539090867
1400000US11001006700,-3.892224409,-4.396610794,-10.63337095,-1.898383699,1.180095589,-0.519693547,-3.290085195
1400000US11001006801,-4.329897837,-3.325456782,-7.876547469,-1.253650948,-0.059098799,-2.821910617,-0.611736165
1400000US11001006802,-4.336910422,-2.819074083,-9.223587492,-0.343531482,0.352068846,0.310100769,-1.612680286
1400000US11001006804,-4.919881451,-4.056721545,-4.777565217,-1.102249866,0.080642242,-10.96882755,0.586414356
1400000US11001006900,-3.835399626,-3.223425632,-10.39843517,-2.017959765,0.768996281,-1.046099572,-2.692604761
1400000US11001007000,-3.428158947,-2.751876682,-10.87964809,1.684541941,0.120213568,-1.250322732,-2.87168861
1400000US11001007100,-4.553619721,-5.961070824,-8.640257215,-0.483745481,-2.696217531,-11.00860693,-1.510717504
1400000US11001007200,-4.019922202,-2.18379031,-9.885778304,-0.619553188,-0.987957118,-1.188392442,-1.111704742
1400000US11001007301,-3.392994823,-1.52740643,-8.45665443,-0.576135365,-1.006566618,0.55482181,-0.142337383
1400000US11001007304,-5.129765907,-5.561950083,-6.187533648,-1.107516915,-3.453142462,-9.187753937,-1.796069543
1400000US11001007401,-4.51986436,-3.882808703,-6.195146006,2.637582802,-3.136738828,-11.37925711,-0.617404239
1400000US11001007403,-4.883890384,-4.551187972,-4.690060082,-1.20307377,-4.389244678,-7.914120157,-1.808633769
1400000US11001007404,-4.729901391,-4.553384511,-7.283186788,0.750539059,-3.607395072,-12.01606677,-0.706593792
1400000US11001007406,-4.791528812,-5.582140029,-5.591489718,1.139085172,-4.681976314,-11.29262168,-0.290172586
1400000US11001007407,-4.965647936,-4.531649161,-6.688559896,0.261230517,-3.44292286,-7.069016038,-1.747943349
1400000US11001007408,-4.783446753,-4.059801529,-4.787975034,0.915332788,-3.195657764,-11.03921397,-0.355561234
1400000US11001007409,-5.004655811,-5.122451025,-6.607660224,4.343505387,-2.516208328,-8.562358224,-2.563834278
1400000US11001007502,-5.235832539,-6.134259658,-7.112715526,6.918276666,-2.83859157,-9.923461362,-1.755812001
1400000US11001007503,-4.939902932,-5.077600356,-6.429036057,1.151995086,-2.400834969,-7.524621061,-0.805508033
1400000US11001007504,-4.90482572,-3.662247942,-6.622772914,0.840928246,-3.602339548,-10.69823152,-2.356521056
