GEO_ID,AREA,HC01_VC02,HC02_VC02,HC03_VC02,HC01_VC03,HC02_VC03,HC03_VC03,HC01_VC04,HC02_VC04,HC03_VC04,HC01_VC05,HC02_VC05,HC03_VC05,HC01_VC06,HC02_VC06,HC03_VC06,HC01_VC35,HC02_VC35,HC03_VC35,HC01_VC40,HC02_VC40,HC03_VC40,HC01_VC36,HC02_VC36,HC03_VC36,HC01_VC41,HC02_VC41,HC03_VC41,HC01_VC37,HC02_VC37,HC03_VC37,HC01_VC42,HC02_VC42,HC03_VC42,HC01_VC38,HC02_VC38_x,HC03_VC38_x,HC01_VC43,HC02_VC38_y,HC03_VC38_y
1400000US11001002702,5.30E-05,772,457,315,323,258,65,140,80,60,162,70,92,147,49,98,72.8,72.1,73.6,57,57.2,56.7,76,73.5,79.1,50.9,52.7,48.7,65.1,63.5,67.5,36.3,35.9,36.8,47.8,52.9,44.8,11.1,52.9,44.8
1400000US11001002802,2.22E-05,694,367,327,416,240,176,161,57,104,90,48,42,27,22,5,48.3,44.3,55.4,21,14.5,32.4,34.2,27.5,40.6,6.4,7.9,5.1,38,42.6,32.6,9.1,12.7,4.9,16.9,11.8,19.1,1.4,11.8,19.1
1400000US11001000502,6.02E-05,175,107,68,32,25,7,9,9,0,23,13,10,111,60,51,100,100,100,95.2,91.4,98.2,100,100,100,85.5,82.2,88.1,94.1,97,91.8,80.5,85.9,76.1,79,86,74.1,53.5,86,74.1
1400000US11001000400,0.000161132,74,11,63,0,0,0,21,0,21,0,0,0,53,11,42,100,100,100,84.4,71.9,95.2,100,100,100,84.6,94.8,76.3,99.1,98.5,100,82.8,82.9,82.7,97.2,100,95.1,73.1,100,95.1
1400000US11001003000,2.15E-05,228,96,132,115,46,69,39,15,24,64,29,35,10,6,4,65.8,66,65.6,28.1,25,30.7,66.1,69,62.8,23.3,25.4,20.9,56.6,62.1,51.7,8.5,8.5,8.5,29.5,0,38.3,0,0,38.3
1400000US11001009000,0.000153124,142,94,48,56,31,25,46,35,11,28,28,0,12,0,12,100,100,100,49.1,33.3,67.9,84.4,60.4,94.5,17.8,28.3,13.4,86.9,92.9,83,28.3,25.6,30.1,41.1,48,37.5,7.2,48,37.5
1400000US11001003400,0.00011414,2059,795,1264,147,112,35,278,111,167,1531,490,1041,103,82,21,85.5,88.8,80.8,39.2,40.2,37.7,64.1,68.2,60.4,15.6,18.9,12.7,61.1,57.9,63.8,16.7,13.2,19.7,37.4,29.4,41.8,1.3,29.4,41.8
1400000US11001009302,4.15E-05,94,55,39,53,32,21,28,23,5,13,0,13,0,0,0,83.6,89.2,75.4,14.6,8.8,23.2,80.8,79.4,82.5,18.3,11.1,27.2,72.8,57.6,85,15.1,14.6,15.6,44.4,56,41,19,56,41
1400000US11001003900,4.01E-05,522,206,316,114,78,36,86,26,60,25,0,25,297,102,195,94.8,94.8,94.9,79.1,73.5,84.7,87.8,88.8,86.3,71.3,76.2,63.4,85.9,81.8,89.9,57.5,55.6,59.3,59.7,55.7,63.1,26.7,55.7,63.1
1400000US11001009102,0.000190108,391,176,215,158,61,97,169,70,99,64,45,19,0,0,0,66.8,61.5,70.9,10.8,9.5,11.8,79.7,86.2,72.4,4,0,8.5,67.6,74.1,62.7,14.2,14.1,14.3,57.5,51.8,60.7,15.3,51.8,60.7
1400000US11001009203,6.25E-05,244,118,126,75,31,44,81,54,27,73,33,40,15,0,15,69.1,60.1,78.8,14,11.1,17.1,77.8,76.2,80.7,19.5,24.6,10.7,70.4,73.3,67.5,15.1,24.3,6.2,48.4,28.8,58,4.4,28.8,58
1400000US11001003500,3.98E-05,1543,568,975,103,89,14,217,76,141,1046,347,699,177,56,121,81.3,86.3,75.8,51.6,68.3,33.3,46.5,47.8,45,15.7,17.2,14,59.9,60.8,59.1,10.3,0,18.8,25.9,25.4,26.2,2,25.4,26.2
1400000US11001003800,3.98E-05,476,191,285,135,58,77,98,54,44,73,28,45,170,51,119,82.7,81.2,84.5,59.4,56.8,62.6,76.3,76.5,75.9,37.8,36.8,39.6,68.6,74.2,62,33.3,33.5,33,57.5,51.1,61.8,24.3,51.1,61.8
1400000US11001003600,3.30E-05,475,231,244,185,75,110,103,65,38,128,60,68,59,31,28,63.5,54.9,70.3,27.2,21.1,32,67.4,61.9,75.6,20.5,18.6,23.4,58,60.4,54.4,23.8,25,22.1,29.9,28.7,30.4,3.4,28.7,30.4
1400000US11001003301,4.63E-05,254,137,117,86,42,44,55,38,17,69,36,33,44,21,23,86.2,97.2,74.5,42,40.3,43.9,74.7,77.1,72.1,23.8,32,14.9,80.1,80.3,79.9,29.5,29.9,29.1,44.3,35.2,50.8,15,35.2,50.8
1400000US11001003700,2.81E-05,1122,460,662,309,178,131,205,88,117,482,134,348,126,60,66,64.7,67.8,61.8,26,31,21.2,53.3,51.5,55.5,10.6,15.7,4,48.1,48.6,47.7,9.9,7.8,11.7,57.3,54.5,58.7,11,54.5,58.7
1400000US11001000702,3.05E-05,576,162,414,0,0,0,56,39,17,182,44,138,338,79,259,98.9,98.8,99,91,85.2,95.2,97,96.7,97.2,73.3,75.3,71.9,92.3,87.3,95.4,65.3,57.7,70.2,85.3,90.9,82.6,44.1,90.9,82.6
1400000US11001009204,3.06E-05,212,75,137,50,31,19,93,32,61,54,12,42,15,0,15,90.4,89.3,91.2,19.6,19.8,19.4,65.2,73.5,59.2,4.6,11,0,70,83,56.6,4.9,3.5,6.4,54.7,53.1,55.6,1.3,53.1,55.6
1400000US11001004001,2.79E-05,191,64,127,0,0,0,0,0,0,19,13,6,172,51,121,99.2,100,98.5,90.7,88.7,92.5,97.2,100,94,90,86.5,94,98.6,97.6,100,78.4,79.9,76.4,79.8,81.7,78.3,55.3,81.7,78.3
1400000US11001000300,0.000104179,1248,588,660,55,16,39,69,42,27,455,313,142,669,217,452,100,100,100,89,85,93,97.6,95.5,100,93.6,93.6,93.7,97.2,98.1,96.5,75.9,86.8,66.9,91,94.3,88.8,53.8,94.3,88.8
1400000US11001004002,2.12E-05,208,120,88,30,30,0,14,14,0,21,5,16,143,71,72,92.7,94.5,90.5,82.9,79.9,86.4,91.1,92.7,88.5,80,79.7,80.6,91.7,81.6,100,61.5,75,50.4,61.9,70,54.5,32.7,70,54.5
1400000US11001008702,4.98E-05,177,96,81,77,44,33,75,37,38,20,10,10,5,5,0,52.5,44.9,57.3,4.5,11.6,0,56.4,55.7,57.2,18.6,19.3,17.8,67.9,67.1,68.6,8.7,6.8,10.6,33.3,15.2,43.2,0,15.2,43.2
1400000US11001004100,8.04E-05,127,56,71,8,0,8,10,10,0,6,0,6,103,46,57,98,97.8,98.1,88.3,83.4,92.8,92.3,87.1,97.2,74.8,69.2,80.2,95.3,92.6,97.8,87.4,86.3,88.5,89.6,95.4,85.8,62.8,95.4,85.8
1400000US11001004400,5.41E-05,290,143,147,68,53,15,51,24,27,80,36,44,91,30,61,86.8,85.1,89.1,56.7,49,67.3,74.2,79.2,67.9,45.8,62.1,25.5,79.3,74.1,85.7,33.3,37.1,28.6,28.9,27.6,30.4,9.1,27.6,30.4
1400000US11001004300,2.26E-05,297,154,143,60,45,15,88,30,58,62,48,14,87,31,56,81.6,87.8,73.8,62.2,64.8,58.9,79.2,82.3,67.9,50.7,50.4,51.8,72.4,77.1,67.7,43.4,52.2,34.7,33.7,42.9,31.3,4.9,42.9,31.3
1400000US11001000802,0.000260061,325,125,200,20,20,0,13,0,13,60,38,22,232,67,165,99.4,100,98.7,93,92.3,93.7,98,96.2,100,84.6,80.1,89.9,98.9,100,97.8,87.2,91.4,83.2,91.7,100,85.2,66.1,100,85.2
1400000US11001004201,2.09E-05,367,129,238,0,0,0,21,3,18,30,13,17,316,113,203,98,98.5,97.4,90.1,88.8,91.8,89.8,89.3,91,77,75.5,80.6,89.3,92.1,86.2,58.1,53.3,63.4,66.4,50.9,75.3,32.2,50.9,75.3
1400000US11001008701,4.00E-05,188,84,104,66,33,33,104,42,62,12,3,9,6,6,0,83.3,85.3,81,29.5,34.1,24,80.8,81.1,80.5,19.6,7.9,31.7,78.3,78,78.7,14.5,20.9,8.1,48.7,30,60.9,20.8,30,60.9
1400000US11001009601,0.000216224,180,91,89,55,39,16,77,40,37,48,12,36,0,0,0,69.5,78.2,63.5,10.3,13.8,7.9,73.1,76.8,70.4,18.2,26.2,12.4,74.1,66.5,79.3,14.3,10.8,16.7,54.2,58.9,52.2,14.7,58.9,52.2
1400000US11001000100,0.000249505,288,122,166,72,41,31,0,0,0,54,46,8,162,35,127,100,100,100,93.2,88.9,96.9,98.7,100,97.4,88.9,93,84.7,96.7,98.7,95,78.6,83.8,73.9,97,100,94.6,71.8,100,94.6
1400000US11001008905,0.000317542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US11001000202,0.000124997,1101,422,679,0,0,0,39,8,31,484,251,233,578,163,415,100,100,100,91.6,95.4,87.2,99.3,98.8,100,91.8,90.4,94.2,98,97.3,98.6,83.3,84.8,81.9,95.6,97.5,92.7,66.6,97.5,92.7
