GEO_ID_2,HC03_EST_VC52,HC03_EST_VC29,HC02_EST_VC31
1400000US51059422402,(X),30.1,50
1400000US51059422403,(X),5.3,35
1400000US51059430101,(X),14.9,53
1400000US51059430102,(X),0.0,68
1400000US51059430201,(X),0.0,4
1400000US51059430202,(X),10.9,0
1400000US51059430400,(X),1.6,52
1400000US51059430600,(X),15.0,51
1400000US51059430700,(X),3.0,0
1400000US51059430801,(X),2.7,14
1400000US51059430802,(X),3.5,0
1400000US51059430902,(X),0.0,0
1400000US51059431001,(X),1.5,0
1400000US51059431002,(X),0.0,0
1400000US51059431300,(X),0.0,7
1400000US51059431400,(X),7.2,27
1400000US51059431500,(X),2.8,18
1400000US51059431600,(X),1.0,52
1400000US51059431802,(X),0.0,7
1400000US51059432000,(X),9.3,65
1400000US51059432100,(X),10.0,33
1400000US51059432201,(X),0.0,47
1400000US51059432202,(X),7.7,117
1400000US51059432401,(X),0.0,5
1400000US51059432402,(X),7.1,0
1400000US51059432500,(X),6.3,14
1400000US51059432600,(X),0.0,0
1400000US51059432701,(X),0.0,0
1400000US51059432800,(X),21.2,0
1400000US51059440100,(X),5.5,60
1400000US51059440201,(X),4.8,79
1400000US51059440202,(X),13.2,32
1400000US51059440300,(X),0.6,14
1400000US51059440501,(X),0.0,96
1400000US51059440502,(X),4.2,21
1400000US51059440701,(X),0.0,0
1400000US51059440702,(X),6.6,18
1400000US51059440800,(X),3.1,0
1400000US51059450100,(X),6.3,14
1400000US51059450300,(X),9.0,28
1400000US51059450400,(X),6.2,12
1400000US51059450601,(X),5.3,0
1400000US51059450602,(X),24.9,3
1400000US51059450701,(X),0.3,15
1400000US51059450800,(X),4.6,0
1400000US51059450900,(X),0.0,17
1400000US51059451000,(X),3.9,0
1400000US51059451100,(X),30.3,15
1400000US51059451200,(X),12.5,15
1400000US51059451400,(X),43.7,83
1400000US51059451501,(X),24.7,0
1400000US51059451502,(X),17.8,44
1400000US51059451601,(X),0.0,0
1400000US51059451602,(X),11.6,15
1400000US51059451800,(X),4.7,71
1400000US51059452000,(X),39.8,21
1400000US51059452101,(X),7.4,149
1400000US51059452200,(X),10.9,40
1400000US51059452301,(X),27.2,52
1400000US51059452302,(X),6.4,62
1400000US51059452400,(X),3.9,86
1400000US51059452501,(X),15.6,11
1400000US51059452600,(X),4.1,61
1400000US51059452700,(X),25.0,27
1400000US51059452801,(X),13.8,202
1400000US51059460100,(X),0.7,31
1400000US51059460400,(X),23.9,89
1400000US51059460501,(X),0.9,72
1400000US51059460502,(X),13.4,79
1400000US51059460701,(X),0.0,0
1400000US51059460702,(X),8.6,41
1400000US51059460800,(X),0.0,16
1400000US51059460900,(X),0.0,10
1400000US51059461100,(X),6.5,36
1400000US51059461201,(X),0.0,49
1400000US51059461202,(X),8.1,44
1400000US51059461500,(X),1.9,48
1400000US51059461602,(X),0.0,80
1400000US51059461700,(X),2.5,0
1400000US51059461801,(X),29.4,0
1400000US51059461802,(X),15.1,15
1400000US51059461902,(X),5.3,17
1400000US51059470100,(X),29.1,36
1400000US51059470300,(X),0.0,66
1400000US51059470400,(X),0.0,30
1400000US51059470500,(X),0.0,61
1400000US51059470700,(X),0.0,70
1400000US51059470800,(X),0.0,19
1400000US51059470900,(X),11.4,0
1400000US51059471100,(X),3.0,166
1400000US51059471201,(X),0.0,12
1400000US51059471202,(X),22.3,33
1400000US51059471301,(X),27.7,44
1400000US51059471304,(X),0.0,0
1400000US51059471401,(X),7.0,32
1400000US51059471402,(X),5.0,11
1400000US51059480100,(X),10.2,14
1400000US51059480201,(X),0.0,60
1400000US51059480203,(X),6.6,100
1400000US51059480300,(X),0.0,0
1400000US51059480401,(X),0.0,54
1400000US51059480402,(X),9.6,0
1400000US51059480502,(X),10.2,64
1400000US51059480503,(X),0.0,0
1400000US51059480504,(X),0.0,0
1400000US51059480505,(X),19.3,28
1400000US51059480801,(X),0.0,0
1400000US51059480901,(X),5.7,126
1400000US51059480902,(X),17.4,18
1400000US51059480903,(X),4.4,20
1400000US51059481101,(X),0.0,36
1400000US51059481102,(X),7.5,78
1400000US51059481103,(X),0.0,54
1400000US51059481105,(X),0.0,0
1400000US51059481106,(X),0.0,31
1400000US51059481201,(X),0.0,0
1400000US51059481202,(X),9.7,47
1400000US51059481400,(X),18.3,215
1400000US51059481500,(X),0.0,6
1400000US51059481600,(X),0.0,0
1400000US51059481702,(X),14.0,47
1400000US51059481900,(X),6.2,79
1400000US51059482001,(X),5.9,66
1400000US51059482100,(X),14.5,7
1400000US51059482201,(X),62.8,92
1400000US51059482202,(X),15.6,58
1400000US51059482203,(X),1.6,12
1400000US51059482302,(X),16.1,9
1400000US51059482303,(X),0.0,0
1400000US51059482400,(X),0.0,25
1400000US51059482501,(X),0.0,30
1400000US51059482503,(X),20.2,44
1400000US51059482504,(X),0.0,0
1400000US51059482601,(X),0.0,14
1400000US51059482602,(X),2.8,58
1400000US51059490101,(X),9.9,35
1400000US51059490103,(X),2.4,18
1400000US51059490502,(X),5.8,23
1400000US51059491000,(X),0.0,6
1400000US51059491101,(X),6.5,0
1400000US51059491102,(X),0.0,0
1400000US51059491201,(X),3.2,87
1400000US51059491301,(X),7.5,26
1400000US51059491302,(X),0.0,0
1400000US51059491303,(X),10.3,0
1400000US51059491402,(X),2.9,8
1400000US51059491403,(X),0.0,11
1400000US51059491404,(X),0.0,0
1400000US51059491405,(X),0.0,0
1400000US51059491502,(X),0.3,52
1400000US51059491601,(X),31.5,26
1400000US51059491602,(X),1.6,0
1400000US51059491701,(X),0.0,0
1400000US51059491702,(X),26.3,91
1400000US51059491704,(X),19.1,32
1400000US51059491705,(X),12.1,100
1400000US51059491802,(X),0.0,7
1400000US51059491803,(X),1.9,26
1400000US51059492000,(X),0.1,48
1400000US51059492100,(X),3.9,1
1400000US51059492201,(X),0.0,24
1400000US51059492203,(X),0.0,0
1400000US51059492300,(X),7.1,87
1400000US51059492400,(X),2.2,125
1400000US51059492500,(X),16.0,15
1400000US51059980200,(X),-,0
1400000US51059980300,(X),-,0
1400000US51013100200,(X),9.1,19
1400000US51013100300,(X),0.0,0
1400000US51013100500,(X),8.7,68
1400000US51013100600,(X),7.5,25
1400000US51013100700,(X),0.0,26
1400000US51013100900,(X),9.1,43
1400000US51013101000,(X),22.3,6
1400000US51013101100,(X),8.1,59
1400000US51013101200,(X),0.0,10
1400000US51013101300,(X),0.4,24
1400000US51013101402,(X),0.0,46
1400000US51013101403,(X),0.0,63
1400000US51013101404,(X),5.7,107
1400000US51013101500,(X),14.5,162
1400000US51013101601,(X),100.0,64
1400000US51013101603,(X),48.2,72
1400000US51013101701,(X),3.8,111
1400000US51013101702,(X),35.6,294
1400000US51013101801,(X),100.0,69
1400000US51013101802,(X),13.3,177
1400000US51013101803,(X),6.6,17
1400000US51013102001,(X),0.0,53
1400000US51013102002,(X),0.0,20
1400000US51013102003,(X),44.2,102
1400000US51013102100,(X),33.3,68
1400000US51013102200,(X),18.0,215
1400000US51013102302,(X),0.2,67
1400000US51013102400,(X),2.4,98
1400000US51013102500,(X),9.9,54
1400000US51013102600,(X),2.4,9
1400000US51013102701,(X),7.3,79
1400000US51013102801,(X),12.0,202
1400000US51013102802,(X),0.0,10
1400000US51013102901,(X),0.0,51
1400000US51013103000,(X),11.3,101
1400000US51013103100,(X),10.7,50
1400000US51013103200,(X),12.5,153
1400000US51013103300,(X),16.2,74
1400000US51013103401,(X),40.0,0
1400000US51013103501,(X),7.9,14
1400000US51013103502,(X),37.0,189
1400000US51013103503,(X),0.0,98
1400000US51013103601,(X),1.8,35
1400000US51013103700,(X),11.8,19
1400000US51013103800,(X),19.0,110
1400000US51013980100,(X),-,0
1400000US51013980200,(X),-,0
1400000US51059491103,(X),12.3,97
1400000US51510201300,(X),22.3,40
1400000US51510201400,(X),16.2,35
1400000US51510201500,(X),6.5,13
1400000US51510201801,(X),17.5,12
1400000US51510201802,(X),50.8,12
1400000US51510201900,(X),16.5,5
1400000US51510202002,(X),0.0,38
1400000US51510200102,(X),20.2,25
1400000US51510200104,(X),7.1,55
1400000US51510200105,(X),10.1,38
1400000US51510200106,(X),5.5,0
1400000US51510200201,(X),24.4,20
1400000US51510200202,(X),0.0,17
1400000US51510200302,(X),2.8,37
1400000US51510200303,(X),24.5,44
1400000US51510200403,(X),0.0,0
1400000US51510200404,(X),0.0,12
1400000US51510200406,(X),11.8,130
1400000US51510200407,(X),10.0,116
1400000US51510200703,(X),11.5,49
1400000US51510200801,(X),6.3,15
1400000US51510200802,(X),2.6,10
1400000US51510201000,(X),8.4,63
1400000US51510201100,(X),0.0,9
1400000US51510201202,(X),2.0,83
1400000US51510201203,(X),21.3,151
1400000US51600300100,,,
1400000US51600300200,,,
1400000US51600300400,,,
1400000US51600300500,,,
1400000US51610500100,(X),7.3,27
1400000US51610500200,(X),11.0,32
1400000US51059420400,(X),9.3,46
1400000US51059482002,(X),0.0,0
1400000US24031700105,(X),0.0,15
1400000US24031700304,(X),2.4,37
1400000US24031700607,(X),5.2,93
1400000US24031700611,(X),6.4,0
1400000US24031700710,(X),10.1,9
1400000US24031700718,(X),5.8,88
1400000US24031700723,(X),19.9,100
1400000US24031700815,(X),16.6,163
1400000US24031700820,(X),10.8,13
1400000US24031700824,(X),3.2,7
1400000US24033803001,(X),9.1,0
1400000US24033803002,(X),10.4,13
1400000US24033803100,(X),8.3,0
1400000US24033803200,(X),10.7,0
1400000US24033803512,(X),2.4,37
1400000US24033803519,(X),3.4,0
1400000US24033803525,(X),24.9,17
1400000US24033803613,(X),9.0,31
1400000US24033804001,(X),15.0,133
1400000US24033804400,(X),15.0,15
1400000US24033804900,(X),15.3,38
1400000US24033805601,(X),33.2,17
1400000US24033805904,(X),9.9,118
1400000US24033806200,(X),8.4,49
1400000US24033806602,(X),11.2,69
1400000US24033806712,(X),1.2,25
1400000US24033807304,(X),15.9,9
1400000US24031700826,(X),20.5,16
1400000US24031700828,(X),20.0,19
1400000US24031700829,(X),8.8,23
1400000US24031700830,(X),0.0,0
1400000US24031700901,(X),12.7,58
1400000US24031701002,(X),0.0,0
1400000US24031701102,(X),13.6,53
1400000US24031701210,(X),0.0,16
1400000US24031701215,(X),10.3,36
1400000US24031701304,(X),6.0,6
1400000US24031701313,(X),0.0,0
1400000US24031701409,(X),0.2,1
1400000US24031701422,(X),6.8,96
1400000US24031701508,(X),7.6,17
1400000US24031701601,(X),1.0,28
1400000US24031701900,(X),13.8,81
1400000US24031702102,(X),1.2,35
1400000US24031702500,(X),13.2,98
1400000US24031703201,(X),3.6,45
1400000US24031703209,(X),15.2,109
1400000US24031703218,(X),6.4,9
1400000US24031703301,(X),9.0,14
1400000US24031703402,(X),8.2,0
1400000US24031703602,(X),0.0,0
1400000US24031703902,(X),12.6,52
1400000US24031704403,(X),7.2,9
1400000US24031704804,(X),0.0,10
1400000US24031705300,(X),0.0,9
1400000US24031705601,(X),0.0,17
1400000US24031705602,(X),0.0,72
1400000US24031705701,(X),0.0,92
1400000US24031705901,(X),0.0,12
1400000US24031706011,(X),0.0,98
1400000US24033800106,(X),2.0,34
1400000US24033800209,(X),5.9,9
1400000US24033800214,(X),10.9,0
1400000US24033800408,(X),7.5,38
1400000US24033800413,(X),2.7,8
1400000US24033800514,(X),5.3,0
1400000US24033800519,(X),3.0,30
1400000US24033800704,(X),0.0,0
1400000US24033801005,(X),1.5,0
1400000US24033801006,(X),3.8,7
1400000US24033801209,(X),3.9,9
1400000US24033801216,(X),5.0,4
1400000US24033801308,(X),0.2,53
1400000US24033801313,(X),11.5,0
1400000US24033801409,(X),1.5,13
1400000US24033801702,(X),8.7,2
1400000US24033801801,(X),6.2,0
1400000US24033801805,(X),3.3,0
1400000US24033802104,(X),9.4,0
1400000US24033802203,(X),8.4,19
1400000US24033802406,(X),18.2,7
1400000US24033802600,(X),6.9,0
1400000US24031700308,(X),5.8,156
1400000US24031700309,(X),23.8,18
1400000US24031700310,(X),8.6,91
1400000US24031700311,(X),0.0,0
1400000US24031700312,(X),3.9,28
1400000US24031700400,(X),23.4,12
1400000US24031700500,(X),5.7,16
1400000US24031700604,(X),0.0,94
1400000US24031700606,(X),6.6,0
1400000US24031700608,(X),0.0,76
1400000US24031700610,(X),6.9,0
1400000US24031700613,(X),0.0,73
1400000US24031700614,(X),0.0,38
1400000US24031700615,(X),0.0,23
1400000US24031700616,(X),0.0,0
1400000US24031700704,(X),5.0,64
1400000US24031700706,(X),15.4,55
1400000US24031700711,(X),5.8,48
1400000US24031700713,(X),8.8,50
1400000US24031700715,(X),0.0,0
1400000US24031700716,(X),13.9,14
1400000US24031700717,(X),20.5,55
1400000US24031700719,(X),16.3,75
1400000US24031700720,(X),18.3,0
1400000US24031700721,(X),0.0,8
1400000US24031700722,(X),17.6,7
1400000US24031700724,(X),53.1,53
1400000US24031700810,(X),28.7,28
1400000US24031700811,(X),6.4,15
1400000US24031700812,(X),3.1,22
1400000US24031700101,(X),3.0,0
1400000US24031700103,(X),7.9,3
1400000US24031700104,(X),11.4,35
1400000US24031700204,(X),3.0,1
1400000US24031700205,(X),0.0,19
1400000US24031700206,(X),4.7,6
1400000US24031700207,(X),19.1,8
1400000US24031700208,(X),0.0,3
1400000US24031700306,(X),0.0,70
1400000US24031700813,(X),7.6,124
1400000US24031700816,(X),14.3,86
1400000US24031700817,(X),14.8,71
1400000US24031700818,(X),4.0,106
1400000US24031700819,(X),2.9,0
1400000US24031700822,(X),6.0,7
1400000US24031700823,(X),15.4,59
1400000US24033803300,(X),9.6,7
1400000US24033803401,(X),5.6,7
1400000US24033803402,(X),11.7,36
1400000US24033803508,(X),20.5,44
1400000US24033803509,(X),4.9,17
1400000US24033803513,(X),21.0,15
1400000US24033803514,(X),0.0,59
1400000US24033803516,(X),2.8,15
1400000US24033806711,(X),2.0,0
1400000US24033806713,(X),17.8,46
1400000US24033806714,(X),7.8,0
1400000US24033806800,(X),6.5,35
1400000US24033806900,(X),2.7,14
1400000US24033807000,(X),5.6,64
1400000US24033807102,(X),3.8,38
1400000US24033807200,(X),30.6,28
1400000US24033807301,(X),13.6,107
1400000US24033807305,(X),2.6,15
1400000US24033807404,(X),5.1,38
1400000US24033807407,(X),7.3,7
1400000US24033807408,(X),2.0,34
1400000US24033807409,(X),5.0,72
1400000US24033807410,(X),0.1,21
1400000US24033803520,(X),1.6,1
1400000US24033803521,(X),2.8,23
1400000US24033803522,(X),0.0,21
1400000US24033803523,(X),3.0,18
1400000US24033803524,(X),8.6,0
1400000US24033803526,(X),4.3,0
1400000US24033803527,(X),6.2,0
1400000US24033803601,(X),5.0,17
1400000US24033803602,(X),12.1,0
1400000US24033803605,(X),2.8,8
1400000US24033803606,(X),3.9,0
1400000US24033803608,(X),1.9,23
1400000US24033803610,(X),5.6,35
1400000US24033803612,(X),7.0,28
1400000US24033803700,(X),4.5,24
1400000US24033803801,(X),9.6,0
1400000US24033803803,(X),2.5,8
1400000US24033803900,(X),5.5,0
1400000US24033804002,(X),3.3,10
1400000US24033804101,(X),16.6,41
1400000US24033804102,(X),21.3,7
1400000US24033804200,(X),6.1,33
1400000US24033804300,(X),19.8,0
1400000US24033804600,(X),9.0,10
1400000US24033804700,(X),5.3,8
1400000US24033804801,(X),18.9,49
1400000US24033804802,(X),24.5,26
1400000US24033805000,(X),14.9,110
1400000US24033805101,(X),7.0,8
1400000US24033805201,(X),16.7,26
1400000US24033805202,(X),7.8,41
1400000US24033805500,(X),4.8,0
1400000US24033805602,(X),13.4,23
1400000US24033805700,(X),10.4,95
1400000US24033805801,(X),15.4,27
1400000US24033805802,(X),7.6,28
1400000US24033805906,(X),5.8,57
1400000US24033805907,(X),16.7,30
1400000US24033805908,(X),0.0,29
1400000US24033805909,(X),7.1,92
1400000US24033806000,(X),17.3,51
1400000US24033806100,(X),2.6,1
1400000US24033806300,(X),9.5,5
1400000US24033806400,(X),6.5,14
1400000US24033806501,(X),8.3,18
1400000US24033806601,(X),2.7,0
1400000US24033806706,(X),9.4,8
1400000US24033806708,(X),13.1,116
1400000US24033806710,(X),3.2,40
1400000US24033803607,(X),3.0,0
1400000US24031701417,(X),10.5,152
1400000US24033801908,(X),10.6,0
1400000US24033807405,(X),1.8,117
1400000US24031704502,(X),0.0,5
1400000US24031700832,(X),9.3,0
1400000US24031700833,(X),15.4,45
1400000US24031700834,(X),7.5,18
1400000US24031700835,(X),0.0,22
1400000US24031700902,(X),4.7,27
1400000US24031700903,(X),12.3,47
1400000US24031700904,(X),2.8,75
1400000US24031700905,(X),8.4,14
1400000US24031701001,(X),6.7,46
1400000US24031701004,(X),17.6,55
1400000US24031701005,(X),8.5,14
1400000US24031701006,(X),12.6,46
1400000US24031701007,(X),6.3,0
1400000US24031701101,(X),16.3,24
1400000US24031701201,(X),2.6,60
1400000US24031701202,(X),5.9,53
1400000US24031701205,(X),1.2,87
1400000US24031701206,(X),7.4,29
1400000US24031701211,(X),3.0,72
1400000US24031701212,(X),0.6,6
1400000US24031701213,(X),0.0,88
1400000US24031701214,(X),0.0,78
1400000US24031701216,(X),16.9,59
