GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Less than $10,000","Margin of Error; Less than $10,000","Estimate; $10,000 to $14,999","Margin of Error; $10,000 to $14,999","Estimate; $15,000 to $19,999","Margin of Error; $15,000 to $19,999","Estimate; $20,000 to $24,999","Margin of Error; $20,000 to $24,999","Estimate; $25,000 to $29,999","Margin of Error; $25,000 to $29,999","Estimate; $30,000 to $34,999","Margin of Error; $30,000 to $34,999","Estimate; $35,000 to $39,999","Margin of Error; $35,000 to $39,999","Estimate; $40,000 to $49,999","Margin of Error; $40,000 to $49,999","Estimate; $50,000 to $59,999","Margin of Error; $50,000 to $59,999","Estimate; $60,000 to $69,999","Margin of Error; $60,000 to $69,999","Estimate; $70,000 to $79,999","Margin of Error; $70,000 to $79,999","Estimate; $80,000 to $89,999","Margin of Error; $80,000 to $89,999","Estimate; $90,000 to $99,999","Margin of Error; $90,000 to $99,999","Estimate; $100,000 to $124,999","Margin of Error; $100,000 to $124,999","Estimate; $125,000 to $149,999","Margin of Error; $125,000 to $149,999","Estimate; $150,000 to $174,999","Margin of Error; $150,000 to $174,999","Estimate; $175,000 to $199,999","Margin of Error; $175,000 to $199,999","Estimate; $200,000 to $249,999","Margin of Error; $200,000 to $249,999","Estimate; $250,000 to $299,999","Margin of Error; $250,000 to $299,999","Estimate; $300,000 to $399,999","Margin of Error; $300,000 to $399,999","Estimate; $400,000 to $499,999","Margin of Error; $400,000 to $499,999","Estimate; $500,000 to $749,999","Margin of Error; $500,000 to $749,999","Estimate; $750,000 to $999,999","Margin of Error; $750,000 to $999,999","Estimate; $1,000,000 or more","Margin of Error; $1,000,000 or more"
1400000US11001000902,11001000902,"Census Tract 9.02, District of Columbia, District of Columbia",779,69,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,13,21,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,9,16,0,132,22,27,71,45,138,56,211,77,315,94
1400000US11001001001,11001001001,"Census Tract 10.01, District of Columbia, District of Columbia",2211,130,16,26,0,132,0,132,0,132,0,132,0,132,0,132,0,132,13,20,0,132,0,132,0,132,24,23,0,132,0,132,0,132,0,132,15,24,8,13,31,31,94,86,579,135,1202,157,229,96
1400000US11001001002,11001001002,"Census Tract 10.02, District of Columbia, District of Columbia",790,139,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,15,23,0,132,0,132,42,39,0,132,250,94,238,116,207,91,38,44,0,132
1400000US11001001100,11001001100,"Census Tract 11, District of Columbia, District of Columbia",1494,126,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,21,34,25,29,0,132,0,132,14,21,19,24,14,23,149,60,38,31,365,116,463,115,386,102
1400000US11001001200,11001001200,"Census Tract 12, District of Columbia, District of Columbia",1236,137,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,21,35,0,132,0,132,0,132,0,132,0,132,0,132,9,15,18,29,143,71,67,45,378,102,433,118,167,87
1400000US11001001301,11001001301,"Census Tract 13.01, District of Columbia, District of Columbia",630,122,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,15,24,0,132,0,132,0,132,0,132,16,26,47,52,81,57,168,85,303,80
1400000US11001001302,11001001302,"Census Tract 13.02, District of Columbia, District of Columbia",1682,198,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,20,34,37,45,17,28,21,32,219,92,94,57,522,151,295,93,279,87,17,27,161,64
1400000US11001001401,11001001401,"Census Tract 14.01, District of Columbia, District of Columbia",802,71,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,12,19,0,132,11,17,0,132,190,78,292,77,297,99
1400000US11001001402,11001001402,"Census Tract 14.02, District of Columbia, District of Columbia",893,106,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,9,15,0,132,30,45,0,132,0,132,0,132,34,31,0,132,37,39,45,36,268,97,382,107,88,53
1400000US11001001500,11001001500,"Census Tract 15, District of Columbia, District of Columbia",2095,111,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,13,20,0,132,0,132,24,35,0,132,0,132,18,27,0,132,27,30,71,68,11,18,473,122,1131,158,327,104
1400000US11001001600,11001001600,"Census Tract 16, District of Columbia, District of Columbia",1461,103,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,16,24,0,132,0,132,0,132,0,132,0,132,0,132,12,18,0,132,26,21,0,132,72,58,90,65,638,119,463,105,144,77
1400000US11001001701,11001001701,"Census Tract 17.01, District of Columbia, District of Columbia",642,110,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,29,35,0,132,0,132,0,132,0,132,35,51,8,13,61,51,53,47,149,74,127,71,172,84,5,12,3,10
1400000US11001001702,11001001702,"Census Tract 17.02, District of Columbia, District of Columbia",744,96,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,13,15,16,26,10,17,72,40,36,32,278,79,142,63,133,61,22,21,22,28
1400000US11001001801,11001001801,"Census Tract 18.01, District of Columbia, District of Columbia",0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132
1400000US11001001803,11001001803,"Census Tract 18.03, District of Columbia, District of Columbia",401,119,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,30,45,42,29,0,132,53,65,61,62,51,59,110,76,33,26,21,25
1400000US11001001804,11001001804,"Census Tract 18.04, District of Columbia, District of Columbia",494,104,0,132,0,132,20,23,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,9,14,0,132,0,132,26,24,8,13,92,59,123,58,197,86,19,27,0,132
1400000US11001001901,11001001901,"Census Tract 19.01, District of Columbia, District of Columbia",1298,139,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,10,17,9,13,33,31,24,28,22,23,32,31,82,48,425,134,379,126,282,115,0,132,0,132
1400000US11001001902,11001001902,"Census Tract 19.02, District of Columbia, District of Columbia",688,91,0,132,0,132,0,132,0,132,0,132,0,132,0,132,18,22,0,132,0,132,0,132,0,132,0,132,25,26,0,132,0,132,0,132,57,65,51,52,169,76,276,98,92,66,0,132,0,132
1400000US11001002001,11001002001,"Census Tract 20.01, District of Columbia, District of Columbia",407,101,10,17,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,33,44,0,132,9,20,28,35,135,61,117,70,75,43
1400000US11001002002,11001002002,"Census Tract 20.02, District of Columbia, District of Columbia",901,127,0,132,0,132,0,132,0,132,0,132,0,132,0,132,5,11,0,132,6,10,0,132,0,132,0,132,14,17,0,132,9,15,9,15,13,22,12,18,128,76,80,49,303,115,293,91,29,27
1400000US11001002101,11001002101,"Census Tract 21.01, District of Columbia, District of Columbia",918,98,0,132,0,132,0,132,0,132,0,132,8,14,0,132,0,132,0,132,0,132,0,132,0,132,20,30,12,21,11,17,0,132,20,23,89,53,73,45,419,109,169,74,84,47,13,20,0,132
1400000US11001002102,11001002102,"Census Tract 21.02, District of Columbia, District of Columbia",1173,169,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,13,21,0,132,0,132,136,87,43,40,504,134,379,134,98,67,0,132,0,132
1400000US11001002201,11001002201,"Census Tract 22.01, District of Columbia, District of Columbia",887,114,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,8,13,25,28,13,21,78,59,37,33,259,90,311,115,156,104,0,132,0,132
1400000US11001002202,11001002202,"Census Tract 22.02, District of Columbia, District of Columbia",487,94,0,132,0,132,0,132,10,16,0,132,0,132,0,132,0,132,0,132,0,132,0,132,11,16,0,132,9,18,10,16,21,23,19,21,102,70,0,132,168,75,78,36,59,43,0,132,0,132
1400000US11001002301,11001002301,"Census Tract 23.01, District of Columbia, District of Columbia",731,95,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,8,13,6,10,15,19,97,72,283,78,215,79,98,69,9,15,0,132
1400000US11001002302,11001002302,"Census Tract 23.02, District of Columbia, District of Columbia",223,56,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,24,35,4,8,0,132,0,132,45,30,47,53,27,33,76,55,0,132,0,132,0,132
1400000US11001002400,11001002400,"Census Tract 24, District of Columbia, District of Columbia",990,120,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,18,21,10,16,0,132,0,132,32,39,0,132,46,61,71,41,46,41,314,102,273,99,171,90,0,132,9,14
1400000US11001002501,11001002501,"Census Tract 25.01, District of Columbia, District of Columbia",548,96,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,19,27,0,132,77,45,416,94,31,38,5,9
1400000US11001002502,11001002502,"Census Tract 25.02, District of Columbia, District of Columbia",713,114,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,8,14,0,132,0,132,7,12,10,17,75,67,123,83,138,66,325,107,0,132,27,40
1400000US11001002600,11001002600,"Census Tract 26, District of Columbia, District of Columbia",733,68,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,11,18,13,19,0,132,0,132,0,132,10,15,16,22,0,132,0,132,10,15,25,28,186,71,259,85,203,74
1400000US11001002701,11001002701,"Census Tract 27.01, District of Columbia, District of Columbia",765,159,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,10,16,0,132,0,132,0,132,0,132,15,24,27,33,85,50,51,37,85,62,293,125,151,83,48,45
1400000US11001002702,11001002702,"Census Tract 27.02, District of Columbia, District of Columbia",883,172,0,132,19,31,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,104,124,35,33,57,60,186,88,450,98,32,33
1400000US11001002801,11001002801,"Census Tract 28.01, District of Columbia, District of Columbia",379,85,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,44,37,19,20,92,49,71,51,140,79,8,13,5,10
1400000US11001002802,11001002802,"Census Tract 28.02, District of Columbia, District of Columbia",289,93,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,28,32,76,51,36,34,41,41,91,53,0,132,17,26
