OBJECTID,GEO.id,dec_ma,dec_tp,dec_mp,dec_mpp,dec_fp,dec_fpp,dec_aap,dec_aapp,acs_ma,acs_tp,acs_mp,acs_mpp,acs_fp,acs_fpp,acs_aap,acs_aapp
47,1400000US11001004202,33.6,2889,1557,53.9,1332,46.1,213,7.4,33.5,2354,1115,47.4,1239,52.6,30,1.3
48,1400000US11001004702,,,,,,,,,36.9,1616,866,53.6,750,46.4,952,58.9
49,1400000US11001004901,34.4,2013,990,49.2,1023,50.8,1581,78.5,33.0,1948,1013,52.0,935,48.0,1080,55.4
50,1400000US11001005600,29.0,5946,2576,43.3,3370,56.7,359,6.0,31.0,5043,2373,47.1,2670,52.9,284,5.6
51,1400000US11001006400,36.9,2240,972,43.4,1268,56.6,2034,90.8,37.8,1925,849,44.1,1076,55.9,1716,89.1
52,1400000US11001006801,39.4,1997,977,48.9,1020,51.1,1847,92.5,34.2,1836,817,44.5,1019,55.5,1257,68.5
53,1400000US11001007100,29.8,2818,1319,46.8,1499,53.2,2417,85.8,29.8,3344,1375,41.1,1969,58.9,2352,70.3
54,1400000US11001007403,26.0,2308,978,42.4,1330,57.6,2262,98.0,27.7,2768,1302,47.0,1466,53.0,2755,99.5
55,1400000US11001007408,24.0,2166,914,42.2,1252,57.8,2146,99.1,26.8,2675,1210,45.2,1465,54.8,2593,96.9
56,1400000US11001007601,37.0,4572,2103,46.0,2469,54.0,4378,95.8,45.4,3921,1779,45.4,2142,54.6,3815,97.3
57,1400000US11001007703,29.4,4615,1978,42.9,2637,57.1,4439,96.2,27.8,5657,2349,41.5,3308,58.5,5298,93.7
58,1400000US11001007806,38.1,2133,1052,49.3,1081,50.7,2093,98.1,38.7,2141,902,42.1,1239,57.9,1884,88.0
59,1400000US11001007901,34.7,3680,1584,43.0,2096,57.0,3573,97.1,34.3,3770,1583,42.0,2187,58.0,3297,87.5
60,1400000US11001008302,35.4,1956,995,50.9,961,49.1,784,40.1,33.5,2017,967,47.9,1050,52.1,231,11.5
61,1400000US11001008702,37.0,1916,949,49.5,967,50.5,1748,91.2,40.0,1713,861,50.3,852,49.7,1347,78.6
62,1400000US11001008904,34.2,3248,1440,44.3,1808,55.7,3152,97.0,38.7,3280,1578,48.1,1702,51.9,3161,96.4
63,1400000US11001009203,37.8,2861,1313,45.9,1548,54.1,2675,93.5,32.4,2541,1438,56.6,1103,43.4,1931,76.0
64,1400000US11001009302,41.0,1201,540,45.0,661,55.0,1128,93.9,39.7,1217,620,50.9,597,49.1,939,77.2
65,1400000US11001009504,41.6,3353,1570,46.8,1783,53.2,2557,76.3,44.8,2969,1477,49.7,1492,50.3,2182,73.5
66,1400000US11001009509,47.3,2898,1257,43.4,1641,56.6,2787,96.2,50.5,2754,1238,45.0,1516,55.0,2442,88.7
67,1400000US11001009602,27.9,3106,1245,40.1,1861,59.9,3046,98.1,26.7,3017,1144,37.9,1873,62.1,2973,98.5
68,1400000US11001009603,42.3,3230,1344,41.6,1886,58.4,3158,97.8,35.6,3273,1435,43.8,1838,56.2,3232,98.7
69,1400000US11001009604,45.2,1982,853,43.0,1129,57.0,1940,97.9,41.6,2022,660,32.6,1362,67.4,2011,99.5
70,1400000US11001009700,28.5,2309,1000,43.3,1309,56.7,2281,98.8,27.8,2403,978,40.7,1425,59.3,2393,99.6
71,1400000US11001009802,24.3,1806,795,44.0,1011,56.0,1776,98.3,28.5,1169,469,40.1,700,59.9,1151,98.5
72,1400000US11001009807,34.9,3238,1502,46.4,1736,53.6,3136,96.8,41.4,3232,1564,48.4,1668,51.6,3189,98.7
73,1400000US11001009904,31.0,1863,793,42.6,1070,57.4,1819,97.6,31.1,1618,770,47.6,848,52.4,1580,97.7
74,1400000US11001009906,37.3,1550,670,43.2,880,56.8,1516,97.8,37.5,1670,892,53.4,778,46.6,1562,93.5
75,1400000US11001010500,,,,,,,,,35.2,4230,2328,55.0,1902,45.0,2011,47.5
76,1400000US11001010800,,,,,,,,,19.7,6818,2723,39.9,4095,60.1,637,9.3
77,1400000US11001000202,32.9,3850,1912,49.7,1938,50.3,61,1.6,27.8,4553,2214,48.6,2339,51.4,88,1.9
78,1400000US11001000300,30.4,5706,2649,46.4,3057,53.6,175,3.1,30.3,5664,2851,50.3,2813,49.7,106,1.9
79,1400000US11001000501,32.5,2765,1171,42.4,1594,57.6,134,4.8,30.5,3388,1358,40.1,2030,59.9,85,2.5
80,1400000US11001000502,38.0,3112,1393,44.8,1719,55.2,83,2.7,39.5,3241,1426,44.0,1815,56.0,124,3.8
81,1400000US11001000600,45.6,4919,2075,42.2,2844,57.8,630,12.8,48.2,4777,2141,44.8,2636,55.2,388,8.1
82,1400000US11001000701,44.5,4395,1782,40.5,2613,59.5,159,3.6,49.3,4585,1971,43.0,2614,57.0,249,5.4
83,1400000US11001000802,34.3,2806,1370,48.8,1436,51.2,93,3.3,41.1,2595,1275,49.1,1320,50.9,77,3.0
