,GEO.id,xxxxx1
200,1400000US24031700607,154461
201,1400000US24031700608,219737
202,1400000US24031700610,139199
203,1400000US24031700611,141515
204,1400000US24031700613,118779
205,1400000US24031700614,75134
206,1400000US24031700615,146898
207,1400000US24031700616,145179
208,1400000US24031700704,61250
209,1400000US24031700706,66026
210,1400000US24031700710,94191
211,1400000US24031700711,96209
212,1400000US24031700713,49293
213,1400000US24031700715,100088
214,1400000US24031700716,81828
215,1400000US24031700717,66346
216,1400000US24031700718,113816
217,1400000US24031700719,66250
218,1400000US24031700720,100019
219,1400000US24031700721,62594
220,1400000US24031700722,79309
221,1400000US24031700723,53829
222,1400000US24031700724,35699
223,1400000US24031700810,98510
224,1400000US24031700811,82650
225,1400000US24031700812,80850
226,1400000US24031700813,80000
227,1400000US24031700815,81080
228,1400000US24031700816,73225
229,1400000US24031700817,84018
230,1400000US24031700818,68767
231,1400000US24031700819,87159
232,1400000US24031700820,69709
233,1400000US24031700822,62813
234,1400000US24031700823,107083
235,1400000US24031700824,141351
236,1400000US24031700826,130410
237,1400000US24031700828,153833
238,1400000US24031700829,121857
239,1400000US24031700830,65697
240,1400000US24031700832,62071
241,1400000US24031700833,72880
242,1400000US24031700834,83387
243,1400000US24031700835,141266
244,1400000US24031700901,76250
245,1400000US24031700902,81964
246,1400000US24031700903,78417
247,1400000US24031700904,72784
248,1400000US24031700905,83008
249,1400000US24031701001,98583
250,1400000US24031701002,205170
251,1400000US24031701004,101895
252,1400000US24031701005,119038
253,1400000US24031701006,124107
254,1400000US24031701007,106550
255,1400000US24031701101,97000
256,1400000US24031701102,85682
257,1400000US24031701201,81125
258,1400000US24031701202,139696
259,1400000US24031701205,168472
260,1400000US24031701206,137790
261,1400000US24031701210,173000
262,1400000US24031701211,120811
263,1400000US24031701212,143125
264,1400000US24031701213,117813
265,1400000US24031701214,83533
266,1400000US24031701215,79153
267,1400000US24031701216,91652
268,1400000US24031701218,70833
269,1400000US24031701219,66289
270,1400000US24031701220,195568
271,1400000US24031701221,123643
272,1400000US24031701303,127202
273,1400000US24031701304,123359
274,1400000US24031701306,144714
275,1400000US24031701307,140833
276,1400000US24031701308,144038
277,1400000US24031701312,133824
278,1400000US24031701313,112635
279,1400000US24031701314,102533
280,1400000US24031701315,105930
281,1400000US24031701316,113818
282,1400000US24031701317,161171
283,1400000US24031701407,122981
284,1400000US24031701408,140492
285,1400000US24031701409,144324
286,1400000US24031701410,85583
287,1400000US24031701414,84538
288,1400000US24031701415,97955
289,1400000US24031701417,60280
290,1400000US24031701418,108503
291,1400000US24031701420,66187
292,1400000US24031701421,73110
293,1400000US24031701422,43257
294,1400000US24031701423,63681
295,1400000US24031701503,94261
296,1400000US24031701505,75918
297,1400000US24031701506,129153
298,1400000US24031701507,128750
299,1400000US24031701508,52764
300,1400000US24031701509,48199
301,1400000US24031701601,54041
302,1400000US24031701602,61005
303,1400000US24031701701,71958
304,1400000US24031701702,57917
305,1400000US24031701703,82986
306,1400000US24031701704,85071
307,1400000US24031701800,64419
308,1400000US24031701900,55933
309,1400000US24031702000,48162
310,1400000US24031702101,53372
311,1400000US24031702102,135417
312,1400000US24031702200,128707
313,1400000US24031702301,64315
314,1400000US24031702302,73367
315,1400000US24031702401,128882
316,1400000US24031702402,67908
317,1400000US24031702500,61611
318,1400000US24031702601,70341
319,1400000US24031702602,61723
320,1400000US24031702700,98864
321,1400000US24031702800,91694
322,1400000US24031702900,116875
323,1400000US24031703000,99688
324,1400000US24031703100,100000
325,1400000US24031703201,97768
326,1400000US24031703202,115133
327,1400000US24031703206,92188
328,1400000US24031703207,59265
329,1400000US24031703208,119708
330,1400000US24031703209,55188
331,1400000US24031703210,109135
332,1400000US24031703212,107031
333,1400000US24031703213,49587
334,1400000US24031703214,43942
335,1400000US24031703215,91587
336,1400000US24031703216,56510
337,1400000US24031703218,50757
338,1400000US24031703219,55512
339,1400000US24031703220,64306
340,1400000US24031703221,104571
341,1400000US24031703301,71364
342,1400000US24031703302,78614
343,1400000US24031703401,75435
344,1400000US24031703402,100995
345,1400000US24031703403,72989
346,1400000US24031703404,48578
347,1400000US24031703501,56638
348,1400000US24031703502,71406
349,1400000US24031703601,81389
350,1400000US24031703602,117500
351,1400000US24031703701,66064
352,1400000US24031703702,79750
353,1400000US24031703800,56789
354,1400000US24031703901,108875
355,1400000US24031703902,75345
356,1400000US24031704000,75980
357,1400000US24031704100,157973
358,1400000US24031704200,100694
359,1400000US24031704300,136597
360,1400000US24031704401,144700
361,1400000US24031704403,86071
362,1400000US24031704404,134732
363,1400000US24031704501,120417
364,1400000US24031704502,184500
365,1400000US24031704503,160069
366,1400000US24031704600,146116
367,1400000US24031704700,247064
368,1400000US24031704803,73884
369,1400000US24031704804,113382
370,1400000US24031704805,116653
371,1400000US24031704806,84004
372,1400000US24031705000,117336
373,1400000US24031705100,173092
374,1400000US24031705200,240568
375,1400000US24031705300,"250,000+"
376,1400000US24031705400,"250,000+"
377,1400000US24031705501,106364
378,1400000US24031705502,160500
379,1400000US24031705601,201066
380,1400000US24031705602,81788
381,1400000US24031705701,149205
382,1400000US24031705702,173646
383,1400000US24031705800,167000
384,1400000US24031705901,196917
385,1400000US24031705902,186125
386,1400000US24031705903,199250
387,1400000US24031706005,210096
388,1400000US24031706007,197731
389,1400000US24031706008,"250,000+"
390,1400000US24031706009,239327
391,1400000US24031706010,133646
392,1400000US24031706011,194236
393,1400000US24031706012,66029
394,1400000US24031706013,194886
395,1400000US24033800102,57593
396,1400000US24033800103,53906
397,1400000US24033800105,80595
398,1400000US24033800106,86333
399,1400000US24033800108,69167
400,1400000US24033800109,55954
401,1400000US24033800203,126750
402,1400000US24033800206,83793
403,1400000US24033800208,93456
404,1400000US24033800209,51433
405,1400000US24033800210,64375
406,1400000US24033800211,50851
407,1400000US24033800212,100017
408,1400000US24033800213,79142
409,1400000US24033800214,58781
410,1400000US24033800215,72792
411,1400000US24033800401,119038
412,1400000US24033800402,100643
413,1400000US24033800403,121098
414,1400000US24033800408,109022
415,1400000US24033800409,114427
416,1400000US24033800410,128038
417,1400000US24033800411,87281
418,1400000US24033800412,59703
419,1400000US24033800413,83277
420,1400000US24033800504,114769
421,1400000US24033800505,87353
422,1400000US24033800507,95505
423,1400000US24033800509,101202
424,1400000US24033800511,99203
425,1400000US24033800513,97173
426,1400000US24033800514,170664
427,1400000US24033800515,91364
428,1400000US24033800516,85785
429,1400000US24033800517,163468
430,1400000US24033800518,160300
431,1400000US24033800519,110484
432,1400000US24033800520,99563
433,1400000US24033800601,103897
434,1400000US24033800604,104071
435,1400000US24033800605,115000
436,1400000US24033800606,80962
437,1400000US24033800607,130484
438,1400000US24033800608,150899
439,1400000US24033800701,121145
440,1400000US24033800704,92298
441,1400000US24033800705,114816
442,1400000US24033800706,121029
443,1400000US24033800707,100909
444,1400000US24033800800,104728
445,1400000US24033800900,67153
446,1400000US24033801003,84900
447,1400000US24033801004,112191
448,1400000US24033801005,127500
449,1400000US24033801006,106681
450,1400000US24033801104,54107
451,1400000US24033801207,129712
452,1400000US24033801208,116000
453,1400000US24033801209,98442
454,1400000US24033801210,82632
455,1400000US24033801211,96544
456,1400000US24033801212,93560
457,1400000US24033801213,88209
458,1400000US24033801214,83132
459,1400000US24033801215,106658
460,1400000US24033801216,85357
461,1400000US24033801217,103250
462,1400000US24033801302,113125
463,1400000US24033801305,97045
464,1400000US24033801307,128718
465,1400000US24033801308,112773
466,1400000US24033801309,127700
467,1400000US24033801310,138670
468,1400000US24033801311,97237
469,1400000US24033801312,81518
470,1400000US24033801313,115833
471,1400000US24033801404,73633
472,1400000US24033801405,64605
473,1400000US24033801406,65297
474,1400000US24033801407,85321
475,1400000US24033801408,64053
476,1400000US24033801409,55495
477,1400000US24033801410,112340
478,1400000US24033801411,91583
479,1400000US24033801500,71645
480,1400000US24033801600,51623
481,1400000US24033801701,68663
482,1400000US24033801702,54111
483,1400000US24033801704,55413
484,1400000US24033801706,64659
485,1400000US24033801707,59844
486,1400000US24033801708,63867
487,1400000US24033801801,48036
488,1400000US24033801802,51538
489,1400000US24033801804,75950
490,1400000US24033801805,50788
491,1400000US24033801807,58408
492,1400000US24033801808,55378
493,1400000US24033801901,90750
494,1400000US24033801904,59498
495,1400000US24033801905,90598
496,1400000US24033801906,63267
497,1400000US24033801907,57475
498,1400000US24033801908,57778
499,1400000US24033802001,53809
500,1400000US24033802002,71042
501,1400000US24033802103,83008
502,1400000US24033802104,42333
503,1400000US24033802106,52700
504,1400000US24033802107,54609
505,1400000US24033802201,59643
506,1400000US24033802203,51068
507,1400000US24033802204,79086
508,1400000US24033802301,83700
509,1400000US24033802404,50094
510,1400000US24033802405,52129
511,1400000US24033802406,56964
512,1400000US24033802407,50810
513,1400000US24033802408,43314
514,1400000US24033802501,53565
515,1400000US24033802502,71190
516,1400000US24033802600,53136
517,1400000US24033802700,47833
518,1400000US24033802803,54840
519,1400000US24033802804,66769
520,1400000US24033802805,59500
521,1400000US24033802901,44984
522,1400000US24033803001,69125
523,1400000US24033803002,64145
524,1400000US24033803100,61214
525,1400000US24033803200,52000
526,1400000US24033803300,63375
527,1400000US24033803401,49375
