,GEO.id,QWE12,HC02_EST_VC23,QQQQ23
145,1400000US11001008702,-,96.5,74.7
146,1400000US11001008802,40341,84.0,100.0
147,1400000US11001008803,82750,97.5,88.3
148,1400000US11001008804,68182,54.2,100.0
149,1400000US11001008903,45761,57.0,81.5
150,1400000US11001008904,29010,59.4,88.8
151,1400000US11001008905,-,-,-
152,1400000US11001009000,60515,91.4,100.0
153,1400000US11001009101,47407,92.3,100.0
154,1400000US11001009102,27321,69.4,78.6
155,1400000US11001009201,102917,70.7,94.9
156,1400000US11001009203,53041,70.0,85.6
157,1400000US11001009204,43000,74.8,87.0
158,1400000US11001009301,66111,89.2,100.0
159,1400000US11001009302,83164,59.6,85.2
160,1400000US11001009400,40556,93.3,86.0
161,1400000US11001009501,43167,84.3,85.2
162,1400000US11001009503,37730,96.0,93.3
163,1400000US11001009504,55240,92.2,78.6
164,1400000US11001009505,70559,85.1,100.0
165,1400000US11001009507,38056,84.3,100.0
166,1400000US11001009508,54432,96.4,75.4
167,1400000US11001009509,71923,90.6,100.0
168,1400000US11001009601,14911,71.4,91.3
169,1400000US11001009602,41607,86.0,84.2
170,1400000US11001009603,44028,62.9,100.0
171,1400000US11001009604,44957,77.5,91.4
172,1400000US11001009700,80074,56.1,78.5
173,1400000US11001009801,75385,65.9,45.8
174,1400000US11001009802,-,82.9,91.5
175,1400000US11001009803,-,76.4,85.9
176,1400000US11001009804,-,85.3,91.4
177,1400000US11001009806,57969,80.2,100.0
178,1400000US11001009807,38203,75.4,61.8
179,1400000US11001009808,36250,92.1,93.6
180,1400000US11001009809,-,77.2,93.8
181,1400000US11001009901,56111,97.6,100.0
182,1400000US11001009902,44565,90.4,94.1
183,1400000US11001009903,61250,78.1,76.7
184,1400000US11001009904,62417,81.9,95.1
185,1400000US11001009905,53566,64.6,100.0
186,1400000US11001009906,57857,72.4,100.0
187,1400000US11001009907,-,69.3,83.3
188,1400000US24031700101,59798,97.2,95.0
189,1400000US24031700102,52917,98.9,95.3
190,1400000US24031700103,57727,97.8,100.0
191,1400000US24031700202,51364,85.0,92.4
192,1400000US24031700204,55074,98.0,100.0
193,1400000US24031700205,58750,97.3,100.0
194,1400000US24031700206,51221,95.6,89.3
195,1400000US24031700302,48971,88.5,92.0
196,1400000US24031700304,47331,97.4,97.5
197,1400000US24031700306,62266,93.4,81.1
198,1400000US24031700308,32083,95.0,97.9
199,1400000US24031700309,44861,92.9,94.0
200,1400000US24031700310,44631,94.6,99.0
201,1400000US24031700400,27569,100.0,100.0
202,1400000US24031700500,47768,91.8,96.6
203,1400000US24031700604,51940,100.0,100.0
204,1400000US24031700605,48786,98.6,100.0
205,1400000US24031700606,47661,98.5,100.0
206,1400000US24031700607,50538,96.6,86.2
207,1400000US24031700608,55069,99.0,100.0
208,1400000US24031700609,55603,97.7,98.3
209,1400000US24031700610,47935,96.7,100.0
210,1400000US24031700704,57625,97.1,72.9
211,1400000US24031700705,51615,94.6,94.6
212,1400000US24031700706,53454,100.0,98.5
213,1400000US24031700708,54375,74.4,90.3
214,1400000US24031700710,44429,86.8,84.3
215,1400000US24031700711,37926,93.8,79.8
216,1400000US24031700712,51667,95.3,82.8
217,1400000US24031700713,37115,81.0,84.6
218,1400000US24031700714,42083,85.6,94.7
219,1400000US24031700715,47857,81.8,86.9
220,1400000US24031700716,60266,96.3,94.2
221,1400000US24031700805,38000,95.6,89.8
222,1400000US24031700806,48257,96.0,100.0
223,1400000US24031700808,43550,89.9,96.1
224,1400000US24031700809,57156,97.4,95.4
225,1400000US24031700810,50224,95.2,95.9
226,1400000US24031700811,47639,85.0,81.4
227,1400000US24031700812,35954,100.0,90.0
