OBJECTID,GEO.id,acs_10kl,acs_1015,acs_1519,acs_2025,acs_2530,acs_3035,acs_3540,acs_4050,acs_5059,acs_6069,acs_7079,acs_8089,acs_9099,acs_1124,acs_12549,acs_15074,acs_17599,acs_20049,acs_25099,acs_30099,acs_40099,acs_500749,acs_750999,acs_1000
115,1400000US11001003500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,36,25,80,95,57,5,0
45,1400000US11001003600,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,14,37,95,108,203,110,0
116,1400000US11001003700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,10,99,62,146,76,20,0
117,1400000US11001003800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,139,25,370,58,99
118,1400000US11001003900,0,0,0,0,0,0,0,29,0,0,0,0,0,0,19,59,46,26,50,231,178,66,90,21
119,1400000US11001004001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,30,42,223,197,340,99,237
46,1400000US11001004002,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,12,9,80,103,252,28,89
120,1400000US11001004100,0,0,0,0,0,0,0,0,0,0,9,12,0,0,0,0,0,23,11,82,60,100,51,365
121,1400000US11001004201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,32,38,196,163,224,56,63
47,1400000US11001004202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,10,13,100,144,127,98,138
122,1400000US11001004300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,58,26,15,66,95,86
123,1400000US11001004400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,42,0,135,195,421,265,118
124,1400000US11001004600,0,0,0,0,0,13,0,14,0,0,0,0,11,0,0,0,0,6,0,109,199,242,0,0
125,1400000US11001004701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,96,57,11,0
48,1400000US11001004702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,102,56,84,0,15
126,1400000US11001004801,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,56,116,252,47,8
127,1400000US11001004802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,9,57,58,11,21
49,1400000US11001004901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,13,0,52,71,74
128,1400000US11001004902,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,16,0,0,34,99,133,90,41
129,1400000US11001005001,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,40,73,124,83,98
130,1400000US11001005002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,49,283,186,281,137,59
131,1400000US11001005201,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,16,61,99,183,261,401,94,93
132,1400000US11001005301,0,0,0,0,17,0,0,0,0,0,0,0,0,0,11,0,25,54,161,339,263,288,98,170
133,1400000US11001005500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,31,65,236,247,502,168,172
50,1400000US11001005600,0,0,0,21,13,0,0,0,0,0,0,0,0,12,0,0,0,155,75,429,104,225,112,145
134,1400000US11001005800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,21,103,204,204,48,23
135,1400000US11001005900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,37,5,0
51,1400000US11001006400,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,146,39,26,8,0
137,1400000US11001006500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,12,79,23,228,298,62
138,1400000US11001006600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,19,0,23,25,31,105,96,146
139,1400000US11001006700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,81,82,377,403,196
52,1400000US11001006801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,26,59,150,80,18,8
140,1400000US11001006802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,53,60,198,194,23,19
142,1400000US11001006900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,7,98,67,386,85,0
143,1400000US11001007000,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,62,0,53,94,266,66,21
53,1400000US11001007100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,35,27,7,88,104,168,11,11
144,1400000US11001007200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,60,19,58,0,0
145,1400000US11001007301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0
146,1400000US11001007304,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,40,45,62,99,96,47,27,0,15
147,1400000US11001007401,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,14,13,11,0,7,0,0
54,1400000US11001007403,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,12,0,21,16,0,13,0,0,0
148,1400000US11001007404,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,14,20,47,17,25,9,0,24
149,1400000US11001007406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,11,34,0,9,0,0
1,1400000US11001007407,0,0,0,0,0,0,0,0,0,0,0,0,0,37,39,70,17,51,102,79,0,12,0,0
55,1400000US11001007408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,0,0,30,0
2,1400000US11001007409,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,3,38,71,28,188,0,0,0,11
3,1400000US11001007502,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,9,78,25,57,166,49,0,0,24
4,1400000US11001007503,0,0,0,0,0,0,0,8,0,0,0,0,0,12,0,12,0,65,61,51,13,0,0,0
5,1400000US11001007504,0,0,0,0,0,0,0,0,0,0,0,0,0,33,18,8,28,72,10,50,0,0,0,0
56,1400000US11001007601,0,0,0,18,0,0,0,0,0,0,13,9,0,47,0,0,42,212,172,289,48,28,35,0
6,1400000US11001007603,0,0,0,0,0,0,0,0,0,16,16,20,10,107,27,39,183,167,27,127,201,101,0,66
7,1400000US11001007604,0,0,0,0,0,8,0,9,0,0,0,0,0,0,0,47,20,115,14,84,226,75,0,10
8,1400000US11001007605,0,0,0,0,0,0,0,21,0,12,0,0,0,8,0,8,9,57,101,57,9,14,7,0
57,1400000US11001007703,0,0,0,0,10,0,0,9,0,0,13,18,27,21,49,0,35,215,80,86,0,36,0,17
9,1400000US11001007707,0,0,0,9,0,0,0,9,0,7,0,0,2,15,9,58,82,249,98,168,114,0,5,20
10,1400000US11001007708,0,0,0,0,0,0,0,0,0,0,0,0,7,28,0,26,40,63,90,0,0,0,28,0
11,1400000US11001007709,0,0,0,10,0,0,0,0,0,0,0,0,46,17,0,22,14,58,65,26,13,32,0,0
12,1400000US11001007803,0,0,0,0,9,0,0,0,0,0,10,0,6,44,29,55,33,99,141,94,33,9,0,10
13,1400000US11001007804,0,0,0,0,0,0,0,0,0,0,0,0,8,19,8,21,157,57,91,69,0,55,0,0
58,1400000US11001007806,0,0,0,0,0,10,0,12,0,0,0,0,0,0,9,12,46,69,110,49,13,11,0,0
14,1400000US11001007807,0,0,0,0,0,0,0,0,0,0,11,0,0,39,27,12,31,47,59,27,48,0,0,0
15,1400000US11001007808,0,11,0,0,11,0,0,0,0,0,0,0,8,11,33,0,21,131,83,38,0,11,0,0
16,1400000US11001007809,0,0,0,0,0,0,0,9,0,0,0,28,80,13,0,45,78,97,86,87,27,0,0,0
59,1400000US11001007901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,37,46,48,151,88,169,0,0
17,1400000US11001007903,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,22,75,144,162,34,24,0,15
18,1400000US11001008001,0,0,0,0,0,0,0,0,8,0,0,0,0,0,20,8,0,14,4,126,318,309,72,10
