,GEO.id,HD01_VD01
200,1400000US24031700607,143872
201,1400000US24031700608,200952
202,1400000US24031700610,131053
203,1400000US24031700611,152552
204,1400000US24031700613,130268
205,1400000US24031700614,71563
206,1400000US24031700615,157031
207,1400000US24031700616,137542
208,1400000US24031700704,68523
209,1400000US24031700706,55720
210,1400000US24031700710,90029
211,1400000US24031700711,94861
212,1400000US24031700713,53431
213,1400000US24031700715,93990
214,1400000US24031700716,82917
215,1400000US24031700717,65029
216,1400000US24031700718,110262
217,1400000US24031700719,62303
218,1400000US24031700720,85705
219,1400000US24031700721,58109
220,1400000US24031700722,76971
221,1400000US24031700723,50517
222,1400000US24031700724,47210
223,1400000US24031700810,96462
224,1400000US24031700811,90395
225,1400000US24031700812,87614
226,1400000US24031700813,66801
227,1400000US24031700815,77167
228,1400000US24031700816,69147
229,1400000US24031700817,81011
230,1400000US24031700818,63003
231,1400000US24031700819,88636
232,1400000US24031700820,71979
233,1400000US24031700822,61557
234,1400000US24031700823,108904
235,1400000US24031700824,151515
236,1400000US24031700826,111601
237,1400000US24031700828,139231
238,1400000US24031700829,120229
239,1400000US24031700830,65000
240,1400000US24031700832,67241
241,1400000US24031700833,71545
242,1400000US24031700834,83413
243,1400000US24031700835,126652
244,1400000US24031700901,58911
245,1400000US24031700902,58966
246,1400000US24031700903,66912
247,1400000US24031700904,59478
248,1400000US24031700905,72025
249,1400000US24031701001,91705
250,1400000US24031701002,193393
251,1400000US24031701004,94063
252,1400000US24031701005,130144
253,1400000US24031701006,129063
254,1400000US24031701007,96250
255,1400000US24031701101,89939
256,1400000US24031701102,79701
257,1400000US24031701201,80509
258,1400000US24031701202,114635
259,1400000US24031701205,163715
260,1400000US24031701206,134531
261,1400000US24031701210,164688
262,1400000US24031701211,110938
263,1400000US24031701212,130743
264,1400000US24031701213,102748
265,1400000US24031701214,80679
266,1400000US24031701215,84841
267,1400000US24031701216,91071
268,1400000US24031701218,62870
269,1400000US24031701219,64707
270,1400000US24031701220,185804
271,1400000US24031701221,120855
272,1400000US24031701303,129318
273,1400000US24031701304,112364
274,1400000US24031701306,129844
275,1400000US24031701307,144511
276,1400000US24031701308,175982
277,1400000US24031701312,136563
278,1400000US24031701313,111429
279,1400000US24031701314,85588
280,1400000US24031701315,88529
281,1400000US24031701316,114083
282,1400000US24031701317,179280
283,1400000US24031701407,122813
284,1400000US24031701408,130281
285,1400000US24031701409,144132
286,1400000US24031701410,79924
287,1400000US24031701414,66920
288,1400000US24031701415,93144
289,1400000US24031701417,59217
290,1400000US24031701418,108087
291,1400000US24031701420,66881
292,1400000US24031701421,69833
293,1400000US24031701422,43333
294,1400000US24031701423,70857
295,1400000US24031701503,96657
296,1400000US24031701505,74583
297,1400000US24031701506,123309
298,1400000US24031701507,131875
299,1400000US24031701508,44517
300,1400000US24031701509,49044
301,1400000US24031701601,44329
302,1400000US24031701602,64363
303,1400000US24031701701,61452
304,1400000US24031701702,56949
305,1400000US24031701703,83472
306,1400000US24031701704,81903
307,1400000US24031701800,65556
308,1400000US24031701900,55104
309,1400000US24031702000,47034
310,1400000US24031702101,59429
311,1400000US24031702102,114318
312,1400000US24031702200,103551
313,1400000US24031702301,64192
314,1400000US24031702302,65250
315,1400000US24031702401,121118
316,1400000US24031702402,66017
317,1400000US24031702500,57067
318,1400000US24031702601,66744
319,1400000US24031702602,56635
320,1400000US24031702700,77050
321,1400000US24031702800,85290
322,1400000US24031702900,101905
323,1400000US24031703000,92857
324,1400000US24031703100,99464
325,1400000US24031703201,98641
326,1400000US24031703202,100417
327,1400000US24031703206,94250
328,1400000US24031703207,54205
329,1400000US24031703208,111835
330,1400000US24031703209,52555
331,1400000US24031703210,105313
332,1400000US24031703212,106554
333,1400000US24031703213,41639
334,1400000US24031703214,47952
335,1400000US24031703215,85083
336,1400000US24031703216,51034
337,1400000US24031703218,53083
338,1400000US24031703219,52098
339,1400000US24031703220,51935
340,1400000US24031703221,103068
341,1400000US24031703301,78182
342,1400000US24031703302,80300
343,1400000US24031703401,73643
344,1400000US24031703402,83403
345,1400000US24031703403,68750
346,1400000US24031703404,57098
347,1400000US24031703501,51429
348,1400000US24031703502,65069
349,1400000US24031703601,70795
350,1400000US24031703602,109766
351,1400000US24031703701,63228
352,1400000US24031703702,80536
353,1400000US24031703800,54271
354,1400000US24031703901,107589
355,1400000US24031703902,63698
356,1400000US24031704000,71750
357,1400000US24031704100,166014
358,1400000US24031704200,88558
359,1400000US24031704300,130989
360,1400000US24031704401,135536
361,1400000US24031704403,75242
362,1400000US24031704404,143194
363,1400000US24031704501,112037
364,1400000US24031704502,175742
365,1400000US24031704503,173274
366,1400000US24031704600,135278
367,1400000US24031704700,221641
368,1400000US24031704803,69949
369,1400000US24031704804,112431
370,1400000US24031704805,60250
371,1400000US24031704806,79861
372,1400000US24031705000,131897
373,1400000US24031705100,161111
374,1400000US24031705200,190909
375,1400000US24031705300,"250,000+"
376,1400000US24031705400,204911
377,1400000US24031705501,99600
378,1400000US24031705502,162188
379,1400000US24031705601,177750
380,1400000US24031705602,76995
381,1400000US24031705701,131500
382,1400000US24031705702,183792
383,1400000US24031705800,179022
384,1400000US24031705901,186513
385,1400000US24031705902,180417
386,1400000US24031705903,193173
387,1400000US24031706005,195441
388,1400000US24031706007,190801
389,1400000US24031706008,"250,000+"
390,1400000US24031706009,235833
391,1400000US24031706010,129231
392,1400000US24031706011,185066
393,1400000US24031706012,62042
394,1400000US24031706013,205045
395,1400000US24033800102,61085
396,1400000US24033800103,56659
397,1400000US24033800105,67574
398,1400000US24033800106,92031
399,1400000US24033800108,57400
400,1400000US24033800109,64089
401,1400000US24033800203,116359
402,1400000US24033800206,77773
403,1400000US24033800208,87108
404,1400000US24033800209,48464
405,1400000US24033800210,57643
406,1400000US24033800211,54297
407,1400000US24033800212,87206
408,1400000US24033800213,71940
409,1400000US24033800214,60833
410,1400000US24033800215,68090
411,1400000US24033800401,113295
412,1400000US24033800402,92463
413,1400000US24033800403,115565
414,1400000US24033800408,119063
415,1400000US24033800409,115083
416,1400000US24033800410,120243
417,1400000US24033800411,88182
418,1400000US24033800412,54819
419,1400000US24033800413,69135
420,1400000US24033800504,106250
421,1400000US24033800505,90096
422,1400000US24033800507,96653
423,1400000US24033800509,105774
424,1400000US24033800511,85085
425,1400000US24033800513,92074
426,1400000US24033800514,164518
427,1400000US24033800515,81937
428,1400000US24033800516,81026
429,1400000US24033800517,142135
430,1400000US24033800518,157083
431,1400000US24033800519,132986
432,1400000US24033800520,100167
433,1400000US24033800601,98447
434,1400000US24033800604,100809
435,1400000US24033800605,102244
436,1400000US24033800606,77485
437,1400000US24033800607,133281
438,1400000US24033800608,143750
439,1400000US24033800701,118169
440,1400000US24033800704,90271
441,1400000US24033800705,133485
442,1400000US24033800706,130147
443,1400000US24033800707,80568
444,1400000US24033800800,111314
445,1400000US24033800900,49643
446,1400000US24033801003,79519
447,1400000US24033801004,106709
448,1400000US24033801005,113750
449,1400000US24033801006,112689
450,1400000US24033801104,52382
451,1400000US24033801207,119087
452,1400000US24033801208,107663
453,1400000US24033801209,93108
454,1400000US24033801210,76484
455,1400000US24033801211,93367
456,1400000US24033801212,89250
457,1400000US24033801213,77500
458,1400000US24033801214,70375
459,1400000US24033801215,104643
460,1400000US24033801216,86797
461,1400000US24033801217,97527
462,1400000US24033801302,97714
463,1400000US24033801305,92015
464,1400000US24033801307,132625
465,1400000US24033801308,108446
466,1400000US24033801309,120030
467,1400000US24033801310,126917
468,1400000US24033801311,107287
469,1400000US24033801312,95750
470,1400000US24033801313,106635
471,1400000US24033801404,81790
472,1400000US24033801405,62599
473,1400000US24033801406,56285
474,1400000US24033801407,81067
475,1400000US24033801408,64103
476,1400000US24033801409,65919
477,1400000US24033801410,106599
478,1400000US24033801411,82056
479,1400000US24033801500,73254
480,1400000US24033801600,50917
481,1400000US24033801701,72452
482,1400000US24033801702,49403
483,1400000US24033801704,51340
484,1400000US24033801706,62917
485,1400000US24033801707,54013
486,1400000US24033801708,57702
487,1400000US24033801801,56047
488,1400000US24033801802,53550
489,1400000US24033801804,70000
490,1400000US24033801805,49583
491,1400000US24033801807,62104
492,1400000US24033801808,54276
493,1400000US24033801901,81927
494,1400000US24033801904,63598
495,1400000US24033801905,90262
496,1400000US24033801906,68359
497,1400000US24033801907,60625
498,1400000US24033801908,56984
499,1400000US24033802001,50414
500,1400000US24033802002,68664
501,1400000US24033802103,79177
502,1400000US24033802104,51542
503,1400000US24033802106,43252
504,1400000US24033802107,50663
505,1400000US24033802201,50958
506,1400000US24033802203,54393
507,1400000US24033802204,76500
508,1400000US24033802301,69351
509,1400000US24033802404,47973
510,1400000US24033802405,52836
511,1400000US24033802406,64531
512,1400000US24033802407,54072
513,1400000US24033802408,39788
514,1400000US24033802501,52287
515,1400000US24033802502,70061
516,1400000US24033802600,49336
517,1400000US24033802700,51563
518,1400000US24033802803,62019
519,1400000US24033802804,63845
520,1400000US24033802805,52582
521,1400000US24033802901,48077
522,1400000US24033803001,69621
523,1400000US24033803002,63875
524,1400000US24033803100,55582
525,1400000US24033803200,51303
526,1400000US24033803300,61635
527,1400000US24033803401,49375
528,1400000US24033803402,54680
529,1400000US24033803508,39864
530,1400000US24033803509,46333
531,1400000US24033803512,82611
532,1400000US24033803513,63939
533,1400000US24033803514,77284
534,1400000US24033803516,96929
535,1400000US24033803519,67652
536,1400000US24033803520,125909
537,1400000US24033803521,104271
538,1400000US24033803522,88750
539,1400000US24033803523,131250
540,1400000US24033803524,70878
541,1400000US24033803525,50571
542,1400000US24033803526,91719
543,1400000US24033803527,93125
544,1400000US24033803601,88397
545,1400000US24033803602,63214
546,1400000US24033803605,75000
547,1400000US24033803606,70446
548,1400000US24033803607,100982
549,1400000US24033803608,73068
550,1400000US24033803610,56071
551,1400000US24033803612,46111
552,1400000US24033803613,51435
553,1400000US24033803700,59813
554,1400000US24033803801,55870
555,1400000US24033803803,60481
556,1400000US24033803900,65890
557,1400000US24033804001,39028
558,1400000US24033804002,54934
559,1400000US24033804101,66654
560,1400000US24033804102,60211
561,1400000US24033804200,88245
562,1400000US24033804300,50877
563,1400000US24033804400,51750
564,1400000US24033804600,52813
565,1400000US24033804700,69479
566,1400000US24033804801,41549
567,1400000US24033804802,34909
568,1400000US24033804900,41696
569,1400000US24033805000,51765
570,1400000US24033805101,44844
571,1400000US24033805201,50897
572,1400000US24033805202,52603
573,1400000US24033805500,62917
574,1400000US24033805601,45581
575,1400000US24033805602,50621
576,1400000US24033805700,55208
577,1400000US24033805801,73045
578,1400000US24033805802,74250
579,1400000US24033805904,56750
580,1400000US24033805906,47716
581,1400000US24033805907,50036
582,1400000US24033805908,43478
583,1400000US24033805909,44231
584,1400000US24033806000,46821
585,1400000US24033806100,74441
586,1400000US24033806200,65581
587,1400000US24033806300,52404
588,1400000US24033806400,128065
589,1400000US24033806501,49784
590,1400000US24033806601,55625
591,1400000US24033806602,65154
592,1400000US24033806706,72055
593,1400000US24033806708,59917
594,1400000US24033806710,90052
595,1400000US24033806711,66944
596,1400000US24033806712,70422
597,1400000US24033806713,43646
598,1400000US24033806714,54816
599,1400000US24033806800,95450
600,1400000US24033806900,68958
601,1400000US24033807000,60714
602,1400000US24033807102,71528
603,1400000US24033807200,18441
604,1400000US24033807301,63194
605,1400000US24033807304,83163
606,1400000US24033807305,68214
607,1400000US24033807404,80129
608,1400000US24033807405,75607
609,1400000US24033807407,77593
610,1400000US24033807408,80386
611,1400000US24033807409,72551
612,1400000US24033807410,52292
613,1400000US51013100100,161528
614,1400000US51013100200,170185
615,1400000US51013100300,193036
616,1400000US51013100400,211818
617,1400000US51013100500,174792
618,1400000US51013100600,103393
619,1400000US51013100700,105089
620,1400000US51013100800,56094
621,1400000US51013100900,100476
622,1400000US51013101000,134630
623,1400000US51013101100,140417
624,1400000US51013101200,149271
625,1400000US51013101300,138558
626,1400000US51013101401,88448
627,1400000US51013101402,121636
628,1400000US51013101403,99595
629,1400000US51013101404,102819
630,1400000US51013101500,102205
631,1400000US51013101601,102159
632,1400000US51013101602,94297
633,1400000US51013101603,96941
634,1400000US51013101701,89412
635,1400000US51013101702,66974
636,1400000US51013101703,77933
637,1400000US51013101801,109676
638,1400000US51013101802,102169
639,1400000US51013101803,71963
640,1400000US51013101900,144792
641,1400000US51013102001,46688
642,1400000US51013102002,60956
643,1400000US51013102003,41392
644,1400000US51013102100,97115
645,1400000US51013102200,45581
646,1400000US51013102301,98571
647,1400000US51013102302,87381
648,1400000US51013102400,76836
649,1400000US51013102500,83322
650,1400000US51013102600,80161
651,1400000US51013102701,49412
652,1400000US51013102702,86920
653,1400000US51013102801,60881
654,1400000US51013102802,130987
655,1400000US51013102901,101012
656,1400000US51013102902,91940
657,1400000US51013103000,109673
658,1400000US51013103100,75700
659,1400000US51013103200,71451
660,1400000US51013103300,58173
661,1400000US51013103401,112563
662,1400000US51013103402,108203
663,1400000US51013103501,82183
664,1400000US51013103502,87038
665,1400000US51013103503,85361
666,1400000US51013103601,116184
667,1400000US51013103602,80268
668,1400000US51013103700,163889
669,1400000US51013103800,75179
670,1400000US51013980100,-
671,1400000US51013980200,67361
672,1400000US51059415100,109609
673,1400000US51059415200,81639
674,1400000US51059415300,72794
675,1400000US51059415401,61421
676,1400000US51059415402,107545
677,1400000US51059415500,97309
678,1400000US51059415600,170952
679,1400000US51059415700,143929
680,1400000US51059415800,141000
681,1400000US51059415900,159100
682,1400000US51059416000,71217
683,1400000US51059416100,128994
684,1400000US51059416200,73858
685,1400000US51059416300,100170
686,1400000US51059420100,84461
687,1400000US51059420201,129219
688,1400000US51059420202,89930
689,1400000US51059420203,123417
690,1400000US51059420300,113378
691,1400000US51059420400,61809
692,1400000US51059420501,107404
693,1400000US51059420502,73275
694,1400000US51059420503,75809
695,1400000US51059420600,83446
696,1400000US51059420700,99100
697,1400000US51059420800,88456
698,1400000US51059421001,90685
699,1400000US51059421002,96639
700,1400000US51059421101,117375
701,1400000US51059421102,105352
702,1400000US51059421103,113163
703,1400000US51059421200,119531
704,1400000US51059421300,109479
705,1400000US51059421400,41277
706,1400000US51059421500,45943
707,1400000US51059421600,52652
708,1400000US51059421701,53495
709,1400000US51059421702,99750
710,1400000US51059421800,74565
711,1400000US51059421900,62151
712,1400000US51059422000,98224
713,1400000US51059422101,67151
714,1400000US51059422102,77475
715,1400000US51059422201,129375
716,1400000US51059422202,81889
717,1400000US51059422301,93646
718,1400000US51059422302,100162
719,1400000US51059422401,85924
720,1400000US51059422402,108867
721,1400000US51059422403,113239
722,1400000US51059430101,145583
723,1400000US51059430102,104410
724,1400000US51059430201,106875
725,1400000US51059430202,122679
726,1400000US51059430203,119000
727,1400000US51059430400,116519
728,1400000US51059430500,90000
729,1400000US51059430600,81479
730,1400000US51059430700,102775
731,1400000US51059430801,108429
732,1400000US51059430802,87056
733,1400000US51059430901,89740
734,1400000US51059430902,105700
735,1400000US51059431001,103824
736,1400000US51059431002,84479
737,1400000US51059431300,111283
738,1400000US51059431400,123526
739,1400000US51059431500,126938
740,1400000US51059431600,67708
741,1400000US51059431801,95469
742,1400000US51059431802,118309
743,1400000US51059431900,154811
744,1400000US51059432000,112594
745,1400000US51059432100,105801
746,1400000US51059432201,67059
747,1400000US51059432202,120143
748,1400000US51059432300,146250
749,1400000US51059432401,146645
750,1400000US51059432402,137745
751,1400000US51059432500,148224
752,1400000US51059432600,150179
753,1400000US51059432701,136667
754,1400000US51059432702,92692
755,1400000US51059432800,106731
756,1400000US51059440100,146781
757,1400000US51059440201,72713
758,1400000US51059440202,97803
759,1400000US51059440300,146250
760,1400000US51059440501,120485
761,1400000US51059440502,123889
762,1400000US51059440600,96513
763,1400000US51059440701,114643
764,1400000US51059440702,143438
765,1400000US51059440800,136538
766,1400000US51059450100,85954
767,1400000US51059450200,79496
768,1400000US51059450300,77331
769,1400000US51059450400,118850
770,1400000US51059450500,92766
771,1400000US51059450601,132237
772,1400000US51059450602,62207
773,1400000US51059450701,111287
774,1400000US51059450702,59821
775,1400000US51059450800,101216
776,1400000US51059450900,122083
777,1400000US51059451000,101797
778,1400000US51059451100,138227
779,1400000US51059451200,190781
780,1400000US51059451300,124107
781,1400000US51059451400,39538
782,1400000US51059451501,67832
783,1400000US51059451502,70372
784,1400000US51059451601,61752
785,1400000US51059451602,60156
786,1400000US51059451800,94714
787,1400000US51059451900,88114
788,1400000US51059452000,92736
789,1400000US51059452101,88250
790,1400000US51059452102,62379
791,1400000US51059452200,65255
792,1400000US51059452301,55355
793,1400000US51059452302,60417
794,1400000US51059452400,82455
795,1400000US51059452501,88109
796,1400000US51059452502,50647
797,1400000US51059452600,88698
798,1400000US51059452700,59318
799,1400000US51059452801,83115
800,1400000US51059452802,72580
801,1400000US51059460100,162344
802,1400000US51059460200,189500
803,1400000US51059460300,166000
804,1400000US51059460400,130676
805,1400000US51059460501,166250
806,1400000US51059460502,170842
807,1400000US51059460600,132695
808,1400000US51059460701,94550
809,1400000US51059460702,115116
810,1400000US51059460800,104477
811,1400000US51059460900,150833
812,1400000US51059461000,139712
813,1400000US51059461100,147447
814,1400000US51059461201,208221
815,1400000US51059461202,115950
816,1400000US51059461500,150175
817,1400000US51059461601,106480
818,1400000US51059461602,103887
819,1400000US51059461700,101398
820,1400000US51059461801,95573
821,1400000US51059461802,91383
822,1400000US51059461901,68404
823,1400000US51059461902,52841
824,1400000US51059470100,214091
825,1400000US51059470300,228021
826,1400000US51059470400,187216
827,1400000US51059470500,132213
828,1400000US51059470600,155250
829,1400000US51059470700,151685
830,1400000US51059470800,134583
831,1400000US51059470900,132536
832,1400000US51059471000,137000
833,1400000US51059471100,94928
834,1400000US51059471201,76509
835,1400000US51059471202,95341
836,1400000US51059471301,94135
837,1400000US51059471303,92434
838,1400000US51059471304,190929
839,1400000US51059471401,89531
840,1400000US51059471402,69323
841,1400000US51059480100,184886
842,1400000US51059480201,210625
843,1400000US51059480202,77500
844,1400000US51059480203,102847
845,1400000US51059480300,232500
846,1400000US51059480401,183661
847,1400000US51059480402,189135
848,1400000US51059480501,185057
849,1400000US51059480502,128942
850,1400000US51059480503,122241
851,1400000US51059480504,141600
852,1400000US51059480505,96359
853,1400000US51059480801,89182
854,1400000US51059480802,105101
855,1400000US51059480901,95504
856,1400000US51059480902,77426
857,1400000US51059480903,87661
858,1400000US51059481000,67262
859,1400000US51059481101,84654
860,1400000US51059481102,100729
861,1400000US51059481103,80564
862,1400000US51059481104,102923
863,1400000US51059481105,175938
864,1400000US51059481106,163542
865,1400000US51059481201,158355
866,1400000US51059481202,67456
867,1400000US51059481400,111161
868,1400000US51059481500,168194
869,1400000US51059481600,190875
870,1400000US51059481701,193468
871,1400000US51059481702,88407
872,1400000US51059481900,102667
873,1400000US51059482001,178796
874,1400000US51059482002,109750
875,1400000US51059482100,75590
876,1400000US51059482201,61716
877,1400000US51059482202,70143
878,1400000US51059482203,120833
879,1400000US51059482301,97460
880,1400000US51059482302,64892
881,1400000US51059482303,101639
882,1400000US51059482400,172083
883,1400000US51059482501,100472
884,1400000US51059482502,144550
885,1400000US51059482503,165250
886,1400000US51059482504,170134
887,1400000US51059482601,134150
888,1400000US51059482602,152154
889,1400000US51059490101,121250
890,1400000US51059490103,107411
891,1400000US51059490501,75684
892,1400000US51059490502,152809
893,1400000US51059491000,194167
894,1400000US51059491101,163828
895,1400000US51059491102,118611
896,1400000US51059491103,94538
897,1400000US51059491201,77500
898,1400000US51059491202,62716
899,1400000US51059491301,120547
900,1400000US51059491302,92708
901,1400000US51059491303,60737
902,1400000US51059491401,84000
903,1400000US51059491402,94884
904,1400000US51059491403,174770
905,1400000US51059491404,117321
906,1400000US51059491405,148984
907,1400000US51059491501,94286
908,1400000US51059491502,170283
909,1400000US51059491601,66339
910,1400000US51059491602,114118
911,1400000US51059491701,93239
912,1400000US51059491702,82060
913,1400000US51059491703,86981
914,1400000US51059491704,90000
915,1400000US51059491705,160043
916,1400000US51059491801,88155
917,1400000US51059491802,111031
918,1400000US51059491803,89639
919,1400000US51059492000,181833
920,1400000US51059492100,185000
921,1400000US51059492201,223032
922,1400000US51059492202,176915
923,1400000US51059492203,194659
924,1400000US51059492300,116591
925,1400000US51059492400,88269
926,1400000US51059492500,173854
927,1400000US51059980100,-
928,1400000US51059980200,-
929,1400000US51059980300,-
930,1400000US51510200102,70000
931,1400000US51510200103,54600
932,1400000US51510200104,62845
933,1400000US51510200105,47022
934,1400000US51510200106,76848
935,1400000US51510200107,85000
936,1400000US51510200201,74800
937,1400000US51510200202,146944
