OBJECTID,GEO.id,dec_bpl,dec_bplp,dec_bplm,dec_bplf,dec_bplmp,dec_bplfp
329,,,,,,,
330,,,,,,,
331,1400000US51059440800,164,3.0,29,54,15.3,16.5
332,1400000US51059450100,133,2.7,21,63,2.7,7.7
333,1400000US51059450300,276,6.1,31,42,8.2,9.6
334,1400000US51059450400,22,0.9,9,13,3.9,6.0
335,,,,,,,
336,,,,,,,
337,,,,,,,
338,1400000US51059450800,98,3.1,8,16,3.2,6.4
339,1400000US51059450900,39,2.5,0,0,0.0,0.0
340,1400000US51059451000,83,3.3,29,5,15.0,5.1
341,1400000US51059451100,46,2.1,8,26,5.0,15.4
342,1400000US51059451200,4,0.3,0,4,0.0,3.9
343,1400000US51059451400,595,18.7,114,79,23.4,27.5
344,,,,,,,
345,,,,,,,
346,,,,,,,
347,,,,,,,
348,1400000US51059451800,100,3.1,17,52,9.5,18.0
349,1400000US51059452000,303,11.1,31,145,17.0,37.6
350,,,,,,,
351,1400000US51059452200,458,7.6,55,100,12.9,17.2
352,,,,,,,
353,,,,,,,
354,1400000US51059452400,238,3.7,87,80,13.9,13.4
355,,,,,,,
356,1400000US51059452600,231,5.5,38,65,8.9,12.1
357,1400000US51059452700,589,12.3,102,94,20.8,18.6
358,,,,,,,
359,1400000US51059460100,51,1.3,0,25,0.0,28.4
360,1400000US51059460400,330,7.7,24,125,7.3,23.1
361,,,,,,,
362,,,,,,,
363,,,,,,,
364,,,,,,,
365,1400000US51059460800,33,1.1,5,10,2.5,4.4
366,1400000US51059460900,29,1.3,0,29,0.0,24.6
367,1400000US51059461100,171,2.5,19,9,5.1,3.2
368,,,,,,,
369,,,,,,,
370,1400000US51059461500,149,2.9,53,35,12.2,10.8
371,,,,,,,
372,1400000US51059461700,293,5.0,75,46,10.3,8.1
373,,,,,,,
374,,,,,,,
375,,,,,,,
376,1400000US51059470100,88,3.1,0,13,0.0,9.9
377,1400000US51059470300,32,1.0,6,26,5.4,14.6
378,1400000US51059470400,70,1.5,15,28,8.7,9.8
379,1400000US51059470500,82,1.6,10,45,3.2,8.7
380,1400000US51059470700,128,2.6,24,36,8.4,10.0
381,1400000US51059470800,79,2.8,23,30,18.3,16.9
382,1400000US51059470900,135,2.2,6,67,1.4,11.2
383,1400000US51059471100,151,2.3,16,34,2.6,5.9
384,,,,,,,
385,,,,,,,
386,,,,,,,
387,,,,,,,
388,,,,,,,
389,,,,,,,
390,1400000US51059480100,63,1.5,14,39,10.8,20.9
391,,,,,,,
392,,,,,,,
393,1400000US51059480300,143,2.2,32,7,17.1,3.3
394,,,,,,,
395,,,,,,,
396,,,,,,,
397,,,,,,,
398,,,,,,,
399,,,,,,,
400,,,,,,,
401,,,,,,,
402,,,,,,,
403,,,,,,,
404,,,,,,,
405,,,,,,,
406,,,,,,,
407,,,,,,,
408,,,,,,,
409,,,,,,,
410,,,,,,,
411,1400000US51059481400,185,2.9,26,97,5.6,12.9
412,1400000US51059481500,41,1.9,6,3,9.0,4.8
413,1400000US51059481600,35,1.1,0,17,0.0,17.7
414,,,,,,,
415,1400000US51059481900,339,6.3,19,40,4.0,7.7
416,,,,,,,
417,1400000US51059482100,110,3.6,48,40,9.1,8.5
418,,,,,,,
419,,,,,,,
420,,,,,,,
421,,,,,,,
422,,,,,,,
423,1400000US51059482400,38,1.5,0,9,0.0,7.7
424,,,,,,,
425,,,,,,,
426,,,,,,,
427,,,,,,,
428,,,,,,,
429,,,,,,,
430,,,,,,,
431,,,,,,,
432,1400000US51059491000,5,0.3,0,5,(X),33.3
433,,,,,,,
434,,,,,,,
435,,,,,,,
436,,,,,,,
437,,,,,,,
438,,,,,,,
439,,,,,,,
440,,,,,,,
441,,,,,,,
442,,,,,,,
443,,,,,,,
444,,,,,,,
445,,,,,,,
446,,,,,,,
447,,,,,,,
448,,,,,,,
449,,,,,,,
450,,,,,,,
451,,,,,,,
452,1400000US51059492000,85,1.4,20,51,11.4,35.2
453,1400000US51059492100,189,2.9,15,35,10.3,24.3
454,,,,,,,
455,,,,,,,
456,1400000US51059492300,87,2.6,13,10,10.0,8.8
457,1400000US51059492400,388,9.1,36,41,8.7,12.4
458,,,,,,,
459,,,,,,,
460,,,,,,,
461,1400000US51013100200,86,1.6,7,33,2.0,8.0
462,1400000US51013100300,57,1.0,17,4,5.1,1.1
463,1400000US51013100500,62,1.6,27,21,7.7,5.3
464,1400000US51013100600,126,4.6,26,35,6.0,8.0
465,1400000US51013100700,400,7.6,91,100,11.0,11.7
466,1400000US51013100900,100,2.5,61,20,13.8,5.1
467,1400000US51013101000,121,4.2,10,56,2.8,14.9
468,1400000US51013101100,127,2.8,22,38,3.5,6.4
469,1400000US51013101200,233,6.6,35,67,12.2,15.0
470,1400000US51013101300,212,3.6,57,67,7.1,8.2
471,,,,,,,
472,,,,,,,
473,,,,,,,
474,1400000US51013101500,360,6.0,101,143,8.1,10.1
475,,,,,,,
476,,,,,,,
477,,,,,,,
478,,,,,,,
479,,,,,,,
480,,,,,,,
481,,,,,,,
482,,,,,,,
483,,,,,,,
484,,,,,,,
485,1400000US51013102100,217,11.0,32,122,14.7,47.8
486,1400000US51013102200,1333,17.7,179,150,19.6,17.3
487,,,,,,,
488,1400000US51013102400,319,9.3,90,81,13.5,14.2
489,1400000US51013102500,271,6.5,45,162,4.8,18.8
490,1400000US51013102600,293,9.4,50,74,12.6,20.1
491,,,,,,,
492,,,,,,,
493,,,,,,,
494,,,,,,,
495,1400000US51013103000,91,3.0,19,41,4.1,4.8
496,1400000US51013103100,530,12.8,82,94,14.4,20.4
497,1400000US51013103200,589,8.8,139,152,8.4,9.4
498,1400000US51013103300,116,9.6,20,38,21.7,18.3
499,1400000US51013103401,118,18.0,63,39,63.6,95.1
500,,,,,,,
501,,,,,,,
502,,,,,,,
503,,,,,,,
504,1400000US51013103700,61,2.6,32,29,10.8,15.8
505,1400000US51013103800,415,9.3,95,72,18.1,20.3
506,,,,,,,
507,,,,,,,
508,,,,,,,
509,1400000US51510201300,172,5.7,40,46,8.5,8.0
510,1400000US51510201400,207,5.5,35,59,6.2,8.3
511,1400000US51510201500,49,1.5,32,17,10.2,3.3
512,1400000US51510201801,526,11.1,126,157,11.2,11.3
513,1400000US51510201802,277,15.3,0,24,0.0,8.5
514,1400000US51510201900,144,8.6,66,78,13.3,19.5
515,1400000US51510202002,72,3.0,22,37,3.2,4.6
516,1400000US51510200102,292,7.3,80,61,12.1,12.0
517,1400000US51510200104,247,8.0,53,26,10.9,5.3
518,1400000US51510200105,450,11.1,121,55,11.1,6.9
519,,,,,,,
520,1400000US51510200201,275,8.3,48,46,8.4,8.2
521,1400000US51510200202,35,2.2,5,30,12.2,34.5
522,1400000US51510200302,288,7.5,43,68,9.9,18.3
523,1400000US51510200303,684,13.9,110,268,11.8,18.0
524,,,,,,,
525,,,,,,,
526,,,,,,,
527,,,,,,,
528,,,,,,,
529,1400000US51510200801,88,3.6,7,30,4.2,19.9
530,1400000US51510200802,316,11.2,56,42,10.6,7.1
531,1400000US51510201000,84,3.1,8,55,1.5,5.2
532,1400000US51510201100,37,1.4,9,4,3.9,1.4
533,1400000US51510201202,182,5.6,37,41,7.9,8.2
534,1400000US51510201203,1329,18.8,303,276,23.9,38.0
535,,,,,,,
536,,,,,,,
537,,,,,,,
538,,,,,,,
539,1400000US51610500100,65,2.8,7,34,3.7,11.0
540,1400000US51610500200,278,6.0,53,66,12.3,11.4
541,1400000US51059420400,125,4.8,76,39,11.0,7.3
542,,,,,,,
543,,,,,,,
544,1400000US24031700304,184,3.4,39,46,10.1,10.2
545,1400000US24031700607,145,1.8,31,35,18.5,18.8
546,,,,,,,
547,1400000US24031700710,308,4.9,66,18,20.9,7.3
548,,,,,,,
549,,,,,,,
550,1400000US24031700815,373,5.9,51,16,9.0,4.1
551,,,,,,,
552,,,,,,,
553,1400000US24033803001,255,8.8,37,47,20.6,23.0
554,1400000US24033803002,283,9.9,34,27,24.3,9.3
555,1400000US24033803100,224,8.5,31,85,11.0,34.3
556,1400000US24033803200,515,17.6,56,78,21.1,26.2
557,1400000US24033803512,237,5.7,64,62,16.2,13.5
558,1400000US24033803519,188,3.9,23,21,11.9,9.3
559,,,,,,,
560,1400000US24033803613,521,10.2,91,92,14.9,17.9
561,1400000US24033804001,453,11.5,97,150,19.1,23.1
562,1400000US24033804400,227,9.5,51,45,25.2,18.9
563,1400000US24033804900,489,13.4,70,78,17.4,13.3
564,1400000US24033805601,748,13.4,137,245,15.9,57.2
565,1400000US24033805904,232,8.2,62,96,34.1,45.5
566,1400000US24033806200,467,12.0,80,135,19.9,22.6
567,1400000US24033806602,506,11.7,72,60,20.5,26.0
568,1400000US24033806712,160,5.8,12,32,3.4,4.6
569,1400000US24033807304,55,3.4,44,11,29.9,13.3
570,,,,,,,
571,,,,,,,
572,,,,,,,
573,,,,,,,
574,1400000US24031700901,406,14.1,59,165,18.2,23.1
575,1400000US24031701002,46,1.5,4,42,14.8,23.9
576,1400000US24031701102,459,8.2,106,121,19.1,23.0
577,1400000US24031701210,115,2.9,9,25,12.9,19.1
578,1400000US24031701215,200,5.0,48,105,6.4,11.2
579,1400000US24031701304,190,3.1,20,17,15.2,9.0
580,1400000US24031701313,123,3.1,17,15,16.5,10.2
581,1400000US24031701409,44,1.1,6,6,12.2,5.2
582,,,,,,,
583,,,,,,,
584,,,,,,,
585,1400000US24031701900,567,17.8,50,74,9.9,14.1
586,1400000US24031702102,41,1.4,21,20,14.7,9.9
587,1400000US24031702500,335,12.8,127,143,18.0,19.5
588,1400000US24031703201,222,3.2,73,96,19.4,23.7
589,1400000US24031703209,808,16.5,46,165,11.5,27.5
590,,,,,,,
591,1400000US24031703301,157,3.7,41,58,16.6,21.2
592,1400000US24031703402,260,8.0,37,19,16.7,11.1
593,1400000US24031703602,50,2.0,5,45,2.1,16.4
594,1400000US24031703902,602,9.8,104,79,17.4,11.2
595,,,,,,,
596,,,,,,,
597,1400000US24031705300,41,2.1,4,7,9.8,8.0
598,1400000US24031705601,70,2.6,0,41,0.0,13.2
599,1400000US24031705602,183,5.7,15,78,3.6,7.5
600,1400000US24031705701,210,5.2,27,33,16.8,9.2
601,1400000US24031705901,98,2.4,5,29,9.6,11.6
602,,,,,,,
603,1400000US24033800106,90,4.1,46,6,32.9,1.8
604,1400000US24033800209,430,9.6,48,77,9.8,11.1
605,,,,,,,
606,1400000US24033800408,135,3.4,57,31,25.2,14.9
607,,,,,,,
608,,,,,,,
609,,,,,,,
610,,,,,,,
611,,,,,,,
612,,,,,,,
613,,,,,,,
614,,,,,,,
615,1400000US24033801308,42,1.1,0,5,0.0,5.1
616,,,,,,,
617,,,,,,,
618,1400000US24033801702,410,11.9,25,42,6.3,9.1
619,1400000US24033801801,147,6.9,21,69,10.0,27.5
620,1400000US24033801805,193,8.4,49,42,12.6,13.7
621,1400000US24033802104,120,5.7,26,44,14.2,17.3
622,1400000US24033802203,340,7.4,34,57,11.1,16.1
623,1400000US24033802406,153,6.5,0,33,0.0,15.6
624,1400000US24033802600,347,10.7,23,37,11.4,18.9
625,1400000US24031700308,287,5.1,55,90,9.5,15.2
626,1400000US24031700309,220,5.6,23,9,5.4,2.4
627,1400000US24031700310,135,3.2,30,36,6.7,6.8
628,,,,,,,
629,,,,,,,
630,1400000US24031700400,104,5.1,4,19,2.9,15.3
631,1400000US24031700500,273,4.2,26,30,9.4,11.3
632,1400000US24031700604,140,2.2,15,43,8.3,22.8
633,1400000US24031700606,127,2.8,0,20,0.0,12.1
634,1400000US24031700608,105,2.1,21,23,19.8,23.0
635,1400000US24031700610,26,1.2,10,16,35.7,17.0
636,,,,,,,
637,,,,,,,
638,,,,,,,
639,,,,,,,
640,1400000US24031700704,173,5.9,47,44,20.1,17.5
641,1400000US24031700706,199,6.2,62,87,15.1,26.4
642,1400000US24031700711,462,7.6,49,61,14.0,15.7
643,1400000US24031700713,492,9.7,90,81,12.1,14.6
644,1400000US24031700715,244,4.3,53,33,15.4,12.2
645,1400000US24031700716,231,3.0,20,35,4.3,7.3
646,,,,,,,
647,,,,,,,
648,,,,,,,
649,,,,,,,
650,,,,,,,
651,,,,,,,
652,1400000US24031700810,150,3.1,18,18,6.5,5.6
653,1400000US24031700811,176,4.7,29,39,12.3,14.0
654,1400000US24031700812,218,5.4,54,23,15.1,4.6
655,1400000US24031700101,22,0.6,12,5,9.1,3.8
656,1400000US24031700103,132,2.9,14,56,12.1,30.6
657,,,,,,,
