GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Total: - Less than $10,000","Margin of Error; Total: - Less than $10,000","Estimate; Total: - $10,000 to $14,999","Margin of Error; Total: - $10,000 to $14,999","Estimate; Total: - $15,000 to $19,999","Margin of Error; Total: - $15,000 to $19,999","Estimate; Total: - $20,000 to $24,999","Margin of Error; Total: - $20,000 to $24,999","Estimate; Total: - $25,000 to $29,999","Margin of Error; Total: - $25,000 to $29,999","Estimate; Total: - $30,000 to $34,999","Margin of Error; Total: - $30,000 to $34,999","Estimate; Total: - $35,000 to $39,999","Margin of Error; Total: - $35,000 to $39,999","Estimate; Total: - $40,000 to $49,999","Margin of Error; Total: - $40,000 to $49,999","Estimate; Total: - $50,000 to $59,999","Margin of Error; Total: - $50,000 to $59,999","Estimate; Total: - $60,000 to $69,999","Margin of Error; Total: - $60,000 to $69,999","Estimate; Total: - $70,000 to $79,999","Margin of Error; Total: - $70,000 to $79,999","Estimate; Total: - $80,000 to $89,999","Margin of Error; Total: - $80,000 to $89,999","Estimate; Total: - $90,000 to $99,999","Margin of Error; Total: - $90,000 to $99,999","Estimate; Total: - $100,000 to $124,999","Margin of Error; Total: - $100,000 to $124,999","Estimate; Total: - $125,000 to $149,999","Margin of Error; Total: - $125,000 to $149,999","Estimate; Total: - $150,000 to $174,999","Margin of Error; Total: - $150,000 to $174,999","Estimate; Total: - $175,000 to $199,999","Margin of Error; Total: - $175,000 to $199,999","Estimate; Total: - $200,000 to $249,999","Margin of Error; Total: - $200,000 to $249,999","Estimate; Total: - $250,000 to $299,999","Margin of Error; Total: - $250,000 to $299,999","Estimate; Total: - $300,000 to $399,999","Margin of Error; Total: - $300,000 to $399,999","Estimate; Total: - $400,000 to $499,999","Margin of Error; Total: - $400,000 to $499,999","Estimate; Total: - $500,000 to $749,999","Margin of Error; Total: - $500,000 to $749,999","Estimate; Total: - $750,000 to $999,999","Margin of Error; Total: - $750,000 to $999,999","Estimate; Total: - $1,000,000 or more","Margin of Error; Total: - $1,000,000 or more"
1400000US11001001803,11001001803,"Census Tract 18.03, District of Columbia, District of Columbia",352,102,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,14,22,0,132,23,36,36,23,0,132,21,23,49,66,64,57,88,60,29,24,28,28
1400000US11001001804,11001001804,"Census Tract 18.04, District of Columbia, District of Columbia",459,102,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,11,18,0,132,0,132,57,52,15,25,73,43,118,57,174,82,11,19,0,132
1400000US11001001901,11001001901,"Census Tract 19.01, District of Columbia, District of Columbia",1299,121,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,10,16,41,30,23,26,10,16,10,16,65,36,489,129,435,123,204,99,12,22,0,132
1400000US11001001902,11001001902,"Census Tract 19.02, District of Columbia, District of Columbia",648,87,0,132,0,132,0,132,0,132,0,132,0,132,0,132,19,21,8,15,0,132,0,132,0,132,0,132,37,35,0,132,0,132,0,132,31,37,0,132,166,75,269,86,118,62,0,132,0,132
1400000US11001002001,11001002001,"Census Tract 20.01, District of Columbia, District of Columbia",406,76,6,12,0,132,0,132,0,132,0,132,0,132,0,132,8,12,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,13,17,0,132,21,32,28,33,205,73,85,64,40,43
1400000US11001002002,11001002002,"Census Tract 20.02, District of Columbia, District of Columbia",882,134,0,132,0,132,0,132,0,132,0,132,0,132,0,132,5,10,0,132,0,132,0,132,0,132,0,132,0,132,0,132,11,17,10,17,0,132,62,63,76,50,142,79,295,109,261,83,20,23
1400000US11001002101,11001002101,"Census Tract 21.01, District of Columbia, District of Columbia",910,117,0,132,0,132,0,132,0,132,0,132,10,15,47,40,0,132,0,132,0,132,0,132,8,12,22,34,11,16,0,132,0,132,35,31,88,56,79,55,325,122,170,69,105,54,10,16,0,132
1400000US11001002102,11001002102,"Census Tract 21.02, District of Columbia, District of Columbia",1073,139,0,132,0,132,0,132,0,132,0,132,0,132,10,17,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,45,37,58,49,500,130,360,126,100,53,0,132,0,132
1400000US11001002201,11001002201,"Census Tract 22.01, District of Columbia, District of Columbia",878,125,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,10,15,16,25,3,8,1,8,84,62,29,26,250,88,298,76,160,92,27,30,0,132
1400000US11001002202,11001002202,"Census Tract 22.02, District of Columbia, District of Columbia",558,107,0,132,0,132,0,132,7,13,0,132,0,132,0,132,0,132,0,132,0,132,0,132,8,13,0,132,8,14,9,13,16,19,19,22,50,48,83,72,193,88,71,49,63,44,31,43,0,132
