GEO.id,GEO.id2,GEO.display-label,VD01,VD02,VD03,pVD02,pVD03
Id,Id2,Geography,Total:,Owner occupied,Renter occupied,perc Owner occupied,perc Renter occupied
1400000US11001003600,11001003600,"Census Tract 36, District of Columbia, District of Columbia",1603,275,1328,0.171553337,0.828446663
1400000US11001003700,11001003700,"Census Tract 37, District of Columbia, District of Columbia",1792,158,1634,0.088169643,0.911830357
1400000US11001003800,11001003800,"Census Tract 38, District of Columbia, District of Columbia",2445,538,1907,0.2200409,0.7799591
1400000US11001003900,11001003900,"Census Tract 39, District of Columbia, District of Columbia",2854,736,2118,0.257883672,0.742116328
1400000US11001004001,11001004001,"Census Tract 40.01, District of Columbia, District of Columbia",2315,1037,1278,0.447948164,0.552051836
1400000US11001004002,11001004002,"Census Tract 40.02, District of Columbia, District of Columbia",1784,645,1139,0.361547085,0.638452915
1400000US11001004100,11001004100,"Census Tract 41, District of Columbia, District of Columbia",1581,728,853,0.460468058,0.539531942
1400000US11001004201,11001004201,"Census Tract 42.01, District of Columbia, District of Columbia",2167,713,1454,0.329026304,0.670973696
1400000US11001004202,11001004202,"Census Tract 42.02, District of Columbia, District of Columbia",1912,565,1347,0.295502092,0.704497908
1400000US11001004300,11001004300,"Census Tract 43, District of Columbia, District of Columbia",1775,433,1342,0.243943662,0.756056338
1400000US11001004400,11001004400,"Census Tract 44, District of Columbia, District of Columbia",1124,518,606,0.460854093,0.539145907
1400000US11001004600,11001004600,"Census Tract 46, District of Columbia, District of Columbia",1081,500,581,0.46253469,0.53746531
1400000US11001004700,11001004700,"Census Tract 47, District of Columbia, District of Columbia",1740,121,1619,0.06954023,0.93045977
1400000US11001004801,11001004801,"Census Tract 48.01, District of Columbia, District of Columbia",836,319,517,0.381578947,0.618421053
1400000US11001004802,11001004802,"Census Tract 48.02, District of Columbia, District of Columbia",1177,189,988,0.16057774,0.83942226
1400000US11001004901,11001004901,"Census Tract 49.01, District of Columbia, District of Columbia",844,247,597,0.292654028,0.707345972
1400000US11001004902,11001004902,"Census Tract 49.02, District of Columbia, District of Columbia",1002,101,901,0.100798403,0.899201597
1400000US11001005000,11001005000,"Census Tract 50, District of Columbia, District of Columbia",3614,829,2785,0.229385722,0.770614278
1400000US11001005100,11001005100,"Census Tract 51, District of Columbia, District of Columbia",565,62,503,0.109734513,0.890265487
1400000US11001005201,11001005201,"Census Tract 52.01, District of Columbia, District of Columbia",3039,718,2321,0.236261928,0.763738072
1400000US11001005202,11001005202,"Census Tract 52.02, District of Columbia, District of Columbia",503,9,494,0.017892644,0.982107356
1400000US11001005301,11001005301,"Census Tract 53.01, District of Columbia, District of Columbia",3692,1230,2462,0.333152763,0.666847237
1400000US11001005302,11001005302,"Census Tract 53.02, District of Columbia, District of Columbia",123,63,60,0.512195122,0.487804878
1400000US11001005401,11001005401,"Census Tract 54.01, District of Columbia, District of Columbia",968,184,784,0.190082645,0.809917355
1400000US11001005402,11001005402,"Census Tract 54.02, District of Columbia, District of Columbia",0,0,0,#DIV/0!,#DIV/0!
1400000US11001005500,11001005500,"Census Tract 55, District of Columbia, District of Columbia",3273,1097,2176,0.335166514,0.664833486
1400000US11001005600,11001005600,"Census Tract 56, District of Columbia, District of Columbia",3556,1237,2319,0.347862767,0.652137233
1400000US11001005701,11001005701,"Census Tract 57.01, District of Columbia, District of Columbia",1224,105,1119,0.085784314,0.914215686
1400000US11001005702,11001005702,"Census Tract 57.02, District of Columbia, District of Columbia",0,0,0,#DIV/0!,#DIV/0!
1400000US11001005800,11001005800,"Census Tract 58, District of Columbia, District of Columbia",864,164,700,0.189814815,0.810185185
1400000US11001005900,11001005900,"Census Tract 59, District of Columbia, District of Columbia",662,10,652,0.01510574,0.98489426
1400000US11001006001,11001006001,"Census Tract 60.01, District of Columbia, District of Columbia",1680,293,1387,0.174404762,0.825595238
1400000US11001006002,11001006002,"Census Tract 60.02, District of Columbia, District of Columbia",165,0,165,0,1
1400000US11001006100,11001006100,"Census Tract 61, District of Columbia, District of Columbia",1520,353,1167,0.232236842,0.767763158
1400000US11001006201,11001006201,"Census Tract 62.01, District of Columbia, District of Columbia",108,108,0,1,0
1400000US11001006202,11001006202,"Census Tract 62.02, District of Columbia, District of Columbia",0,0,0,#DIV/0!,#DIV/0!
1400000US11001006301,11001006301,"Census Tract 63.01, District of Columbia, District of Columbia",2488,1384,1104,0.556270096,0.443729904
1400000US11001006302,11001006302,"Census Tract 63.02, District of Columbia, District of Columbia",19,0,19,0,1
1400000US11001006400,11001006400,"Census Tract 64, District of Columbia, District of Columbia",985,141,844,0.143147208,0.856852792
1400000US11001006500,11001006500,"Census Tract 65, District of Columbia, District of Columbia",1400,589,811,0.420714286,0.579285714
1400000US11001006600,11001006600,"Census Tract 66, District of Columbia, District of Columbia",1050,480,570,0.457142857,0.542857143
1400000US11001006700,11001006700,"Census Tract 67, District of Columbia, District of Columbia",1877,1084,793,0.577517315,0.422482685
1400000US11001006801,11001006801,"Census Tract 68.01, District of Columbia, District of Columbia",926,474,452,0.51187905,0.48812095
1400000US11001006802,11001006802,"Census Tract 68.02, District of Columbia, District of Columbia",856,498,358,0.581775701,0.418224299
1400000US11001006804,11001006804,"Census Tract 68.04, District of Columbia, District of Columbia",175,56,119,0.32,0.68
1400000US11001006900,11001006900,"Census Tract 69, District of Columbia, District of Columbia",915,530,385,0.579234973,0.420765027
1400000US11001007000,11001007000,"Census Tract 70, District of Columbia, District of Columbia",1022,557,465,0.545009785,0.454990215
1400000US11001007100,11001007100,"Census Tract 71, District of Columbia, District of Columbia",1086,329,757,0.302946593,0.697053407
1400000US11001007200,11001007200,"Census Tract 72, District of Columbia, District of Columbia",888,13,875,0.01463964,0.98536036
1400000US11001007301,11001007301,"Census Tract 73.01, District of Columbia, District of Columbia",1361,43,1318,0.031594416,0.968405584
1400000US11001007302,11001007302,"Census Tract 73.02, District of Columbia, District of Columbia",1274,471,803,0.369701727,0.630298273
1400000US11001007304,11001007304,"Census Tract 73.04, District of Columbia, District of Columbia",1483,318,1165,0.214430209,0.785569791
1400000US11001007308,11001007308,"Census Tract 73.08, District of Columbia, District of Columbia",0,0,0,#DIV/0!,#DIV/0!
1400000US11001007401,11001007401,"Census Tract 74.01, District of Columbia, District of Columbia",893,59,834,0.066069429,0.933930571
1400000US11001007403,11001007403,"Census Tract 74.03, District of Columbia, District of Columbia",863,116,747,0.134414832,0.865585168
1400000US11001007404,11001007404,"Census Tract 74.04, District of Columbia, District of Columbia",946,67,879,0.070824524,0.929175476
1400000US11001007406,11001007406,"Census Tract 74.06, District of Columbia, District of Columbia",938,30,908,0.031982942,0.968017058
1400000US11001007407,11001007407,"Census Tract 74.07, District of Columbia, District of Columbia",914,321,593,0.351203501,0.648796499
1400000US11001007408,11001007408,"Census Tract 74.08, District of Columbia, District of Columbia",769,113,656,0.146944083,0.853055917
1400000US11001007409,11001007409,"Census Tract 74.09, District of Columbia, District of Columbia",1387,223,1164,0.160778659,0.839221341
1400000US11001007502,11001007502,"Census Tract 75.02, District of Columbia, District of Columbia",1578,249,1329,0.157794677,0.842205323
1400000US11001007503,11001007503,"Census Tract 75.03, District of Columbia, District of Columbia",899,285,614,0.31701891,0.68298109
1400000US11001007504,11001007504,"Census Tract 75.04, District of Columbia, District of Columbia",827,168,659,0.203143894,0.796856106
1400000US11001007601,11001007601,"Census Tract 76.01, District of Columbia, District of Columbia",1878,834,1044,0.444089457,0.555910543
1400000US11001007603,11001007603,"Census Tract 76.03, District of Columbia, District of Columbia",2136,1049,1087,0.491104869,0.508895131
1400000US11001007604,11001007604,"Census Tract 76.04, District of Columbia, District of Columbia",1747,644,1103,0.36863194,0.63136806
1400000US11001007605,11001007605,"Census Tract 76.05, District of Columbia, District of Columbia",1696,390,1306,0.22995283,0.77004717
1400000US11001007703,11001007703,"Census Tract 77.03, District of Columbia, District of Columbia",1834,383,1451,0.208833152,0.791166848
1400000US11001007707,11001007707,"Census Tract 77.07, District of Columbia, District of Columbia",1478,876,602,0.592692828,0.407307172
1400000US11001007708,11001007708,"Census Tract 77.08, District of Columbia, District of Columbia",1152,208,944,0.180555556,0.819444444
1400000US11001007709,11001007709,"Census Tract 77.09, District of Columbia, District of Columbia",950,315,635,0.331578947,0.668421053
1400000US11001007803,11001007803,"Census Tract 78.03, District of Columbia, District of Columbia",1303,631,672,0.484267076,0.515732924
1400000US11001007804,11001007804,"Census Tract 78.04, District of Columbia, District of Columbia",1157,490,667,0.423509075,0.576490925
1400000US11001007806,11001007806,"Census Tract 78.06, District of Columbia, District of Columbia",882,420,462,0.476190476,0.523809524
1400000US11001007807,11001007807,"Census Tract 78.07, District of Columbia, District of Columbia",751,331,420,0.440745672,0.559254328
1400000US11001007808,11001007808,"Census Tract 78.08, District of Columbia, District of Columbia",1402,544,858,0.388017118,0.611982882
1400000US11001007809,11001007809,"Census Tract 78.09, District of Columbia, District of Columbia",1106,652,454,0.589511754,0.410488246
1400000US11001007901,11001007901,"Census Tract 79.01, District of Columbia, District of Columbia",1465,512,953,0.349488055,0.650511945
1400000US11001007903,11001007903,"Census Tract 79.03, District of Columbia, District of Columbia",794,485,309,0.610831234,0.389168766
1400000US11001008001,11001008001,"Census Tract 80.01, District of Columbia, District of Columbia",1139,807,332,0.708516242,0.291483758
1400000US11001008002,11001008002,"Census Tract 80.02, District of Columbia, District of Columbia",1513,691,822,0.456708526,0.543291474
1400000US11001008100,11001008100,"Census Tract 81, District of Columbia, District of Columbia",1321,681,640,0.515518547,0.484481453
