OBJECTID,GEO.id,acs_oo,acs_ro
206,1400000US51059460200,1257,27
207,1400000US51059460300,863,85
208,1400000US51059460600,1164,153
209,1400000US51059461000,700,72
210,1400000US51059461601,1328,958
211,1400000US51059461901,626,682
212,1400000US51059470600,827,270
213,1400000US51059471000,748,106
214,1400000US51059471303,881,849
215,1400000US51059480202,339,1051
216,1400000US51059480501,1036,54
217,1400000US51059480802,1040,469
218,1400000US51059481000,846,650
219,1400000US51059481104,587,515
220,1400000US51059481701,1961,53
221,1400000US51059482301,1643,314
222,1400000US51059482502,1017,44
223,1400000US51059490501,596,681
224,1400000US51059491202,0,729
225,1400000US51059491401,1382,394
226,1400000US51059491501,1684,532
227,1400000US51059491703,420,1762
228,1400000US51059491801,567,490
229,1400000US51059492202,2018,82
230,1400000US51059980100,0,0
231,1400000US51013100100,1445,190
232,1400000US51013100400,1176,76
233,1400000US51013100800,367,118
234,1400000US51013101401,159,529
235,1400000US51013101602,454,539
236,1400000US51013101703,432,889
237,1400000US51013101900,725,282
238,1400000US51013102301,561,57
239,1400000US51013102702,295,260
240,1400000US51013102902,971,1446
241,1400000US51013103402,385,1938
242,1400000US51013103602,0,669
243,1400000US51510200103,1249,1649
244,1400000US51510200107,1081,1881
245,1400000US51510200301,401,728
246,1400000US51510200405,811,2547
247,1400000US51510200500,192,2400
248,1400000US51510200600,1356,512
249,1400000US51510200701,0,429
250,1400000US51510200702,487,1220
251,1400000US51510200900,1554,238
252,1400000US51510201204,567,706
253,1400000US51510201600,1077,1080
254,1400000US51510202001,815,156
255,,,
256,1400000US51610500300,784,733
257,1400000US51059415200,1293,592
258,1400000US51059415300,1197,261
259,1400000US51059415402,912,199
260,1400000US51059415500,1565,630
261,1400000US51059415600,955,77
262,1400000US51059415700,1138,116
263,1400000US51059415800,1535,123
264,1400000US51059415900,1023,83
265,1400000US51059416100,1213,162
266,1400000US51059416200,0,1153
267,1400000US51059416300,661,110
268,1400000US51059420201,1235,59
269,1400000US51059420202,435,561
270,1400000US51059420203,832,70
271,1400000US51059420300,1851,217
272,1400000US51059420501,786,198
273,1400000US51059420502,346,520
274,1400000US51059420503,402,807
275,1400000US51059420600,874,854
276,1400000US51059420700,1283,81
277,1400000US51059421001,738,246
278,1400000US51059421002,948,1097
279,1400000US51059421101,1767,272
280,1400000US51059421102,903,544
281,1400000US51059421103,1681,398
282,1400000US51059421300,1277,155
283,1400000US51059421400,435,1955
284,1400000US51059421500,1315,973
285,1400000US51059421701,547,677
286,1400000US51059421702,1150,87
287,1400000US51059421900,4,656
288,1400000US51059422000,853,456
289,1400000US51059422101,1286,1110
290,1400000US51059422102,1312,643
291,1400000US51059422201,831,92
292,1400000US51059422202,1281,579
293,1400000US51059422302,1863,625
294,1400000US51059422402,1534,475
295,1400000US51059422403,842,118
296,1400000US51059430101,1461,34
297,1400000US51059430102,954,71
298,1400000US51059430201,1229,219
299,1400000US51059430202,1424,170
300,1400000US51059430400,2028,295
301,1400000US51059430600,1253,575
302,1400000US51059430700,779,146
303,1400000US51059430801,1409,107
304,1400000US51059430802,1212,558
305,1400000US51059430902,917,155
306,1400000US51059431001,1329,301
307,1400000US51059431002,678,85
308,1400000US51059431300,1274,117
309,1400000US51059431400,1314,180
310,1400000US51059431500,1832,211
311,1400000US51059431600,1696,1467
312,1400000US51059431802,952,109
313,1400000US51059432000,845,272
314,1400000US51059432100,1274,159
315,1400000US51059432201,505,411
316,1400000US51059432202,1270,349
317,1400000US51059432401,1118,89
318,1400000US51059432402,1407,175
319,1400000US51059432500,1727,171
320,1400000US51059432600,1406,169
321,1400000US51059432701,914,162
322,1400000US51059432800,555,225
323,1400000US51059440100,1961,624
324,1400000US51059440201,484,389
325,1400000US51059440202,1171,1007
326,1400000US51059440300,928,37
327,1400000US51059440501,1635,48
328,1400000US51059440502,556,82
329,1400000US51059440701,923,81
330,1400000US51059440702,1686,170
331,1400000US51059440800,1857,189
332,1400000US51059450100,1196,1087
333,1400000US51059450300,1161,533
334,1400000US51059450400,853,86
335,1400000US51059450601,1261,35
336,1400000US51059450602,802,919
337,1400000US51059450701,738,217
338,1400000US51059450800,1077,89
339,1400000US51059450900,521,91
340,1400000US51059451000,814,79
341,1400000US51059451100,717,94
342,1400000US51059451200,559,61
343,1400000US51059451400,276,1019
344,1400000US51059451501,1117,1152
345,1400000US51059451502,640,919
346,1400000US51059451601,176,1331
347,1400000US51059451602,503,544
348,1400000US51059451800,922,163
349,1400000US51059452000,767,348
350,1400000US51059452101,1158,435
351,1400000US51059452200,1113,946
352,1400000US51059452301,925,607
353,1400000US51059452302,238,1412
354,1400000US51059452400,1767,607
355,1400000US51059452501,1091,308
356,1400000US51059452600,1218,853
357,1400000US51059452700,790,1000
358,1400000US51059452801,1138,1210
359,1400000US51059460100,1342,82
360,1400000US51059460400,1238,697
361,1400000US51059460501,819,12
362,1400000US51059460502,1771,476
363,1400000US51059460701,738,335
364,1400000US51059460702,1309,192
365,1400000US51059460800,829,256
366,1400000US51059460900,777,23
367,1400000US51059461100,2135,431
368,1400000US51059461201,1417,62
369,1400000US51059461202,1372,505
370,1400000US51059461500,1725,642
371,1400000US51059461602,822,1077
372,1400000US51059461700,1273,1071
373,1400000US51059461801,445,102
374,1400000US51059461802,1119,795
375,1400000US51059461902,0,643
376,1400000US51059470100,831,125
377,1400000US51059470300,1037,96
378,1400000US51059470400,1488,135
379,1400000US51059470500,1522,439
380,1400000US51059470700,1584,206
381,1400000US51059470800,867,197
382,1400000US51059470900,2323,340
383,1400000US51059471100,1699,518
384,1400000US51059471201,680,887
385,1400000US51059471202,964,1141
386,1400000US51059471301,284,1022
387,1400000US51059471304,558,17
388,1400000US51059471401,949,400
389,1400000US51059471402,862,376
390,1400000US51059480100,1292,61
391,1400000US51059480201,1385,31
392,1400000US51059480203,629,366
393,1400000US51059480300,2167,125
394,1400000US51059480401,1242,87
395,1400000US51059480402,1774,123
396,1400000US51059480502,1609,270
397,1400000US51059480503,972,250
398,1400000US51059480504,582,236
399,1400000US51059480505,714,579
400,1400000US51059480801,1305,272
401,1400000US51059480901,1543,534
402,1400000US51059480902,913,670
403,1400000US51059480903,808,786
404,1400000US51059481101,301,584
405,1400000US51059481102,351,835
406,1400000US51059481103,629,606
407,1400000US51059481105,1689,31
408,1400000US51059481106,1647,60
409,1400000US51059481201,331,65
410,1400000US51059481202,1179,738
411,1400000US51059481400,2116,522
412,1400000US51059481500,726,39
413,1400000US51059481600,1061,48
414,1400000US51059481702,1360,463
415,1400000US51059481900,1447,637
416,1400000US51059482001,1567,85
417,1400000US51059482100,1145,328
418,1400000US51059482201,314,684
419,1400000US51059482202,1142,872
420,1400000US51059482203,1035,803
421,1400000US51059482302,652,1003
422,1400000US51059482303,1307,331
423,1400000US51059482400,711,27
424,1400000US51059482501,870,1377
425,1400000US51059482503,1355,109
426,1400000US51059482504,1632,43
427,1400000US51059482601,2007,276
428,1400000US51059482602,2023,87
429,1400000US51059490101,1328,614
430,1400000US51059490103,1451,222
431,1400000US51059490502,1789,159
432,1400000US51059491000,533,7
433,1400000US51059491101,1170,15
434,1400000US51059491102,1089,17
435,1400000US51059491201,1506,710
436,1400000US51059491301,1706,365
437,1400000US51059491302,722,648
438,1400000US51059491303,822,521
439,1400000US51059491402,1136,290
440,1400000US51059491403,1143,20
441,1400000US51059491404,1284,39
442,1400000US51059491405,819,22
443,1400000US51059491502,2004,70
444,1400000US51059491601,891,628
445,1400000US51059491602,1629,17
446,1400000US51059491701,1136,467
447,1400000US51059491702,937,2118
448,1400000US51059491704,778,1044
449,1400000US51059491705,951,44
450,1400000US51059491802,933,90
451,1400000US51059491803,1681,968
452,1400000US51059492000,2060,34
453,1400000US51059492100,2036,176
454,1400000US51059492201,837,41
455,1400000US51059492203,1202,19
456,1400000US51059492300,973,113
457,1400000US51059492400,1402,434
458,1400000US51059492500,1307,42
459,1400000US51059980200,0,0
460,1400000US51059980300,0,0
461,1400000US51013100200,2049,85
462,1400000US51013100300,1812,205
463,1400000US51013100500,1226,330
464,1400000US51013100600,779,497
465,1400000US51013100700,1445,613
466,1400000US51013100900,1012,604
467,1400000US51013101000,958,252
468,1400000US51013101100,1685,357
469,1400000US51013101200,1034,205
470,1400000US51013101300,1812,403
471,1400000US51013101402,748,616
472,1400000US51013101403,907,2388
473,1400000US51013101404,889,1235
474,1400000US51013101500,1346,2087
475,1400000US51013101601,416,306
476,1400000US51013101603,412,1455
477,1400000US51013101701,286,1370
478,1400000US51013101702,718,1658
479,1400000US51013101801,515,745
480,1400000US51013101802,789,2364
481,1400000US51013101803,539,1641
482,1400000US51013102001,224,764
483,1400000US51013102002,41,606
484,1400000US51013102003,502,1495
485,1400000US51013102100,588,356
486,1400000US51013102200,1123,1361
487,1400000US51013102302,839,653
488,1400000US51013102400,864,764
489,1400000US51013102500,683,1374
490,1400000US51013102600,509,644
491,1400000US51013102701,75,1471
492,1400000US51013102801,1398,1353
493,1400000US51013102802,443,40
494,1400000US51013102901,1242,417
495,1400000US51013103000,1294,394
496,1400000US51013103100,952,825
497,1400000US51013103200,1029,1591
498,1400000US51013103300,247,838
499,1400000US51013103401,0,95
500,1400000US51013103501,595,1443
501,1400000US51013103502,115,1546
502,1400000US51013103503,112,2197
503,1400000US51013103601,686,300
504,1400000US51013103700,770,126
505,1400000US51013103800,490,1645
506,1400000US51013980100,0,0
507,1400000US51013980200,0,17
508,1400000US51059491103,1939,203
509,1400000US51510201300,947,413
510,1400000US51510201400,1147,753
511,1400000US51510201500,1114,249
512,1400000US51510201801,1968,1014
513,1400000US51510201802,600,355
514,1400000US51510201900,404,536
515,1400000US51510202002,648,895
516,1400000US51510200102,414,1128
517,1400000US51510200104,0,1354
518,1400000US51510200105,0,2191
519,1400000US51510200106,502,1030
520,1400000US51510200201,661,775
521,1400000US51510200202,589,49
522,1400000US51510200302,655,719
523,1400000US51510200303,935,1617
524,1400000US51510200403,440,312
525,1400000US51510200404,1410,233
526,1400000US51510200406,376,1610
527,1400000US51510200407,1458,776
528,1400000US51510200703,608,721
529,1400000US51510200801,776,203
530,1400000US51510200802,751,618
531,1400000US51510201000,1241,583
532,1400000US51510201100,786,401
533,1400000US51510201202,624,637
534,1400000US51510201203,459,1917
535,,,
536,,,
537,,,
538,,,
539,1400000US51610500100,903,166
540,1400000US51610500200,1319,801
541,1400000US51059420400,372,1102
542,1400000US51059482002,1089,656
543,1400000US24031700105,1859,222
544,1400000US24031700304,1778,772
545,1400000US24031700607,2181,340
546,1400000US24031700611,1555,74
547,1400000US24031700710,1688,411
548,1400000US24031700718,935,834
549,1400000US24031700723,184,1772
550,1400000US24031700815,1969,663
551,1400000US24031700820,467,553
552,1400000US24031700824,1018,68
553,1400000US24033803001,640,348
554,1400000US24033803002,821,317
555,1400000US24033803100,604,336
556,1400000US24033803200,274,847
557,1400000US24033803512,1441,893
558,1400000US24033803519,666,534
559,1400000US24033803525,150,981
560,1400000US24033803613,751,1238
561,1400000US24033804001,188,1972
562,1400000US24033804400,561,247
563,1400000US24033804900,452,968
564,1400000US24033805601,32,1442
565,1400000US24033805904,647,286
566,1400000US24033806200,871,711
567,1400000US24033806602,743,585
568,1400000US24033806712,625,609
569,1400000US24033807304,518,76
570,1400000US24031700826,1625,1072
571,1400000US24031700828,792,106
572,1400000US24031700829,981,194
573,1400000US24031700830,77,687
574,1400000US24031700901,799,932
575,1400000US24031701002,1158,64
576,1400000US24031701102,1460,602
577,1400000US24031701210,1326,55
578,1400000US24031701215,1444,1078
579,1400000US24031701304,1934,106
580,1400000US24031701313,1109,155
581,1400000US24031701409,1391,20
582,1400000US24031701422,0,852
583,1400000US24031701508,356,1255
584,1400000US24031701601,111,679
585,1400000US24031701900,337,883
586,1400000US24031702102,995,33
587,1400000US24031702500,476,2005
588,1400000US24031703201,2131,226
589,1400000US24031703209,1095,940
590,1400000US24031703218,974,324
591,1400000US24031703301,1070,226
592,1400000US24031703402,967,64
