OID,AREA,PERIMETER,TR11_D00_,TR11_D00_I,STATE,COUNTY,TRACT,NAME,LSAD,LSAD_TRANS,GEO_ID
-1,0.000278315438201,0.083388023880659,2.000000000000000,1.000000000000000,11,001,0016,0016,TR, ,1400000US11001001600
-1,0.000492045266983,0.106143313807600,3.000000000000000,2.000000000000000,11,001,0015,0015,TR, ,1400000US11001001500
-1,0.000063246405981,0.038731131939553,4.000000000000000,3.000000000000000,11,001,001701,0017.01,TR, ,1400000US11001001701
-1,0.000050971550000,0.028958061773703,5.000000000000000,4.000000000000000,11,001,001801,0018.01,TR, ,1400000US11001001801
-1,0.000099042068735,0.049800318398827,6.000000000000000,5.000000000000000,11,001,001702,0017.02,TR, ,1400000US11001001702
-1,0.000125270000000,0.045687056991977,7.000000000000000,6.000000000000000,11,001,001803,0018.03,TR, ,1400000US11001001803
-1,0.000062215000000,0.033288419646835,8.000000000000000,7.000000000000000,11,001,001804,0018.04,TR, ,1400000US11001001804
-1,0.000084258186755,0.042108202217549,9.000000000000000,8.000000000000000,11,001,001401,0014.01,TR, ,1400000US11001001401
-1,0.000110261127303,0.045312757765912,10.000000000000000,9.000000000000000,11,001,009505,0095.05,TR, ,1400000US11001009505
-1,0.000080475150000,0.036323963992358,11.000000000000000,10.000000000000000,11,001,001901,0019.01,TR, ,1400000US11001001901
-1,0.000094690000000,0.040214469481104,12.000000000000000,11.000000000000000,11,001,001902,0019.02,TR, ,1400000US11001001902
-1,0.000180700682293,0.056263067943038,13.000000000000000,12.000000000000000,11,001,0011,0011,TR, ,1400000US11001001100
-1,0.000094260000000,0.049519564137541,14.000000000000000,13.000000000000000,11,001,001402,0014.02,TR, ,1400000US11001001402
-1,0.000059595000000,0.043442334572974,15.000000000000000,14.000000000000000,11,001,002001,0020.01,TR, ,1400000US11001002001
-1,0.000291315500000,0.084291301600290,16.000000000000000,15.000000000000000,11,001,001301,0013.01,TR, ,1400000US11001001301
-1,0.000025377248651,0.024833220735629,17.000000000000000,16.000000000000000,11,001,009507,0095.07,TR, ,1400000US11001009507
-1,0.000089144650000,0.042600585363068,18.000000000000000,17.000000000000000,11,001,002002,0020.02,TR, ,1400000US11001002002
-1,0.000258512979051,0.065327474343659,19.000000000000000,18.000000000000000,11,001,001001,0010.01,TR, ,1400000US11001001001
-1,0.000242640550000,0.082600437550491,20.000000000000000,19.000000000000000,11,001,0026,0026,TR, ,1400000US11001002600
-1,0.000062899200000,0.032244934086070,21.000000000000000,20.000000000000000,11,001,002101,0021.01,TR, ,1400000US11001002101
-1,0.000076225000000,0.036992108458928,22.000000000000000,21.000000000000000,11,001,002102,0021.02,TR, ,1400000US11001002102
-1,0.000107765784915,0.062861233939743,23.000000000000000,22.000000000000000,11,001,009508,0095.08,TR, ,1400000US11001009508
-1,0.000121488622000,0.049152256097384,24.000000000000000,23.000000000000000,11,001,0012,0012,TR, ,1400000US11001001200
-1,0.000147307480426,0.053328302333012,25.000000000000000,24.000000000000000,11,001,009503,0095.03,TR, ,1400000US11001009503
-1,0.000070640000000,0.034184460151909,26.000000000000000,25.000000000000000,11,001,002202,0022.02,TR, ,1400000US11001002202
-1,0.000146961102500,0.060042508312920,27.000000000000000,26.000000000000000,11,001,009501,0095.01,TR, ,1400000US11001009501
-1,0.000065135490000,0.034709378330903,28.000000000000000,27.000000000000000,11,001,009509,0095.09,TR, ,1400000US11001009509
-1,0.000043280000000,0.026437605940487,29.000000000000000,28.000000000000000,11,001,002201,0022.01,TR, ,1400000US11001002201
-1,0.000308924426724,0.073762238043717,30.000000000000000,29.000000000000000,11,001,000901,0009.01,TR, ,1400000US11001000901
-1,0.000163589550000,0.060405000077926,31.000000000000000,30.000000000000000,11,001,001302,0013.02,TR, ,1400000US11001001302
