GEO_ID,AREA,dec_ma,dec_tp,dec_mpp,dec_fpp,dec_aapp,AREA
1400000US11001009601,0.000216224,28.1,2343,43.1,56.9,97.7,0.0002162
1400000US11001000100,0.000249505,40.7,4674,46.9,53.1,4,0.0002495
1400000US11001008905,0.000317542,38,2,50,50,0,0.0003175
1400000US11001000202,0.000124997,32.9,3850,49.7,50.3,1.6,0.0001250
1400000US11001008803,0.000118705,24.4,1918,48.5,51.5,59,0.0001187
1400000US11001008804,8.45E-05,36.2,2277,46.9,53.1,97.5,0.0000845
1400000US11001003302,2.04E-05,37.7,1830,49.3,50.7,91.5,0.0000204
1400000US11001004202,2.18E-05,33.6,2889,53.9,46.1,7.4,0.0000218
1400000US11001004801,3.28E-05,38.2,1876,53.6,46.4,77.2,0.0000328
1400000US11001004600,4.52E-05,33.1,2997,49.5,50.5,90.5,0.0000452
1400000US11001005500,6.69E-05,34.4,4696,50.1,49.9,8.2,0.0000669
1400000US11001005301,3.07E-05,32.9,5045,54.4,45.6,7.1,0.0000307
1400000US11001005000,4.62E-05,33.1,7278,61,39,37,0.0000462
1400000US11001004901,2.90E-05,34.4,2013,49.2,50.8,78.5,0.0000290
1400000US11001005201,3.22E-05,33.7,4559,58.8,41.2,23.2,0.0000322
1400000US11001000201,5.22E-05,19.9,4467,45.2,54.8,5.4,0.0000522
1400000US11001008600,7.29E-05,40.8,89,61.8,38.2,78.7,0.0000729
1400000US11001007806,7.44E-05,38.1,2133,49.3,50.7,98.1,0.0000744
1400000US11001005302,3.02E-05,40.7,175,60,40,4,0.0000302
1400000US11001005401,3.34E-05,26.3,1462,46.5,53.5,5.4,0.0000334
1400000US11001005402,2.80E-05,46.5,1,100,0,0,0.0000280
1400000US11001009602,0.00014625,27.9,3106,40.1,59.9,98.1,0.0001463
1400000US11001004902,2.76E-05,28.8,2286,53.2,46.8,60.1,0.0000276
1400000US11001004802,2.91E-05,33.6,2853,46,54,76.1,0.0000291
1400000US11001008500,5.29E-05,36.3,3209,47.8,52.2,92.1,0.0000529
1400000US11001008802,4.95E-05,38.9,4160,45.1,54.9,96.4,0.0000495
1400000US11001004700,6.92E-05,32.1,4382,40.4,59.6,92.1,0.0000692
1400000US11001008903,3.07E-05,36.8,2396,46.3,53.7,96.9,0.0000307
1400000US11001005202,1.79E-05,30.1,760,54.3,45.7,21.4,0.0000179
1400000US11001005100,3.97E-05,40.4,783,48.5,51.5,24.9,0.0000397
1400000US11001008904,4.59E-05,34.2,3248,44.3,55.7,97,0.0000459
1400000US11001005600,4.92E-05,29,5946,43.3,56.7,6,0.0000492
1400000US11001007807,5.56E-05,36.3,1911,45.9,54.1,97.5,0.0000556
1400000US11001008410,2.24E-05,36.3,1506,48.1,51.9,91.6,0.0000224
1400000US11001007809,5.62E-05,37.9,2667,45.7,54.3,97.2,0.0000562
1400000US11001005800,9.13E-05,42.7,1470,52.2,47.8,13.8,0.0000913
1400000US11001007803,0.000104655,39,3092,45.8,54.2,97.5,0.0001047
1400000US11001005701,4.30E-05,20.6,4361,43.6,56.4,7.1,0.0000430
1400000US11001005900,6.81E-05,39.6,1856,53.5,46.5,82,0.0000681
1400000US11001007804,8.93E-05,35.8,3390,41.7,58.3,98.1,0.0000893
1400000US11001008402,2.85E-05,37.4,2139,45.4,54.6,71,0.0000285
1400000US11001008301,3.09E-05,34.6,2243,52.4,47.6,34,0.0000309
1400000US11001008302,2.74E-05,35.4,1956,50.9,49.1,40.1,0.0000274
1400000US11001007901,4.17E-05,34.7,3680,43,57,97.1,0.0000417
1400000US11001006202,0.001204778,47,12,41.7,58.3,41.7,0.0012048
1400000US11001005702,2.52E-05,0,0,0,0,0,0.0000252
1400000US11001008001,3.35E-05,38.2,2578,49.8,50.2,84,0.0000335
1400000US11001007903,2.47E-05,40.4,1840,45.9,54.1,96.5,0.0000247
1400000US11001006804,0.000210147,31.9,2628,85.8,14.2,86.8,0.0002101
1400000US11001008100,3.08E-05,35,2527,52.8,47.2,32.4,0.0000308
1400000US11001009604,5.55E-05,45.2,1982,43,57,97.9,0.0000555
1400000US11001007808,9.81E-05,31.1,4012,44.1,55.9,98.2,0.0000981
1400000US11001009603,6.60E-05,42.3,3230,41.6,58.4,97.8,0.0000660
1400000US11001008200,3.47E-05,33.3,2505,50.3,49.7,7,0.0000347
1400000US11001008002,5.79E-05,37.1,3104,48.3,51.7,71.4,0.0000579
1400000US11001007708,9.12E-05,32.7,2706,42.5,57.5,98.3,0.0000912
1400000US11001007703,0.00010501,29.4,4615,42.9,57.1,96.2,0.0001050
1400000US11001009903,3.89E-05,37.1,2081,43.8,56.2,98.1,0.0000389
1400000US11001006801,2.55E-05,39.4,1997,48.9,51.1,92.5,0.0000255
1400000US11001006700,4.43E-05,37.1,3543,51.1,48.9,22.7,0.0000443
1400000US11001009906,2.38E-05,37.3,1550,43.2,56.8,97.8,0.0000238
1400000US11001009904,4.39E-05,31,1863,42.6,57.4,97.6,0.0000439
1400000US11001006600,3.08E-05,35,1837,50.4,49.6,4.7,0.0000308
1400000US11001009905,4.40E-05,32.3,2670,45.9,54.1,98.5,0.0000440
1400000US11001006001,6.11E-05,37.1,2680,52.2,47.8,58.1,0.0000611
1400000US11001006500,4.90E-05,34.1,2422,52.1,47.9,9.6,0.0000490
1400000US11001006100,5.86E-05,41.5,2300,48.3,51.7,59,0.0000586
1400000US11001006201,8.25E-05,51.6,144,66,34,4.9,0.0000825
1400000US11001006900,4.23E-05,41.1,1854,52.8,47.2,53.5,0.0000423
1400000US11001006802,3.00E-05,39.5,2066,45.4,54.6,84.9,0.0000300
1400000US11001009907,5.44E-05,25.3,3037,42.8,57.2,98.5,0.0000544
1400000US11001007000,4.13E-05,33.3,2132,57.8,42.2,23.3,0.0000413
1400000US11001009901,0.000217307,49.9,2302,44.9,55.1,93.9,0.0002173
1400000US11001007100,7.55E-05,29.8,2818,46.8,53.2,85.8,0.0000755
1400000US11001007709,9.86E-05,37.9,1979,45.5,54.5,95.9,0.0000986
1400000US11001007200,0.000176363,36.2,1825,44.7,55.3,94.9,0.0001764
1400000US11001007707,8.51E-05,37,3796,44.4,55.6,97.7,0.0000851
1400000US11001009902,0.00013559,42.5,2993,44.3,55.7,96.4,0.0001356
1400000US11001006002,1.71E-05,17.5,608,42.4,57.6,96.4,0.0000171
1400000US11001007601,0.000131182,37,4572,46,54,95.8,0.0001312
1400000US11001006301,4.26E-05,48.5,3822,46.1,53.9,55.3,0.0000426
