OID,GEO_ID,STATE,COUNTY,TRACT,NAME,LSAD,CENSUSAREA
-1,1400000US11001000502,11,001,000502,5.02,Tract,0.225000000000000
-1,1400000US11001000600,11,001,000600,6,Tract,0.557000000000000
-1,1400000US11001000701,11,001,000701,7.01,Tract,0.212000000000000
-1,1400000US11001000802,11,001,000802,8.02,Tract,0.632000000000000
-1,1400000US11001000901,11,001,000901,9.01,Tract,1.141000000000000
-1,1400000US11001000902,11,001,000902,9.02,Tract,0.719000000000000
-1,1400000US11001001001,11,001,001001,10.01,Tract,0.948000000000000
-1,1400000US11001001100,11,001,001100,11,Tract,0.647000000000000
-1,1400000US11001001200,11,001,001200,12,Tract,0.470000000000000
-1,1400000US11001001301,11,001,001301,13.01,Tract,1.102000000000000
-1,1400000US11001001302,11,001,001302,13.02,Tract,0.615000000000000
-1,1400000US11001001402,11,001,001402,14.02,Tract,0.346000000000000
-1,1400000US11001001500,11,001,001500,15,Tract,1.810000000000000
-1,1400000US11001001600,11,001,001600,16,Tract,1.024000000000000
-1,1400000US11001001803,11,001,001803,18.03,Tract,0.439000000000000
-1,1400000US11001001804,11,001,001804,18.04,Tract,0.232000000000000
-1,1400000US11001001901,11,001,001901,19.01,Tract,0.297000000000000
-1,1400000US11001002001,11,001,002001,20.01,Tract,0.244000000000000
-1,1400000US11001002002,11,001,002002,20.02,Tract,0.328000000000000
-1,1400000US11001002101,11,001,002101,21.01,Tract,0.232000000000000
-1,1400000US11001002102,11,001,002102,21.02,Tract,0.280000000000000
-1,1400000US11001002202,11,001,002202,22.02,Tract,0.268000000000000
-1,1400000US11001002301,11,001,002301,23.01,Tract,0.159000000000000
-1,1400000US11001002302,11,001,002302,23.02,Tract,0.776000000000000
-1,1400000US11001002400,11,001,002400,24,Tract,0.215000000000000
-1,1400000US11001002502,11,001,002502,25.02,Tract,0.233000000000000
-1,1400000US11001002600,11,001,002600,26,Tract,0.816000000000000
-1,1400000US11001002701,11,001,002701,27.01,Tract,0.174000000000000
-1,1400000US11001002702,11,001,002702,27.02,Tract,0.188000000000000
-1,1400000US11001002802,11,001,002802,28.02,Tract,0.089000000000000
-1,1400000US11001003000,11,001,003000,30,Tract,0.081000000000000
-1,1400000US11001003100,11,001,003100,31,Tract,0.114000000000000
-1,1400000US11001003200,11,001,003200,32,Tract,0.172000000000000
-1,1400000US11001003302,11,001,003302,33.02,Tract,0.077000000000000
-1,1400000US11001003400,11,001,003400,34,Tract,0.354000000000000
-1,1400000US11001003500,11,001,003500,35,Tract,0.147000000000000
-1,1400000US11001003700,11,001,003700,37,Tract,0.113000000000000
-1,1400000US11001003800,11,001,003800,38,Tract,0.137000000000000
-1,1400000US11001003900,11,001,003900,39,Tract,0.147000000000000
-1,1400000US11001004001,11,001,004001,40.01,Tract,0.105000000000000
-1,1400000US11001004100,11,001,004100,41,Tract,0.304000000000000
-1,1400000US11001004201,11,001,004201,42.01,Tract,0.079000000000000
-1,1400000US11001004300,11,001,004300,43,Tract,0.091000000000000
-1,1400000US11001004400,11,001,004400,44,Tract,0.201000000000000
-1,1400000US11001004600,11,001,004600,46,Tract,0.169000000000000
-1,1400000US11001004701,11,001,004701,47.01,Tract,0.124000000000000
-1,1400000US11001004801,11,001,004801,48.01,Tract,0.123000000000000
-1,1400000US11001004802,11,001,004802,48.02,Tract,0.111000000000000
-1,1400000US11001004902,11,001,004902,49.02,Tract,0.102000000000000
-1,1400000US11001005001,11,001,005001,50.01,Tract,0.079000000000000
-1,1400000US11001005002,11,001,005002,50.02,Tract,0.090000000000000
-1,1400000US11001005201,11,001,005201,52.01,Tract,0.131000000000000
-1,1400000US11001005301,11,001,005301,53.01,Tract,0.111000000000000
-1,1400000US11001005500,11,001,005500,55,Tract,0.243000000000000
-1,1400000US11001005800,11,001,005800,58,Tract,0.352000000000000
-1,1400000US11001005900,11,001,005900,59,Tract,0.249000000000000
-1,1400000US11001006202,11,001,006202,62.02,Tract,2.542000000000000
-1,1400000US11001006500,11,001,006500,65,Tract,0.192000000000000
-1,1400000US11001006600,11,001,006600,66,Tract,0.114000000000000
-1,1400000US11001006700,11,001,006700,67,Tract,0.165000000000000
-1,1400000US11001006802,11,001,006802,68.02,Tract,0.109000000000000
-1,1400000US11001006804,11,001,006804,68.04,Tract,0.596000000000000
-1,1400000US11001006900,11,001,006900,69,Tract,0.158000000000000
-1,1400000US11001007000,11,001,007000,70,Tract,0.162000000000000
-1,1400000US11001007200,11,001,007200,72,Tract,0.525000000000000
-1,1400000US11001007301,11,001,007301,73.01,Tract,1.772000000000000
-1,1400000US11001007304,11,001,007304,73.04,Tract,0.478000000000000
-1,1400000US11001007401,11,001,007401,74.01,Tract,0.464000000000000
-1,1400000US11001007404,11,001,007404,74.04,Tract,0.311000000000000
-1,1400000US11001007406,11,001,007406,74.06,Tract,0.143000000000000
-1,1400000US11001009301,11,001,009301,93.01,Tract,0.425000000000000
-1,1400000US11001009400,11,001,009400,94,Tract,0.614000000000000
-1,1400000US11001009501,11,001,009501,95.01,Tract,0.616000000000000
-1,1400000US11001009503,11,001,009503,95.03,Tract,0.549000000000000
-1,1400000US11001009505,11,001,009505,95.05,Tract,0.402000000000000
-1,1400000US11001009507,11,001,009507,95.07,Tract,0.114000000000000
-1,1400000US11001009508,11,001,009508,95.08,Tract,0.365000000000000
-1,1400000US11001009601,11,001,009601,96.01,Tract,0.728000000000000
-1,1400000US11001009801,11,001,009801,98.01,Tract,0.167000000000000
-1,1400000US11001009803,11,001,009803,98.03,Tract,0.205000000000000
-1,1400000US11001009804,11,001,009804,98.04,Tract,0.200000000000000
-1,1400000US11001009810,11,001,009810,98.10,Tract,0.154000000000000
-1,1400000US11001009811,11,001,009811,98.11,Tract,0.181000000000000
-1,1400000US11001009901,11,001,009901,99.01,Tract,0.812000000000000
-1,1400000US11001009902,11,001,009902,99.02,Tract,0.500000000000000
-1,1400000US11001009903,11,001,009903,99.03,Tract,0.145000000000000
-1,1400000US11001009905,11,001,009905,99.05,Tract,0.167000000000000
-1,1400000US11001009907,11,001,009907,99.07,Tract,0.180000000000000
-1,1400000US11001010100,11,001,010100,101,Tract,0.224000000000000
-1,1400000US11001010200,11,001,010200,102,Tract,0.479000000000000
-1,1400000US11001010300,11,001,010300,103,Tract,0.417000000000000
-1,1400000US11001010400,11,001,010400,104,Tract,1.056000000000000
-1,1400000US11001010600,11,001,010600,106,Tract,0.477000000000000
-1,1400000US11001010700,11,001,010700,107,Tract,0.344000000000000
-1,1400000US11001010900,11,001,010900,109,Tract,0.919000000000000
-1,1400000US11001011000,11,001,011000,110,Tract,0.250000000000000
-1,1400000US11001011100,11,001,011100,111,Tract,2.206000000000000
-1,1400000US11001001902,11,001,001902,19.02,Tract,0.343000000000000
-1,1400000US11001008100,11,001,008100,81,Tract,0.113000000000000
-1,1400000US11001000801,11,001,000801,8.01,Tract,1.132000000000000
