,OBJECTID,GEO_ID_2,STATE,COUNTY,TRACT,NAME,LSAD,CENSUSAREA,GEOID_TXT,CTYFIPS,SHAPE_LENG,SHAPE_AREA,HC01_EST_VC02,HC03_EST_VC04,HC02_EST_VC21
46,47,1400000US11001004202,11,1,4202,42.02,Tract,0.08,11001004202,11001,6792.49045391,2149836.36922,0.0,12.5,95.7
47,48,1400000US11001004702,11,1,4702,47.02,Tract,0.125,11001004702,11001,9680.14790787,3493644.68774,45.7,0.0,100.0
48,49,1400000US11001004901,11,1,4901,49.01,Tract,0.105,11001004901,11001,6931.53525144,2926227.51208,19.8,55.2,47.2
49,50,1400000US11001005600,11,1,5600,56.0,Tract,0.181,11001005600,11001,13743.9245609,5044295.55498,0.0,36.1,88.4
50,51,1400000US11001006400,11,1,6400,64.0,Tract,0.266,11001006400,11001,14830.9782195,9852493.32194,13.5,0.0,30.6
51,52,1400000US11001006801,11,1,6801,68.01,Tract,0.095,11001006801,11001,6748.57109639,2629146.32159,20.0,13.1,70.1
52,53,1400000US11001007100,11,1,7100,71.0,Tract,0.228,11001007100,11001,12625.9598277,7752372.07225,23.5,3.9,63.5
53,54,1400000US11001007403,11,1,7403,74.03,Tract,0.126,11001007403,11001,10329.4816441,3631885.49001,32.1,35.7,0.0
54,55,1400000US11001007408,11,1,7408,74.08,Tract,0.148,11001007408,11001,11345.1980243,3923925.64122,23.0,6.4,0.0
55,56,1400000US11001007601,11,1,7601,76.01,Tract,0.428,11001007601,11001,15474.4287316,13719107.045,36.2,81.0,12.2
56,57,1400000US11001007703,11,1,7703,77.03,Tract,0.39,11001007703,11001,14681.9403488,10859390.6303,19.9,25.0,0.0
57,58,1400000US11001007806,11,1,7806,78.06,Tract,0.266,11001007806,11001,13705.100648,7561019.7374,0.0,14.0,15.2
58,59,1400000US11001007901,11,1,7901,79.01,Tract,0.154,11001007901,11001,8347.08628454,4262593.38378,11.6,40.9,45.1
59,60,1400000US11001008302,11,1,8302,83.02,Tract,0.101,11001008302,11001,7783.07694219,2812264.53488,0.0,0.0,94.9
60,61,1400000US11001008702,11,1,8702,87.02,Tract,0.183,11001008702,11001,11955.1278274,5260459.3311,10.0,27.9,52.8
61,62,1400000US11001008904,11,1,8904,89.04,Tract,0.176,11001008904,11001,10122.4825816,4948419.74316,34.6,8.3,11.7
62,63,1400000US11001009203,11,1,9203,92.03,Tract,0.227,11001009203,11001,11336.6147918,6369219.45979,10.3,37.8,80.3
63,64,1400000US11001009302,11,1,9302,93.02,Tract,0.156,11001009302,11001,9116.43411543,4365180.60102,22.9,34.2,64.2
64,65,1400000US11001009504,11,1,9504,95.04,Tract,0.396,11001009504,11001,13791.2833278,10925165.3354,56.9,9.3,40.1
65,66,1400000US11001009509,11,1,9509,95.09,Tract,0.247,11001009509,11001,10775.2866081,6983700.08801,11.9,44.7,17.4
66,67,1400000US11001009602,11,1,9602,96.02,Tract,0.409,11001009602,11001,15431.8278615,14914120.6897,53.7,44.4,9.0
67,68,1400000US11001009603,11,1,9603,96.03,Tract,0.247,11001009603,11001,12674.1030452,6875669.51547,22.6,12.7,7.7
68,69,1400000US11001009604,11,1,9604,96.04,Tract,0.186,11001009604,11001,10295.2423922,5867919.18497,6.1,85.2,21.5
69,70,1400000US11001009700,11,1,9700,97.0,Tract,0.156,11001009700,11001,11028.4603818,4168664.01146,26.0,26.7,0.0
70,71,1400000US11001009802,11,1,9802,98.02,Tract,0.078,11001009802,11001,6768.56283862,2211887.44551,22.3,13.5,0.0
71,72,1400000US11001009807,11,1,9807,98.07,Tract,0.401,11001009807,11001,16005.6458002,11382138.6498,27.4,83.3,0.0
72,73,1400000US11001009904,11,1,9904,99.04,Tract,0.164,11001009904,11001,9637.96468578,4543267.47152,39.4,15.4,11.2
73,74,1400000US11001009906,11,1,9906,99.06,Tract,0.096,11001009906,11001,6925.33446277,2562776.65315,20.0,76.6,41.4
74,75,1400000US11001010500,11,1,10500,105.0,Tract,0.291,11001010500,11001,12121.4940833,8167905.6943,4.0,0.0,69.9
75,76,1400000US11001010800,11,1,10800,108.0,Tract,0.255,11001010800,11001,11387.3650599,7080695.0734,0.2,85.1,56.9
76,77,1400000US11001000202,11,1,202,2.02,Tract,0.31,11001000202,11001,22097.2559654,13595663.2492,0.0,69.3,97.3
77,78,1400000US11001000300,11,1,300,3.0,Tract,0.394,11001000300,11001,13080.0201775,10826625.6016,5.1,14.8,90.2
78,79,1400000US11001000501,11,1,501,5.01,Tract,0.363,11001000501,11001,21332.7866269,9918523.82457,0.0,6.6,91.4
79,80,1400000US11001000502,11,1,502,5.02,Tract,0.225,11001000502,11001,13127.9701212,6360908.19652,9.7,0.0,94.2
80,81,1400000US11001000600,11,1,600,6.0,Tract,0.557,11001000600,11001,16905.575036,15573978.443,8.6,12.2,97.4
81,82,1400000US11001000701,11,1,701,7.01,Tract,0.212,11001000701,11001,10486.5083801,5933475.72931,6.6,1.2,78.8
82,83,1400000US11001000802,11,1,802,8.02,Tract,0.632,11001000802,11001,22069.7922742,25222199.8659,10.7,0.0,80.8
83,84,1400000US11001000901,11,1,901,9.01,Tract,1.141,11001000901,11001,23007.0408248,32348295.7757,0.0,86.8,85.6
84,85,1400000US11001000902,11,1,902,9.02,Tract,0.719,11001000902,11001,27672.7322341,23692845.8724,0.0,44.4,80.5
85,86,1400000US11001001001,11,1,1001,10.01,Tract,0.948,11001001001,11001,21294.7687175,26489165.9783,1.2,69.6,88.2
86,87,1400000US11001001100,11,1,1100,11.0,Tract,0.647,11001001100,11001,18695.0117624,18233341.12,10.2,25.9,89.6
87,88,1400000US11001001200,11,1,1200,12.0,Tract,0.47,11001001200,11001,16026.418526,12927028.0192,2.5,9.6,96.4
88,89,1400000US11001001301,11,1,1301,13.01,Tract,1.102,11001001301,11001,27467.3157858,30722486.9196,9.1,5.7,95.6
89,90,1400000US11001001302,11,1,1302,13.02,Tract,0.615,11001001302,11001,20074.5453435,17230409.4485,0.0,6.6,95.8
90,91,1400000US11001001402,11,1,1402,14.02,Tract,0.346,11001001402,11001,15809.683505,9606843.26955,24.4,-,79.4
91,92,1400000US11001001500,11,1,1500,15.0,Tract,1.81,11001001500,11001,33694.9437264,49668943.9125,10.1,0.0,70.7
92,93,1400000US11001001600,11,1,1600,16.0,Tract,1.024,11001001600,11001,26564.5042149,28472689.4214,24.3,28.0,77.5
93,94,1400000US11001001803,11,1,1803,18.03,Tract,0.439,11001001803,11001,14496.0698913,12765300.7313,28.5,33.7,19.1
