GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Owner occupied,Margin of Error; Owner occupied,Estimate; Renter occupied,Margin of Error; Renter occupied
1400000US11001003900,11001003900,"Census Tract 39, District of Columbia, District of Columbia",2683,153,849,155,1834,207
1400000US11001004001,11001004001,"Census Tract 40.01, District of Columbia, District of Columbia",2057,164,1257,126,800,147
1400000US11001004002,11001004002,"Census Tract 40.02, District of Columbia, District of Columbia",1592,121,752,139,840,138
1400000US11001004100,11001004100,"Census Tract 41, District of Columbia, District of Columbia",1532,99,819,93,713,108
1400000US11001004201,11001004201,"Census Tract 42.01, District of Columbia, District of Columbia",2004,107,814,138,1190,149
1400000US11001004202,11001004202,"Census Tract 42.02, District of Columbia, District of Columbia",1583,111,672,107,911,111
1400000US11001004300,11001004300,"Census Tract 43, District of Columbia, District of Columbia",1727,172,418,118,1309,160
1400000US11001004400,11001004400,"Census Tract 44, District of Columbia, District of Columbia",1883,142,1119,182,764,169
1400000US11001004600,11001004600,"Census Tract 46, District of Columbia, District of Columbia",1044,114,524,99,520,93
1400000US11001004700,11001004700,"Census Tract 47, District of Columbia, District of Columbia",2117,171,271,110,1846,148
1400000US11001004801,11001004801,"Census Tract 48.01, District of Columbia, District of Columbia",847,91,479,70,368,103
1400000US11001004802,11001004802,"Census Tract 48.02, District of Columbia, District of Columbia",1227,92,245,76,982,105
1400000US11001004901,11001004901,"Census Tract 49.01, District of Columbia, District of Columbia",818,88,317,79,501,96
1400000US11001004902,11001004902,"Census Tract 49.02, District of Columbia, District of Columbia",1226,95,393,104,833,100
1400000US11001005000,11001005000,"Census Tract 50, District of Columbia, District of Columbia",4018,213,1408,231,2610,252
1400000US11001005100,11001005100,"Census Tract 51, District of Columbia, District of Columbia",865,94,309,87,556,83
