OBJECTID,GEO.id,dec_ssm,dec_ssmf,dec_ssf,dec_sso
918,1400000US24033801207,0,15,0,1324
919,,,,,
920,,,,,
921,,,,,
922,,,,,
923,,,,,
924,,,,,
925,,,,,
926,,,,,
927,1400000US24033801302,7,21,0,910
928,1400000US24033801305,8,8,0,1518
929,1400000US24033801307,9,12,0,1169
930,1400000US24033801309,7,31,20,1123
931,,,,,
932,,,,,
933,,,,,
934,1400000US24033801404,18,37,8,1664
935,1400000US24033801405,20,30,0,1426
936,1400000US24033801406,0,57,12,1299
937,1400000US24033801407,0,6,18,2042
938,,,,,
939,,,,,
940,,,,,
941,1400000US24033801500,0,19,0,845
942,1400000US24033801600,0,15,7,1085
943,1400000US24033801701,0,55,0,1581
944,1400000US24033801704,0,95,19,1961
945,1400000US24033801706,0,17,5,671
946,1400000US24033801707,0,106,14,1881
947,1400000US24033801708,0,45,0,1338
948,1400000US24033801802,9,20,7,1565
949,1400000US24033801804,0,6,5,749
950,1400000US24033801807,6,63,0,1848
951,1400000US24033801808,6,95,0,1364
952,1400000US24033801901,20,16,0,1572
953,1400000US24033801904,0,64,5,1175
954,1400000US24033801905,0,35,0,1088
955,1400000US24033801906,2,30,2,820
956,,,,,
957,1400000US24033802001,0,56,25,1973
958,1400000US24033802002,11,30,6,1408
959,1400000US24033802103,0,7,12,1014
960,,,,,
961,,,,,
962,1400000US24033802201,5,59,0,807
963,1400000US24033802204,15,32,11,1785
964,1400000US24033802301,0,25,0,1188
965,1400000US24033802404,0,97,10,1595
966,1400000US24033802405,7,36,0,1610
967,,,,,
968,,,,,
969,1400000US24033802501,0,34,19,1399
970,1400000US24033802502,0,18,0,976
971,1400000US24033802700,0,10,0,908
972,1400000US24033802803,0,61,9,1588
973,1400000US24033802804,8,34,9,2009
974,1400000US24033802805,6,28,6,1513
975,1400000US24033802901,0,65,0,1320
