OBJECTID,GEO.id,dec_ssm,dec_ssmf,dec_ssf,dec_sso
167,1400000US11001009907,7,16,17,979
168,,,,,
169,,,,,
170,,,,,
171,,,,,
172,,,,,
173,,,,,
174,,,,,
175,,,,,
176,,,,,
177,1400000US11001001902,0,12,6,869
178,1400000US11001008100,38,32,16,1187
179,1400000US11001000801,14,44,0,3179
180,1400000US51059415100,6,31,0,1217
181,,,,,
182,1400000US51059416000,0,38,10,1526
183,1400000US51059420100,0,6,0,1051
184,1400000US51059420800,7,6,7,1123
185,1400000US51059421200,0,11,7,681
186,1400000US51059421600,11,42,6,1779
187,1400000US51059421800,12,26,12,1912
188,,,,,
189,,,,,
190,,,,,
191,1400000US51059430500,0,6,0,557
192,,,,,
193,,,,,
194,1400000US51059431900,0,0,0,1092
195,1400000US51059432300,0,6,0,1616
196,,,,,
197,1400000US51059440600,7,15,5,838
198,1400000US51059450200,0,36,0,1248
199,1400000US51059450500,11,6,8,854
200,,,,,
201,1400000US51059451300,0,13,0,840
202,1400000US51059451900,0,51,9,2041
203,,,,,
204,,,,,
205,,,,,
206,1400000US51059460200,0,0,0,1311
207,1400000US51059460300,3,0,0,931
208,1400000US51059460600,0,14,0,1421
209,1400000US51059461000,0,11,21,830
210,,,,,
211,,,,,
212,1400000US51059470600,0,6,0,930
213,1400000US51059471000,7,0,0,847
214,,,,,
215,,,,,
216,,,,,
217,,,,,
218,1400000US51059481000,15,36,0,1167
219,,,,,
220,,,,,
221,,,,,
222,,,,,
223,,,,,
224,,,,,
225,,,,,
226,,,,,
227,,,,,
228,,,,,
229,,,,,
230,,,,,
231,1400000US51013100100,0,21,0,1636
232,1400000US51013100400,12,12,6,1224
233,1400000US51013100800,0,0,0,484
234,,,,,
235,,,,,
236,,,,,
237,1400000US51013101900,16,5,0,938
238,,,,,
239,,,,,
240,,,,,
241,1400000US51013103402,16,33,0,1936
242,,,,,
243,1400000US51510200103,30,105,0,2715
244,,,,,
245,1400000US51510200301,24,30,4,1335
246,,,,,
247,1400000US51510200500,12,41,0,2590
248,1400000US51510200600,14,36,4,1662
249,,,,,
250,,,,,
251,1400000US51510200900,10,0,28,1752
252,1400000US51510201204,7,35,8,1214
253,1400000US51510201600,23,64,7,1672
