OBJECTID,GEO.id,acsma,acsmpp,acsfpp,acsaapp
118,1400000US11001003900,34.8,48.8,51.2,17.8
119,1400000US11001004001,37.8,50.7,49.3,1.3
120,1400000US11001004100,42.7,47.3,52.7,1.9
121,1400000US11001004201,31.3,57.6,42.4,11.9
122,1400000US11001004300,35.6,48.9,51.1,28.0
123,1400000US11001004400,33.2,51.4,48.6,29.6
124,1400000US11001004600,35.6,44.4,55.6,70.8
125,1400000US11001004701,23.8,41.6,58.4,88.2
126,1400000US11001004801,39.3,48.1,51.9,49.8
127,1400000US11001004802,34.3,45.9,54.1,60.6
128,1400000US11001004902,29.9,55.3,44.7,32.1
129,1400000US11001005001,37.5,68.6,31.4,29.1
130,1400000US11001005002,34.4,57.1,42.9,20.3
131,1400000US11001005201,34.5,59.0,41.0,13.0
132,1400000US11001005301,35.6,51.5,48.5,15.8
133,1400000US11001005500,34.8,51.0,49.0,7.7
134,1400000US11001005800,32.8,48.7,51.3,6.0
135,1400000US11001005900,35.3,59.2,40.8,39.1
136,1400000US11001006202,-,-,-,-
137,1400000US11001006500,33.3,42.0,58.0,3.1
138,1400000US11001006600,34.3,44.9,55.1,0.0
139,1400000US11001006700,37.7,48.3,51.7,14.0
140,1400000US11001006802,37.3,45.2,54.8,59.3
141,1400000US11001006804,34.1,82.7,17.3,91.1
142,1400000US11001006900,34.4,48.4,51.6,34.1
143,1400000US11001007000,33.8,49.7,50.3,11.3
144,1400000US11001007200,34.7,46.1,53.9,56.9
145,1400000US11001007301,24.9,56.1,43.9,21.1
146,1400000US11001007304,29.4,43.9,56.1,99.2
147,1400000US11001007401,23.6,44.2,55.8,93.9
148,1400000US11001007404,19.0,42.3,57.7,98.9
149,1400000US11001007406,21.5,41.7,58.3,100.0
150,1400000US11001009301,41.8,46.1,53.9,71.4
151,1400000US11001009400,45.3,44.6,55.4,86.8
152,1400000US11001009501,20.8,55.6,44.4,53.1
153,1400000US11001009503,51.2,46.0,54.0,81.0
154,1400000US11001009505,47.2,40.9,59.1,87.9
155,1400000US11001009507,46.2,44.1,55.9,91.0
156,1400000US11001009508,46.6,44.2,55.8,89.5
157,1400000US11001009601,17.9,32.7,67.3,99.6
158,1400000US11001009801,19.7,48.5,51.5,98.4
159,1400000US11001009803,28.4,41.9,58.1,98.0
160,1400000US11001009804,26.0,43.7,56.3,93.9
161,1400000US11001009810,26.2,44.4,55.6,93.9
162,1400000US11001009811,25.6,35.1,64.9,99.3
163,1400000US11001009901,52.4,44.1,55.9,90.8
164,1400000US11001009902,45.7,40.3,59.7,94.3
165,1400000US11001009903,39.2,49.4,50.6,98.5
166,1400000US11001009905,33.6,46.0,54.0,97.1
167,1400000US11001009907,26.8,35.2,64.8,96.8
168,1400000US11001010100,31.9,48.7,51.3,19.7
169,1400000US11001010200,42.9,39.8,60.2,42.7
170,1400000US11001010300,36.3,51.5,48.5,60.2
171,1400000US11001010400,36.8,54.5,45.5,93.5
172,1400000US11001010600,34.1,56.1,43.9,54.8
173,1400000US11001010700,27.1,41.1,58.9,14.6
174,1400000US11001010900,22.7,42.5,57.5,97.2
175,1400000US11001011000,45.9,46.6,53.4,44.0
176,1400000US11001011100,47.0,45.8,54.2,85.8
177,1400000US11001001902,46.5,44.7,55.3,79.6
178,1400000US11001008100,30.9,48.6,51.4,19.4
179,1400000US11001000801,43.1,44.3,55.7,2.2
180,1400000US51059415100,35.8,47.5,52.5,12.2
181,1400000US51059415401,30.4,45.3,54.7,38.6
182,1400000US51059416000,34.9,46.5,53.5,15.4
183,1400000US51059420100,38.5,52.2,47.8,12.6
184,1400000US51059420800,36.4,53.9,46.1,9.8
185,1400000US51059421200,43.4,51.1,48.9,8.4
186,1400000US51059421600,31.9,48.1,51.9,41.9
187,1400000US51059421800,32.9,46.6,53.4,36.6
188,1400000US51059422301,38.9,51.0,49.0,11.5
189,1400000US51059422401,37.8,45.6,54.4,14.4
190,1400000US51059430203,40.5,47.5,52.5,2.4
191,1400000US51059430500,38.8,45.1,54.9,3.3
192,1400000US51059430901,38.4,46.0,54.0,11.5
193,1400000US51059431801,37.7,49.2,50.8,3.5
194,1400000US51059431900,37.9,51.2,48.8,6.8
195,1400000US51059432300,41.0,49.8,50.2,5.0
196,1400000US51059432702,38.3,53.0,47.0,13.8
197,1400000US51059440600,38.2,47.1,52.9,5.5
198,1400000US51059450200,32.7,50.4,49.6,7.5
199,1400000US51059450500,37.2,50.8,49.2,2.2
200,1400000US51059450702,30.9,53.1,46.9,16.7
201,1400000US51059451300,41.0,51.5,48.5,2.7
202,1400000US51059451900,33.2,46.2,53.8,26.6
203,1400000US51059452102,43.0,45.8,54.2,15.3
204,1400000US51059452502,33.6,50.5,49.5,49.8
205,1400000US51059452802,44.7,45.2,54.8,17.4
206,1400000US51059460200,43.2,47.5,52.5,1.0
207,1400000US51059460300,43.4,51.4,48.6,0.9
208,1400000US51059460600,45.0,49.4,50.6,1.1
209,1400000US51059461000,39.6,47.1,52.9,5.2
210,1400000US51059461601,36.1,51.5,48.5,3.8
211,1400000US51059461901,32.9,49.2,50.8,23.2
212,1400000US51059470600,49.3,46.9,53.1,0.0
213,1400000US51059471000,39.8,47.2,52.8,0.5
214,1400000US51059471303,34.2,45.9,54.1,2.5
215,1400000US51059480202,30.8,49.5,50.5,4.1
216,1400000US51059480501,38.9,52.4,47.6,1.8
217,1400000US51059480802,40.0,53.0,47.0,3.3
218,1400000US51059481000,32.4,53.9,46.1,6.7
219,1400000US51059481104,30.8,51.1,48.9,6.3
220,1400000US51059481701,44.5,52.2,47.8,3.9
221,1400000US51059482301,43.0,50.6,49.4,6.5
222,1400000US51059482502,40.1,52.5,47.5,1.8
223,1400000US51059490501,33.3,54.6,45.4,4.3
224,1400000US51059491202,28.6,59.6,40.4,11.2
225,1400000US51059491401,32.9,45.4,54.6,10.4
226,1400000US51059491501,33.3,45.6,54.4,10.8
227,1400000US51059491703,29.5,53.7,46.3,4.0
228,1400000US51059491801,30.2,57.5,42.5,4.3
229,1400000US51059492202,44.0,48.8,51.2,4.3
230,1400000US51059980100,-,-,-,-
231,1400000US51013100100,38.4,54.6,45.4,2.6
232,1400000US51013100400,47.3,49.9,50.1,0.0
233,1400000US51013100800,31.6,52.7,47.3,29.8
234,1400000US51013101401,28.0,49.3,50.7,6.2
235,1400000US51013101602,31.3,43.8,56.2,4.0
236,1400000US51013101703,35.2,54.8,45.2,4.0
237,1400000US51013101900,37.5,40.4,59.6,1.4
238,1400000US51013102301,35.5,47.0,53.0,0.0
239,1400000US51013102702,34.1,57.7,42.3,10.9
240,1400000US51013102902,34.7,46.5,53.5,5.5
241,1400000US51013103402,37.9,46.5,53.5,16.2
242,1400000US51013103602,26.7,37.7,62.3,0.6
243,1400000US51510200103,34.0,46.5,53.5,42.5
244,1400000US51510200107,31.4,45.8,54.2,14.2
245,1400000US51510200301,30.8,46.4,53.6,29.9
246,1400000US51510200405,31.9,43.9,56.1,38.1
247,1400000US51510200500,31.8,47.8,52.2,40.6
248,1400000US51510200600,36.3,47.5,52.5,28.0
249,1400000US51510200701,30.0,49.1,50.9,4.0
250,1400000US51510200702,35.4,54.8,45.2,8.9
251,1400000US51510200900,37.8,46.7,53.3,0.8
252,1400000US51510201204,35.3,54.5,45.5,32.3
253,1400000US51510201600,35.1,46.0,54.0,38.6
254,1400000US51510202001,48.5,48.6,51.4,1.0
255,,,,,
256,1400000US51610500300,41.2,50.5,49.5,0.3
257,1400000US51059415200,44.9,43.3,56.7,1.5
258,1400000US51059415300,38.1,45.6,54.4,14.9
259,1400000US51059415402,45.0,47.5,52.5,9.9
260,1400000US51059415500,42.2,46.6,53.4,20.2
261,1400000US51059415600,47.4,50.3,49.7,1.3
262,1400000US51059415700,42.4,48.6,51.4,1.1
263,1400000US51059415800,45.3,51.1,48.9,2.1
264,1400000US51059415900,46.5,49.9,50.1,7.2
265,1400000US51059416100,48.4,48.8,51.2,3.9
266,1400000US51059416200,20.7,51.3,48.7,22.3
267,1400000US51059416300,41.2,52.7,47.3,17.4
268,1400000US51059420201,38.6,47.2,52.8,15.4
269,1400000US51059420202,30.9,50.8,49.2,15.3
270,1400000US51059420203,44.1,54.3,45.7,12.7
271,1400000US51059420300,39.9,55.0,45.0,11.7
272,1400000US51059420501,58.0,48.2,51.8,10.3
273,1400000US51059420502,38.6,58.0,42.0,23.4
274,1400000US51059420503,30.9,62.0,38.0,16.5
275,1400000US51059420600,33.6,55.4,44.6,18.5
276,1400000US51059420700,39.3,51.4,48.6,5.7
277,1400000US51059421001,38.4,49.9,50.1,10.4
278,1400000US51059421002,35.4,52.1,47.9,20.3
279,1400000US51059421101,36.2,48.9,51.1,18.2
280,1400000US51059421102,36.7,43.8,56.2,7.1
281,1400000US51059421103,39.1,45.8,54.2,13.3
282,1400000US51059421300,39.5,51.6,48.4,14.0
283,1400000US51059421400,30.0,45.9,54.1,36.1
284,1400000US51059421500,32.7,50.3,49.7,23.9
285,1400000US51059421701,30.8,54.0,46.0,30.5
286,1400000US51059421702,35.4,52.9,47.1,26.2
287,1400000US51059421900,22.6,55.9,44.1,20.4
288,1400000US51059422000,41.6,48.4,51.6,19.8
289,1400000US51059422101,30.5,53.0,47.0,32.0
290,1400000US51059422102,32.5,45.8,54.2,42.5
291,1400000US51059422201,37.3,50.3,49.7,10.6
292,1400000US51059422202,30.5,48.6,51.4,31.3
293,1400000US51059422302,39.9,44.6,55.4,19.1
294,1400000US51059422402,34.9,52.4,47.6,18.4
295,1400000US51059422403,43.7,53.5,46.5,6.6
296,1400000US51059430101,44.0,48.4,51.6,3.5
297,1400000US51059430102,41.1,41.6,58.4,8.7
298,1400000US51059430201,36.5,46.8,53.2,11.9
299,1400000US51059430202,41.5,49.5,50.5,3.1
300,1400000US51059430400,39.5,52.0,48.0,2.0
301,1400000US51059430600,30.3,51.0,49.0,7.8
302,1400000US51059430700,39.2,51.7,48.3,2.3
303,1400000US51059430801,42.5,49.2,50.8,5.1
304,1400000US51059430802,40.0,49.8,50.2,5.0
305,1400000US51059430902,34.9,53.2,46.8,4.3
306,1400000US51059431001,40.1,50.7,49.3,2.1
307,1400000US51059431002,40.5,45.8,54.2,19.1
308,1400000US51059431300,42.5,45.1,54.9,5.7
309,1400000US51059431400,38.2,47.2,52.8,4.7
310,1400000US51059431500,43.9,48.4,51.6,10.9
311,1400000US51059431600,43.2,46.4,53.6,10.2
312,1400000US51059431802,41.1,46.5,53.5,6.0
313,1400000US51059432000,36.0,48.7,51.3,7.0
