OBJECTID,Component_1,Component_2,Component_3,Component_4
33,0.556481052619,-1.13330340656,-0.0793369282793,-1.95792970473e-05
77,0.552421171368,0.491090882765,-1.552068777,-6.00043420865e-05
78,0.998829383507,0.24279243913,-1.15482566174,-4.48938519915e-05
35,0.763410539753,-0.979335272279,-0.164639556094,-2.00944419471e-05
79,-1.99338075397,-0.0208305045024,-2.04566250865,-9.74579226382e-05
80,-1.0465159027,-0.943938783965,-0.788220125999,-5.37477640437e-05
81,-1.02543716898,-1.84963940833,0.224782103259,-2.48330834759e-05
82,-1.55148094032,-2.07520745987,0.110046219625,-3.35363815353e-05
36,-1.2960442742,0.153063509449,-1.74071405329,-8.15285240927e-05
179,-1.01842603996,-1.38619627454,-0.445522611223,-4.44329212279e-05
83,0.419270871718,-1.01942907745,-0.188226186633,-2.36220432189e-05
84,-0.67228992872,1.3335601153,-2.72355730579,-0.000103372500294
85,0.279719827254,-1.12934738027,-0.228419399368,-2.64778612036e-05
86,-0.657640001666,-0.56658770835,-1.00128786591,-5.60261226087e-05
37,-2.11416401708,-0.114204691586,-1.62995124177,-8.52832465101e-05
87,-0.0267566836354,-1.18671111779,-0.264752467221,-3.021691122e-05
88,-1.06621357737,-0.445040960278,-1.27771311516,-6.75095661563e-05
89,0.6382436855,-0.364071211206,-0.345190143651,-2.40730021182e-05
90,-1.12093684739,-0.360562694906,-1.33242244855,-6.93091103215e-05
38,0.58228487426,-0.729699379179,-0.168740910805,-2.04376511448e-05
91,-0.258784051489,-1.34114001662,0.631235048539,-3.54975614966e-06
92,-0.149374547024,-1.47756383851,0.419253186314,-1.02450049378e-05
93,-0.962120734104,-0.445701280081,1.72093743826,3.07038416028e-05
39,-1.38262310407,0.396310497952,0.452550992565,-9.79272349345e-06
94,-1.04876993432,0.0300848243248,1.45405246687,2.35678776758e-05
95,-0.13054470639,0.569938478185,0.632791839464,6.23739699554e-06
96,-2.47380772361,0.19045562528,1.01186057609,-7.35343728705e-07
177,-1.62197898561,-0.243065479069,1.60889856755,2.30525626648e-05
97,-0.425521577036,0.0322881415642,0.482086026752,-3.33754387913e-06
98,-2.04087766942,-0.398273206575,0.711953568019,-9.94206082267e-06
99,-0.138358796941,0.735663368693,0.612764948826,6.28919539026e-06
100,-3.12369396195,0.352706168947,0.253371669453,-2.95028977352e-05
40,-0.615006619875,0.946120281815,0.740395814266,7.83352307089e-06
101,-1.82749222747,0.412642361804,1.051601746,6.41622380683e-06
102,1.1948728996,0.63828944603,1.85539334258,5.62032975779e-05
103,4.29842534911,-1.15427142172,3.99032615973,0.000140583677511
104,0.923283590604,0.67368441997,1.57680313689,4.52796677813e-05
41,1.73002496245,0.476628959528,1.94227232325,6.22913594968e-05
105,-0.167280869759,0.496967262865,-0.0622826767718,-1.6958277753e-05
106,-1.13647698371,-1.29933930302,0.954238323298,5.65207613527e-07
107,1.50474618757,0.450678006614,-0.344970587205,-1.38355522815e-05
108,0.688017391152,0.0815740612341,-0.523516023011,-2.74481857728e-05
42,1.51448963596,1.094352299,-0.031225634041,-6.11937319859e-07
109,0.666873672465,0.764632669718,-0.433378375354,-2.15408083237e-05
43,1.69854243711,0.93611487352,-0.061548121062,-9.45633289567e-07
110,-0.753931318533,1.00283305272,-0.493661323843,-3.30453194522e-05
111,2.80036559968,1.04161826497,0.414296993199,2.32517098948e-05
112,-0.973717643899,0.835760403124,0.0536008164395,-1.76759047684e-05
44,0.462621407139,0.873220734492,0.926296309607,2.16090577783e-05
113,0.870521852659,1.06936730385,0.59705632128,1.48661621048e-05
114,-3.25238424787,2.61273679932,-1.61563106763,-8.08184590132e-05
115,2.29754870972,1.87059629785,0.770141291867,3.48559864195e-05
45,-0.00421704469517,0.633930516866,0.207195103748,-6.35190659607e-06
116,-1.26369368991,1.426925719,-0.838464488577,-4.61189688052e-05
