GEO.id,GEO.id2,GEO.display-label,VD01,
Id,Id2,Geography,Median household income in 1999,
1400000US11001004002,11001004002,"Census Tract 40.02, District of Columbia, District of Columbia",54260,71026.34
1400000US11001004100,11001004100,"Census Tract 41, District of Columbia, District of Columbia",88170,115414.53
1400000US11001004201,11001004201,"Census Tract 42.01, District of Columbia, District of Columbia",53500,70031.50
1400000US11001004202,11001004202,"Census Tract 42.02, District of Columbia, District of Columbia",47745,62498.21
1400000US11001004300,11001004300,"Census Tract 43, District of Columbia, District of Columbia",39841,52151.87
1400000US11001004400,11001004400,"Census Tract 44, District of Columbia, District of Columbia",42500,55632.50
1400000US11001004600,11001004600,"Census Tract 46, District of Columbia, District of Columbia",33142,43382.88
1400000US11001004700,11001004700,"Census Tract 47, District of Columbia, District of Columbia",14107,18466.06
1400000US11001004801,11001004801,"Census Tract 48.01, District of Columbia, District of Columbia",24388,31923.89
1400000US11001004802,11001004802,"Census Tract 48.02, District of Columbia, District of Columbia",27559,36074.73
1400000US11001004901,11001004901,"Census Tract 49.01, District of Columbia, District of Columbia",18950,24805.55
1400000US11001004902,11001004902,"Census Tract 49.02, District of Columbia, District of Columbia",30647,40116.92
1400000US11001005000,11001005000,"Census Tract 50, District of Columbia, District of Columbia",33257,43533.41
1400000US11001005100,11001005100,"Census Tract 51, District of Columbia, District of Columbia",36250,47451.25
1400000US11001005201,11001005201,"Census Tract 52.01, District of Columbia, District of Columbia",35561,46549.35
1400000US11001005202,11001005202,"Census Tract 52.02, District of Columbia, District of Columbia",28787,37682.18
1400000US11001005301,11001005301,"Census Tract 53.01, District of Columbia, District of Columbia",50510,66117.59
1400000US11001005302,11001005302,"Census Tract 53.02, District of Columbia, District of Columbia",64167,83994.60
1400000US11001005401,11001005401,"Census Tract 54.01, District of Columbia, District of Columbia",42148,55171.73
1400000US11001005402,11001005402,"Census Tract 54.02, District of Columbia, District of Columbia",0,0.00
1400000US11001005500,11001005500,"Census Tract 55, District of Columbia, District of Columbia",59609,78028.18
1400000US11001005600,11001005600,"Census Tract 56, District of Columbia, District of Columbia",39286,51425.37
1400000US11001005701,11001005701,"Census Tract 57.01, District of Columbia, District of Columbia",9589,12552.00
1400000US11001005702,11001005702,"Census Tract 57.02, District of Columbia, District of Columbia",0,0.00
1400000US11001005800,11001005800,"Census Tract 58, District of Columbia, District of Columbia",40644,53203.00
1400000US11001005900,11001005900,"Census Tract 59, District of Columbia, District of Columbia",21020,27515.18
1400000US11001006001,11001006001,"Census Tract 60.01, District of Columbia, District of Columbia",39875,52196.38
1400000US11001006002,11001006002,"Census Tract 60.02, District of Columbia, District of Columbia",14464,18933.38
1400000US11001006100,11001006100,"Census Tract 61, District of Columbia, District of Columbia",44107,57736.06
1400000US11001006201,11001006201,"Census Tract 62.01, District of Columbia, District of Columbia",63846,83574.41
1400000US11001006202,11001006202,"Census Tract 62.02, District of Columbia, District of Columbia",0,0.00
1400000US11001006301,11001006301,"Census Tract 63.01, District of Columbia, District of Columbia",44694,58504.45
1400000US11001006302,11001006302,"Census Tract 63.02, District of Columbia, District of Columbia",67292,88085.23
1400000US11001006400,11001006400,"Census Tract 64, District of Columbia, District of Columbia",13264,17362.58
1400000US11001006500,11001006500,"Census Tract 65, District of Columbia, District of Columbia",61903,81031.03
1400000US11001006600,11001006600,"Census Tract 66, District of Columbia, District of Columbia",75761,99171.15
1400000US11001006700,11001006700,"Census Tract 67, District of Columbia, District of Columbia",76952,100730.17
1400000US11001006801,11001006801,"Census Tract 68.01, District of Columbia, District of Columbia",30662,40136.56
1400000US11001006802,11001006802,"Census Tract 68.02, District of Columbia, District of Columbia",39097,51177.97
1400000US11001006804,11001006804,"Census Tract 68.04, District of Columbia, District of Columbia",31000,40579.00
1400000US11001006900,11001006900,"Census Tract 69, District of Columbia, District of Columbia",51438,67332.34
1400000US11001007000,11001007000,"Census Tract 70, District of Columbia, District of Columbia",67109,87845.68
1400000US11001007100,11001007100,"Census Tract 71, District of Columbia, District of Columbia",25022,32753.80
1400000US11001007200,11001007200,"Census Tract 72, District of Columbia, District of Columbia",8089,10588.50
1400000US11001007301,11001007301,"Census Tract 73.01, District of Columbia, District of Columbia",49122,64300.70
1400000US11001007302,11001007302,"Census Tract 73.02, District of Columbia, District of Columbia",32791,42923.42
1400000US11001007304,11001007304,"Census Tract 73.04, District of Columbia, District of Columbia",22550,29517.95
1400000US11001007308,11001007308,"Census Tract 73.08, District of Columbia, District of Columbia",0,0.00
1400000US11001007401,11001007401,"Census Tract 74.01, District of Columbia, District of Columbia",14083,18434.65
1400000US11001007403,11001007403,"Census Tract 74.03, District of Columbia, District of Columbia",29095,38085.36
1400000US11001007404,11001007404,"Census Tract 74.04, District of Columbia, District of Columbia",9353,12243.08
1400000US11001007406,11001007406,"Census Tract 74.06, District of Columbia, District of Columbia",15877,20782.99
1400000US11001007407,11001007407,"Census Tract 74.07, District of Columbia, District of Columbia",33125,43360.63
1400000US11001007408,11001007408,"Census Tract 74.08, District of Columbia, District of Columbia",19570,25617.13
1400000US11001007409,11001007409,"Census Tract 74.09, District of Columbia, District of Columbia",16849,22055.34
1400000US11001007502,11001007502,"Census Tract 75.02, District of Columbia, District of Columbia",19950,26114.55
1400000US11001007503,11001007503,"Census Tract 75.03, District of Columbia, District of Columbia",21402,28015.22
1400000US11001007504,11001007504,"Census Tract 75.04, District of Columbia, District of Columbia",22755,29786.30
1400000US11001007601,11001007601,"Census Tract 76.01, District of Columbia, District of Columbia",32930,43105.37
1400000US11001007603,11001007603,"Census Tract 76.03, District of Columbia, District of Columbia",32837,42983.63
1400000US11001007604,11001007604,"Census Tract 76.04, District of Columbia, District of Columbia",35811,46876.60
1400000US11001007605,11001007605,"Census Tract 76.05, District of Columbia, District of Columbia",32500,42542.50
1400000US11001007703,11001007703,"Census Tract 77.03, District of Columbia, District of Columbia",25240,33039.16
1400000US11001007707,11001007707,"Census Tract 77.07, District of Columbia, District of Columbia",33592,43971.93
1400000US11001007708,11001007708,"Census Tract 77.08, District of Columbia, District of Columbia",25382,33225.04
1400000US11001007709,11001007709,"Census Tract 77.09, District of Columbia, District of Columbia",29332,38395.59
1400000US11001007803,11001007803,"Census Tract 78.03, District of Columbia, District of Columbia",27295,35729.16
1400000US11001007804,11001007804,"Census Tract 78.04, District of Columbia, District of Columbia",21130,27659.17
1400000US11001007806,11001007806,"Census Tract 78.06, District of Columbia, District of Columbia",31921,41784.59
1400000US11001007807,11001007807,"Census Tract 78.07, District of Columbia, District of Columbia",34050,44571.45
1400000US11001007808,11001007808,"Census Tract 78.08, District of Columbia, District of Columbia",24267,31765.50
1400000US11001007809,11001007809,"Census Tract 78.09, District of Columbia, District of Columbia",28719,37593.17
1400000US11001007901,11001007901,"Census Tract 79.01, District of Columbia, District of Columbia",24327,31844.04
1400000US11001007903,11001007903,"Census Tract 79.03, District of Columbia, District of Columbia",36280,47490.52
1400000US11001008001,11001008001,"Census Tract 80.01, District of Columbia, District of Columbia",41949,54911.24
1400000US11001008002,11001008002,"Census Tract 80.02, District of Columbia, District of Columbia",50025,65482.73
1400000US11001008100,11001008100,"Census Tract 81, District of Columbia, District of Columbia",62742,82129.28
1400000US11001008200,11001008200,"Census Tract 82, District of Columbia, District of Columbia",58274,76280.67
1400000US11001008301,11001008301,"Census Tract 83.01, District of Columbia, District of Columbia",66550,87113.95
1400000US11001008302,11001008302,"Census Tract 83.02, District of Columbia, District of Columbia",67868,88839.21
1400000US11001008402,11001008402,"Census Tract 84.02, District of Columbia, District of Columbia",31484,41212.56
1400000US11001008410,11001008410,"Census Tract 84.10, District of Columbia, District of Columbia",43333,56722.90
1400000US11001008500,11001008500,"Census Tract 85, District of Columbia, District of Columbia",35225,46109.53
1400000US11001008600,11001008600,"Census Tract 86, District of Columbia, District of Columbia",58750,76903.75
1400000US11001008701,11001008701,"Census Tract 87.01, District of Columbia, District of Columbia",40234,52666.31
1400000US11001008702,11001008702,"Census Tract 87.02, District of Columbia, District of Columbia",29961,39218.95
1400000US11001008802,11001008802,"Census Tract 88.02, District of Columbia, District of Columbia",28462,37256.76
1400000US11001008803,11001008803,"Census Tract 88.03, District of Columbia, District of Columbia",17857,23374.81
1400000US11001008804,11001008804,"Census Tract 88.04, District of Columbia, District of Columbia",24489,32056.10
1400000US11001008903,11001008903,"Census Tract 89.03, District of Columbia, District of Columbia",29698,38874.68
1400000US11001008904,11001008904,"Census Tract 89.04, District of Columbia, District of Columbia",21540,28195.86
1400000US11001008905,11001008905,"Census Tract 89.05, District of Columbia, District of Columbia",0,0.00
1400000US11001009000,11001009000,"Census Tract 90, District of Columbia, District of Columbia",22610,29596.49
1400000US11001009101,11001009101,"Census Tract 91.01, District of Columbia, District of Columbia",38854,50859.89
1400000US11001009102,11001009102,"Census Tract 91.02, District of Columbia, District of Columbia",27713,36276.32
1400000US11001009201,11001009201,"Census Tract 92.01, District of Columbia, District of Columbia",30268,39620.81
1400000US11001009203,11001009203,"Census Tract 92.03, District of Columbia, District of Columbia",31419,41127.47
1400000US11001009204,11001009204,"Census Tract 92.04, District of Columbia, District of Columbia",22063,28880.47
1400000US11001009301,11001009301,"Census Tract 93.01, District of Columbia, District of Columbia",51125,66922.63
1400000US11001009302,11001009302,"Census Tract 93.02, District of Columbia, District of Columbia",41875,54814.38
1400000US11001009400,11001009400,"Census Tract 94, District of Columbia, District of Columbia",53558,70107.42
1400000US11001009501,11001009501,"Census Tract 95.01, District of Columbia, District of Columbia",28605,37443.95
1400000US11001009503,11001009503,"Census Tract 95.03, District of Columbia, District of Columbia",61667,80722.10
1400000US11001009504,11001009504,"Census Tract 95.04, District of Columbia, District of Columbia",43211,56563.20
1400000US11001009505,11001009505,"Census Tract 95.05, District of Columbia, District of Columbia",46023,60244.11
1400000US11001009507,11001009507,"Census Tract 95.07, District of Columbia, District of Columbia",41359,54138.93
1400000US11001009508,11001009508,"Census Tract 95.08, District of Columbia, District of Columbia",41972,54941.35
1400000US11001009509,11001009509,"Census Tract 95.09, District of Columbia, District of Columbia",53883,70532.85
1400000US11001009601,11001009601,"Census Tract 96.01, District of Columbia, District of Columbia",32571,42635.44
1400000US11001009602,11001009602,"Census Tract 96.02, District of Columbia, District of Columbia",21746,28465.51
1400000US11001009603,11001009603,"Census Tract 96.03, District of Columbia, District of Columbia",31898,41754.48
1400000US11001009604,11001009604,"Census Tract 96.04, District of Columbia, District of Columbia",32672,42767.65
1400000US11001009700,11001009700,"Census Tract 97, District of Columbia, District of Columbia",33086,43309.57
1400000US11001009801,11001009801,"Census Tract 98.01, District of Columbia, District of Columbia",16250,21271.25
1400000US11001009802,11001009802,"Census Tract 98.02, District of Columbia, District of Columbia",25871,33865.14
1400000US11001009803,11001009803,"Census Tract 98.03, District of Columbia, District of Columbia",23292,30489.23
1400000US11001009804,11001009804,"Census Tract 98.04, District of Columbia, District of Columbia",22539,29503.55
1400000US11001009806,11001009806,"Census Tract 98.06, District of Columbia, District of Columbia",20167,26398.60
1400000US11001009807,11001009807,"Census Tract 98.07, District of Columbia, District of Columbia",30076,39369.48
1400000US11001009808,11001009808,"Census Tract 98.08, District of Columbia, District of Columbia",25708,33651.77
1400000US11001009809,11001009809,"Census Tract 98.09, District of Columbia, District of Columbia",0,0.00
1400000US11001009901,11001009901,"Census Tract 99.01, District of Columbia, District of Columbia",61174,80076.77
1400000US11001009902,11001009902,"Census Tract 99.02, District of Columbia, District of Columbia",41146,53860.11
1400000US11001009903,11001009903,"Census Tract 99.03, District of Columbia, District of Columbia",19143,25058.19
1400000US11001009904,11001009904,"Census Tract 99.04, District of Columbia, District of Columbia",26745,35009.21
1400000US11001009905,11001009905,"Census Tract 99.05, District of Columbia, District of Columbia",25778,33743.40
1400000US11001009906,11001009906,"Census Tract 99.06, District of Columbia, District of Columbia",24457,32014.21
1400000US11001009907,11001009907,"Census Tract 99.07, District of Columbia, District of Columbia",20176,26410.38
1400000US24031700101,24031700101,"Census Tract 7001.01, Montgomery County, Maryland",127529,166935.46
1400000US24031700102,24031700102,"Census Tract 7001.02, Montgomery County, Maryland",80192,104971.33
1400000US24031700103,24031700103,"Census Tract 7001.03, Montgomery County, Maryland",106727,139705.64
1400000US24031700202,24031700202,"Census Tract 7002.02, Montgomery County, Maryland",61920,81053.28
1400000US24031700204,24031700204,"Census Tract 7002.04, Montgomery County, Maryland",63810,83527.29
1400000US24031700205,24031700205,"Census Tract 7002.05, Montgomery County, Maryland",90399,118332.29
