OBJECTID,GEO.id,dec_moc,dec_foc,dec_mrc,dec_frc
379,1400000US51059470500,7,65,0,11
380,1400000US51059470700,12,27,0,34
381,1400000US51059470800,6,6,0,0
382,1400000US51059470900,30,42,0,23
383,1400000US51059471100,15,43,22,51
384,,,,,
385,,,,,
386,,,,,
387,,,,,
388,,,,,
389,,,,,
390,1400000US51059480100,18,5,0,11
391,,,,,
392,,,,,
393,1400000US51059480300,31,26,0,0
394,,,,,
395,,,,,
396,,,,,
397,,,,,
398,,,,,
399,,,,,
400,,,,,
401,,,,,
402,,,,,
403,,,,,
404,,,,,
405,,,,,
406,,,,,
407,,,,,
408,,,,,
409,,,,,
410,,,,,
411,1400000US51059481400,5,63,0,13
412,1400000US51059481500,6,0,0,0
413,1400000US51059481600,6,12,7,0
414,,,,,
415,1400000US51059481900,0,37,31,111
416,,,,,
417,1400000US51059482100,16,20,23,50
418,,,,,
419,,,,,
420,,,,,
421,,,,,
422,,,,,
423,1400000US51059482400,0,23,0,0
424,,,,,
425,,,,,
426,,,,,
427,,,,,
428,,,,,
429,,,,,
430,,,,,
431,,,,,
432,1400000US51059491000,0,9,0,0
433,,,,,
434,,,,,
435,,,,,
436,,,,,
437,,,,,
438,,,,,
439,,,,,
440,,,,,
441,,,,,
442,,,,,
443,,,,,
444,,,,,
445,,,,,
446,,,,,
447,,,,,
448,,,,,
449,,,,,
450,,,,,
451,,,,,
452,1400000US51059492000,20,16,0,8
453,1400000US51059492100,24,50,6,0
454,,,,,
455,,,,,
456,1400000US51059492300,14,42,12,31
457,1400000US51059492400,26,94,13,73
458,,,,,
459,,,,,
460,,,,,
461,1400000US51013100200,0,16,8,8
462,1400000US51013100300,7,33,0,0
463,1400000US51013100500,12,19,0,9
464,1400000US51013100600,5,20,12,38
465,1400000US51013100700,33,8,7,33
466,1400000US51013100900,0,9,15,45
467,1400000US51013101000,15,18,0,50
468,1400000US51013101100,21,25,0,13
469,1400000US51013101200,5,12,11,33
470,1400000US51013101300,0,66,10,7
471,,,,,
472,,,,,
473,,,,,
474,1400000US51013101500,9,8,17,29
475,,,,,
476,,,,,
477,,,,,
478,,,,,
479,,,,,
480,,,,,
481,,,,,
482,,,,,
483,,,,,
484,,,,,
485,1400000US51013102100,13,16,0,0
486,1400000US51013102200,16,40,59,219
487,,,,,
488,1400000US51013102400,6,15,3,39
489,1400000US51013102500,14,9,19,50
490,1400000US51013102600,7,6,10,54
491,,,,,
492,,,,,
493,,,,,
494,,,,,
495,1400000US51013103000,11,46,0,18
496,1400000US51013103100,14,41,18,109
497,1400000US51013103200,11,0,30,120
498,1400000US51013103300,10,0,0,50
499,1400000US51013103401,0,0,8,29
500,,,,,
501,,,,,
502,,,,,
503,,,,,
504,1400000US51013103700,13,7,0,6
505,1400000US51013103800,3,3,61,112
506,,,,,
507,,,,,
508,,,,,
509,1400000US51510201300,9,20,8,22
510,1400000US51510201400,0,19,0,60
511,1400000US51510201500,0,19,6,0
512,1400000US51510201801,0,0,23,51
513,1400000US51510201802,4,0,0,95
514,1400000US51510201900,0,0,0,7
515,1400000US51510202002,0,0,0,6
516,1400000US51510200102,3,11,34,59
517,1400000US51510200104,0,0,18,104
518,1400000US51510200105,0,0,40,121
519,,,,,
520,1400000US51510200201,9,24,4,49
521,1400000US51510200202,3,11,0,0
522,1400000US51510200302,6,6,27,39
523,1400000US51510200303,0,8,6,101
524,,,,,
525,,,,,
526,,,,,
527,,,,,
528,,,,,
529,1400000US51510200801,12,17,17,17
530,1400000US51510200802,0,7,8,107
531,1400000US51510201000,11,6,5,7
532,1400000US51510201100,0,7,21,39
533,1400000US51510201202,4,22,5,62
534,1400000US51510201203,10,4,154,212
535,,,,,
536,,,,,
537,,,,,
538,,,,,
539,1400000US51610500100,6,13,0,13
540,1400000US51610500200,28,82,24,87
541,1400000US51059420400,0,19,5,39
542,,,,,
543,,,,,
544,1400000US24031700304,13,88,0,29
545,1400000US24031700607,25,48,9,52
546,,,,,
547,1400000US24031700710,0,44,0,68
548,,,,,
549,,,,,
550,1400000US24031700815,38,145,14,98
551,,,,,
552,,,,,
553,1400000US24033803001,28,63,12,72
554,1400000US24033803002,23,43,5,83
555,1400000US24033803100,20,69,19,99
556,1400000US24033803200,0,28,36,260
557,1400000US24033803512,34,76,52,92
558,1400000US24033803519,14,112,23,115
559,,,,,
560,1400000US24033803613,0,79,57,189
561,1400000US24033804001,0,24,57,192
562,1400000US24033804400,16,48,3,20
563,1400000US24033804900,0,9,33,144
564,1400000US24033805601,0,0,147,146
565,1400000US24033805904,23,28,0,0
566,1400000US24033806200,15,43,8,128
567,1400000US24033806602,34,44,60,101
568,1400000US24033806712,9,56,16,51
569,1400000US24033807304,3,20,4,0
570,,,,,
571,,,,,
572,,,,,
573,,,,,
574,1400000US24031700901,7,14,12,83
575,1400000US24031701002,12,33,5,0
576,1400000US24031701102,35,34,21,37
577,1400000US24031701210,14,20,0,6
578,1400000US24031701215,0,38,0,47
579,1400000US24031701304,12,29,0,11
580,1400000US24031701313,14,21,0,35
581,1400000US24031701409,8,27,0,0
582,,,,,
583,,,,,
584,,,,,
585,1400000US24031701900,0,29,45,103
586,1400000US24031702102,13,20,0,0
587,1400000US24031702500,0,0,9,57
588,1400000US24031703201,43,55,10,18
589,1400000US24031703209,9,41,15,81
590,,,,,
591,1400000US24031703301,14,13,0,19
592,1400000US24031703402,18,4,0,0
593,1400000US24031703602,6,29,0,13
594,1400000US24031703902,7,96,0,115
595,,,,,
596,,,,,
597,1400000US24031705300,4,10,0,2
598,1400000US24031705601,11,25,0,23
599,1400000US24031705602,0,17,21,0
600,1400000US24031705701,19,21,0,14
601,1400000US24031705901,16,50,0,6
602,,,,,
603,1400000US24033800106,9,55,23,40
604,1400000US24033800209,18,20,79,275
605,,,,,
606,1400000US24033800408,35,69,0,0
607,,,,,
608,,,,,
609,,,,,
610,,,,,
611,,,,,
612,,,,,
613,,,,,
614,,,,,
615,1400000US24033801308,18,82,0,0
616,,,,,
617,,,,,
618,1400000US24033801702,0,76,9,236
619,1400000US24033801801,7,22,28,125
620,1400000US24033801805,0,44,25,64
621,1400000US24033802104,10,15,8,97
622,1400000US24033802203,23,127,11,115
623,1400000US24033802406,0,24,32,135
624,1400000US24033802600,12,76,8,115
625,1400000US24031700308,0,113,25,74
626,1400000US24031700309,10,48,0,77
627,1400000US24031700310,29,54,16,100
628,,,,,
629,,,,,
630,1400000US24031700400,16,1,7,18
631,1400000US24031700500,29,84,19,36
632,1400000US24031700604,40,24,0,15
633,1400000US24031700606,6,47,11,6
634,1400000US24031700608,4,26,0,0
635,1400000US24031700610,0,17,5,8
636,,,,,
637,,,,,
638,,,,,
639,,,,,
640,1400000US24031700704,21,12,8,11
641,1400000US24031700706,32,36,0,62
642,1400000US24031700711,39,24,11,98
643,1400000US24031700713,7,60,26,77
644,1400000US24031700715,28,94,14,60
645,1400000US24031700716,22,121,20,20
646,,,,,
647,,,,,
648,,,,,
649,,,,,
650,,,,,
651,,,,,
652,1400000US24031700810,45,98,6,55
653,1400000US24031700811,9,79,13,51
654,1400000US24031700812,13,64,10,41
655,1400000US24031700101,12,19,0,0
656,1400000US24031700103,19,39,0,0
657,,,,,
658,1400000US24031700204,0,11,14,11
659,1400000US24031700205,16,67,0,17
660,1400000US24031700206,24,83,0,23
661,,,,,
662,,,,,
663,1400000US24031700306,23,129,0,80
664,1400000US24031700813,33,65,16,89
665,1400000US24031700816,32,120,29,135
666,1400000US24031700817,0,6,5,82
667,1400000US24031700818,0,106,23,260
668,1400000US24031700819,31,137,17,92
669,,,,,
670,,,,,
671,1400000US24033803300,25,133,28,148
672,1400000US24033803401,10,57,0,13
673,1400000US24033803402,12,157,23,177
674,1400000US24033803508,37,75,54,459
675,1400000US24033803509,0,8,66,255
676,1400000US24033803513,37,181,30,121
677,1400000US24033803514,9,56,0,49
678,1400000US24033803516,43,96,11,31
679,1400000US24033806711,0,75,55,140
680,,,,,
681,,,,,
682,1400000US24033806800,16,39,0,7
683,1400000US24033806900,30,41,0,25
684,1400000US24033807000,44,32,5,33
685,1400000US24033807102,7,34,0,16
686,1400000US24033807200,6,0,0,23
687,1400000US24033807301,0,15,4,36
688,1400000US24033807305,0,32,3,52
689,1400000US24033807404,32,32,10,8
690,1400000US24033807407,5,56,19,29
691,1400000US24033807408,28,110,8,52
692,,,,,
693,,,,,
694,,,,,
695,,,,,
696,,,,,
697,,,,,
698,,,,,
699,,,,,
700,,,,,
701,1400000US24033803601,19,79,7,29
702,1400000US24033803602,15,13,31,119
703,1400000US24033803605,65,92,21,52
704,1400000US24033803606,30,78,0,0
705,1400000US24033803608,17,100,8,78
706,1400000US24033803610,11,32,5,32
707,1400000US24033803612,0,23,48,219
708,1400000US24033803700,14,73,0,6
709,1400000US24033803801,7,25,0,8
710,1400000US24033803803,28,137,34,163
711,1400000US24033803900,26,32,32,96
712,1400000US24033804002,20,42,10,78
713,1400000US24033804101,14,59,46,122
714,1400000US24033804102,9,112,54,205
715,1400000US24033804200,37,30,7,21
716,1400000US24033804300,14,49,14,197
717,1400000US24033804600,28,66,19,20
718,1400000US24033804700,9,45,15,83
719,,,,,
720,,,,,
721,1400000US24033805000,17,54,65,203
722,1400000US24033805101,0,34,31,77
723,1400000US24033805201,8,61,45,139
724,1400000US24033805202,0,23,22,124
725,1400000US24033805500,17,46,47,171
726,1400000US24033805602,0,14,114,127
727,1400000US24033805700,6,58,47,140
728,1400000US24033805801,9,46,0,23
729,1400000US24033805802,9,48,9,7
730,,,,,
731,,,,,
732,,,,,
733,,,,,
734,1400000US24033806000,6,69,6,99
735,1400000US24033806100,12,54,7,106
736,1400000US24033806300,20,19,9,38
737,1400000US24033806400,8,40,3,0
738,1400000US24033806501,4,13,38,155
739,1400000US24033806601,5,28,36,60
740,1400000US24033806706,17,28,11,7
741,1400000US24033806708,43,57,7,65
742,1400000US24033806710,22,108,6,95
743,1400000US24033803607,5,39,0,0
744,1400000US24031701417,7,12,16,134
745,,,,,
746,1400000US24033807405,12,48,0,34
747,1400000US24031704502,0,12,0,6
748,,,,,
749,,,,,
750,,,,,
751,,,,,
752,1400000US24031700902,0,37,17,92
753,1400000US24031700903,8,14,7,92
754,1400000US24031700904,0,0,10,18
755,1400000US24031700905,5,10,0,22
756,1400000US24031701001,18,41,15,86
757,1400000US24031701004,5,48,22,44
758,1400000US24031701005,6,13,16,7
759,,,,,
760,,,,,
761,1400000US24031701101,7,57,8,37
762,1400000US24031701201,23,31,0,87
763,1400000US24031701202,7,24,0,4
764,1400000US24031701205,0,60,0,0
765,1400000US24031701206,12,31,0,48
766,1400000US24031701211,0,4,15,68
767,1400000US24031701212,5,0,0,0
768,1400000US24031701213,7,44,5,32
769,1400000US24031701214,5,23,13,29
770,,,,,
771,,,,,
772,,,,,
773,,,,,
774,,,,,
775,1400000US24031701303,0,47,0,0
776,1400000US24031701306,25,17,0,0
777,1400000US24031701307,29,5,0,0
778,1400000US24031701308,0,18,0,5
779,1400000US24031701312,12,69,0,68
780,,,,,
781,,,,,
782,,,,,
783,,,,,
784,1400000US24031701408,17,43,22,6
785,1400000US24031701410,33,156,17,101
786,1400000US24031701414,21,73,12,167
787,1400000US24031701415,24,83,15,58
788,,,,,
789,,,,,
790,,,,,
791,,,,,
792,1400000US24031701503,6,37,0,13
793,1400000US24031701505,28,49,13,107
794,1400000US24031701506,15,46,0,27
795,1400000US24031701507,13,35,0,5
796,,,,,
797,,,,,
798,1400000US24031701701,6,22,5,64
799,1400000US24031701702,0,11,12,74
800,1400000US24031701703,6,39,32,58
801,1400000US24031701704,16,44,0,47
802,1400000US24031701800,0,43,27,123
803,1400000US24031702000,36,37,68,150
804,1400000US24031702101,10,52,43,208
805,1400000US24031701407,5,39,0,8
806,1400000US24031702200,22,43,8,23
807,1400000US24031702301,0,24,30,131
808,1400000US24031702302,11,22,20,86
809,1400000US24031702401,34,16,0,13
810,1400000US24031702402,18,40,45,112
811,1400000US24031702601,0,0,14,78
812,1400000US24031702602,0,37,31,75
813,1400000US24031702700,13,67,13,112
814,1400000US24031702800,7,25,8,29
815,1400000US24031702900,24,15,0,28
816,1400000US24031703000,6,34,13,4
817,1400000US24031703100,19,20,9,37
818,1400000US24031703202,7,47,0,10
819,1400000US24031703206,8,18,0,16
820,1400000US24031703207,4,6,48,165
821,1400000US24031703208,19,46,5,8
822,1400000US24031703210,11,42,9,18
823,1400000US24031703212,6,97,32,98
824,1400000US24031703213,0,11,76,308
825,1400000US24031703214,0,0,50,330
826,1400000US24031703215,8,39,6,118
827,,,,,
828,,,,,
829,,,,,
830,,,,,
831,1400000US24031703302,12,23,11,23
832,1400000US24031703401,21,56,6,33
833,1400000US24031703403,24,27,0,22
834,1400000US24031703404,14,27,9,29
835,1400000US24031703501,10,33,16,131
836,1400000US24031703502,0,0,0,25
837,1400000US24031703601,5,26,0,69
838,1400000US24031703701,8,54,4,34
839,1400000US24031703702,4,23,7,18
840,1400000US24031703800,0,11,23,42
841,1400000US24031703901,0,33,7,13
842,1400000US24031704000,26,33,32,94
843,1400000US24031704100,15,52,0,0
844,1400000US24031704200,0,23,6,7
845,1400000US24031704300,15,35,0,10
846,1400000US24031704401,0,58,0,5
847,,,,,
848,1400000US24031704501,0,14,8,29
849,1400000US24031704503,5,32,15,15
850,1400000US24031704600,17,39,0,31
851,1400000US24031704700,12,52,0,8
852,,,,,
853,,,,,
854,,,,,
855,1400000US24031705000,8,22,0,0
856,1400000US24031705100,3,42,8,11
857,1400000US24031705200,1,31,3,2
858,1400000US24031705400,8,28,0,8
859,,,,,
860,,,,,
861,1400000US24031705702,10,27,0,26
862,1400000US24031705800,21,32,3,10
863,1400000US24031705902,16,47,0,0
864,1400000US24031705903,7,31,0,13
865,1400000US24031706005,14,6,0,0
866,1400000US24031706007,25,85,0,27
867,1400000US24031706008,0,53,0,8
868,1400000US24031706009,15,39,0,10
869,,,,,
870,,,,,
871,,,,,
872,1400000US24033800102,10,30,5,60
873,1400000US24033800103,0,0,22,69
874,1400000US24033800105,6,143,8,32
875,,,,,
876,,,,,
877,1400000US24033800203,13,40,0,0
878,1400000US24033800206,15,68,27,127
879,1400000US24033800208,31,30,18,123
880,1400000US24033800210,0,12,58,246
881,1400000US24033800211,9,0,28,120
882,,,,,
883,,,,,
884,,,,,
885,1400000US24033800401,7,30,7,7
886,1400000US24033800402,25,29,6,48
887,1400000US24033800403,13,14,6,0
888,1400000US24033800409,36,99,0,0
889,,,,,
890,,,,,
891,,,,,
892,1400000US24033800504,11,58,0,23
893,1400000US24033800505,6,47,0,16
894,1400000US24033800507,10,14,8,20
895,1400000US24033800509,18,121,0,32
896,1400000US24033800511,40,104,18,41
897,,,,,
898,,,,,
899,,,,,
900,,,,,
901,,,,,
902,,,,,
903,1400000US24033800601,0,67,0,26
904,1400000US24033800604,9,79,9,0
905,1400000US24033800605,23,90,0,28
906,1400000US24033800606,34,136,31,27
907,,,,,
908,,,,,
909,1400000US24033800701,23,100,0,26
910,,,,,
911,,,,,
912,,,,,
913,1400000US24033800800,17,17,7,14
914,1400000US24033800900,7,10,5,6
915,,,,,
916,,,,,
917,1400000US24033801104,0,0,95,118
918,1400000US24033801207,24,67,0,47
919,,,,,
920,,,,,
921,,,,,
922,,,,,
923,,,,,
924,,,,,
925,,,,,
926,,,,,
927,1400000US24033801302,12,18,0,17
928,1400000US24033801305,19,54,0,0
929,1400000US24033801307,8,41,0,8
930,1400000US24033801309,0,47,0,0
931,,,,,
932,,,,,
933,,,,,
934,1400000US24033801404,44,93,13,157
935,1400000US24033801405,6,74,30,111
936,1400000US24033801406,15,40,13,226
937,1400000US24033801407,24,125,13,88
938,,,,,
939,,,,,
940,,,,,
941,1400000US24033801500,22,75,0,16
942,1400000US24033801600,0,54,33,209
943,1400000US24033801701,16,47,25,262
944,1400000US24033801704,36,56,54,366
945,1400000US24033801706,0,42,16,73
946,1400000US24033801707,12,107,89,497
947,1400000US24033801708,6,88,19,251
948,1400000US24033801802,0,131,37,178
949,1400000US24033801804,0,59,0,7
950,1400000US24033801807,15,149,32,179
951,1400000US24033801808,26,18,75,191
952,1400000US24033801901,23,64,3,10
953,1400000US24033801904,25,12,37,164
954,1400000US24033801905,31,84,0,34
