OBJECTID,GEO_ID,STATE,COUNTY,TRACT,NAME,LSAD,CENSUSAREA,GEOID_TXT,CTYFIPS,SHAPE_LENG,SHAPE_AREA
61,1400000US11001008702,11,001,008702,87.02,Tract,0.183,11001008702,11001,11955.1278274,5260459.3311
62,1400000US11001008904,11,001,008904,89.04,Tract,0.176,11001008904,11001,10122.4825816,4948419.74316
63,1400000US11001009203,11,001,009203,92.03,Tract,0.227,11001009203,11001,11336.6147918,6369219.45979
64,1400000US11001009302,11,001,009302,93.02,Tract,0.156,11001009302,11001,9116.43411543,4365180.60102
65,1400000US11001009504,11,001,009504,95.04,Tract,0.396,11001009504,11001,13791.2833278,10925165.3354
66,1400000US11001009509,11,001,009509,95.09,Tract,0.247,11001009509,11001,10775.2866081,6983700.08801
67,1400000US11001009602,11,001,009602,96.02,Tract,0.409,11001009602,11001,15431.8278615,14914120.6897
68,1400000US11001009603,11,001,009603,96.03,Tract,0.247,11001009603,11001,12674.1030452,6875669.51547
69,1400000US11001009604,11,001,009604,96.04,Tract,0.186,11001009604,11001,10295.2423922,5867919.18497
70,1400000US11001009700,11,001,009700,97,Tract,0.156,11001009700,11001,11028.4603818,4168664.01146
71,1400000US11001009802,11,001,009802,98.02,Tract,0.078,11001009802,11001,6768.56283862,2211887.44551
72,1400000US11001009807,11,001,009807,98.07,Tract,0.401,11001009807,11001,16005.6458002,11382138.6498
73,1400000US11001009904,11,001,009904,99.04,Tract,0.164,11001009904,11001,9637.96468578,4543267.47152
74,1400000US11001009906,11,001,009906,99.06,Tract,0.096,11001009906,11001,6925.33446277,2562776.65315
75,1400000US11001010500,11,001,010500,105,Tract,0.291,11001010500,11001,12121.4940833,8167905.6943
76,1400000US11001010800,11,001,010800,108.00,Tract,0.255,11001010800,11001,11387.3650599,7080695.0734
77,1400000US11001000202,11,001,000202,2.02,Tract,0.31,11001000202,11001,22097.2559654,13595663.2492
78,1400000US11001000300,11,001,000300,3,Tract,0.394,11001000300,11001,13080.0201775,10826625.6016
79,1400000US11001000501,11,001,000501,5.01,Tract,0.363,11001000501,11001,21332.7866269,9918523.82457
80,1400000US11001000502,11,001,000502,5.02,Tract,0.225,11001000502,11001,13127.9701212,6360908.19652
81,1400000US11001000600,11,001,000600,6,Tract,0.557,11001000600,11001,16905.575036,15573978.443
82,1400000US11001000701,11,001,000701,7.01,Tract,0.212,11001000701,11001,10486.5083801,5933475.72931
83,1400000US11001000802,11,001,000802,8.02,Tract,0.632,11001000802,11001,22069.7922742,25222199.8659
