GEO_ID_2,ACS_15,HC03_EST_VC32,DEC_20
1400000US51059471201,70752,100.0,
1400000US51059471202,73750,100.0,
1400000US51059471301,53646,100.0,
1400000US51059471304,131094,100.0,
1400000US51059471401,61094,93.5,
1400000US51059471402,45284,85.5,
1400000US51059480100,134158,92.9,6
1400000US51059480201,167721,100.0,
1400000US51059480203,78810,100.0,
1400000US51059480300,153723,94.7,0
1400000US51059480401,146759,85.2,
1400000US51059480402,121824,89.7,
1400000US51059480502,96046,88.5,
1400000US51059480503,79713,100.0,
1400000US51059480504,125552,100.0,
1400000US51059480505,85231,71.0,
1400000US51059480801,60682,59.7,
1400000US51059480901,45629,69.2,
1400000US51059480902,52943,100.0,
1400000US51059480903,59145,55.6,
1400000US51059481101,80213,100.0,
1400000US51059481102,98309,41.2,
1400000US51059481103,82530,84.7,
1400000US51059481105,117827,100.0,
1400000US51059481106,105208,75.0,
1400000US51059481201,91528,100.0,
1400000US51059481202,50390,92.2,
1400000US51059481400,93333,86.5,0
1400000US51059481500,138750,100.0,0
1400000US51059481600,146150,100.0,7
1400000US51059481702,66619,92.9,
1400000US51059481900,72159,81.5,0
1400000US51059482001,127262,100.0,
1400000US51059482100,72500,100.0,6
1400000US51059482201,61563,68.8,
1400000US51059482202,70324,89.4,
1400000US51059482203,97019,85.3,
1400000US51059482302,42407,54.1,
1400000US51059482303,91234,92.7,
1400000US51059482400,115625,90.3,0
1400000US51059482501,81659,100.0,
1400000US51059482503,116074,81.9,
1400000US51059482504,125417,100.0,
1400000US51059482601,97730,90.7,
1400000US51059482602,109946,88.4,
1400000US51059490101,84355,87.6,
1400000US51059490103,54100,86.2,
1400000US51059490502,104130,81.8,
1400000US51059491000,140000,73.7,6
1400000US51059491101,119583,100.0,
1400000US51059491102,56100,72.9,
1400000US51059491201,53093,88.4,
1400000US51059491301,71563,55.2,
1400000US51059491302,63017,88.9,
1400000US51059491303,31592,41.6,
1400000US51059491402,66967,100.0,
1400000US51059491403,104141,51.9,
1400000US51059491404,99255,100.0,
1400000US51059491405,96791,78.4,
1400000US51059491502,128487,66.7,
1400000US51059491601,55256,68.6,
1400000US51059491602,44888,82.6,
1400000US51059491701,73125,100.0,
1400000US51059491702,55900,92.3,
1400000US51059491704,52101,100.0,
1400000US51059491705,114583,55.7,
1400000US51059491802,86250,90.8,
1400000US51059491803,58712,100.0,
1400000US51059492000,128864,94.1,0
1400000US51059492100,139509,94.3,0
1400000US51059492201,126958,92.5,
1400000US51059492203,122434,95.3,
1400000US51059492300,69183,62.2,6
1400000US51059492400,60720,67.7,43
1400000US51059492500,103750,91.1,
1400000US51059980200,-,-,
1400000US51059980300,-,-,
1400000US51013100200,129167,85.7,0
1400000US51013100300,134643,95.2,0
1400000US51013100500,87734,93.8,0
1400000US51013100600,72675,78.0,11
1400000US51013100700,77176,95.9,0
1400000US51013100900,91827,96.5,0
1400000US51013101000,121786,82.5,0
1400000US51013101100,99148,80.3,0
1400000US51013101200,98571,82.9,0
1400000US51013101300,82483,92.3,0
1400000US51013101402,94667,84.4,
1400000US51013101403,93275,85.0,
1400000US51013101404,93186,89.8,
1400000US51013101500,76964,91.3,9
1400000US51013101601,93846,38.7,
1400000US51013101603,85050,100.0,
1400000US51013101701,73488,100.0,
1400000US51013101702,70099,100.0,
1400000US51013101801,103750,100.0,
1400000US51013101802,86466,95.3,
1400000US51013101803,58462,76.0,
1400000US51013102001,31115,69.9,
1400000US51013102002,61739,0.0,
1400000US51013102003,36120,74.6,
1400000US51013102100,84952,65.7,0
1400000US51013102200,31062,77.8,0
1400000US51013102302,46908,100.0,
1400000US51013102400,54854,43.5,0
1400000US51013102500,61250,85.2,0
1400000US51013102600,43393,55.6,0
1400000US51013102701,30493,13.7,
1400000US51013102801,45250,92.3,
1400000US51013102802,106000,100.0,
1400000US51013102901,88627,100.0,
1400000US51013103000,88994,80.2,0
1400000US51013103100,47120,54.1,62
1400000US51013103200,58651,88.4,67
1400000US51013103300,60347,87.3,0
1400000US51013103401,30156,-,0
1400000US51013103501,76654,91.0,
1400000US51013103502,102464,59.2,
1400000US51013103503,79773,87.1,
1400000US51013103601,88924,72.5,
1400000US51013103700,81786,100.0,8
1400000US51013103800,70997,77.3,8
1400000US51013980100,-,-,
1400000US51013980200,-,-,
1400000US51059491103,51544,75.3,
1400000US51510201300,77551,73.8,0
1400000US51510201400,78558,82.8,6
1400000US51510201500,92000,88.3,0
1400000US51510201801,94188,77.7,0
1400000US51510201802,109063,94.9,0
1400000US51510201900,90577,100.0,0
1400000US51510202002,109929,91.7,0
1400000US51510200102,34193,100.0,0
1400000US51510200104,45588,100.0,7
1400000US51510200105,37243,100.0,0
1400000US51510200106,60511,82.5,
1400000US51510200201,57953,85.5,0
1400000US51510200202,141250,99.4,0
1400000US51510200302,44641,82.4,0
1400000US51510200303,58153,75.6,0
1400000US51510200403,85714,-,
1400000US51510200404,111646,64.9,
1400000US51510200406,44098,49.1,
1400000US51510200407,78125,91.1,
1400000US51510200703,100962,100.0,
1400000US51510200801,105833,100.0,5
1400000US51510200802,60524,73.2,0
1400000US51510201000,65792,100.0,20
1400000US51510201100,81328,100.0,0
1400000US51510201202,60682,100.0,0
1400000US51510201203,24421,40.0,22
1400000US51600300100,,,
1400000US51600300200,,,
1400000US51600300400,,,
1400000US51600300500,,,
1400000US51610500100,81091,100.0,0
1400000US51610500200,101563,69.7,0
1400000US51059420400,56335,100.0,7
1400000US51059482002,82882,100.0,
1400000US24031700105,74750,62.2,
1400000US24031700304,77433,85.2,0
1400000US24031700607,104830,89.2,0
1400000US24031700611,104563,76.4,
1400000US24031700710,41892,85.1,23
1400000US24031700718,77057,74.9,
1400000US24031700723,65341,82.9,
1400000US24031700815,45122,55.2,194
1400000US24031700820,55087,100.0,
1400000US24031700824,103648,100.0,
1400000US24033803001,39114,67.3,70
1400000US24033803002,41406,73.9,133
1400000US24033803100,45449,91.2,84
1400000US24033803200,41042,64.8,68
1400000US24033803512,50161,83.0,0
1400000US24033803519,50345,90.0,20
1400000US24033803525,48298,56.7,
1400000US24033803613,38880,88.3,0
1400000US24033804001,39123,61.5,0
1400000US24033804400,35375,31.9,94
1400000US24033804900,40826,61.0,5
1400000US24033805601,16583,22.6,0
1400000US24033805904,35469,59.4,0
1400000US24033806200,43000,48.5,39
1400000US24033806602,29867,100.0,58
1400000US24033806712,37031,55.3,0
1400000US24033807304,40813,100.0,0
1400000US24031700826,100568,97.7,
1400000US24031700828,101250,84.5,
1400000US24031700829,80513,76.9,
1400000US24031700830,50389,77.0,
1400000US24031700901,55363,77.8,0
1400000US24031701002,130375,91.0,0
1400000US24031701102,42917,100.0,0
1400000US24031701210,119567,96.8,0
1400000US24031701215,60662,91.8,0
1400000US24031701304,80933,93.6,0
1400000US24031701313,72734,100.0,0
1400000US24031701409,85500,73.6,0
1400000US24031701422,23222,72.6,
1400000US24031701508,33761,72.5,
1400000US24031701601,24975,18.2,
1400000US24031701900,34856,88.2,0
1400000US24031702102,82159,100.0,0
1400000US24031702500,49041,69.4,0
1400000US24031703201,62857,77.8,0
1400000US24031703209,37198,83.3,13
1400000US24031703218,58264,84.0,
1400000US24031703301,31556,83.6,0
1400000US24031703402,47039,67.2,0
1400000US24031703602,83681,88.8,0
1400000US24031703902,41942,69.9,21
1400000US24031704403,79199,95.7,
1400000US24031704804,77188,76.8,
1400000US24031705300,197083,98.3,0
1400000US24031705601,132969,92.6,0
1400000US24031705602,77635,100.0,20
1400000US24031705701,125380,91.0,0
1400000US24031705901,146528,100.0,4
1400000US24031706011,109120,98.3,
1400000US24033800106,46087,100.0,48
1400000US24033800209,38384,78.0,10
1400000US24033800214,48080,81.8,
1400000US24033800408,63901,97.3,18
1400000US24033800413,45634,100.0,
1400000US24033800514,99227,46.2,
1400000US24033800519,78177,79.2,
1400000US24033800704,53886,99.5,
1400000US24033801005,62925,80.1,
1400000US24033801006,57472,91.1,
1400000US24033801209,63352,74.9,
1400000US24033801216,44810,85.1,
1400000US24033801308,62616,79.3,0
1400000US24033801313,74076,93.8,
1400000US24033801409,49493,74.3,
1400000US24033801702,46438,72.3,0
1400000US24033801801,36779,59.1,9
1400000US24033801805,40389,49.6,6
1400000US24033802104,43625,28.0,0
1400000US24033802203,41116,53.1,60
1400000US24033802406,31906,94.6,15
1400000US24033802600,40423,65.0,69
1400000US24031700308,61809,87.7,41
1400000US24031700309,53718,60.5,0
1400000US24031700310,52976,98.8,45
1400000US24031700311,74655,83.7,
1400000US24031700312,71862,89.6,
1400000US24031700400,80234,92.7,0
1400000US24031700500,65234,94.3,13
1400000US24031700604,117269,77.8,7
1400000US24031700606,101840,93.9,6
1400000US24031700608,151587,84.1,0
1400000US24031700610,70104,90.1,0
1400000US24031700613,72656,63.7,
1400000US24031700614,55556,65.5,
1400000US24031700615,110781,75.8,
1400000US24031700616,98698,75.0,
1400000US24031700704,50450,98.3,0
1400000US24031700706,39953,88.0,0
1400000US24031700711,59796,78.1,10
1400000US24031700713,31762,64.9,67
1400000US24031700715,50399,85.0,0
1400000US24031700716,49364,100.0,0
1400000US24031700717,50355,92.5,
1400000US24031700719,43625,60.7,
1400000US24031700720,61979,56.3,
1400000US24031700721,49526,90.9,
1400000US24031700722,42902,100.0,
1400000US24031700724,34575,84.9,
1400000US24031700810,60599,99.2,49
1400000US24031700811,50647,96.2,0
1400000US24031700812,53021,84.3,33
1400000US24031700101,106250,92.1,2
1400000US24031700103,100242,93.4,7
1400000US24031700104,68110,93.0,
1400000US24031700204,56346,77.8,0
1400000US24031700205,91786,88.3,13
1400000US24031700206,74167,86.7,28
1400000US24031700207,57404,79.3,
1400000US24031700208,66818,67.5,
1400000US24031700306,67022,100.0,14
1400000US24031700813,42476,80.8,58
1400000US24031700816,47159,55.4,24
1400000US24031700817,74318,86.0,8
1400000US24031700818,51088,69.4,10
1400000US24031700819,43266,88.2,53
1400000US24031700822,31944,100.0,
1400000US24031700823,57875,100.0,
1400000US24033803300,33219,72.7,207
1400000US24033803401,28750,52.6,88
1400000US24033803402,30147,56.4,268
1400000US24033803508,39608,47.2,0
1400000US24033803509,35385,87.8,0
1400000US24033803513,54551,70.1,67
1400000US24033803514,63849,56.5,19
1400000US24033803516,57396,80.1,0
1400000US24033806711,42154,86.0,10
1400000US24033806713,34554,22.0,
1400000US24033806714,31613,100.0,
1400000US24033806800,49306,87.7,5
1400000US24033806900,37315,68.1,21
1400000US24033807000,41646,66.6,0
1400000US24033807102,35595,90.4,0
1400000US24033807200,32240,50.0,0
1400000US24033807301,46053,83.5,0
1400000US24033807305,43125,80.3,0
1400000US24033807404,46425,74.7,16
1400000US24033807407,52382,72.7,0
1400000US24033807408,56393,90.3,19
1400000US24033807409,41181,87.2,
1400000US24033807410,41148,86.3,
1400000US24033803520,51953,85.3,
1400000US24033803521,60188,88.3,
1400000US24033803522,50793,90.8,
1400000US24033803523,54350,91.8,
1400000US24033803524,32368,72.8,
1400000US24033803526,50301,86.6,
1400000US24033803527,51759,70.1,
1400000US24033803601,37421,85.1,14
1400000US24033803602,50389,80.6,77
1400000US24033803605,42153,59.0,15
1400000US24033803606,36991,63.0,0
1400000US24033803608,44877,71.6,0
1400000US24033803610,42383,72.3,0
1400000US24033803612,43780,100.0,24
1400000US24033803700,40168,94.9,29
1400000US24033803801,30786,100.0,33
1400000US24033803803,40344,73.7,85
1400000US24033803900,29668,92.7,50
1400000US24033804002,32910,94.9,11
1400000US24033804101,38750,100.0,6
1400000US24033804102,45183,83.8,50
1400000US24033804200,63323,76.7,12
1400000US24033804300,32311,67.0,56
1400000US24033804600,32118,54.2,70
1400000US24033804700,36079,48.2,58
1400000US24033804801,36797,75.0,
1400000US24033804802,35750,79.2,
1400000US24033805000,40493,75.5,0
1400000US24033805101,31425,59.8,7
1400000US24033805201,33536,86.4,10
1400000US24033805202,30598,75.6,3
1400000US24033805500,31875,55.0,0
1400000US24033805602,20640,100.0,30
1400000US24033805700,30334,53.3,0
1400000US24033805801,32090,80.0,6
1400000US24033805802,30625,76.3,0
1400000US24033805906,31131,69.6,
1400000US24033805907,30428,25.2,
1400000US24033805908,18889,100.0,
1400000US24033805909,31967,64.4,
1400000US24033806000,24629,57.1,87
1400000US24033806100,41008,81.9,13
1400000US24033806300,40932,76.2,21
1400000US24033806400,80417,93.2,0
1400000US24033806501,33194,85.7,7
1400000US24033806601,33942,23.8,91
1400000US24033806706,48690,86.1,0
1400000US24033806708,44072,76.5,69
1400000US24033806710,55863,100.0,0
1400000US24033803607,60878,87.0,7
1400000US24031701417,53148,100.0,0
1400000US24033801908,31918,37.6,
1400000US24033807405,41823,63.7,7
1400000US24031704502,134914,96.5,0
1400000US24031700832,48329,84.8,
1400000US24031700833,60192,100.0,
1400000US24031700834,51758,100.0,
1400000US24031700835,73245,53.7,
1400000US24031700902,39471,63.0,38
1400000US24031700903,56719,76.7,0
1400000US24031700904,45733,68.1,0
1400000US24031700905,56829,100.0,0
1400000US24031701001,85036,91.1,9
1400000US24031701004,71114,98.1,0
1400000US24031701005,87019,93.0,0
1400000US24031701006,99570,92.4,
1400000US24031701007,70461,100.0,
1400000US24031701101,57697,78.5,0
1400000US24031701201,50357,80.0,0
1400000US24031701202,103663,93.2,0
1400000US24031701205,114082,95.8,0
1400000US24031701206,103133,97.4,0
1400000US24031701211,88229,87.9,0
1400000US24031701212,74338,99.5,0
1400000US24031701213,88880,100.0,0
1400000US24031701214,68977,93.8,0
1400000US24031701216,66780,95.3,
1400000US24031701218,58568,80.6,
1400000US24031701219,56821,69.8,
1400000US24031701220,145234,88.8,
1400000US24031701221,115893,79.5,
1400000US24031701303,92831,92.7,0
1400000US24031701306,94808,92.8,0
1400000US24031701307,99449,81.9,6
1400000US24031701308,100556,72.3,0
1400000US24031701312,102361,94.1,0
1400000US24031701314,61319,100.0,
1400000US24031701315,76793,70.8,
1400000US24031701316,87717,98.8,
1400000US24031701317,125560,100.0,
1400000US24031701408,63423,87.5,0
1400000US24031701410,57194,51.7,0
1400000US24031701414,45833,83.1,37
1400000US24031701415,51112,75.5,11
1400000US24031701418,78333,51.7,
1400000US24031701420,53476,93.4,
1400000US24031701421,37488,100.0,
