2010,2000,DEC_MA,DEC_TP,DEC_MP,DEC_MPP,DEC_FP,DEC_FPP,DEC_AAP,DEC_AAPP,DEC_LF,DEC_LFP,DEC_EM,DEC_EMP,DEC_UE,DEC_UEP,DEC_NLF,DECNLFP,DEC_FLF,DEC_FLFP,D_E1824,D_E24LM,D_E24LF,D_NH24L,D_NH24LM,D_NH24LF,D_HS24L,D_HS24LM,D_AS24L,D_AS24LM,D_AS24LF,D_BA24L,D_BA24LM,D_BA24LF,D_HS34LM,D_HS34LF,D_BA34L,D_BA34LM,D_BA34LF,D_HS44L,D_HS44LM,D_HS44LF,DEC_10KL,DEC_1015,DEC_1519,DEC_2025,DEC_2530,DEC_3035,DEC_3540,DEC_4050,DEC_5059,DEC_6069,DEC_7079,DEC_8089,DEC_9099,DEC_1124,DEC_12549,DEC_15074,DEC_17599,DEC_20049,DEC_25099,DEC_30099,DEC_40099,DEC_500749,DEC_750999,DEC_1000,DEC_MGRP,DEC_MOC,DEC_FOC,DEC_MRC,DEC_FRC,DEC_MO,DEC_FO,DEC_MR,DEC_FR,DEC_OO,DEC_RO,DEC_SSM,DEC_SSMF,DEC_SSF,DEC_SSO,DEC_BPL,DEC_BPLP,DEC_BPLM,DEC_BPLF,DEC_BPLMP,DEC_BPLFP,DEC_MI,AREA,PERCENTAGE
1400000US11001002802,1400000US11001003600,32.9,3915,1977,50.5,1938,49.5,2427,62,1973,62.7,1754,55.8,211,6.7,1172,37.3,891,56,475,231,244,185,75,110,103,65,128,60,68,59,31,28,54.9,70.3,67.4,61.9,75.6,58,60.4,54.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,6,6,13,39,71,36,25,0,0,25.6,0,28,9,227,33,16,75,306,275,1328,26,17,5,1514,1092,27.9,350,36,303,45.5,22485,4.50E-09,0.018854691
1400000US11001002900,1400000US11001002900,32.5,4189,2217,52.9,1972,47.1,2285,54.5,2071,64.5,1776,55.3,295,9.2,1138,35.5,860,57.8,478,238,240,198,95,103,170,111,63,18,45,47,14,33,42.8,51.2,54.4,55.3,53.2,52.9,53,52.9,9,0,0,0,0,0,0,0,0,0,0,0,0,8,31,0,22,123,115,282,47,25,0,10,25.1,0,61,44,97,40,124,72,164,561,833,0,78,13,1293,815,19.6,164,25,157,34.5,29602,3.03E-05,96.67212831
1400000US11001002900,1400000US11001002502,32.7,5486,2765,50.4,2721,49.6,3087,56.3,2520,58.8,2351,54.8,169,3.9,1767,41.2,1210,56.3,565,340,225,388,253,135,74,55,76,25,51,27,7,20,44.2,64.9,56.3,58.3,53.7,65.9,66,65.8,0,0,0,0,0,0,0,0,0,0,0,0,7,62,52,0,0,0,0,9,0,0,0,0,26.3,35,77,24,148,15,144,81,261,736,1184,22,76,11,1779,1047,19.2,216,28.1,166,25.8,32688,8.09E-07,2.578512002
1400000US11001002900,1400000US11001003100,32.6,2755,1353,49.1,1402,50.9,1839,66.8,1526,67.9,1243,55.3,283,12.6,722,32.1,699,61.3,315,206,109,127,96,31,120,62,55,42,13,13,6,7,61.4,57.2,61.1,53.9,67.4,57,60.8,52.9,0,0,10,0,0,0,0,0,0,0,19,7,13,46,16,52,7,32,7,0,0,0,0,0,25.8,10,26,7,59,29,71,46,119,471,444,9,17,18,917,397,14.2,49,17.9,49,14.5,36175,2.25E-07,0.717358576
1400000US11001002900,1400000US11001003000,29.3,2829,1383,48.9,1446,51.1,1930,68.2,1173,61.7,970,51,203,10.7,729,38.3,627,63.1,228,96,132,115,46,69,39,15,64,29,35,10,6,4,66,65.6,66.1,69,62.8,56.6,62.1,51.7,0,0,0,0,0,0,0,0,0,0,0,0,16,41,32,38,33,16,24,27,0,6,0,0,27.1,0,14,16,216,0,12,59,290,248,777,12,25,8,897,1035,37.7,162,37.2,90,32.1,25539,1.00E-08,0.032012455
1400000US11001003000,1400000US11001003000,29.3,2829,1383,48.9,1446,51.1,1930,68.2,1173,61.7,970,51,203,10.7,729,38.3,627,63.1,228,96,132,115,46,69,39,15,64,29,35,10,6,4,66,65.6,66.1,69,62.8,56.6,62.1,51.7,0,0,0,0,0,0,0,0,0,0,0,0,16,41,32,38,33,16,24,27,0,6,0,0,27.1,0,14,16,216,0,12,59,290,248,777,12,25,8,897,1035,37.7,162,37.2,90,32.1,25539,2.03E-05,93.27585644
1400000US11001003000,1400000US11001003100,32.6,2755,1353,49.1,1402,50.9,1839,66.8,1526,67.9,1243,55.3,283,12.6,722,32.1,699,61.3,315,206,109,127,96,31,120,62,55,42,13,13,6,7,61.4,57.2,61.1,53.9,67.4,57,60.8,52.9,0,0,10,0,0,0,0,0,0,0,19,7,13,46,16,52,7,32,7,0,0,0,0,0,25.8,10,26,7,59,29,71,46,119,471,444,9,17,18,917,397,14.2,49,17.9,49,14.5,36175,1.32E-06,6.076060075
1400000US11001003000,1400000US11001002900,32.5,4189,2217,52.9,1972,47.1,2285,54.5,2071,64.5,1776,55.3,295,9.2,1138,35.5,860,57.8,478,238,240,198,95,103,170,111,63,18,45,47,14,33,42.8,51.2,54.4,55.3,53.2,52.9,53,52.9,9,0,0,0,0,0,0,0,0,0,0,0,0,8,31,0,22,123,115,282,47,25,0,10,25.1,0,61,44,97,40,124,72,164,561,833,0,78,13,1293,815,19.6,164,25,157,34.5,29602,1.41E-07,0.648072784
1400000US11001003100,1400000US11001003100,32.6,2755,1353,49.1,1402,50.9,1839,66.8,1526,67.9,1243,55.3,283,12.6,722,32.1,699,61.3,315,206,109,127,96,31,120,62,55,42,13,13,6,7,61.4,57.2,61.1,53.9,67.4,57,60.8,52.9,0,0,10,0,0,0,0,0,0,0,19,7,13,46,16,52,7,32,7,0,0,0,0,0,25.8,10,26,7,59,29,71,46,119,471,444,9,17,18,917,397,14.2,49,17.9,49,14.5,36175,2.95E-05,96.35163258
1400000US11001003100,1400000US11001003200,35.4,4480,2138,47.7,2342,52.3,3676,82.1,1950,57.1,1643,48.1,295,8.6,1464,42.9,996,54.4,416,222,194,211,123,88,112,59,80,27,53,13,13,0,71.5,72,67.8,74.1,62.7,57.3,57.4,57.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,31,35,91,208,153,131,0,11,22.5,12,74,10,195,53,184,29,278,863,691,16,37,0,1481,1151,25.7,162,30.2,100,25.5,31662,1.10E-06,3.593031657
1400000US11001003100,1400000US11001002900,32.5,4189,2217,52.9,1972,47.1,2285,54.5,2071,64.5,1776,55.3,295,9.2,1138,35.5,860,57.8,478,238,240,198,95,103,170,111,63,18,45,47,14,33,42.8,51.2,54.4,55.3,53.2,52.9,53,52.9,9,0,0,0,0,0,0,0,0,0,0,0,0,8,31,0,22,123,115,282,47,25,0,10,25.1,0,61,44,97,40,124,72,164,561,833,0,78,13,1293,815,19.6,164,25,157,34.5,29602,1.70E-08,0.055328505
1400000US11001003200,1400000US11001003200,35.4,4480,2138,47.7,2342,52.3,3676,82.1,1950,57.1,1643,48.1,295,8.6,1464,42.9,996,54.4,416,222,194,211,123,88,112,59,80,27,53,13,13,0,71.5,72,67.8,74.1,62.7,57.3,57.4,57.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,31,35,91,208,153,131,0,11,22.5,12,74,10,195,53,184,29,278,863,691,16,37,0,1481,1151,25.7,162,30.2,100,25.5,31662,4.57E-05,99.03224181
1400000US11001003200,1400000US11001002302,31.8,1345,582,43.3,763,56.7,848,63,640,51.4,613,49.3,27,2.2,604,48.6,375,59.8,344,168,176,10,10,0,32,12,244,131,113,58,15,43,100,100,100,100,100,89.2,100,77.6,0,0,0,0,0,0,0,6,0,0,0,8,66,192,132,38,18,0,7,0,0,0,0,0,21.4,0,0,15,33,0,12,21,77,161,425,15,5,0,535,271,23.9,117,39.1,117,32.1,49519,2.98E-07,0.646596574
1400000US11001003200,1400000US11001003400,21.2,4249,1874,44.1,2375,55.9,3903,91.9,1761,46.7,1465,38.8,282,7.5,2011,53.3,836,38.7,2059,795,1264,147,112,35,278,111,1531,490,1041,103,82,21,88.8,80.8,64.1,68.2,60.4,61.1,57.9,63.8,0,0,0,0,0,0,0,0,0,0,0,0,0,15,19,17,10,70,51,10,0,0,0,0,25.1,0,8,13,126,0,87,42,204,351,707,0,16,12,1024,969,40.2,181,39.8,157,40.1,18452,1.48E-07,0.321168025
1400000US11001003301,1400000US11001003301,38.6,2707,1374,50.8,1333,49.2,2414,89.2,1335,61.8,1132,52.4,192,8.9,824,38.2,607,56.9,254,137,117,86,42,44,55,38,69,36,33,44,21,23,97.2,74.5,74.7,77.1,72.1,80.1,80.3,79.9,8,0,0,0,0,0,0,0,0,0,11,11,24,72,37,80,3,51,60,69,27,31,0,0,26.1,15,19,0,77,23,108,26,110,611,419,6,43,11,941,614,23.3,109,19.7,136,39.8,39107,4.34E-05,98.11042455
1400000US11001003301,1400000US11001009203,37.8,2861,1313,45.9,1548,54.1,2675,93.5,1379,61.2,1224,54.3,155,6.9,876,38.8,644,55.5,244,118,126,75,31,44,81,54,73,33,40,15,0,15,60.1,78.8,77.8,76.2,80.7,70.4,73.3,67.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,18,19,60,173,20.4,10,40,11,70,7,164,34,147,569,603,0,7,0,1092,692,24.6,93,23,82,23.6,31419,6.56E-07,1.483248002
1400000US11001003301,1400000US11001002302,31.8,1345,582,43.3,763,56.7,848,63,640,51.4,613,49.3,27,2.2,604,48.6,375,59.8,344,168,176,10,10,0,32,12,244,131,113,58,15,43,100,100,100,100,100,89.2,100,77.6,0,0,0,0,0,0,0,6,0,0,0,8,66,192,132,38,18,0,7,0,0,0,0,0,21.4,0,0,15,33,0,12,21,77,161,425,15,5,0,535,271,23.9,117,39.1,117,32.1,49519,1.75E-07,0.394874129
1400000US11001003301,1400000US11001003400,21.2,4249,1874,44.1,2375,55.9,3903,91.9,1761,46.7,1465,38.8,282,7.5,2011,53.3,836,38.7,2059,795,1264,147,112,35,278,111,1531,490,1041,103,82,21,88.8,80.8,64.1,68.2,60.4,61.1,57.9,63.8,0,0,0,0,0,0,0,0,0,0,0,0,0,15,19,17,10,70,51,10,0,0,0,0,25.1,0,8,13,126,0,87,42,204,351,707,0,16,12,1024,969,40.2,181,39.8,157,40.1,18452,5.07E-09,0.011454224
1400000US11001003302,1400000US11001003302,37.7,1830,903,49.3,927,50.7,1675,91.5,968,63.8,818,53.9,138,9.1,549,36.2,479,60.6,146,66,80,63,16,47,53,34,22,13,9,8,3,5,83.5,73.2,78.7,70.7,86.3,77.5,70.6,84.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,18.5,17,15,6,47,7,129,6,58,417,226,6,20,0,604,283,15.1,93,32.2,43,19.8,45938,2.01E-05,97.19612345
1400000US11001003302,1400000US11001003301,38.6,2707,1374,50.8,1333,49.2,2414,89.2,1335,61.8,1132,52.4,192,8.9,824,38.2,607,56.9,254,137,117,86,42,44,55,38,69,36,33,44,21,23,97.2,74.5,74.7,77.1,72.1,80.1,80.3,79.9,8,0,0,0,0,0,0,0,0,0,11,11,24,72,37,80,3,51,60,69,27,31,0,0,26.1,15,19,0,77,23,108,26,110,611,419,6,43,11,941,614,23.3,109,19.7,136,39.8,39107,3.83E-07,1.855630579
1400000US11001003302,1400000US11001008701,37.8,2415,1144,47.4,1271,52.6,2298,95.2,1114,57.3,948,48.7,166,8.5,831,42.7,530,52.7,188,84,104,66,33,33,104,42,12,3,9,6,6,0,85.3,81,80.8,81.1,80.5,78.3,78,78.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,22,0,0,29.5,4,33,9,92,49,109,17,134,463,287,11,13,3,793,467,19.1,128,44.6,62,27.8,40234,1.86E-07,0.90354312
1400000US11001003302,1400000US11001003400,21.2,4249,1874,44.1,2375,55.9,3903,91.9,1761,46.7,1465,38.8,282,7.5,2011,53.3,836,38.7,2059,795,1264,147,112,35,278,111,1531,490,1041,103,82,21,88.8,80.8,64.1,68.2,60.4,61.1,57.9,63.8,0,0,0,0,0,0,0,0,0,0,0,0,0,15,19,17,10,70,51,10,0,0,0,0,25.1,0,8,13,126,0,87,42,204,351,707,0,16,12,1024,969,40.2,181,39.8,157,40.1,18452,4.78E-09,0.023141432
1400000US11001003302,1400000US11001009203,37.8,2861,1313,45.9,1548,54.1,2675,93.5,1379,61.2,1224,54.3,155,6.9,876,38.8,644,55.5,244,118,126,75,31,44,81,54,73,33,40,15,0,15,60.1,78.8,77.8,76.2,80.7,70.4,73.3,67.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,18,19,60,173,20.4,10,40,11,70,7,164,34,147,569,603,0,7,0,1092,692,24.6,93,23,82,23.6,31419,4.45E-09,0.021552691
1400000US11001003400,1400000US11001003400,21.2,4249,1874,44.1,2375,55.9,3903,91.9,1761,46.7,1465,38.8,282,7.5,2011,53.3,836,38.7,2059,795,1264,147,112,35,278,111,1531,490,1041,103,82,21,88.8,80.8,64.1,68.2,60.4,61.1,57.9,63.8,0,0,0,0,0,0,0,0,0,0,0,0,0,15,19,17,10,70,51,10,0,0,0,0,25.1,0,8,13,126,0,87,42,204,351,707,0,16,12,1024,969,40.2,181,39.8,157,40.1,18452,0.000110347,97.01264463
1400000US11001003400,1400000US11001003301,38.6,2707,1374,50.8,1333,49.2,2414,89.2,1335,61.8,1132,52.4,192,8.9,824,38.2,607,56.9,254,137,117,86,42,44,55,38,69,36,33,44,21,23,97.2,74.5,74.7,77.1,72.1,80.1,80.3,79.9,8,0,0,0,0,0,0,0,0,0,11,11,24,72,37,80,3,51,60,69,27,31,0,0,26.1,15,19,0,77,23,108,26,110,611,419,6,43,11,941,614,23.3,109,19.7,136,39.8,39107,2.53E-06,2.220019687
1400000US11001003400,1400000US11001003200,35.4,4480,2138,47.7,2342,52.3,3676,82.1,1950,57.1,1643,48.1,295,8.6,1464,42.9,996,54.4,416,222,194,211,123,88,112,59,80,27,53,13,13,0,71.5,72,67.8,74.1,62.7,57.3,57.4,57.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,31,35,91,208,153,131,0,11,22.5,12,74,10,195,53,184,29,278,863,691,16,37,0,1481,1151,25.7,162,30.2,100,25.5,31662,7.50E-07,0.659222432
1400000US11001003400,1400000US11001002302,31.8,1345,582,43.3,763,56.7,848,63,640,51.4,613,49.3,27,2.2,604,48.6,375,59.8,344,168,176,10,10,0,32,12,244,131,113,58,15,43,100,100,100,100,100,89.2,100,77.6,0,0,0,0,0,0,0,6,0,0,0,8,66,192,132,38,18,0,7,0,0,0,0,0,21.4,0,0,15,33,0,12,21,77,161,425,15,5,0,535,271,23.9,117,39.1,117,32.1,49519,7.91E-08,0.069559333
1400000US11001003400,1400000US11001003302,37.7,1830,903,49.3,927,50.7,1675,91.5,968,63.8,818,53.9,138,9.1,549,36.2,479,60.6,146,66,80,63,16,47,53,34,22,13,9,8,3,5,83.5,73.2,78.7,70.7,86.3,77.5,70.6,84.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,18.5,17,15,6,47,7,129,6,58,417,226,6,20,0,604,283,15.1,93,32.2,43,19.8,45938,4.35E-08,0.038229336
1400000US11001003400,1400000US11001003500,22.8,3498,1553,44.4,1945,55.6,2936,83.9,1589,52.1,1446,47.4,143,4.7,1459,47.9,975,56.1,1543,568,975,103,89,14,217,76,1046,347,699,177,56,121,86.3,75.8,46.5,47.8,45,59.9,60.8,59.1,0,0,0,0,0,0,0,0,0,0,7,8,0,9,0,7,7,35,17,52,49,57,0,7,24.9,0,12,11,63,45,67,20,131,231,603,0,4,0,809,699,35.9,141,40.5,150,51.5,18940,3.66E-10,0.000321462
1400000US11001003500,1400000US11001003500,22.8,3498,1553,44.4,1945,55.6,2936,83.9,1589,52.1,1446,47.4,143,4.7,1459,47.9,975,56.1,1543,568,975,103,89,14,217,76,1046,347,699,177,56,121,86.3,75.8,46.5,47.8,45,59.9,60.8,59.1,0,0,0,0,0,0,0,0,0,0,7,8,0,9,0,7,7,35,17,52,49,57,0,7,24.9,0,12,11,63,45,67,20,131,231,603,0,4,0,809,699,35.9,141,40.5,150,51.5,18940,3.83E-05,93.79219143
1400000US11001003500,1400000US11001003400,21.2,4249,1874,44.1,2375,55.9,3903,91.9,1761,46.7,1465,38.8,282,7.5,2011,53.3,836,38.7,2059,795,1264,147,112,35,278,111,1531,490,1041,103,82,21,88.8,80.8,64.1,68.2,60.4,61.1,57.9,63.8,0,0,0,0,0,0,0,0,0,0,0,0,0,15,19,17,10,70,51,10,0,0,0,0,25.1,0,8,13,126,0,87,42,204,351,707,0,16,12,1024,969,40.2,181,39.8,157,40.1,18452,1.48E-06,3.622377638
1400000US11001003500,1400000US11001003100,32.6,2755,1353,49.1,1402,50.9,1839,66.8,1526,67.9,1243,55.3,283,12.6,722,32.1,699,61.3,315,206,109,127,96,31,120,62,55,42,13,13,6,7,61.4,57.2,61.1,53.9,67.4,57,60.8,52.9,0,0,10,0,0,0,0,0,0,0,19,7,13,46,16,52,7,32,7,0,0,0,0,0,25.8,10,26,7,59,29,71,46,119,471,444,9,17,18,917,397,14.2,49,17.9,49,14.5,36175,6.24E-07,1.529008422
1400000US11001003500,1400000US11001004400,33.6,2589,1398,54,1191,46,1523,58.8,1425,69.2,1358,66,63,3.1,633,30.8,613,65.6,290,143,147,68,53,15,51,24,80,36,44,91,30,61,85.1,89.1,74.2,79.2,67.9,79.3,74.1,85.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,16,17,36,41,0,8,25.7,6,36,35,60,14,45,62,84,518,606,59,17,0,975,490,20.3,103,15.7,120,23.8,42500,4.18E-07,1.023956018
1400000US11001003500,1400000US11001003200,35.4,4480,2138,47.7,2342,52.3,3676,82.1,1950,57.1,1643,48.1,295,8.6,1464,42.9,996,54.4,416,222,194,211,123,88,112,59,80,27,53,13,13,0,71.5,72,67.8,74.1,62.7,57.3,57.4,57.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,31,35,91,208,153,131,0,11,22.5,12,74,10,195,53,184,29,278,863,691,16,37,0,1481,1151,25.7,162,30.2,100,25.5,31662,1.33E-08,0.032468954
1400000US11001003600,1400000US11001003600,32.9,3915,1977,50.5,1938,49.5,2427,62,1973,62.7,1754,55.8,211,6.7,1172,37.3,891,56,475,231,244,185,75,110,103,65,128,60,68,59,31,28,54.9,70.3,67.4,61.9,75.6,58,60.4,54.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,6,6,13,39,71,36,25,0,0,25.6,0,28,9,227,33,16,75,306,275,1328,26,17,5,1514,1092,27.9,350,36,303,45.5,22485,3.01E-05,94.90915243
1400000US11001003600,1400000US11001003500,22.8,3498,1553,44.4,1945,55.6,2936,83.9,1589,52.1,1446,47.4,143,4.7,1459,47.9,975,56.1,1543,568,975,103,89,14,217,76,1046,347,699,177,56,121,86.3,75.8,46.5,47.8,45,59.9,60.8,59.1,0,0,0,0,0,0,0,0,0,0,7,8,0,9,0,7,7,35,17,52,49,57,0,7,24.9,0,12,11,63,45,67,20,131,231,603,0,4,0,809,699,35.9,141,40.5,150,51.5,18940,9.40E-07,2.968034024
1400000US11001003600,1400000US11001003000,29.3,2829,1383,48.9,1446,51.1,1930,68.2,1173,61.7,970,51,203,10.7,729,38.3,627,63.1,228,96,132,115,46,69,39,15,64,29,35,10,6,4,66,65.6,66.1,69,62.8,56.6,62.1,51.7,0,0,0,0,0,0,0,0,0,0,0,0,16,41,32,38,33,16,24,27,0,6,0,0,27.1,0,14,16,216,0,12,59,290,248,777,12,25,8,897,1035,37.7,162,37.2,90,32.1,25539,6.39E-07,2.017298392
1400000US11001003600,1400000US11001003100,32.6,2755,1353,49.1,1402,50.9,1839,66.8,1526,67.9,1243,55.3,283,12.6,722,32.1,699,61.3,315,206,109,127,96,31,120,62,55,42,13,13,6,7,61.4,57.2,61.1,53.9,67.4,57,60.8,52.9,0,0,10,0,0,0,0,0,0,0,19,7,13,46,16,52,7,32,7,0,0,0,0,0,25.8,10,26,7,59,29,71,46,119,471,444,9,17,18,917,397,14.2,49,17.9,49,14.5,36175,3.34E-08,0.10552442
1400000US11001003700,1400000US11001003700,26.5,4990,2380,47.7,2610,52.3,2839,56.9,2466,62.2,2311,58.3,155,3.9,1500,37.8,1306,60.7,1122,460,662,309,178,131,205,88,482,134,348,126,60,66,67.8,61.8,53.3,51.5,55.5,48.1,48.6,47.7,0,0,0,0,0,0,0,0,8,10,7,23,51,116,102,29,44,26,0,0,0,0,0,9,29.6,7,23,28,293,0,22,117,401,158,1634,8,62,0,1645,1506,34.1,320,33.4,287,40.4,26223,2.66E-05,88.71130524
1400000US11001003700,1400000US11001003600,32.9,3915,1977,50.5,1938,49.5,2427,62,1973,62.7,1754,55.8,211,6.7,1172,37.3,891,56,475,231,244,185,75,110,103,65,128,60,68,59,31,28,54.9,70.3,67.4,61.9,75.6,58,60.4,54.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,6,6,13,39,71,36,25,0,0,25.6,0,28,9,227,33,16,75,306,275,1328,26,17,5,1514,1092,27.9,350,36,303,45.5,22485,2.09E-06,6.977101978
1400000US11001003700,1400000US11001003800,32.5,4718,2551,54.1,2167,45.9,1511,32,2963,74.3,2805,70.3,151,3.8,1027,25.7,1304,70.9,476,191,285,135,58,77,98,54,73,28,45,170,51,119,81.2,84.5,76.3,76.5,75.9,68.6,74.2,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,26,18,14,47,22,6,23.7,0,7,23,99,0,17,54,245,538,1907,46,84,16,2269,993,21.4,205,15.6,168,17.5,37889,1.01E-06,3.382207573
1400000US11001003700,1400000US11001002802,30.7,4700,2497,53.1,2203,46.9,1524,32.4,2335,63.2,2199,59.5,132,3.6,1359,36.8,982,56.2,694,367,327,416,240,176,161,57,90,48,42,27,22,5,44.3,55.4,34.2,27.5,40.6,38,42.6,32.6,0,0,0,0,0,0,0,0,0,8,4,0,24,57,71,53,85,39,31,0,0,0,6,0,26.3,10,13,49,160,5,14,154,222,151,1587,13,99,13,1605,1505,33,198,25.4,346,46.5,22736,2.72E-07,0.906402201
1400000US11001003700,1400000US11001003000,29.3,2829,1383,48.9,1446,51.1,1930,68.2,1173,61.7,970,51,203,10.7,729,38.3,627,63.1,228,96,132,115,46,69,39,15,64,29,35,10,6,4,66,65.6,66.1,69,62.8,56.6,62.1,51.7,0,0,0,0,0,0,0,0,0,0,0,0,16,41,32,38,33,16,24,27,0,6,0,0,27.1,0,14,16,216,0,12,59,290,248,777,12,25,8,897,1035,37.7,162,37.2,90,32.1,25539,6.90E-09,0.02299205
1400000US11001003800,1400000US11001003800,32.5,4718,2551,54.1,2167,45.9,1511,32,2963,74.3,2805,70.3,151,3.8,1027,25.7,1304,70.9,476,191,285,135,58,77,98,54,73,28,45,170,51,119,81.2,84.5,76.3,76.5,75.9,68.6,74.2,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,26,18,14,47,22,6,23.7,0,7,23,99,0,17,54,245,538,1907,46,84,16,2269,993,21.4,205,15.6,168,17.5,37889,3.72E-05,99.0548285
1400000US11001003800,1400000US11001003900,32.6,4643,2340,50.4,2303,49.6,916,19.7,3603,82.6,3469,79.5,114,2.6,761,17.4,1669,78.9,522,206,316,114,78,36,86,26,25,0,25,297,102,195,94.8,94.9,87.8,88.8,86.3,85.9,81.8,89.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,15,9,66,28,83,24,0,22.7,0,8,12,27,15,26,39,115,736,2118,63,98,24,2624,389,8.4,188,12.1,150,11.2,42532,2.86E-07,0.762513032
1400000US11001003800,1400000US11001004002,33.1,2778,1456,52.4,1322,47.6,342,12.3,2316,84,2248,81.5,62,2.2,441,16,1013,79.7,208,120,88,30,30,0,14,14,21,5,16,143,71,72,94.5,90.5,91.1,92.7,88.5,91.7,81.6,100,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,22,5,7,0,15,0,0,0,0,23.5,3,16,10,24,13,5,23,39,645,1139,91,36,8,1653,152,5.1,77,7.3,67,8.2,54260,6.85E-08,0.182659733
1400000US11001003900,1400000US11001003900,32.6,4643,2340,50.4,2303,49.6,916,19.7,3603,82.6,3469,79.5,114,2.6,761,17.4,1669,78.9,522,206,316,114,78,36,86,26,25,0,25,297,102,195,94.8,94.9,87.8,88.8,86.3,85.9,81.8,89.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,15,9,66,28,83,24,0,22.7,0,8,12,27,15,26,39,115,736,2118,63,98,24,2624,389,8.4,188,12.1,150,11.2,42532,3.88E-05,91.36149218
1400000US11001003900,1400000US11001000501,32.5,2765,1171,42.4,1594,57.6,134,4.8,2140,80.7,2058,77.6,76,2.9,512,19.3,1224,79.7,391,154,237,13,13,0,12,12,145,37,108,221,92,129,95.2,93.6,100,100,100,94,100,90.1,0,0,0,0,0,0,0,0,11,0,17,68,54,118,68,31,26,10,0,7,5,0,0,0,28.6,6,5,0,0,0,0,0,29,315,1457,33,50,8,1601,156,6,61,8.4,95,9.1,65521,2.96E-06,6.97325837
1400000US11001003900,1400000US11001002702,32.6,6052,3298,54.5,2754,45.5,1214,20.1,3968,75.9,3737,71.5,222,4.2,1262,24.1,1701,71.1,772,457,315,323,258,65,140,80,162,70,92,147,49,98,72.1,73.6,76,73.5,79.1,65.1,63.5,67.5,0,0,0,0,0,0,0,0,0,7,6,19,0,94,147,122,33,49,34,7,5,0,0,0,29.6,14,47,37,67,15,36,136,143,823,1730,17,55,44,2376,1122,18.5,375,23.9,321,28.5,45428,6.90E-07,1.625442168
1400000US11001003900,1400000US11001003800,32.5,4718,2551,54.1,2167,45.9,1511,32,2963,74.3,2805,70.3,151,3.8,1027,25.7,1304,70.9,476,191,285,135,58,77,98,54,73,28,45,170,51,119,81.2,84.5,76.3,76.5,75.9,68.6,74.2,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,26,18,14,47,22,6,23.7,0,7,23,99,0,17,54,245,538,1907,46,84,16,2269,993,21.4,205,15.6,168,17.5,37889,1.69E-08,0.039804588
1400000US11001004001,1400000US11001004001,35.5,3474,1750,50.4,1724,49.6,182,5.2,2844,88,2827,87.5,17,0.5,387,12,1328,83.6,191,64,127,0,0,0,0,0,19,13,6,172,51,121,100,98.5,97.2,100,94,98.6,97.6,100,0,0,0,0,0,0,0,0,0,0,6,13,26,0,0,17,0,17,0,28,0,0,0,0,24.4,0,5,0,11,0,8,0,11,1037,1278,67,76,8,2079,174,5.2,61,5.3,113,9.9,59008,2.72E-05,93.32277648
1400000US11001004001,1400000US11001004002,33.1,2778,1456,52.4,1322,47.6,342,12.3,2316,84,2248,81.5,62,2.2,441,16,1013,79.7,208,120,88,30,30,0,14,14,21,5,16,143,71,72,94.5,90.5,91.1,92.7,88.5,91.7,81.6,100,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,22,5,7,0,15,0,0,0,0,23.5,3,16,10,24,13,5,23,39,645,1139,91,36,8,1653,152,5.1,77,7.3,67,8.2,54260,7.65E-07,2.623103341
1400000US11001004001,1400000US11001000501,32.5,2765,1171,42.4,1594,57.6,134,4.8,2140,80.7,2058,77.6,76,2.9,512,19.3,1224,79.7,391,154,237,13,13,0,12,12,145,37,108,221,92,129,95.2,93.6,100,100,100,94,100,90.1,0,0,0,0,0,0,0,0,11,0,17,68,54,118,68,31,26,10,0,7,5,0,0,0,28.6,6,5,0,0,0,0,0,29,315,1457,33,50,8,1601,156,6,61,8.4,95,9.1,65521,6.32E-07,2.164356457
