2010,2000,DEC_MA,DEC_TP,DEC_MP,DEC_MPP,DEC_FP,DEC_FPP,DEC_AAP,DEC_AAPP,DEC_LF,DEC_LFP,DEC_EM,DEC_EMP,DEC_UE,DEC_UEP,DEC_NLF,DECNLFP,DEC_FLF,DEC_FLFP,D_E1824,D_E24LM,D_E24LF,D_NH24L,D_NH24LM,D_NH24LF,D_HS24L,D_HS24LM,D_AS24L,D_AS24LM,D_AS24LF,D_BA24L,D_BA24LM,D_BA24LF,D_HS34LM,D_HS34LF,D_BA34L,D_BA34LM,D_BA34LF,D_HS44L,D_HS44LM,D_HS44LF,DEC_10KL,DEC_1015,DEC_1519,DEC_2025,DEC_2530,DEC_3035,DEC_3540,DEC_4050,DEC_5059,DEC_6069,DEC_7079,DEC_8089,DEC_9099,DEC_1124,DEC_12549,DEC_15074,DEC_17599,DEC_20049,DEC_25099,DEC_30099,DEC_40099,DEC_500749,DEC_750999,DEC_1000,DEC_MGRP,DEC_MOC,DEC_FOC,DEC_MRC,DEC_FRC,DEC_MO,DEC_FO,DEC_MR,DEC_FR,DEC_OO,DEC_RO,DEC_SSM,DEC_SSMF,DEC_SSF,DEC_SSO,DEC_BPL,DEC_BPLP,DEC_BPLM,DEC_BPLF,DEC_BPLMP,DEC_BPLFP,DEC_MI,AREA,PERCENTAGE
1400000US11001000202,1400000US11001000202,32.9,3850,1912,49.7,1938,50.3,61,1.6,2425,68.1,2413,67.8,12,0.3,1136,31.9,1111,60.9,1101,422,679,0,0,0,39,8,484,251,233,578,163,415,100,100,99.3,98.8,100,98,97.3,98.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,50,9,5,0,7,35,20,0,14,1075,839,14,34,8,1803,944,24.5,325,33.1,582,48.3,90653,0.000118736,90.51192912
1400000US11001000202,1400000US11001000802,34.3,2806,1370,48.8,1436,51.2,93,3.3,1776,71.1,1749,70,27,1.1,723,28.9,834,64.3,325,125,200,20,20,0,13,0,60,38,22,232,67,165,100,98.7,98,96.2,100,98.9,100,97.8,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,9,0,40,42,7,0,22.5,0,10,13,15,6,5,13,30,750,598,28,40,7,1254,377,13.4,125,20.1,196,28.9,76919,7.52E-06,5.735559291
1400000US11001000202,1400000US11001000201,19.9,4467,2019,45.2,2448,54.8,240,5.4,2415,54.1,2322,52.1,93,2.1,2045,45.9,1334,56.7,4284,2087,2197,0,0,0,266,130,3993,1957,2036,25,0,25,100,-9999,100,-9999,100,100,-9999,100,0,0,0,0,0,0,0,0,7,0,0,0,0,12,10,19,56,57,137,106,83,39,0,0,20.9,0,0,0,0,0,0,0,0,20,10,0,0,0,58,143,71.1,0,0,143,79.9,87904,3.38E-06,2.578459657
1400000US11001000202,1400000US11001000300,30.4,5706,2649,46.4,3057,53.6,175,3.1,4020,74.8,3922,73,84,1.6,1355,25.2,2067,73.9,1248,588,660,55,16,39,69,42,455,313,142,669,217,452,100,100,97.6,95.5,100,97.2,98.1,96.5,0,0,0,6,0,0,0,0,0,0,21,8,10,14,10,31,22,17,23,16,0,0,0,0,27.9,0,32,10,10,22,47,18,30,1314,1464,0,31,0,2680,898,15.6,350,21.3,371,21,73558,1.10E-06,0.838127853
1400000US11001000202,1400000US11001000100,40.7,4674,2194,46.9,2480,53.1,188,4,3128,73.1,3066,71.6,58,1.4,1152,26.9,1528,67.2,288,122,166,72,41,31,0,0,54,46,8,162,35,127,100,100,98.7,100,97.4,96.7,98.7,95,0,0,0,0,0,0,0,0,0,0,0,0,0,11,9,0,0,9,0,35,10,18,43,0,25.8,0,26,0,10,0,17,0,10,1447,1277,23,66,11,2591,243,5.2,84,8.1,106,7.9,92540,4.23E-07,0.322518951
1400000US11001000202,1400000US11001000400,45.2,1510,737,48.8,773,51.2,67,4.4,833,64.1,830,63.8,3,0.2,467,35.9,360,52.6,74,11,63,0,0,0,21,0,0,0,0,53,11,42,100,100,100,100,100,99.1,98.5,100,0,0,0,0,0,0,0,0,0,0,0,46,25,52,31,14,29,0,0,0,0,0,0,0,28.7,0,0,0,0,5,14,0,5,451,219,16,0,0,664,45,3,5,2,40,14.7,129133,1.76E-08,0.01340215
1400000US11001000300,1400000US11001000300,30.4,5706,2649,46.4,3057,53.6,175,3.1,4020,74.8,3922,73,84,1.6,1355,25.2,2067,73.9,1248,588,660,55,16,39,69,42,455,313,142,669,217,452,100,100,97.6,95.5,100,97.2,98.1,96.5,0,0,0,6,0,0,0,0,0,0,21,8,10,14,10,31,22,17,23,16,0,0,0,0,27.9,0,32,10,10,22,47,18,30,1314,1464,0,31,0,2680,898,15.6,350,21.3,371,21,73558,9.92E-05,94.95979551
1400000US11001000300,1400000US11001000802,34.3,2806,1370,48.8,1436,51.2,93,3.3,1776,71.1,1749,70,27,1.1,723,28.9,834,64.3,325,125,200,20,20,0,13,0,60,38,22,232,67,165,100,98.7,98,96.2,100,98.9,100,97.8,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,9,0,40,42,7,0,22.5,0,10,13,15,6,5,13,30,750,598,28,40,7,1254,377,13.4,125,20.1,196,28.9,76919,4.42E-06,4.232004173
1400000US11001000300,1400000US11001000702,31.2,3326,1379,41.5,1947,58.5,221,6.6,2347,76.4,2279,74.2,68,2.2,725,23.6,1448,75.7,576,162,414,0,0,0,56,39,182,44,138,338,79,259,98.8,99,97,96.7,97.2,92.3,87.3,95.4,0,0,0,0,0,0,0,0,0,0,0,14,16,30,7,0,8,6,0,0,0,0,0,0,22.9,0,21,9,48,6,0,41,83,476,1826,0,17,0,2250,622,19,201,26.1,278,19.2,37244,7.35E-07,0.703744003
1400000US11001000300,1400000US11001000801,41.1,6721,2826,42,3895,58,292,4.3,4223,70.1,3356,55.7,834,13.8,1802,29.9,2323,65.6,1305,504,801,32,25,7,89,19,923,379,544,261,81,180,98.3,100,98,100,96.4,98.8,100,98,0,0,0,10,0,7,0,0,0,0,0,0,0,0,7,43,53,63,105,97,31,10,0,0,25.3,0,54,0,33,0,15,10,92,1981,1299,14,44,0,3179,442,7.4,119,14.2,167,10.7,80266,1.03E-07,0.0981729
