GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Owner occupied,Margin of Error; Total: - Owner occupied,Estimate; Total: - Renter occupied,Margin of Error; Total: - Renter occupied
1400000US11001004002,11001004002,"Census Tract 40.02, District of Columbia, District of Columbia",1705,133,577,100,1128,155
1400000US11001004100,11001004100,"Census Tract 41, District of Columbia, District of Columbia",1437,117,719,85,718,129
1400000US11001004201,11001004201,"Census Tract 42.01, District of Columbia, District of Columbia",2101,89,782,127,1319,118
1400000US11001004202,11001004202,"Census Tract 42.02, District of Columbia, District of Columbia",1751,89,555,91,1196,109
1400000US11001004300,11001004300,"Census Tract 43, District of Columbia, District of Columbia",1896,122,472,130,1424,164
1400000US11001004400,11001004400,"Census Tract 44, District of Columbia, District of Columbia",2554,101,1281,172,1273,167
1400000US11001004600,11001004600,"Census Tract 46, District of Columbia, District of Columbia",1232,110,592,127,640,141
1400000US11001004701,11001004701,"Census Tract 47.01, District of Columbia, District of Columbia",1862,130,368,110,1494,153
1400000US11001004702,11001004702,"Census Tract 47.02, District of Columbia, District of Columbia",1143,72,411,83,732,110
1400000US11001004801,11001004801,"Census Tract 48.01, District of Columbia, District of Columbia",1015,108,496,101,519,113
1400000US11001004802,11001004802,"Census Tract 48.02, District of Columbia, District of Columbia",1553,107,330,84,1223,122
1400000US11001004901,11001004901,"Census Tract 49.01, District of Columbia, District of Columbia",1051,65,277,69,774,79
1400000US11001004902,11001004902,"Census Tract 49.02, District of Columbia, District of Columbia",1381,123,498,80,883,124
1400000US11001005001,11001005001,"Census Tract 50.01, District of Columbia, District of Columbia",929,65,407,113,522,111
1400000US11001005002,11001005002,"Census Tract 50.02, District of Columbia, District of Columbia",3406,208,875,175,2531,244
1400000US11001005201,11001005201,"Census Tract 52.01, District of Columbia, District of Columbia",4101,215,1596,247,2505,234
1400000US11001005301,11001005301,"Census Tract 53.01, District of Columbia, District of Columbia",3412,191,1236,201,2176,223
1400000US11001005500,11001005500,"Census Tract 55, District of Columbia, District of Columbia",3930,338,1324,241,2606,314
1400000US11001005600,11001005600,"Census Tract 56, District of Columbia, District of Columbia",3510,286,1033,212,2477,224
1400000US11001005800,11001005800,"Census Tract 58, District of Columbia, District of Columbia",1667,127,618,91,1049,132
1400000US11001005900,11001005900,"Census Tract 59, District of Columbia, District of Columbia",1339,104,143,60,1196,105
1400000US11001006202,11001006202,"Census Tract 62.02, District of Columbia, District of Columbia",0,12,0,12,0,12
1400000US11001006400,11001006400,"Census Tract 64, District of Columbia, District of Columbia",986,92,210,78,776,88
1400000US11001006500,11001006500,"Census Tract 65, District of Columbia, District of Columbia",1240,98,643,84,597,96
1400000US11001006600,11001006600,"Census Tract 66, District of Columbia, District of Columbia",866,95,514,76,352,92
1400000US11001006700,11001006700,"Census Tract 67, District of Columbia, District of Columbia",1742,130,1097,119,645,115
1400000US11001006801,11001006801,"Census Tract 68.01, District of Columbia, District of Columbia",847,71,473,65,374,83
1400000US11001006802,11001006802,"Census Tract 68.02, District of Columbia, District of Columbia",922,81,625,81,297,72
1400000US11001006804,11001006804,"Census Tract 68.04, District of Columbia, District of Columbia",0,12,0,12,0,12
1400000US11001006900,11001006900,"Census Tract 69, District of Columbia, District of Columbia",1206,46,754,101,452,94
1400000US11001007000,11001007000,"Census Tract 70, District of Columbia, District of Columbia",1135,78,529,87,606,94
1400000US11001007100,11001007100,"Census Tract 71, District of Columbia, District of Columbia",1346,64,542,83,804,90
1400000US11001007200,11001007200,"Census Tract 72, District of Columbia, District of Columbia",1774,119,387,82,1387,131
1400000US11001007301,11001007301,"Census Tract 73.01, District of Columbia, District of Columbia",775,95,0,12,775,95
1400000US11001007304,11001007304,"Census Tract 73.04, District of Columbia, District of Columbia",1227,92,283,64,944,104
1400000US11001007401,11001007401,"Census Tract 74.01, District of Columbia, District of Columbia",909,72,69,28,840,74
1400000US11001007403,11001007403,"Census Tract 74.03, District of Columbia, District of Columbia",1094,63,57,38,1037,70
1400000US11001007404,11001007404,"Census Tract 74.04, District of Columbia, District of Columbia",1163,107,276,112,887,132
1400000US11001007406,11001007406,"Census Tract 74.06, District of Columbia, District of Columbia",1000,90,51,36,949,96
1400000US11001007407,11001007407,"Census Tract 74.07, District of Columbia, District of Columbia",1094,96,381,71,713,100
1400000US11001007408,11001007408,"Census Tract 74.08, District of Columbia, District of Columbia",1024,94,71,46,953,94
1400000US11001007409,11001007409,"Census Tract 74.09, District of Columbia, District of Columbia",1559,71,248,73,1311,94
1400000US11001007502,11001007502,"Census Tract 75.02, District of Columbia, District of Columbia",1674,106,314,108,1360,121
1400000US11001007503,11001007503,"Census Tract 75.03, District of Columbia, District of Columbia",893,71,257,70,636,88
1400000US11001007504,11001007504,"Census Tract 75.04, District of Columbia, District of Columbia",949,113,189,73,760,116
1400000US11001007601,11001007601,"Census Tract 76.01, District of Columbia, District of Columbia",1785,149,959,158,826,175
1400000US11001007603,11001007603,"Census Tract 76.03, District of Columbia, District of Columbia",1879,182,771,157,1108,196
1400000US11001007604,11001007604,"Census Tract 76.04, District of Columbia, District of Columbia",1606,134,574,111,1032,130
1400000US11001007605,11001007605,"Census Tract 76.05, District of Columbia, District of Columbia",1568,111,300,82,1268,120
1400000US11001007703,11001007703,"Census Tract 77.03, District of Columbia, District of Columbia",2247,130,647,130,1600,170
1400000US11001007707,11001007707,"Census Tract 77.07, District of Columbia, District of Columbia",1503,101,699,108,804,128
1400000US11001007708,11001007708,"Census Tract 77.08, District of Columbia, District of Columbia",1100,110,170,59,930,126
1400000US11001007709,11001007709,"Census Tract 77.09, District of Columbia, District of Columbia",953,94,206,61,747,102
1400000US11001007803,11001007803,"Census Tract 78.03, District of Columbia, District of Columbia",1328,126,560,119,768,125
1400000US11001007804,11001007804,"Census Tract 78.04, District of Columbia, District of Columbia",1134,104,514,128,620,136
1400000US11001007806,11001007806,"Census Tract 78.06, District of Columbia, District of Columbia",848,109,288,87,560,111
1400000US11001007807,11001007807,"Census Tract 78.07, District of Columbia, District of Columbia",879,69,266,70,613,88
1400000US11001007808,11001007808,"Census Tract 78.08, District of Columbia, District of Columbia",1294,133,486,122,808,161
1400000US11001007809,11001007809,"Census Tract 78.09, District of Columbia, District of Columbia",1177,117,607,107,570,127
1400000US11001007901,11001007901,"Census Tract 79.01, District of Columbia, District of Columbia",1647,113,567,117,1080,139
1400000US11001007903,11001007903,"Census Tract 79.03, District of Columbia, District of Columbia",745,67,474,70,271,71
1400000US11001008001,11001008001,"Census Tract 80.01, District of Columbia, District of Columbia",1277,113,877,117,400,119
1400000US11001008002,11001008002,"Census Tract 80.02, District of Columbia, District of Columbia",1544,73,972,118,572,117
1400000US11001008100,11001008100,"Census Tract 81, District of Columbia, District of Columbia",1319,94,781,99,538,100
1400000US11001008200,11001008200,"Census Tract 82, District of Columbia, District of Columbia",1462,102,621,102,841,110
1400000US11001008301,11001008301,"Census Tract 83.01, District of Columbia, District of Columbia",1093,75,617,95,476,98
1400000US11001008302,11001008302,"Census Tract 83.02, District of Columbia, District of Columbia",986,55,558,62,428,79
1400000US11001008402,11001008402,"Census Tract 84.02, District of Columbia, District of Columbia",1055,110,389,97,666,112
1400000US11001008410,11001008410,"Census Tract 84.10, District of Columbia, District of Columbia",540,78,345,63,195,68
1400000US11001008701,11001008701,"Census Tract 87.01, District of Columbia, District of Columbia",872,70,440,77,432,77
1400000US11001008702,11001008702,"Census Tract 87.02, District of Columbia, District of Columbia",716,67,308,59,408,72
1400000US11001008802,11001008802,"Census Tract 88.02, District of Columbia, District of Columbia",1816,106,747,115,1069,136
1400000US11001008803,11001008803,"Census Tract 88.03, District of Columbia, District of Columbia",481,73,76,42,405,80
1400000US11001008804,11001008804,"Census Tract 88.04, District of Columbia, District of Columbia",1137,140,353,107,784,169
1400000US11001008903,11001008903,"Census Tract 89.03, District of Columbia, District of Columbia",1281,160,338,87,943,180
1400000US11001008904,11001008904,"Census Tract 89.04, District of Columbia, District of Columbia",1529,136,205,78,1324,137
1400000US11001009000,11001009000,"Census Tract 90, District of Columbia, District of Columbia",1707,88,628,91,1079,114
1400000US11001009102,11001009102,"Census Tract 91.02, District of Columbia, District of Columbia",1757,106,584,99,1173,130
1400000US11001009201,11001009201,"Census Tract 92.01, District of Columbia, District of Columbia",554,69,184,46,370,74
1400000US11001009203,11001009203,"Census Tract 92.03, District of Columbia, District of Columbia",1031,103,532,116,499,125
1400000US11001009204,11001009204,"Census Tract 92.04, District of Columbia, District of Columbia",1366,69,213,81,1153,100
1400000US11001009301,11001009301,"Census Tract 93.01, District of Columbia, District of Columbia",1234,46,973,124,261,125
1400000US11001009302,11001009302,"Census Tract 93.02, District of Columbia, District of Columbia",435,63,312,61,123,51
1400000US11001009400,11001009400,"Census Tract 94, District of Columbia, District of Columbia",1647,104,1223,127,424,122
1400000US11001009501,11001009501,"Census Tract 95.01, District of Columbia, District of Columbia",1746,119,428,112,1318,153
1400000US11001009503,11001009503,"Census Tract 95.03, District of Columbia, District of Columbia",1220,62,1047,95,173,71
1400000US11001009504,11001009504,"Census Tract 95.04, District of Columbia, District of Columbia",1218,97,565,88,653,123
1400000US11001009505,11001009505,"Census Tract 95.05, District of Columbia, District of Columbia",1029,116,819,128,210,102
1400000US11001009507,11001009507,"Census Tract 95.07, District of Columbia, District of Columbia",607,33,542,46,65,39
1400000US11001009508,11001009508,"Census Tract 95.08, District of Columbia, District of Columbia",1584,110,856,116,728,130
1400000US11001009509,11001009509,"Census Tract 95.09, District of Columbia, District of Columbia",1247,76,1089,103,158,87
1400000US11001009601,11001009601,"Census Tract 96.01, District of Columbia, District of Columbia",784,64,328,53,456,70
1400000US11001009602,11001009602,"Census Tract 96.02, District of Columbia, District of Columbia",1378,111,101,43,1277,108
1400000US11001009603,11001009603,"Census Tract 96.03, District of Columbia, District of Columbia",1388,103,386,93,1002,112
1400000US11001009604,11001009604,"Census Tract 96.04, District of Columbia, District of Columbia",1017,34,677,74,340,82
1400000US11001009700,11001009700,"Census Tract 97, District of Columbia, District of Columbia",1027,133,379,106,648,129
1400000US11001009801,11001009801,"Census Tract 98.01, District of Columbia, District of Columbia",634,72,118,54,516,82
1400000US11001009802,11001009802,"Census Tract 98.02, District of Columbia, District of Columbia",500,88,137,48,363,89
1400000US11001009803,11001009803,"Census Tract 98.03, District of Columbia, District of Columbia",1162,112,156,48,1006,115
1400000US11001009804,11001009804,"Census Tract 98.04, District of Columbia, District of Columbia",973,88,304,72,669,110
1400000US11001009807,11001009807,"Census Tract 98.07, District of Columbia, District of Columbia",1346,109,586,107,760,131
1400000US11001009810,11001009810,"Census Tract 98.10, District of Columbia, District of Columbia",1036,132,92,52,944,131
1400000US11001009811,11001009811,"Census Tract 98.11, District of Columbia, District of Columbia",1705,154,170,78,1535,155
1400000US11001009901,11001009901,"Census Tract 99.01, District of Columbia, District of Columbia",1036,75,857,94,179,84
1400000US11001009902,11001009902,"Census Tract 99.02, District of Columbia, District of Columbia",1192,95,853,108,339,100
1400000US11001009903,11001009903,"Census Tract 99.03, District of Columbia, District of Columbia",719,95,443,103,276,93
1400000US11001009904,11001009904,"Census Tract 99.04, District of Columbia, District of Columbia",745,93,237,76,508,98
1400000US11001009905,11001009905,"Census Tract 99.05, District of Columbia, District of Columbia",995,98,360,68,635,100
1400000US11001009906,11001009906,"Census Tract 99.06, District of Columbia, District of Columbia",541,67,270,60,271,61
1400000US11001009907,11001009907,"Census Tract 99.07, District of Columbia, District of Columbia",1066,105,232,82,834,124
1400000US11001010100,11001010100,"Census Tract 101, District of Columbia, District of Columbia",1793,128,441,107,1352,142
1400000US11001010200,11001010200,"Census Tract 102, District of Columbia, District of Columbia",1413,108,506,84,907,91
1400000US11001010300,11001010300,"Census Tract 103, District of Columbia, District of Columbia",1100,94,584,117,516,123
1400000US11001010400,11001010400,"Census Tract 104, District of Columbia, District of Columbia",1534,141,499,106,1035,157
1400000US11001010500,11001010500,"Census Tract 105, District of Columbia, District of Columbia",2274,100,673,157,1601,173
1400000US11001010600,11001010600,"Census Tract 106, District of Columbia, District of Columbia",2017,127,797,132,1220,146
1400000US11001010700,11001010700,"Census Tract 107, District of Columbia, District of Columbia",1152,107,210,53,942,118
1400000US11001010800,11001010800,"Census Tract 108, District of Columbia, District of Columbia",913,84,67,49,846,82
1400000US11001010900,11001010900,"Census Tract 109, District of Columbia, District of Columbia",1129,105,52,49,1077,105
1400000US11001011000,11001011000,"Census Tract 110, District of Columbia, District of Columbia",2292,210,1509,196,783,170
1400000US11001011100,11001011100,"Census Tract 111, District of Columbia, District of Columbia",1615,97,1016,123,599,109
1400000US24031700101,24031700101,"Census Tract 7001.01, Montgomery County, Maryland",1375,61,1327,64,48,33
1400000US24031700103,24031700103,"Census Tract 7001.03, Montgomery County, Maryland",1800,81,1699,97,101,71
1400000US24031700104,24031700104,"Census Tract 7001.04, Montgomery County, Maryland",1827,132,1734,148,93,64
1400000US24031700105,24031700105,"Census Tract 7001.05, Montgomery County, Maryland",2113,39,1837,109,276,105
1400000US24031700204,24031700204,"Census Tract 7002.04, Montgomery County, Maryland",791,25,746,36,45,31
1400000US24031700205,24031700205,"Census Tract 7002.05, Montgomery County, Maryland",2012,85,1937,97,75,62
1400000US24031700206,24031700206,"Census Tract 7002.06, Montgomery County, Maryland",1835,66,1761,78,74,50
1400000US24031700207,24031700207,"Census Tract 7002.07, Montgomery County, Maryland",1919,83,1487,122,432,116
1400000US24031700208,24031700208,"Census Tract 7002.08, Montgomery County, Maryland",653,66,624,62,29,33
1400000US24031700304,24031700304,"Census Tract 7003.04, Montgomery County, Maryland",2589,119,1727,172,862,185
1400000US24031700306,24031700306,"Census Tract 7003.06, Montgomery County, Maryland",2324,107,1948,158,376,164
1400000US24031700308,24031700308,"Census Tract 7003.08, Montgomery County, Maryland",2234,137,1645,167,589,145
1400000US24031700309,24031700309,"Census Tract 7003.09, Montgomery County, Maryland",2114,92,1246,148,868,159
1400000US24031700310,24031700310,"Census Tract 7003.10, Montgomery County, Maryland",2697,122,1967,178,730,172
1400000US24031700311,24031700311,"Census Tract 7003.11, Montgomery County, Maryland",2415,91,2114,160,301,150
