OBJECTID,GEO.id,dec_oo,dec_ro
241,1400000US51013103402,303,1682
242,,,
243,1400000US51510200103,1104,1716
244,,,
245,1400000US51510200301,211,1208
246,,,
247,1400000US51510200500,245,2438
248,1400000US51510200600,1202,531
249,,,
250,,,
251,1400000US51510200900,1578,231
252,1400000US51510201204,536,735
253,1400000US51510201600,729,1090
254,1400000US51510202001,917,218
255,,,
256,1400000US51610500300,686,891
257,1400000US51059415200,1129,725
258,1400000US51059415300,1055,379
259,,,
260,1400000US51059415500,1556,642
261,1400000US51059415600,969,65
262,1400000US51059415700,1268,78
263,1400000US51059415800,1548,108
264,1400000US51059415900,1044,101
265,1400000US51059416100,1243,113
266,1400000US51059416200,29,1056
267,1400000US51059416300,601,99
268,,,
269,,,
270,,,
271,1400000US51059420300,1675,228
272,,,
273,,,
274,,,
275,1400000US51059420600,789,871
276,1400000US51059420700,1199,112
277,,,
278,,,
279,,,
280,,,
281,,,
282,1400000US51059421300,1243,204
283,1400000US51059421400,401,1952
284,1400000US51059421500,1164,821
285,,,
286,,,
287,1400000US51059421900,7,806
288,1400000US51059422000,560,547
289,,,
290,,,
291,,,
292,,,
293,,,
294,,,
295,,,
296,,,
297,,,
298,,,
299,,,
300,1400000US51059430400,2034,223
301,1400000US51059430600,1311,484
302,1400000US51059430700,775,134
303,,,
304,,,
305,,,
306,,,
307,,,
308,1400000US51059431300,1223,177
309,1400000US51059431400,1261,184
310,1400000US51059431500,1600,252
311,1400000US51059431600,1297,733
312,,,
313,1400000US51059432000,819,280
314,1400000US51059432100,1128,296
315,,,
316,,,
317,,,
318,,,
319,1400000US51059432500,1696,178
320,1400000US51059432600,1317,191
321,,,
322,1400000US51059432800,509,223
323,1400000US51059440100,1854,773
324,,,
325,,,
326,1400000US51059440300,874,52
327,,,
328,,,
329,,,
330,,,
331,1400000US51059440800,1794,248
332,1400000US51059450100,1174,1037
333,1400000US51059450300,1206,430
334,1400000US51059450400,805,124
335,,,
336,,,
337,,,
338,1400000US51059450800,979,163
339,1400000US51059450900,513,49
340,1400000US51059451000,800,95
341,1400000US51059451100,756,57
342,1400000US51059451200,581,26
343,1400000US51059451400,175,948
344,,,
345,,,
346,,,
347,,,
348,1400000US51059451800,987,100
349,1400000US51059452000,738,346
350,,,
351,1400000US51059452200,1204,925
352,,,
353,,,
354,1400000US51059452400,1693,624
355,,,
356,1400000US51059452600,1026,679
357,1400000US51059452700,785,925
358,,,
359,1400000US51059460100,1161,83
360,1400000US51059460400,1258,536
361,,,
362,,,
363,,,
364,,,
365,1400000US51059460800,930,183
366,1400000US51059460900,750,90
367,1400000US51059461100,1931,478
368,,,
369,,,
370,1400000US51059461500,1554,354
371,,,
372,1400000US51059461700,1225,988
373,,,
374,,,
375,,,
376,1400000US51059470100,858,67
377,1400000US51059470300,1065,56
378,1400000US51059470400,1484,196
379,1400000US51059470500,1535,524
380,1400000US51059470700,1620,199
381,1400000US51059470800,902,163
382,1400000US51059470900,1997,428
383,1400000US51059471100,1683,702
384,,,
385,,,
386,,,
387,,,
388,,,
389,,,
390,1400000US51059480100,1285,75
391,,,
392,,,
393,1400000US51059480300,2024,94
394,,,
395,,,
396,,,
397,,,
398,,,
399,,,
400,,,
401,,,
402,,,
403,,,
404,,,
405,,,
406,,,
407,,,
408,,,
409,,,
410,,,
411,1400000US51059481400,2100,579
412,1400000US51059481500,744,19
413,1400000US51059481600,986,38
414,,,
415,1400000US51059481900,1301,774
416,,,
417,1400000US51059482100,916,546
418,,,
419,,,
420,,,
421,,,
422,,,
423,1400000US51059482400,739,49
424,,,
425,,,
426,,,
427,,,
428,,,
429,,,
430,,,
431,,,
432,1400000US51059491000,531,0
433,,,
434,,,
435,,,
436,,,
437,,,
438,,,
439,,,
440,,,
441,,,
442,,,
443,,,
444,,,
445,,,
446,,,
447,,,
448,,,
449,,,
450,,,
451,,,
452,1400000US51059492000,1958,80
453,1400000US51059492100,2042,61
454,,,
455,,,
456,1400000US51059492300,915,160
457,1400000US51059492400,1179,406
458,,,
459,,,
460,,,
461,1400000US51013100200,1937,193
462,1400000US51013100300,1966,133
463,1400000US51013100500,1188,319
464,1400000US51013100600,654,514
465,1400000US51013100700,1315,963
466,1400000US51013100900,980,689
467,1400000US51013101000,833,400
468,1400000US51013101100,1460,375
469,1400000US51013101200,918,511
470,1400000US51013101300,1833,539
471,,,
472,,,
473,,,
474,1400000US51013101500,1168,1869
475,,,
476,,,
477,,,
478,,,
479,,,
480,,,
481,,,
482,,,
483,,,
484,,,
485,1400000US51013102100,567,315
486,1400000US51013102200,857,1615
487,,,
488,1400000US51013102400,741,782
489,1400000US51013102500,507,1500
490,1400000US51013102600,530,597
491,,,
492,,,
493,,,
494,,,
495,1400000US51013103000,1214,486
496,1400000US51013103100,839,720
497,1400000US51013103200,860,2839
498,1400000US51013103300,279,166
499,1400000US51013103401,9,172
500,,,
501,,,
502,,,
503,,,
504,1400000US51013103700,831,181
505,1400000US51013103800,357,1043
506,,,
507,,,
508,,,
509,1400000US51510201300,880,548
510,1400000US51510201400,992,827
511,1400000US51510201500,1077,331
512,1400000US51510201801,1675,1328
513,1400000US51510201802,566,343
514,1400000US51510201900,446,532
515,1400000US51510202002,541,1232
516,1400000US51510200102,419,1273
517,1400000US51510200104,7,1344
518,1400000US51510200105,11,2414
519,,,
520,1400000US51510200201,621,1057
521,1400000US51510200202,540,56
522,1400000US51510200302,677,755
523,1400000US51510200303,893,2043
524,,,
525,,,
526,,,
527,,,
528,,,
529,1400000US51510200801,836,121
530,1400000US51510200802,613,755
531,1400000US51510201000,1059,778
532,1400000US51510201100,805,373
533,1400000US51510201202,667,742
534,1400000US51510201203,323,2034
535,,,
536,,,
537,,,
538,,,
539,1400000US51610500100,758,179
540,1400000US51610500200,1260,697
541,1400000US51059420400,202,1277
542,,,
543,,,
544,1400000US24031700304,1512,490
545,1400000US24031700607,2056,275
546,,,
547,1400000US24031700710,1578,353
548,,,
549,,,
550,1400000US24031700815,1790,370
551,,,
552,,,
553,1400000US24033803001,693,308
554,1400000US24033803002,797,239
555,1400000US24033803100,570,483
556,1400000US24033803200,280,842
557,1400000US24033803512,1020,610
558,1400000US24033803519,750,763
559,,,
560,1400000US24033803613,738,1265
561,1400000US24033804001,174,1639
562,1400000US24033804400,620,229
563,1400000US24033804900,507,968
564,1400000US24033805601,56,1514
565,1400000US24033805904,784,107
566,1400000US24033806200,815,791
567,1400000US24033806602,734,643
568,1400000US24033806712,698,647
569,1400000US24033807304,531,49
570,,,
571,,,
572,,,
573,,,
574,1400000US24031700901,631,762
575,1400000US24031701002,988,31
576,1400000US24031701102,1548,395
577,1400000US24031701210,1285,58
578,1400000US24031701215,1168,1257
579,1400000US24031701304,1994,76
580,1400000US24031701313,1149,106
581,1400000US24031701409,1150,56
582,,,
583,,,
584,,,
585,1400000US24031701900,216,1102
586,1400000US24031702102,1033,76
587,1400000US24031702500,25,1441
588,1400000US24031703201,2163,177
589,1400000US24031703209,1121,932
590,,,
591,1400000US24031703301,1164,175
592,1400000US24031703402,886,105
593,1400000US24031703602,896,95
594,1400000US24031703902,1502,798
595,,,
596,,,
597,1400000US24031705300,654,24
598,1400000US24031705601,917,130
599,1400000US24031705602,884,1178
600,1400000US24031705701,1217,350
601,1400000US24031705901,1323,94
602,,,
603,1400000US24033800106,728,233
604,1400000US24033800209,210,1529
605,,,
606,1400000US24033800408,1246,69
607,,,
608,,,
609,,,
610,,,
611,,,
612,,,
613,,,
614,,,
615,1400000US24033801308,1094,52
616,,,
617,,,
618,1400000US24033801702,414,1148
619,1400000US24033801801,289,571
620,1400000US24033801805,502,558
621,1400000US24033802104,519,419
622,1400000US24033802203,1149,507
623,1400000US24033802406,243,671
624,1400000US24033802600,767,318
625,1400000US24031700308,1706,579
626,1400000US24031700309,1029,526
627,1400000US24031700310,999,740
628,,,
629,,,
630,1400000US24031700400,608,139
631,1400000US24031700500,1815,292
632,1400000US24031700604,1947,91
633,1400000US24031700606,1352,91
634,1400000US24031700608,1432,22
635,1400000US24031700610,607,77
636,,,
637,,,
638,,,
639,,,
640,1400000US24031700704,680,318
641,1400000US24031700706,368,883
642,1400000US24031700711,1454,536
643,1400000US24031700713,719,1305
644,1400000US24031700715,1444,272
645,1400000US24031700716,1910,596
646,,,
647,,,
648,,,
649,,,
650,,,
651,,,
652,1400000US24031700810,1521,218
653,1400000US24031700811,1005,281
654,1400000US24031700812,1255,455
655,1400000US24031700101,1181,57
656,1400000US24031700103,1323,92
657,,,
658,1400000US24031700204,596,102
659,1400000US24031700205,1495,59
660,1400000US24031700206,1559,85
661,,,
662,,,
663,1400000US24031700306,1830,245
664,1400000US24031700813,1631,370
665,1400000US24031700816,1420,1265
666,1400000US24031700817,757,1300
667,1400000US24031700818,618,1892
668,1400000US24031700819,1807,447
669,,,
670,,,
671,1400000US24033803300,1009,466
672,1400000US24033803401,390,67
673,1400000US24033803402,1012,571
674,1400000US24033803508,624,1010
675,1400000US24033803509,124,897
676,1400000US24033803513,1293,598
677,1400000US24033803514,968,298
678,1400000US24033803516,1027,101
679,1400000US24033806711,866,788
680,,,
681,,,
682,1400000US24033806800,1164,162
683,1400000US24033806900,1131,224
684,1400000US24033807000,915,928
685,1400000US24033807102,642,248
686,1400000US24033807200,240,802
687,1400000US24033807301,489,930
688,1400000US24033807305,729,316
689,1400000US24033807404,1165,474
690,1400000US24033807407,1116,734
691,1400000US24033807408,1874,423
692,,,
693,,,
694,,,
695,,,
696,,,
697,,,
698,,,
699,,,
700,,,
701,1400000US24033803601,1004,55
702,1400000US24033803602,445,295
703,1400000US24033803605,1675,364
704,1400000US24033803606,1434,120
705,1400000US24033803608,1435,370
706,1400000US24033803610,764,317
707,1400000US24033803612,340,945
708,1400000US24033803700,685,31
709,1400000US24033803801,603,92
710,1400000US24033803803,1137,631
711,1400000US24033803900,618,449
712,1400000US24033804002,661,632
713,1400000US24033804101,591,559
714,1400000US24033804102,932,890
715,1400000US24033804200,1009,106
716,1400000US24033804300,433,769
717,1400000US24033804600,662,236
718,1400000US24033804700,863,396
719,,,
720,,,
721,1400000US24033805000,781,1456
722,1400000US24033805101,388,871
723,1400000US24033805201,570,737
724,1400000US24033805202,332,890
725,1400000US24033805500,577,940
726,1400000US24033805602,133,1207
727,1400000US24033805700,857,825
728,1400000US24033805801,938,129
729,1400000US24033805802,738,208
730,,,
731,,,
732,,,
733,,,
734,1400000US24033806000,823,668
735,1400000US24033806100,1032,492
736,1400000US24033806300,361,308
737,1400000US24033806400,991,210
738,1400000US24033806501,494,972
739,1400000US24033806601,655,615
740,1400000US24033806706,1065,440
741,1400000US24033806708,974,1180
742,1400000US24033806710,1415,551
743,1400000US24033803607,953,15
744,1400000US24031701417,550,1918
745,,,
746,1400000US24033807405,1474,317
747,1400000US24031704502,909,73
748,,,
749,,,
750,,,
751,,,
752,1400000US24031700902,846,323
753,1400000US24031700903,289,424
754,1400000US24031700904,108,719
755,1400000US24031700905,271,1384
756,1400000US24031701001,1436,526
757,1400000US24031701004,1395,506
758,1400000US24031701005,854,106
759,,,
760,,,
761,1400000US24031701101,1349,167
762,1400000US24031701201,1476,798
763,1400000US24031701202,908,107
764,1400000US24031701205,1888,88
765,1400000US24031701206,1981,219
766,1400000US24031701211,808,507
767,1400000US24031701212,829,86
768,1400000US24031701213,2012,591
769,1400000US24031701214,571,468
770,,,
771,,,
772,,,
773,,,
774,,,
775,1400000US24031701303,1276,48
776,1400000US24031701306,895,22
777,1400000US24031701307,787,50
778,1400000US24031701308,774,13
779,1400000US24031701312,1840,185
780,,,
781,,,
782,,,
783,,,
784,1400000US24031701408,1670,129
785,1400000US24031701410,1818,558
786,1400000US24031701414,1772,657
787,1400000US24031701415,2159,295
788,,,
789,,,
790,,,
791,,,
792,1400000US24031701503,1881,140
793,1400000US24031701505,1200,1339
794,1400000US24031701506,1629,130
795,1400000US24031701507,1550,218
796,,,
797,,,
798,1400000US24031701701,654,909
799,1400000US24031701702,190,860
800,1400000US24031701703,608,666
801,1400000US24031701704,774,331
802,1400000US24031701800,896,996
803,1400000US24031702000,626,835
804,1400000US24031702101,877,860
805,1400000US24031701407,1664,128
806,1400000US24031702200,1295,205
807,1400000US24031702301,474,944
808,1400000US24031702302,981,724
809,1400000US24031702401,753,213
810,1400000US24031702402,662,1345
811,1400000US24031702601,0,2473
812,1400000US24031702602,482,1774
813,1400000US24031702700,1130,1193
814,1400000US24031702800,1062,1170
815,1400000US24031702900,1444,797
816,1400000US24031703000,574,74
817,1400000US24031703100,1262,325
818,1400000US24031703202,1768,364
819,1400000US24031703206,954,299
820,1400000US24031703207,610,1152
