GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Owner occupied,Margin of Error; Total: - Owner occupied,Estimate; Total: - Renter occupied,Margin of Error; Total: - Renter occupied
1400000US11001000100,11001000100,"Census Tract 1, District of Columbia, District of Columbia",2410,223,1201,206,1209,245
1400000US11001000201,11001000201,"Census Tract 2.01, District of Columbia, District of Columbia",0,95,0,95,0,95
1400000US11001000202,11001000202,"Census Tract 2.02, District of Columbia, District of Columbia",1777,103,1087,112,690,122
1400000US11001000300,11001000300,"Census Tract 3, District of Columbia, District of Columbia",2487,181,1366,181,1121,219
1400000US11001000400,11001000400,"Census Tract 4, District of Columbia, District of Columbia",597,59,378,56,219,66
1400000US11001000501,11001000501,"Census Tract 5.01, District of Columbia, District of Columbia",2008,99,298,76,1710,110
1400000US11001000502,11001000502,"Census Tract 5.02, District of Columbia, District of Columbia",1730,81,847,93,883,113
1400000US11001000600,11001000600,"Census Tract 6, District of Columbia, District of Columbia",2041,117,1387,120,654,118
1400000US11001000701,11001000701,"Census Tract 7.01, District of Columbia, District of Columbia",3000,163,1715,180,1285,220
1400000US11001000702,11001000702,"Census Tract 7.02, District of Columbia, District of Columbia",2394,120,730,179,1664,189
1400000US11001000801,11001000801,"Census Tract 8.01, District of Columbia, District of Columbia",3383,166,2001,213,1382,216
1400000US11001000802,11001000802,"Census Tract 8.02, District of Columbia, District of Columbia",1352,90,821,111,531,121
1400000US11001000901,11001000901,"Census Tract 9.01, District of Columbia, District of Columbia",1446,111,1207,123,239,78
1400000US11001000902,11001000902,"Census Tract 9.02, District of Columbia, District of Columbia",810,66,696,67,114,58
1400000US11001001001,11001001001,"Census Tract 10.01, District of Columbia, District of Columbia",2822,57,2248,128,574,120
1400000US11001001002,11001001002,"Census Tract 10.02, District of Columbia, District of Columbia",1792,208,730,135,1062,173
1400000US11001001100,11001001100,"Census Tract 11, District of Columbia, District of Columbia",1804,128,1382,126,422,121
1400000US11001001200,11001001200,"Census Tract 12, District of Columbia, District of Columbia",2468,109,1320,128,1148,151
1400000US11001001301,11001001301,"Census Tract 13.01, District of Columbia, District of Columbia",2068,112,531,95,1537,124
1400000US11001001302,11001001302,"Census Tract 13.02, District of Columbia, District of Columbia",4864,236,1511,187,3353,248
1400000US11001001401,11001001401,"Census Tract 14.01, District of Columbia, District of Columbia",1433,64,779,86,654,105
1400000US11001001402,11001001402,"Census Tract 14.02, District of Columbia, District of Columbia",1378,100,847,92,531,109
1400000US11001001500,11001001500,"Census Tract 15, District of Columbia, District of Columbia",2147,96,2036,101,111,54
1400000US11001001600,11001001600,"Census Tract 16, District of Columbia, District of Columbia",1696,73,1486,109,210,95
1400000US11001001702,11001001702,"Census Tract 17.02, District of Columbia, District of Columbia",1098,79,633,101,465,96
1400000US11001001803,11001001803,"Census Tract 18.03, District of Columbia, District of Columbia",1602,93,316,83,1286,120
1400000US11001001804,11001001804,"Census Tract 18.04, District of Columbia, District of Columbia",1945,133,499,95,1446,149
1400000US11001001901,11001001901,"Census Tract 19.01, District of Columbia, District of Columbia",1537,95,1281,136,256,119
1400000US11001001902,11001001902,"Census Tract 19.02, District of Columbia, District of Columbia",833,58,667,80,166,75
1400000US11001002001,11001002001,"Census Tract 20.01, District of Columbia, District of Columbia",1003,82,390,83,613,108
1400000US11001002002,11001002002,"Census Tract 20.02, District of Columbia, District of Columbia",1424,81,955,101,469,110
1400000US11001002101,11001002101,"Census Tract 21.01, District of Columbia, District of Columbia",1890,126,947,128,943,142
1400000US11001002102,11001002102,"Census Tract 21.02, District of Columbia, District of Columbia",1996,146,983,133,1013,163
1400000US11001002201,11001002201,"Census Tract 22.01, District of Columbia, District of Columbia",1130,82,902,108,228,86
1400000US11001002202,11001002202,"Census Tract 22.02, District of Columbia, District of Columbia",1278,111,589,105,689,146
1400000US11001002301,11001002301,"Census Tract 23.01, District of Columbia, District of Columbia",1074,81,738,87,336,94
1400000US11001002302,11001002302,"Census Tract 23.02, District of Columbia, District of Columbia",732,106,148,41,584,111
1400000US11001002400,11001002400,"Census Tract 24, District of Columbia, District of Columbia",1283,99,853,132,430,127
1400000US11001002501,11001002501,"Census Tract 25.01, District of Columbia, District of Columbia",968,65,504,87,464,92
1400000US11001002502,11001002502,"Census Tract 25.02, District of Columbia, District of Columbia",2041,170,597,145,1444,177
1400000US11001002600,11001002600,"Census Tract 26, District of Columbia, District of Columbia",992,48,746,47,246,58
1400000US11001002701,11001002701,"Census Tract 27.01, District of Columbia, District of Columbia",2656,167,642,167,2014,227
