GEO_ID_2,ACSDE1,ACSde23,VD06,DEC1
1400000US11001008100,3337,2591,13,99
1400000US11001000801,6605,5911,32,90
1400000US51059415100,3348,2610,10,47
1400000US51059415401,,,,
1400000US51059416000,4926,3320,18,66
1400000US51059420100,3817,1721,11,17
1400000US51059420800,3719,2585,7,27
1400000US51059421200,1895,1523,8,26
1400000US51059421600,6058,2316,43,102
1400000US51059421800,5038,2398,50,100
1400000US51059422301,,,,
1400000US51059422401,,,,
1400000US51059430203,,,,
1400000US51059430500,1834,1243,6,12
1400000US51059430901,,,,
1400000US51059431801,,,,
1400000US51059431900,3451,2540,7,7
1400000US51059432300,5168,3932,12,18
1400000US51059432702,,,,
1400000US51059440600,2882,2032,0,27
1400000US51059450200,3646,1851,24,60
1400000US51059450500,2517,1763,7,32
1400000US51059450702,,,,
1400000US51059451300,2253,1748,32,45
1400000US51059451900,5455,2682,41,101
1400000US51059452102,,,,
1400000US51059452502,,,,
1400000US51059452802,,,,
1400000US51059460200,3994,3680,5,5
1400000US51059460300,2748,2488,6,9
1400000US51059460600,3994,2938,0,14
1400000US51059461000,2197,1900,28,60
1400000US51059461601,,,,
1400000US51059461901,,,,
1400000US51059470600,2951,2483,0,6
1400000US51059471000,1897,1609,10,17
1400000US51059471303,,,,
1400000US51059480202,,,,
1400000US51059480501,,,,
1400000US51059480802,,,,
1400000US51059481000,3644,2253,10,61
1400000US51059481104,,,,
1400000US51059481701,,,,
1400000US51059482301,,,,
1400000US51059482502,,,,
1400000US51059490501,,,,
1400000US51059491202,,,,
1400000US51059491401,,,,
1400000US51059491501,,,,
1400000US51059491703,,,,
1400000US51059491801,,,,
1400000US51059492202,,,,
1400000US51059980100,,,,
1400000US51013100100,4830,4088,17,38
1400000US51013100400,3491,3355,0,30
1400000US51013100800,1569,829,0,0
1400000US51013101401,,,,
1400000US51013101602,,,,
1400000US51013101703,,,,
1400000US51013101900,2467,2370,17,38
1400000US51013102301,,,,
1400000US51013102702,,,,
1400000US51013102902,,,,
1400000US51013103402,3575,2834,21,70
1400000US51013103602,,,,
1400000US51510200103,7959,3381,22,157
1400000US51510200107,,,,
1400000US51510200301,3089,1517,19,77
1400000US51510200405,,,,
1400000US51510200500,4187,2222,49,102
1400000US51510200600,5573,2746,32,86
1400000US51510200701,,,,
1400000US51510200702,,,,
1400000US51510200900,5226,4995,27,65
1400000US51510201204,2760,1396,14,64
1400000US51510201600,5002,2819,55,149
1400000US51510202001,2113,2086,12,41
1400000US51600300300,,,,
1400000US51610500300,3484,3023,14,70
1400000US51059415200,3020,2822,53,104
1400000US51059415300,3890,2401,45,87
1400000US51059415402,,,,
1400000US51059415500,5726,4098,9,46
1400000US51059415600,2660,2575,0,34
1400000US51059415700,3876,3761,5,5
1400000US51059415800,4572,4339,24,30
1400000US51059415900,2870,2650,6,6
1400000US51059416100,3618,3306,15,37
1400000US51059416200,4211,2987,8,31
1400000US51059416300,1966,1703,22,39
1400000US51059420201,,,,
1400000US51059420202,,,,
1400000US51059420203,,,,
1400000US51059420300,5731,4465,14,99
1400000US51059420501,,,,
1400000US51059420502,,,,
