OBJECTID,GEO.id,dec_lf16,dec_lf16p,dec_em16,dec_dec_em,dec_ue16,dec_ue16p,dec_nw16,dec_nw16p,dec_flf16,dec)flf16p
382,1400000US51059470900,68.2,66.2,3269,64.5,45,0.9,100.0,33.8,1495,55.7
383,1400000US51059471100,73.6,72.9,3736,71.6,30,0.6,100.0,27.1,1771,68.9
384,,,,,,,,,,,
385,,,,,,,,,,,
386,,,,,,,,,,,
387,,,,,,,,,,,
388,,,,,,,,,,,
389,,,,,,,,,,,
390,1400000US51059480100,73.7,61.0,1836,60.6,13,0.4,100.0,39.0,673,42.7
391,,,,,,,,,,,
392,,,,,,,,,,,
393,1400000US51059480300,78.4,64.4,3065,62.8,37,0.8,100.0,35.6,1173,47.9
394,,,,,,,,,,,
395,,,,,,,,,,,
396,,,,,,,,,,,
397,,,,,,,,,,,
398,,,,,,,,,,,
399,,,,,,,,,,,
400,,,,,,,,,,,
401,,,,,,,,,,,
402,,,,,,,,,,,
403,,,,,,,,,,,
404,,,,,,,,,,,
405,,,,,,,,,,,
406,,,,,,,,,,,
407,,,,,,,,,,,
408,,,,,,,,,,,
409,,,,,,,,,,,
410,,,,,,,,,,,
411,1400000US51059481400,74.0,72.8,3630,70.8,70,1.4,100.0,27.2,1802,64.9
412,1400000US51059481500,76.2,73.2,1224,71.4,22,1.3,100.0,26.8,534,65.4
413,1400000US51059481600,73.3,66.1,1500,65.2,21,0.9,100.0,33.9,623,53.9
414,,,,,,,,,,,
415,1400000US51059481900,80.9,70.5,2840,68.7,72,1.7,100.0,29.5,1294,58.7
416,,,,,,,,,,,
417,1400000US51059482100,71.4,80.4,1978,77.4,69,2.7,100.0,19.6,886,70.1
418,,,,,,,,,,,
419,,,,,,,,,,,
420,,,,,,,,,,,
421,,,,,,,,,,,
422,,,,,,,,,,,
423,1400000US51059482400,85.3,66.7,1256,66.1,10,0.5,100.0,33.3,547,56.2
424,,,,,,,,,,,
425,,,,,,,,,,,
426,,,,,,,,,,,
427,,,,,,,,,,,
428,,,,,,,,,,,
429,,,,,,,,,,,
430,,,,,,,,,,,
431,,,,,,,,,,,
432,1400000US51059491000,79.2,71.4,942,67.3,35,2.5,100.0,28.6,397,59.1
433,,,,,,,,,,,
434,,,,,,,,,,,
435,,,,,,,,,,,
436,,,,,,,,,,,
437,,,,,,,,,,,
438,,,,,,,,,,,
439,,,,,,,,,,,
440,,,,,,,,,,,
441,,,,,,,,,,,
442,,,,,,,,,,,
443,,,,,,,,,,,
444,,,,,,,,,,,
445,,,,,,,,,,,
446,,,,,,,,,,,
447,,,,,,,,,,,
448,,,,,,,,,,,
449,,,,,,,,,,,
450,,,,,,,,,,,
451,,,,,,,,,,,
452,1400000US51059492000,76.1,70.4,3292,67.8,72,1.5,100.0,29.6,1458,60.4
453,1400000US51059492100,77.0,73.3,3548,70.8,69,1.4,100.0,26.7,1549,62.8
454,,,,,,,,,,,
455,,,,,,,,,,,
456,1400000US51059492300,75.6,79.3,1710,74.2,17,0.7,100.0,20.7,864,71.8
457,1400000US51059492400,75.5,76.1,2273,73.7,37,1.2,100.0,23.9,1067,66.9
458,,,,,,,,,,,
459,,,,,,,,,,,
460,,,,,,,,,,,
461,1400000US51013100200,66.9,66.2,2769,65.4,25,0.6,100.0,33.8,1264,58.2
462,1400000US51013100300,72.2,67.1,3215,66.4,23,0.5,100.0,32.9,1677,62.2
463,1400000US51013100500,64.1,76.0,2247,74.7,41,1.4,100.0,24.0,1040,69.3
464,1400000US51013100600,68.0,69.9,1708,68.0,44,1.8,100.0,30.1,809,61.0
465,1400000US51013100700,59.9,77.3,3363,75.0,80,1.8,100.0,22.7,1653,73.1
466,1400000US51013100900,65.0,75.8,2336,73.2,64,2.0,100.0,24.2,1165,71.7
467,1400000US51013101000,66.7,74.7,1668,72.4,38,1.7,100.0,25.3,818,69.0
468,1400000US51013101100,57.8,76.4,2788,74.3,63,1.7,100.0,23.6,1310,68.6
469,1400000US51013101200,66.4,64.0,1822,62.5,35,1.2,100.0,36.0,849,54.3
470,1400000US51013101300,61.6,79.9,3750,76.8,72,1.5,100.0,20.1,1889,78.3
471,,,,,,,,,,,
472,,,,,,,,,,,
473,,,,,,,,,,,
474,1400000US51013101500,47.2,82.1,4146,78.7,147,2.8,100.0,17.9,2178,79.0
475,,,,,,,,,,,
476,,,,,,,,,,,
477,,,,,,,,,,,
478,,,,,,,,,,,
479,,,,,,,,,,,
480,,,,,,,,,,,
481,,,,,,,,,,,
482,,,,,,,,,,,
483,,,,,,,,,,,
484,,,,,,,,,,,
485,1400000US51013102100,69.9,53.3,933,51.0,33,1.8,100.0,46.7,421,46.9
486,1400000US51013102200,53.1,69.5,3761,64.8,240,4.1,100.0,30.5,1793,62.3
487,,,,,,,,,,,
488,1400000US51013102400,65.4,72.2,2043,70.2,45,1.5,100.0,27.8,912,64.9
489,1400000US51013102500,60.0,79.7,2686,75.2,67,1.9,100.0,20.3,1370,75.4
490,1400000US51013102600,66.6,72.1,1671,67.0,106,4.2,100.0,27.9,817,64.6
491,,,,,,,,,,,
492,,,,,,,,,,,
493,,,,,,,,,,,
494,,,,,,,,,,,
495,1400000US51013103000,67.6,83.5,2115,78.2,58,2.1,100.0,16.5,1254,80.7
496,1400000US51013103100,62.7,68.2,2175,64.7,117,3.5,100.0,31.8,1099,63.4
497,1400000US51013103200,62.5,80.4,4400,75.0,102,1.7,100.0,19.6,2244,76.0
498,1400000US51013103300,64.5,62.3,590,57.3,39,3.8,100.0,37.7,350,60.7
499,1400000US51013103401,25.8,92.4,163,8.0,19,0.9,100.0,7.6,82,18.5
500,,,,,,,,,,,
501,,,,,,,,,,,
502,,,,,,,,,,,
503,,,,,,,,,,,
504,1400000US51013103700,64.2,72.7,1378,68.3,19,0.9,100.0,27.3,577,59.0
505,1400000US51013103800,49.1,77.1,2541,72.8,130,3.7,100.0,22.9,1110,69.9
506,,,,,,,,,,,
507,,,,,,,,,,,
508,,,,,,,,,,,
509,1400000US51510201300,58.2,77.6,1940,74.7,70,2.7,100.0,22.4,1042,74.0
510,1400000US51510201400,56.9,79.8,2448,76.9,56,1.8,100.0,20.2,1314,76.1
511,1400000US51510201500,57.8,71.5,1974,68.6,39,1.4,100.0,28.5,969,63.5
512,1400000US51510201801,67.7,79.1,3297,76.2,73,1.7,100.0,20.9,1693,72.6
513,1400000US51510201802,64.2,72.5,1008,67.1,55,3.7,100.0,27.5,568,65.7
514,1400000US51510201900,53.9,85.4,1288,81.3,57,3.6,100.0,14.6,624,81.9
515,1400000US51510202002,67.3,80.3,1801,76.1,19,0.8,100.0,19.7,908,71.9
516,1400000US51510200102,68.7,72.6,2108,65.0,132,4.1,100.0,27.4,1046,66.8
517,1400000US51510200104,61.1,79.9,1858,74.1,33,1.3,100.0,20.1,997,77.9
518,1400000US51510200105,58.4,76.8,2565,71.6,177,4.9,100.0,23.2,1279,73.7
519,,,,,,,,,,,
520,1400000US51510200201,64.1,77.5,2141,73.7,63,2.2,100.0,22.5,1128,71.7
521,1400000US51510200202,64.6,64.3,784,61.3,19,1.5,100.0,35.7,379,58.2
522,1400000US51510200302,70.1,72.7,2122,68.4,55,1.8,100.0,27.3,1050,67.7
523,1400000US51510200303,67.6,68.5,2854,65.2,89,2.0,100.0,31.5,1609,63.2
524,,,,,,,,,,,
525,,,,,,,,,,,
526,,,,,,,,,,,
527,,,,,,,,,,,
528,,,,,,,,,,,
529,1400000US51510200801,68.8,63.6,1235,62.5,16,0.8,100.0,36.4,560,54.8
530,1400000US51510200802,69.5,79.1,1816,77.6,17,0.7,100.0,20.9,950,77.0
531,1400000US51510201000,73.6,83.9,2036,81.8,37,1.5,100.0,16.1,1220,81.8
532,1400000US51510201100,69.7,73.4,1560,71.3,40,1.8,100.0,26.6,738,66.0
533,1400000US51510201202,66.4,81.4,2051,77.3,84,3.2,100.0,18.6,1028,76.3
534,1400000US51510201203,38.8,68.7,3474,62.4,269,4.8,100.0,31.3,1528,64.4
535,,,,,,,,,,,
536,,,,,,,,,,,
537,,,,,,,,,,,
538,,,,,,,,,,,
539,1400000US51610500100,62.9,74.7,1323,72.8,29,1.6,100.0,25.3,700,72.1
540,1400000US51610500200,67.1,72.9,2575,70.7,58,1.6,100.0,27.1,1333,68.5
541,1400000US51059420400,49.6,77.2,1765,75.4,21,0.9,100.0,22.8,834,76.1
542,,,,,,,,,,,
543,,,,,,,,,,,
544,1400000US24031700304,77.0,78.4,3016,75.3,92,2.3,100.0,21.6,1532,71.5
545,1400000US24031700607,81.1,73.6,3936,71.8,95,1.7,100.0,26.4,1873,66.7
546,,,,,,,,,,,
547,1400000US24031700710,70.1,71.1,3259,69.3,69,1.5,100.0,28.9,1527,61.8
548,,,,,,,,,,,
549,,,,,,,,,,,
550,1400000US24031700815,70.1,84.2,3587,77.6,268,5.8,100.0,15.8,1901,80.8
551,,,,,,,,,,,
552,,,,,,,,,,,
553,1400000US24033803001,61.3,66.7,1338,62.2,95,4.4,100.0,33.3,728,61.8
554,1400000US24033803002,51.3,65.4,1332,60.7,96,4.4,100.0,34.6,777,61.3
555,1400000US24033803100,50.0,60.7,1123,54.8,122,6.0,100.0,39.3,689,63.8
556,1400000US24033803200,49.7,64.4,1229,59.7,98,4.8,100.0,35.6,729,62.7
557,1400000US24033803512,75.4,75.2,2254,68.8,113,3.5,100.0,24.8,1241,71.3
558,1400000US24033803519,68.9,75.6,1732,53.2,139,4.3,100.0,24.4,1118,63.2
559,,,,,,,,,,,
560,1400000US24033803613,57.8,72.2,2603,67.4,178,4.6,100.0,27.8,1424,69.1
561,1400000US24033804001,56.4,67.9,1900,64.1,115,3.9,100.0,32.1,1078,64.3
562,1400000US24033804400,68.5,60.6,1014,55.5,87,4.8,100.0,39.4,559,57.5
563,1400000US24033804900,53.5,61.7,1707,55.3,199,6.4,100.0,38.3,1016,58.1
564,1400000US24033805601,33.9,62.3,2360,54.8,323,7.5,100.0,37.7,861,53.4
565,1400000US24033805904,69.1,57.7,1353,53.4,101,4.0,100.0,42.3,614,48.1
566,1400000US24033806200,66.6,70.0,2017,66.1,96,3.1,100.0,30.0,1088,64.6
567,1400000US24033806602,59.9,71.5,2077,65.3,195,6.1,100.0,28.5,1112,68.6
568,1400000US24033806712,75.7,75.7,1729,71.8,47,2.0,100.0,24.3,968,69.3
569,1400000US24033807304,69.3,68.4,878,66.0,32,2.4,100.0,31.6,390,61.9
570,,,,,,,,,,,
571,,,,,,,,,,,
572,,,,,,,,,,,
573,,,,,,,,,,,
574,1400000US24031700901,50.2,65.0,1570,62.2,60,2.4,100.0,35.0,879,58.3
575,1400000US24031701002,72.4,55.4,1551,54.4,23,0.8,100.0,44.6,711,57.2
576,1400000US24031701102,67.2,68.1,2938,65.9,85,1.9,100.0,31.9,1324,60.0
577,1400000US24031701210,74.1,72.5,2216,71.7,15,0.5,100.0,27.5,1019,64.7
578,1400000US24031701215,65.0,69.8,2448,68.5,32,0.9,100.0,30.2,1245,63.1
579,1400000US24031701304,83.3,77.1,3566,76.0,38,0.8,100.0,22.9,1718,73.0
580,1400000US24031701313,79.2,76.9,2166,75.3,41,1.4,100.0,23.1,1035,70.1
581,1400000US24031701409,81.2,66.6,1963,65.7,20,0.7,100.0,33.4,956,60.4
582,,,,,,,,,,,
583,,,,,,,,,,,
584,,,,,,,,,,,
585,1400000US24031701900,50.5,70.3,1694,65.1,137,5.3,100.0,29.7,920,70.4
586,1400000US24031702102,72.4,72.5,1611,70.9,26,1.1,100.0,27.5,770,65.5
587,1400000US24031702500,34.3,71.6,1509,62.4,205,8.5,100.0,28.4,802,63.1
588,1400000US24031703201,73.0,66.8,3503,64.4,121,2.2,100.0,33.2,1772,61.9
589,1400000US24031703209,64.2,60.5,2289,57.7,100,2.5,100.0,39.5,1230,56.3
590,,,,,,,,,,,
591,1400000US24031703301,70.1,68.8,2198,65.7,104,3.1,100.0,31.2,1066,62.3
592,1400000US24031703402,75.8,65.0,1579,62.9,49,2.0,100.0,35.0,783,58.3
593,1400000US24031703602,66.9,73.0,1515,70.4,45,2.1,100.0,27.0,776,66.4
594,1400000US24031703902,64.3,70.9,3234,66.4,97,2.0,100.0,29.1,1702,66.5
595,,,,,,,,,,,
596,,,,,,,,,,,
597,1400000US24031705300,58.6,64.1,943,63.1,12,0.8,100.0,35.9,423,54.3
598,1400000US24031705601,58.6,69.6,1362,68.0,26,1.3,100.0,30.4,701,63.0
599,1400000US24031705602,38.1,61.6,1793,60.6,19,0.6,100.0,38.4,1044,56.7
600,1400000US24031705701,72.9,63.9,1918,61.9,51,1.6,100.0,36.1,958,56.9
601,1400000US24031705901,71.3,61.8,1902,61.7,4,0.1,100.0,38.2,888,53.6
602,,,,,,,,,,,
603,1400000US24033800106,70.5,82.9,1374,79.1,58,3.3,100.0,17.1,733,77.9
604,1400000US24033800209,67.3,67.9,2050,62.7,157,4.8,100.0,32.1,1205,64.7
605,,,,,,,,,,,
606,1400000US24033800408,75.4,70.4,2079,67.9,64,2.1,100.0,29.6,1083,67.3
607,,,,,,,,,,,
608,,,,,,,,,,,
609,,,,,,,,,,,
610,,,,,,,,,,,
611,,,,,,,,,,,
612,,,,,,,,,,,
613,,,,,,,,,,,
614,,,,,,,,,,,
615,1400000US24033801308,71.6,77.6,2135,74.1,72,2.5,100.0,22.4,1138,73.2
616,,,,,,,,,,,
617,,,,,,,,,,,
618,1400000US24033801702,71.1,73.5,1744,69.1,72,2.9,100.0,26.5,1082,71.8
619,1400000US24033801801,54.7,65.7,906,59.1,74,4.8,100.0,34.3,540,61.2
620,1400000US24033801805,66.2,70.8,1270,68.6,40,2.2,100.0,29.2,685,69.7
621,1400000US24033802104,62.6,72.3,1099,66.0,91,5.5,100.0,27.7,724,72.5
622,1400000US24033802203,65.2,64.8,2192,58.8,224,6.0,100.0,35.2,1200,60.6
623,1400000US24033802406,52.1,68.6,1088,63.0,87,5.0,100.0,31.4,695,68.8
624,1400000US24033802600,47.3,61.4,1267,53.2,195,8.2,100.0,38.6,778,59.3
625,1400000US24031700308,78.9,84.9,3497,81.8,98,2.3,100.0,15.1,1766,78.3
626,1400000US24031700309,82.0,82.3,2401,79.0,81,2.7,100.0,17.7,1181,73.7
627,1400000US24031700310,73.2,82.1,2552,79.1,78,2.4,100.0,17.9,1285,76.7
628,,,,,,,,,,,
629,,,,,,,,,,,
630,1400000US24031700400,74.5,67.5,1080,66.2,21,1.3,100.0,32.5,473,57.8
631,1400000US24031700500,79.6,77.6,3476,76.1,66,1.4,100.0,22.4,1683,72.8
632,1400000US24031700604,77.0,72.7,3301,71.2,61,1.3,100.0,27.3,1472,62.0
633,1400000US24031700606,80.0,75.2,2437,73.1,61,1.8,100.0,24.8,1186,69.9
634,1400000US24031700608,74.5,67.8,2351,66.9,32,0.9,100.0,32.2,1018,55.8
635,1400000US24031700610,78.0,71.0,1196,70.1,8,0.5,100.0,29.0,603,69.5
636,,,,,,,,,,,
637,,,,,,,,,,,
638,,,,,,,,,,,
639,,,,,,,,,,,
640,1400000US24031700704,65.1,70.9,1525,67.6,65,2.9,100.0,29.1,734,64.4
641,1400000US24031700706,65.9,75.2,1776,70.7,110,4.4,100.0,24.8,888,70.6
642,1400000US24031700711,65.8,74.5,3157,70.4,147,3.3,100.0,25.5,1570,68.0
643,1400000US24031700713,61.7,73.8,2855,71.2,76,1.9,100.0,26.2,1344,68.2
644,1400000US24031700715,77.8,77.5,3062,74.2,100,2.4,100.0,22.5,1488,68.4
645,1400000US24031700716,68.1,77.4,4090,74.6,125,2.3,100.0,22.6,2087,73.2
646,,,,,,,,,,,
647,,,,,,,,,,,
648,,,,,,,,,,,
649,,,,,,,,,,,
650,,,,,,,,,,,
651,,,,,,,,,,,
652,1400000US24031700810,75.2,78.6,2870,76.1,64,1.7,100.0,21.4,1469,72.9
653,1400000US24031700811,69.1,72.8,1898,67.9,130,4.7,100.0,27.2,1075,72.3
654,1400000US24031700812,68.2,71.9,2292,70.2,50,1.5,100.0,28.1,1164,66.8
655,1400000US24031700101,80.2,74.0,2110,72.2,53,1.8,100.0,26.0,942,64.2
656,1400000US24031700103,78.5,72.7,2367,69.7,80,2.4,100.0,27.3,1016,59.8
657,,,,,,,,,,,
658,1400000US24031700204,81.6,71.9,1009,68.9,44,3.0,100.0,28.1,475,62.7
659,1400000US24031700205,80.9,77.7,2716,75.5,70,1.9,100.0,22.3,1281,69.5
660,1400000US24031700206,81.6,77.5,2855,76.2,37,1.0,100.0,22.5,1394,70.3
661,,,,,,,,,,,
662,,,,,,,,,,,
663,1400000US24031700306,76.1,83.7,3422,80.3,58,1.4,100.0,16.3,1666,74.6
664,1400000US24031700813,70.4,73.0,2907,69.2,135,3.2,100.0,27.0,1490,63.3
665,1400000US24031700816,69.1,78.7,4424,75.9,146,2.5,100.0,21.3,2197,73.3
666,1400000US24031700817,73.6,77.2,2699,73.3,106,2.9,100.0,22.8,1347,69.5
667,1400000US24031700818,74.9,85.6,3533,82.8,97,2.3,100.0,14.4,1756,79.0
668,1400000US24031700819,80.2,83.6,3652,81.7,74,1.7,100.0,16.4,1837,78.3
669,,,,,,,,,,,
670,,,,,,,,,,,
671,1400000US24033803300,62.6,67.0,1968,59.1,263,7.9,100.0,33.0,1266,68.0
672,1400000US24033803401,50.5,53.5,492,47.4,63,6.1,100.0,46.5,293,51.4
673,1400000US24033803402,57.0,66.3,1951,58.6,257,7.7,100.0,33.7,1212,64.3
674,1400000US24033803508,55.8,68.5,1922,60.9,233,7.4,100.0,31.5,1220,65.3
675,1400000US24033803509,45.9,67.5,1121,55.6,240,11.9,100.0,32.5,735,63.5
676,1400000US24033803513,70.3,80.1,2532,75.6,130,3.9,100.0,19.9,1586,82.6
677,1400000US24033803514,79.6,80.2,1609,78.1,20,1.0,100.0,19.8,977,75.9
678,1400000US24033803516,71.0,85.8,1867,82.1,75,3.3,100.0,14.2,1036,82.2
679,1400000US24033806711,69.4,71.1,2270,68.5,69,2.1,100.0,28.9,1315,69.8
680,,,,,,,,,,,
681,,,,,,,,,,,
682,1400000US24033806800,71.5,68.5,1959,65.4,91,3.0,100.0,31.5,974,64.0
683,1400000US24033806900,71.0,73.4,2110,70.7,66,2.2,100.0,26.6,1018,67.6
684,1400000US24033807000,66.8,64.7,2476,61.1,134,3.3,100.0,35.3,1181,62.5
685,1400000US24033807102,55.9,75.8,1433,73.0,54,2.8,100.0,24.2,713,71.5
686,1400000US24033807200,34.3,61.9,4872,42.8,2163,19.0,100.0,38.1,3395,63.9
687,1400000US24033807301,73.0,66.7,1796,62.8,101,3.5,100.0,33.3,774,57.4
688,1400000US24033807305,68.3,70.7,1850,67.2,98,3.6,100.0,29.3,899,65.5
689,1400000US24033807404,74.1,77.4,2824,75.6,50,1.3,100.0,22.6,1273,69.3
690,1400000US24033807407,65.7,73.1,2659,71.8,40,1.1,100.0,26.9,1294,67.9
691,1400000US24033807408,78.3,75.8,3131,73.5,58,1.4,100.0,24.2,1660,72.4
692,,,,,,,,,,,
693,,,,,,,,,,,
694,,,,,,,,,,,
695,,,,,,,,,,,
696,,,,,,,,,,,
697,,,,,,,,,,,
698,,,,,,,,,,,
699,,,,,,,,,,,
700,,,,,,,,,,,
701,1400000US24033803601,71.8,67.4,1688,63.2,84,3.1,100.0,32.6,883,64.3
702,1400000US24033803602,67.6,54.0,661,47.9,78,5.7,100.0,46.0,440,52.4
703,1400000US24033803605,73.5,66.6,3037,63.2,164,3.4,100.0,33.4,1573,62.7
704,1400000US24033803606,71.4,67.9,2393,63.1,181,4.8,100.0,32.1,1257,64.7
705,1400000US24033803608,60.9,69.7,2728,65.7,128,3.1,100.0,30.3,1413,65.8
706,1400000US24033803610,64.7,67.9,1588,65.8,52,2.2,100.0,32.1,771,64.8
707,1400000US24033803612,42.5,73.0,1588,67.4,133,5.6,100.0,27.0,837,63.9
708,1400000US24033803700,71.1,66.6,988,63.6,46,3.0,100.0,33.4,529,62.8
709,1400000US24033803801,72.0,68.1,987,61.8,101,6.3,100.0,31.9,513,61.8
710,1400000US24033803803,61.2,68.1,2388,62.7,184,4.8,100.0,31.9,1314,64.9
711,1400000US24033803900,47.9,69.0,1757,62.8,163,5.8,100.0,31.0,877,66.2
712,1400000US24033804002,50.4,67.6,1834,64.8,79,2.8,100.0,32.4,954,66.7
713,1400000US24033804101,64.8,70.8,1680,66.2,102,4.0,100.0,29.2,886,69.3
714,1400000US24033804102,60.4,76.1,2663,70.4,200,5.3,100.0,23.9,1537,74.9
715,1400000US24033804200,63.6,68.2,1581,66.1,32,1.3,100.0,31.8,799,62.7
716,1400000US24033804300,51.1,70.5,1588,61.7,215,8.4,100.0,29.5,948,71.2
717,1400000US24033804600,57.4,59.7,1195,55.6,76,3.5,100.0,40.3,628,55.9
718,1400000US24033804700,53.4,68.7,1844,62.3,181,6.1,100.0,31.3,971,67.1
719,,,,,,,,,,,
720,,,,,,,,,,,
721,1400000US24033805000,59.5,65.2,2597,62.5,112,2.7,100.0,34.8,1528,63.6
722,1400000US24033805101,51.8,69.6,1609,63.1,166,6.5,100.0,30.4,826,65.2
723,1400000US24033805201,44.2,62.5,1581,55.1,213,7.4,100.0,37.5,886,57.3
724,1400000US24033805202,52.5,70.2,1848,65.0,148,5.2,100.0,29.8,1019,69.5
725,1400000US24033805500,57.8,66.2,1982,62.1,134,4.2,100.0,33.8,979,60.9
726,1400000US24033805602,32.4,65.1,2212,59.5,205,5.5,100.0,34.9,789,54.3
727,1400000US24033805700,56.5,64.3,2480,61.1,119,2.9,100.0,35.7,1237,59.7
728,1400000US24033805801,55.9,66.3,1901,62.1,129,4.2,100.0,33.7,1029,62.4
729,1400000US24033805802,60.2,63.5,1606,59.8,99,3.7,100.0,36.5,883,66.5
730,,,,,,,,,,,
731,,,,,,,,,,,
732,,,,,,,,,,,
733,,,,,,,,,,,
734,1400000US24033806000,55.5,66.9,1981,62.2,146,4.6,100.0,33.1,1074,65.0
735,1400000US24033806100,61.1,69.1,2295,66.0,97,2.8,100.0,30.9,1188,60.5
736,1400000US24033806300,49.2,71.2,955,67.3,39,2.8,100.0,28.8,450,65.0
737,1400000US24033806400,65.6,71.6,1765,69.8,27,1.1,100.0,28.4,857,66.0
738,1400000US24033806501,54.0,69.3,2162,63.9,170,5.0,100.0,30.7,1052,65.5
739,1400000US24033806601,49.2,65.4,1845,59.5,165,5.3,100.0,34.6,847,58.3
740,1400000US24033806706,79.5,69.3,1923,65.6,107,3.7,100.0,30.7,1016,65.2
741,1400000US24033806708,74.7,72.6,2444,68.8,99,2.8,100.0,27.4,1248,65.4
742,1400000US24033806710,67.9,77.9,2837,73.5,127,3.3,100.0,22.1,1491,73.6
743,1400000US24033803607,77.7,72.5,1609,69.5,58,2.5,100.0,27.5,873,70.9
744,1400000US24031701417,75.2,87.1,3259,82.4,116,2.9,100.0,12.9,1963,84.3
745,,,,,,,,,,,
746,1400000US24033807405,78.2,67.0,2484,64.2,101,2.6,100.0,33.0,1257,63.3
747,1400000US24031704502,68.6,63.8,1324,62.9,10,0.5,100.0,36.2,611,55.6
748,,,,,,,,,,,
749,,,,,,,,,,,
750,,,,,,,,,,,
751,,,,,,,,,,,
752,1400000US24031700902,61.4,64.3,1642,59.6,123,4.5,100.0,35.7,875,60.8
753,1400000US24031700903,70.2,74.6,987,67.6,97,6.6,100.0,25.4,540,68.5
754,1400000US24031700904,52.4,63.7,850,60.7,35,2.5,100.0,36.3,422,54.0
755,1400000US24031700905,57.6,60.6,1771,59.1,45,1.5,100.0,39.4,698,45.8
756,1400000US24031701001,69.4,69.1,2929,66.8,76,1.7,100.0,30.9,1531,65.9
757,1400000US24031701004,73.7,70.9,2600,66.7,105,2.7,100.0,29.1,1301,64.7
758,1400000US24031701005,70.3,65.4,1391,64.4,21,1.0,100.0,34.6,688,58.4
759,,,,,,,,,,,
760,,,,,,,,,,,
761,1400000US24031701101,72.6,66.5,2229,64.7,59,1.7,100.0,33.5,1031,59.7
762,1400000US24031701201,69.2,68.4,3150,65.3,146,3.0,100.0,31.6,1616,64.3
763,1400000US24031701202,70.3,67.7,1370,67.2,10,0.5,100.0,32.3,666,60.2
764,1400000US24031701205,71.1,63.2,2655,61.2,88,2.0,100.0,36.8,1237,54.8
765,1400000US24031701206,73.2,67.4,3171,65.4,79,1.6,100.0,32.6,1586,61.3
766,1400000US24031701211,66.1,72.9,1943,69.2,84,3.0,100.0,27.1,966,65.9
767,1400000US24031701212,71.1,70.9,1487,68.5,53,2.4,100.0,29.1,712,65.5
768,1400000US24031701213,74.4,71.1,3059,68.8,75,1.7,100.0,28.9,1677,65.7
769,1400000US24031701214,57.6,87.1,1368,84.7,32,2.0,100.0,12.9,801,85.9
770,,,,,,,,,,,
771,,,,,,,,,,,
772,,,,,,,,,,,
773,,,,,,,,,,,
774,,,,,,,,,,,
775,1400000US24031701303,78.8,70.4,2021,68.4,56,1.9,100.0,29.6,946,62.9
776,1400000US24031701306,81.9,74.6,1543,72.7,40,1.9,100.0,25.4,714,66.3
777,1400000US24031701307,82.3,71.2,1347,70.1,16,0.8,100.0,28.8,557,62.2
778,1400000US24031701308,81.4,73.7,1335,72.3,8,0.4,100.0,26.3,686,66.5
779,1400000US24031701312,78.4,77.5,3390,75.3,97,2.2,100.0,22.5,1751,74.3
780,,,,,,,,,,,
781,,,,,,,,,,,
782,,,,,,,,,,,
783,,,,,,,,,,,
784,1400000US24031701408,76.0,69.6,2864,68.9,26,0.6,100.0,30.4,1346,61.7
785,1400000US24031701410,76.6,81.3,3866,79.3,92,1.9,100.0,18.7,1967,75.6
786,1400000US24031701414,72.2,75.1,4031,73.4,71,1.3,100.0,24.9,2136,70.7
787,1400000US24031701415,73.3,67.0,3737,64.3,144,2.5,100.0,33.0,1845,60.8
788,,,,,,,,,,,
789,,,,,,,,,,,
790,,,,,,,,,,,
791,,,,,,,,,,,
792,1400000US24031701503,74.2,63.8,3105,61.7,76,1.5,100.0,36.2,1454,55.4
793,1400000US24031701505,65.8,69.7,3470,65.0,240,4.5,100.0,30.3,1839,65.4
794,1400000US24031701506,70.5,70.5,2625,67.7,94,2.4,100.0,29.5,1383,67.8
795,1400000US24031701507,72.9,65.9,2609,63.9,61,1.5,100.0,34.1,1328,60.7
796,,,,,,,,,,,
797,,,,,,,,,,,
798,1400000US24031701701,49.1,74.8,2076,72.2,75,2.6,100.0,25.2,1062,68.6
799,1400000US24031701702,50.8,80.9,1561,71.9,196,9.0,100.0,19.1,907,79.6
800,1400000US24031701703,56.9,71.4,1813,69.0,60,2.3,100.0,28.6,946,69.8
801,1400000US24031701704,55.6,80.4,1579,74.4,121,5.7,100.0,19.6,841,76.4
802,1400000US24031701800,51.6,71.3,2532,67.9,125,3.4,100.0,28.7,1372,66.5
803,1400000US24031702000,51.4,69.0,2493,65.2,145,3.8,100.0,31.0,1274,65.5
804,1400000US24031702101,62.4,65.5,2456,59.9,197,4.8,100.0,34.5,1323,61.9
805,1400000US24031701407,78.2,72.9,3037,70.8,90,2.1,100.0,27.1,1504,68.2
806,1400000US24031702200,67.6,71.2,2171,68.8,60,1.9,100.0,28.8,1068,64.8
807,1400000US24031702301,47.2,68.2,1971,66.2,58,1.9,100.0,31.8,1024,66.1
808,1400000US24031702302,61.5,70.8,2193,68.0,84,2.6,100.0,29.2,1095,65.5
809,1400000US24031702401,57.3,70.6,1376,68.5,41,2.0,100.0,29.4,645,62.0
810,1400000US24031702402,50.5,75.2,2616,72.3,89,2.5,100.0,24.8,1416,71.4
811,1400000US24031702601,51.9,71.4,2644,68.1,69,1.8,100.0,28.6,1500,70.4
812,1400000US24031702602,53.1,79.2,3006,75.2,65,1.6,100.0,20.8,1649,75.5
813,1400000US24031702700,62.1,68.4,3263,64.5,155,3.1,100.0,31.6,1759,66.2
