GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Unmarried-partner households:,Margin of Error; Unmarried-partner households:,Estimate; Unmarried-partner households: - Male householder and male partner,Margin of Error; Unmarried-partner households: - Male householder and male partner,Estimate; Unmarried-partner households: - Male householder and female partner,Margin of Error; Unmarried-partner households: - Male householder and female partner,Estimate; Unmarried-partner households: - Female householder and female partner,Margin of Error; Unmarried-partner households: - Female householder and female partner,Estimate; Unmarried-partner households: - Female householder and male partner,Margin of Error; Unmarried-partner households: - Female householder and male partner,Estimate; All other households,Margin of Error; All other households
1400000US11001002600,11001002600,"Census Tract 26, District of Columbia, District of Columbia",987,65,73,41,40,25,8,10,0,13,25,29,914,74
1400000US11001002701,11001002701,"Census Tract 27.01, District of Columbia, District of Columbia",2570,189,293,147,19,30,183,128,7,13,84,60,2277,221
1400000US11001002702,11001002702,"Census Tract 27.02, District of Columbia, District of Columbia",2150,187,283,78,60,47,115,64,29,32,79,41,1867,193
1400000US11001002801,11001002801,"Census Tract 28.01, District of Columbia, District of Columbia",1718,94,179,88,12,14,67,43,0,13,100,79,1539,123
1400000US11001002802,11001002802,"Census Tract 28.02, District of Columbia, District of Columbia",1986,117,134,60,8,12,78,53,9,14,39,27,1852,130
1400000US11001002900,11001002900,"Census Tract 29, District of Columbia, District of Columbia",1543,110,117,68,17,18,36,38,0,13,64,55,1426,122
1400000US11001003000,11001003000,"Census Tract 30, District of Columbia, District of Columbia",1405,87,103,53,48,34,6,10,0,13,49,37,1302,97
1400000US11001003100,11001003100,"Census Tract 31, District of Columbia, District of Columbia",940,82,97,57,8,12,32,31,13,21,44,40,843,101
1400000US11001003200,11001003200,"Census Tract 32, District of Columbia, District of Columbia",1653,117,159,88,23,27,42,45,17,19,77,68,1494,138
1400000US11001003301,11001003301,"Census Tract 33.01, District of Columbia, District of Columbia",1381,100,82,48,32,31,4,12,10,15,36,27,1299,111
1400000US11001003302,11001003302,"Census Tract 33.02, District of Columbia, District of Columbia",905,75,57,34,10,9,15,22,4,7,28,21,848,78
1400000US11001003400,11001003400,"Census Tract 34, District of Columbia, District of Columbia",1179,107,73,50,17,25,45,39,3,10,8,11,1106,117
1400000US11001003500,11001003500,"Census Tract 35, District of Columbia, District of Columbia",989,77,74,38,26,19,37,30,0,13,11,17,915,86
1400000US11001003600,11001003600,"Census Tract 36, District of Columbia, District of Columbia",1849,168,129,88,46,38,53,68,30,35,0,13,1720,176
1400000US11001003700,11001003700,"Census Tract 37, District of Columbia, District of Columbia",2250,196,172,74,18,29,64,47,0,13,90,49,2078,200
1400000US11001003800,11001003800,"Census Tract 38, District of Columbia, District of Columbia",2738,152,302,105,95,54,91,61,12,19,104,58,2436,196
1400000US11001003900,11001003900,"Census Tract 39, District of Columbia, District of Columbia",2670,161,198,105,14,21,28,31,54,44,102,89,2472,179
1400000US11001004001,11001004001,"Census Tract 40.01, District of Columbia, District of Columbia",2170,166,200,107,9,17,64,42,0,13,127,95,1970,173
1400000US11001004002,11001004002,"Census Tract 40.02, District of Columbia, District of Columbia",1600,142,171,74,54,37,41,49,0,13,76,43,1429,141
1400000US11001004100,11001004100,"Census Tract 41, District of Columbia, District of Columbia",1477,114,117,68,21,25,48,36,0,13,48,55,1360,118
1400000US11001004201,11001004201,"Census Tract 42.01, District of Columbia, District of Columbia",2102,92,312,87,99,47,111,60,32,35,70,50,1790,113
1400000US11001004202,11001004202,"Census Tract 42.02, District of Columbia, District of Columbia",1656,108,149,80,63,51,33,29,0,13,53,58,1507,121
1400000US11001004300,11001004300,"Census Tract 43, District of Columbia, District of Columbia",1840,135,142,84,98,64,9,15,27,40,8,14,1698,149
1400000US11001004400,11001004400,"Census Tract 44, District of Columbia, District of Columbia",2469,165,301,114,152,87,70,50,24,28,55,45,2168,214
1400000US11001004600,11001004600,"Census Tract 46, District of Columbia, District of Columbia",1184,114,97,54,8,13,43,33,11,17,35,37,1087,126
1400000US11001004701,11001004701,"Census Tract 47.01, District of Columbia, District of Columbia",1677,177,46,45,0,13,0,13,0,13,46,45,1631,184
1400000US11001004702,11001004702,"Census Tract 47.02, District of Columbia, District of Columbia",1069,98,31,25,0,13,19,22,0,13,12,16,1038,98
1400000US11001004801,11001004801,"Census Tract 48.01, District of Columbia, District of Columbia",1039,92,105,52,32,27,44,41,0,13,29,24,934,110
1400000US11001004802,11001004802,"Census Tract 48.02, District of Columbia, District of Columbia",1415,99,178,76,26,34,106,58,0,13,46,50,1237,117
1400000US11001004901,11001004901,"Census Tract 49.01, District of Columbia, District of Columbia",1003,80,101,54,83,51,11,17,0,13,7,11,902,95
1400000US11001004902,11001004902,"Census Tract 49.02, District of Columbia, District of Columbia",1374,106,142,57,97,54,31,22,6,9,8,12,1232,118
1400000US11001005001,11001005001,"Census Tract 50.01, District of Columbia, District of Columbia",860,96,247,107,121,64,35,45,0,13,91,85,613,121
1400000US11001005002,11001005002,"Census Tract 50.02, District of Columbia, District of Columbia",3401,187,263,135,98,100,87,62,0,18,78,60,3138,209
1400000US11001005201,11001005201,"Census Tract 52.01, District of Columbia, District of Columbia",4025,217,395,150,233,141,41,38,0,18,121,75,3630,256
1400000US11001005301,11001005301,"Census Tract 53.01, District of Columbia, District of Columbia",3453,203,328,122,160,93,72,47,0,18,96,69,3125,238
