OBJECTID,GEO.id,acs_moc,acs_foc,acs_mrc,acs_frc,acs_mo,acs_fo,acs_mr,acs_fr
375,1400000US51059461902,0,0,0,18,0,0,41,18
376,1400000US51059470100,10,6,10,0,5,13,0,7
377,1400000US51059470300,0,21,0,0,0,19,0,0
378,1400000US51059470400,49,0,11,0,11,23,0,0
379,1400000US51059470500,32,88,0,14,26,51,11,20
380,1400000US51059470700,10,43,20,21,34,52,10,8
381,1400000US51059470800,0,46,0,8,34,71,0,0
382,1400000US51059470900,11,43,0,0,69,96,22,0
383,1400000US51059471100,0,75,53,15,23,127,0,28
384,1400000US51059471201,0,19,120,53,13,0,0,28
385,1400000US51059471202,0,8,56,23,0,28,0,64
386,1400000US51059471301,0,45,65,15,0,0,30,13
387,1400000US51059471304,0,21,0,0,19,16,0,0
388,1400000US51059471401,0,108,33,52,0,53,0,16
389,1400000US51059471402,0,14,0,58,8,45,0,0
390,1400000US51059480100,0,46,0,0,11,24,0,0
391,1400000US51059480201,21,26,0,0,0,44,0,0
392,1400000US51059480203,0,22,0,24,16,0,20,41
393,1400000US51059480300,43,56,19,0,14,10,0,0
394,1400000US51059480401,0,99,0,0,14,29,0,0
395,1400000US51059480402,0,52,0,0,0,20,0,0
396,1400000US51059480502,0,72,0,85,23,54,15,0
397,1400000US51059480503,47,0,0,18,0,55,0,0
398,1400000US51059480504,16,0,9,77,0,13,0,0
399,1400000US51059480505,22,21,0,9,33,0,0,50
400,1400000US51059480801,16,31,0,0,22,15,0,0
401,1400000US51059480901,47,55,48,36,37,96,13,59
402,1400000US51059480902,4,43,21,15,102,28,0,0
403,1400000US51059480903,0,19,15,0,0,0,0,152
404,1400000US51059481101,0,0,4,47,0,0,0,11
405,1400000US51059481102,0,15,0,13,0,0,32,63
406,1400000US51059481103,38,20,0,64,0,11,32,0
407,1400000US51059481105,0,39,0,0,15,26,0,0
408,1400000US51059481106,12,15,0,20,24,47,0,0
409,1400000US51059481201,0,0,0,14,0,0,0,0
410,1400000US51059481202,9,60,19,65,98,18,88,20
411,1400000US51059481400,38,76,13,28,29,45,14,0
412,1400000US51059481500,0,0,0,0,0,0,0,12
413,1400000US51059481600,9,51,0,0,0,11,0,0
414,1400000US51059481702,34,24,0,70,36,32,0,0
415,1400000US51059481900,30,22,56,136,11,51,0,14
416,1400000US51059482001,0,39,0,15,10,39,0,0
417,1400000US51059482100,0,28,0,57,13,45,25,0
418,1400000US51059482201,0,13,0,34,0,57,0,11
419,1400000US51059482202,0,0,0,41,0,26,0,12
420,1400000US51059482203,21,27,49,27,10,0,14,0
421,1400000US51059482302,0,27,83,87,11,18,0,0
422,1400000US51059482303,0,39,0,49,35,19,0,0
423,1400000US51059482400,0,14,0,0,7,23,0,0
424,1400000US51059482501,90,31,0,91,0,26,0,35
425,1400000US51059482503,13,77,0,19,0,19,0,10
426,1400000US51059482504,28,69,0,0,47,10,0,0
427,1400000US51059482601,0,101,0,31,11,50,105,0
428,1400000US51059482602,0,130,0,0,38,56,7,0
429,1400000US51059490101,13,66,12,44,46,106,0,26
430,1400000US51059490103,0,87,0,27,0,34,0,0
431,1400000US51059490502,0,67,0,0,37,18,46,0
432,1400000US51059491000,0,0,0,0,0,32,0,0
433,1400000US51059491101,32,14,0,0,37,21,0,0
434,1400000US51059491102,0,53,0,0,25,123,0,0
435,1400000US51059491201,12,116,28,108,82,83,0,55
436,1400000US51059491301,0,26,0,70,32,123,14,16
437,1400000US51059491302,0,68,0,113,0,22,0,0
438,1400000US51059491303,18,28,34,97,18,14,0,37
439,1400000US51059491402,10,109,0,26,18,69,56,15
440,1400000US51059491403,0,65,0,20,38,16,0,0
441,1400000US51059491404,15,58,0,39,72,74,0,0
442,1400000US51059491405,0,33,0,0,8,51,0,0
443,1400000US51059491502,17,17,9,0,47,81,0,0
444,1400000US51059491601,0,67,10,73,0,84,21,14
445,1400000US51059491602,0,89,2,15,31,101,0,0
446,1400000US51059491701,11,30,0,97,26,60,0,31
447,1400000US51059491702,12,0,0,0,28,20,11,35
448,1400000US51059491704,0,0,0,118,18,49,15,29
449,1400000US51059491705,0,24,0,0,18,117,0,0
450,1400000US51059491802,11,33,0,16,19,41,0,34
451,1400000US51059491803,0,52,0,40,74,69,0,0
452,1400000US51059492000,26,36,0,0,52,84,0,7
453,1400000US51059492100,32,27,0,0,19,38,18,0
454,1400000US51059492201,0,0,0,0,0,11,26,0
455,1400000US51059492203,14,14,0,0,26,25,0,0
456,1400000US51059492300,9,13,0,41,13,78,27,0
457,1400000US51059492400,6,26,18,71,106,66,49,0
458,1400000US51059492500,2,19,10,14,54,23,4,0
459,1400000US51059980200,0,0,0,0,0,0,0,0
460,1400000US51059980300,0,0,0,0,0,0,0,0
461,1400000US51013100200,105,58,19,13,17,56,0,0
462,1400000US51013100300,17,33,0,27,0,30,0,0
463,1400000US51013100500,0,45,12,11,28,11,36,12
464,1400000US51013100600,0,17,0,26,0,63,0,15
465,1400000US51013100700,0,19,0,0,29,58,0,14
466,1400000US51013100900,20,16,0,60,9,51,0,25
467,1400000US51013101000,10,85,21,0,0,54,10,24
468,1400000US51013101100,24,16,39,12,9,83,8,0
469,1400000US51013101200,9,24,0,22,10,29,0,37
470,1400000US51013101300,32,28,0,32,39,49,12,0
471,1400000US51013101402,27,22,0,0,13,0,46,0
472,1400000US51013101403,0,0,14,79,12,17,23,31
473,1400000US51013101404,0,0,0,0,0,37,5,48
474,1400000US51013101500,33,60,0,152,0,55,0,15
475,1400000US51013101601,0,10,0,0,0,0,20,0
476,1400000US51013101603,0,8,0,0,0,17,11,11
477,1400000US51013101701,0,0,0,8,0,0,0,37
478,1400000US51013101702,0,0,0,54,0,0,0,44
479,1400000US51013101801,10,0,0,0,0,10,0,13
480,1400000US51013101802,0,0,0,179,0,14,66,12
481,1400000US51013101803,0,22,37,76,0,70,24,14
482,1400000US51013102001,0,0,10,57,0,0,40,25
483,1400000US51013102002,0,0,15,89,0,0,44,0
484,1400000US51013102003,0,0,0,86,0,32,67,47
485,1400000US51013102100,0,0,0,0,7,12,6,21
486,1400000US51013102200,0,49,40,311,95,28,58,33
487,1400000US51013102302,0,0,0,162,24,103,49,61
488,1400000US51013102400,5,0,0,79,61,0,0,3
489,1400000US51013102500,0,83,0,18,11,16,78,97
490,1400000US51013102600,0,18,0,146,12,12,0,90
491,1400000US51013102701,5,0,56,227,0,6,68,112
492,1400000US51013102801,0,41,23,198,95,29,64,0
493,1400000US51013102802,0,45,0,0,0,40,0,0
494,1400000US51013102901,0,27,33,0,0,15,0,0
495,1400000US51013103000,0,57,0,0,0,20,0,13
496,1400000US51013103100,36,36,39,0,61,124,0,89
497,1400000US51013103200,0,43,76,94,39,0,39,24
498,1400000US51013103300,0,0,8,19,0,45,10,36
499,1400000US51013103401,0,0,0,0,0,0,0,0
500,1400000US51013103501,0,0,19,18,0,10,0,14
501,1400000US51013103502,0,0,0,28,0,0,16,0
502,1400000US51013103503,0,0,38,13,0,0,61,27
503,1400000US51013103601,0,0,0,0,12,30,0,0
504,1400000US51013103700,0,7,0,15,8,9,7,7
505,1400000US51013103800,12,18,36,0,26,35,21,13
506,1400000US51013980100,0,0,0,0,0,0,0,0
507,1400000US51013980200,0,0,0,0,0,0,0,0
508,1400000US51059491103,83,95,10,25,86,72,53,0
509,1400000US51510201300,0,32,0,22,33,90,0,20
510,1400000US51510201400,0,41,0,50,0,7,0,80
511,1400000US51510201500,0,26,0,40,0,8,0,21
512,1400000US51510201801,0,0,0,0,18,24,14,94
513,1400000US51510201802,0,16,16,56,0,23,0,21
514,1400000US51510201900,0,0,0,0,0,0,0,0
515,1400000US51510202002,0,16,0,47,0,0,22,12
516,1400000US51510200102,0,12,16,123,0,17,35,34
517,1400000US51510200104,0,0,81,108,0,0,31,113
518,1400000US51510200105,0,0,9,71,0,0,56,101
519,1400000US51510200106,35,0,12,0,0,0,44,0
520,1400000US51510200201,0,29,0,0,9,9,54,27
521,1400000US51510200202,0,0,0,9,0,0,0,8
522,1400000US51510200302,20,27,9,79,0,6,0,28
523,1400000US51510200303,0,24,10,104,100,17,0,36
524,1400000US51510200403,0,65,21,0,0,0,0,0
525,1400000US51510200404,0,0,0,0,10,55,0,0
526,1400000US51510200406,15,19,77,95,0,18,33,149
527,1400000US51510200407,0,0,11,38,30,51,63,55
528,1400000US51510200703,0,0,52,60,0,0,0,46
529,1400000US51510200801,9,11,0,51,20,42,0,9
530,1400000US51510200802,0,26,0,100,26,59,43,12
531,1400000US51510201000,1,9,0,25,9,0,44,0
532,1400000US51510201100,0,27,28,29,0,0,0,73
533,1400000US51510201202,0,6,7,16,0,39,48,8
534,1400000US51510201203,0,58,44,163,0,21,98,160
535,,,,,,,,,
536,,,,,,,,,
537,,,,,,,,,
538,,,,,,,,,
539,1400000US51610500100,9,19,0,21,0,17,0,0
540,1400000US51610500200,52,154,0,90,10,86,26,3
541,1400000US51059420400,0,42,12,49,7,25,12,5
542,1400000US51059482002,0,11,0,0,0,16,0,49
543,1400000US24031700105,48,46,18,56,21,82,0,0
544,1400000US24031700304,0,0,54,133,11,22,10,80
545,1400000US24031700607,45,30,34,19,12,129,15,10
546,1400000US24031700611,36,47,0,0,63,52,0,38
547,1400000US24031700710,0,126,52,26,20,67,29,0
548,1400000US24031700718,0,26,6,50,26,13,0,0
549,1400000US24031700723,0,11,0,27,0,0,44,13
550,1400000US24031700815,34,110,28,131,18,118,32,113
551,1400000US24031700820,0,0,0,144,0,0,83,40
552,1400000US24031700824,0,50,0,0,17,17,0,17
553,1400000US24033803001,68,46,0,65,24,111,0,80
554,1400000US24033803002,0,139,0,99,20,72,9,12
555,1400000US24033803100,0,53,19,41,36,65,0,8
556,1400000US24033803200,16,33,10,200,0,34,56,84
557,1400000US24033803512,27,123,44,138,12,169,43,97
558,1400000US24033803519,0,90,23,128,10,89,0,41
559,1400000US24033803525,0,0,77,245,39,29,36,34
560,1400000US24033803613,0,7,11,93,6,19,44,32
561,1400000US24033804001,34,12,93,365,0,12,52,158
562,1400000US24033804400,24,55,12,40,3,56,0,0
563,1400000US24033804900,0,13,66,182,13,27,74,40
564,1400000US24033805601,0,0,140,175,0,0,238,66
565,1400000US24033805904,30,40,16,0,31,79,0,0
566,1400000US24033806200,12,62,0,10,0,88,33,71
567,1400000US24033806602,5,31,7,131,57,85,36,95
568,1400000US24033806712,18,24,59,93,50,81,40,37
569,1400000US24033807304,0,0,0,0,38,29,0,0
570,1400000US24031700826,20,46,9,0,23,8,0,38
571,1400000US24031700828,0,75,0,12,0,46,15,0
572,1400000US24031700829,0,44,0,14,15,0,0,0
573,1400000US24031700830,0,0,49,14,0,0,49,32
574,1400000US24031700901,0,44,49,51,12,83,46,13
575,1400000US24031701002,0,22,0,0,34,8,0,0
576,1400000US24031701102,13,84,26,102,36,98,53,27
577,1400000US24031701210,0,14,0,0,0,25,4,0
578,1400000US24031701215,12,38,0,99,7,43,27,31
579,1400000US24031701304,31,108,7,0,15,166,0,0
580,1400000US24031701313,0,14,0,49,27,50,14,10
581,1400000US24031701409,18,11,0,0,36,43,0,11
582,1400000US24031701422,0,0,0,146,0,0,17,64
583,1400000US24031701508,0,54,0,207,8,0,82,77
584,1400000US24031701601,0,37,53,128,0,29,56,34
585,1400000US24031701900,14,0,79,61,0,64,77,0
586,1400000US24031702102,0,22,0,7,20,59,0,0
587,1400000US24031702500,12,0,35,62,10,0,78,47
588,1400000US24031703201,38,31,0,17,40,123,19,0
589,1400000US24031703209,6,46,0,48,72,53,46,92
590,1400000US24031703218,0,0,0,0,0,0,0,0
591,1400000US24031703301,30,96,0,8,106,66,12,12
592,1400000US24031703402,10,44,0,13,72,113,0,11
593,1400000US24031703602,0,43,0,0,11,115,11,15
594,1400000US24031703902,116,120,0,181,81,74,0,0
595,1400000US24031704403,7,0,0,0,0,0,0,0
596,1400000US24031704804,0,0,0,36,0,29,0,0
597,1400000US24031705300,0,21,0,0,3,13,0,0
598,1400000US24031705601,13,37,0,0,0,6,0,0
599,1400000US24031705602,0,9,32,94,0,0,0,0
600,1400000US24031705701,13,31,26,15,0,40,16,27
601,1400000US24031705901,10,44,0,0,0,36,0,12
602,1400000US24031706011,0,58,0,0,13,32,0,0
603,1400000US24033800106,9,54,18,35,34,50,0,23
604,1400000US24033800209,0,0,22,196,0,0,36,56
605,1400000US24033800214,0,0,0,108,0,40,51,109
606,1400000US24033800408,37,144,0,0,60,94,0,10
607,1400000US24033800413,51,0,10,161,0,68,16,37
608,1400000US24033800514,27,22,0,0,88,98,0,0
609,1400000US24033800519,0,35,0,0,46,36,0,0
610,1400000US24033800704,0,306,0,212,0,163,20,50
611,1400000US24033801005,49,54,0,0,13,122,0,0
612,1400000US24033801006,0,119,0,0,12,79,0,0
613,1400000US24033801209,102,82,0,35,70,172,0,37
614,1400000US24033801216,13,10,0,31,0,68,11,0
615,1400000US24033801308,25,41,0,43,66,119,16,13
616,1400000US24033801313,15,28,0,41,0,84,0,0
617,1400000US24033801409,92,0,23,0,0,87,0,0
618,1400000US24033801702,0,69,68,252,10,57,0,142
619,1400000US24033801801,0,0,0,210,13,70,0,73
620,1400000US24033801805,5,74,0,32,45,29,0,60
621,1400000US24033802104,19,90,0,77,9,106,0,38
622,1400000US24033802203,0,63,33,140,82,160,13,22
623,1400000US24033802406,0,39,33,25,10,47,18,48
624,1400000US24033802600,51,57,55,96,56,69,28,7
625,1400000US24031700308,16,178,14,45,24,127,52,76
626,1400000US24031700309,35,90,30,165,49,70,13,82
627,1400000US24031700310,10,72,33,123,29,48,0,18
628,1400000US24031700311,0,85,0,14,10,47,0,0
629,1400000US24031700312,0,47,9,48,0,34,0,42
630,1400000US24031700400,0,10,0,7,0,41,18,22
631,1400000US24031700500,18,81,0,36,0,93,0,49
632,1400000US24031700604,0,0,0,0,36,31,0,0
633,1400000US24031700606,0,88,0,0,11,27,0,0
634,1400000US24031700608,27,69,0,0,0,29,0,0
635,1400000US24031700610,0,18,0,0,2,11,0,0
636,1400000US24031700613,0,92,8,35,13,35,24,26
637,1400000US24031700614,0,59,0,88,11,47,0,0
638,1400000US24031700615,23,56,0,0,0,16,0,0
639,1400000US24031700616,0,63,0,0,12,28,0,0
640,1400000US24031700704,11,29,19,66,46,11,40,0
641,1400000US24031700706,0,44,50,142,11,40,7,24
642,1400000US24031700711,0,66,22,54,97,65,29,3
643,1400000US24031700713,40,26,103,116,0,29,46,10
644,1400000US24031700715,0,124,0,42,50,109,0,32
645,1400000US24031700716,0,168,52,42,97,124,0,13
646,1400000US24031700717,0,58,52,94,94,59,57,50
647,1400000US24031700719,0,18,0,138,75,101,92,240
648,1400000US24031700720,9,15,0,109,8,0,49,18
649,1400000US24031700721,0,16,0,181,0,50,0,13
650,1400000US24031700722,0,89,57,139,33,16,0,0
651,1400000US24031700724,0,0,84,0,0,0,83,66
652,1400000US24031700810,0,12,38,123,10,120,0,0
653,1400000US24031700811,0,51,0,133,25,162,0,8
654,1400000US24031700812,17,57,22,0,96,61,0,41
655,1400000US24031700101,27,51,0,3,2,25,0,0
656,1400000US24031700103,19,53,0,3,29,51,0,0
657,1400000US24031700104,9,137,0,29,0,126,0,0
658,1400000US24031700204,0,13,0,0,0,17,0,0
659,1400000US24031700205,11,80,0,29,9,32,0,4
660,1400000US24031700206,22,64,0,28,22,76,0,13
661,1400000US24031700207,65,84,0,267,12,36,0,30
662,1400000US24031700208,0,28,0,0,11,22,0,0
663,1400000US24031700306,99,39,9,18,16,98,0,19
664,1400000US24031700813,13,177,0,74,35,105,0,72
665,1400000US24031700816,31,64,49,150,85,117,43,34
666,1400000US24031700817,0,42,14,160,0,27,0,44
667,1400000US24031700818,0,41,0,178,61,38,83,99
668,1400000US24031700819,20,85,0,140,104,143,14,20
669,1400000US24031700822,48,22,0,21,28,0,0,0
670,1400000US24031700823,16,13,14,0,34,38,0,0
671,1400000US24033803300,0,61,44,88,0,184,47,9
672,1400000US24033803401,0,73,16,33,26,36,0,20
673,1400000US24033803402,0,170,43,214,56,173,9,61
674,1400000US24033803508,10,21,134,388,46,72,39,91
675,1400000US24033803509,0,28,59,259,16,8,38,121
676,1400000US24033803513,12,148,18,91,74,114,35,109
677,1400000US24033803514,0,63,26,189,11,89,8,40
678,1400000US24033803516,61,169,14,49,23,144,0,0
679,1400000US24033806711,2,62,25,189,11,53,12,55
680,1400000US24033806713,0,0,53,340,0,0,27,111
681,1400000US24033806714,0,0,127,80,0,0,102,88
682,1400000US24033806800,5,15,0,0,39,119,16,14
683,1400000US24033806900,7,43,0,107,31,91,2,15
684,1400000US24033807000,0,44,0,0,65,68,39,33
685,1400000US24033807102,31,34,0,16,15,78,0,5
686,1400000US24033807200,0,0,0,31,0,22,34,13
687,1400000US24033807301,0,45,11,45,33,12,0,9
688,1400000US24033807305,24,8,83,57,48,19,42,63
689,1400000US24033807404,27,31,0,12,34,105,38,27
690,1400000US24033807407,0,65,12,76,19,92,15,13
691,1400000US24033807408,17,48,0,24,35,85,10,0
692,1400000US24033807409,0,76,0,203,0,0,110,39
693,1400000US24033807410,0,41,46,69,29,86,0,75
694,1400000US24033803520,0,40,0,42,0,93,0,0
695,1400000US24033803521,0,85,0,41,0,191,0,0
696,1400000US24033803522,0,125,0,58,25,51,47,38
697,1400000US24033803523,34,88,0,0,11,29,0,0
698,1400000US24033803524,70,82,0,81,55,153,0,26
699,1400000US24033803526,20,16,0,63,27,139,0,41
