OBJECTID,GEO.id,acs_moc,acs_foc,acs_mrc,acs_frc,acs_mo,acs_fo,acs_mr,acs_fr,acs_oo,acs_ro
108,1400000US11001002702,7,59,15,13,0,7,6,13,925,1095
109,1400000US11001002802,0,0,20,119,11,21,110,84,227,1619
110,1400000US11001003000,14,0,9,136,27,75,14,53,366,917
111,1400000US11001003100,13,41,0,75,51,36,29,11,604,349
112,1400000US11001003200,1,44,58,72,29,223,23,73,972,675
113,1400000US11001003302,0,20,0,86,10,100,42,18,541,405
114,1400000US11001003400,17,46,0,19,91,79,9,58,590,561
115,1400000US11001003500,0,0,45,80,0,23,0,15,303,605
116,1400000US11001003700,23,26,68,295,12,0,31,117,426,1698
117,1400000US11001003800,0,32,0,14,13,23,0,69,741,1832
118,1400000US11001003900,0,23,49,0,18,12,19,56,815,2031
119,1400000US11001004001,0,14,15,0,30,16,0,0,1176,850
120,1400000US11001004100,0,0,0,13,0,23,21,0,713,777
121,1400000US11001004201,0,0,0,59,0,0,8,62,803,1320
122,1400000US11001004300,15,0,0,23,0,0,35,101,382,1409
123,1400000US11001004400,0,0,0,43,13,40,0,24,1191,973
124,1400000US11001004600,20,60,0,90,48,111,12,56,594,500
125,1400000US11001004701,0,0,28,355,0,0,0,201,187,1339
126,1400000US11001004801,0,38,0,10,23,75,0,0,510,390
127,1400000US11001004802,0,0,0,120,0,0,14,169,176,1143
128,1400000US11001004902,0,0,13,73,0,21,38,43,432,909
129,1400000US11001005001,0,29,0,0,0,0,0,0,462,342
130,1400000US11001005002,0,0,27,0,29,0,128,89,1047,2406
131,1400000US11001005201,0,0,0,15,0,10,10,25,1240,2650
132,1400000US11001005301,0,0,0,0,0,15,8,18,1426,2031
133,1400000US11001005500,14,14,0,0,14,27,0,53,1432,2360
134,1400000US11001005800,0,0,0,0,9,17,0,49,648,1044
135,1400000US11001005900,0,0,0,19,0,12,53,30,139,1340
137,1400000US11001006500,0,0,18,0,0,0,0,0,763,629
138,1400000US11001006600,0,0,0,0,0,8,0,0,452,556
139,1400000US11001006700,16,0,0,0,48,78,0,0,1147,624
140,1400000US11001006802,0,6,26,19,47,101,3,22,572,301
142,1400000US11001006900,0,11,0,11,34,96,0,12,662,391
143,1400000US11001007000,20,31,0,0,0,0,5,23,588,543
144,1400000US11001007200,0,0,18,22,0,0,0,51,201,497
145,1400000US11001007301,0,0,9,77,0,0,0,0,15,754
146,1400000US11001007304,8,32,55,292,2,59,24,155,456,757
147,1400000US11001007401,0,0,14,274,21,9,0,159,64,725
148,1400000US11001007404,11,44,0,425,0,17,41,117,165,903
149,1400000US11001007406,0,0,10,411,0,0,26,195,71,919
150,1400000US11001009301,37,63,0,93,18,67,0,12,944,239
151,1400000US11001009400,0,38,0,98,98,144,10,106,1221,571
152,1400000US11001009501,0,46,93,132,0,70,40,124,352,1495
153,1400000US11001009503,0,41,14,16,11,161,0,10,1069,66
154,1400000US11001009505,17,125,0,36,55,218,0,0,974,122
155,1400000US11001009507,11,12,0,36,10,75,0,10,518,136
156,1400000US11001009508,15,24,0,41,51,127,11,58,829,559
157,1400000US11001009601,19,46,0,315,10,16,20,148,308,546
158,1400000US11001009801,0,15,0,129,0,0,15,112,110,287
159,1400000US11001009803,0,0,32,122,9,84,32,146,186,779
160,1400000US11001009804,0,0,14,227,0,88,9,117,277,725
161,1400000US11001009810,0,0,0,403,0,0,14,56,44,894
162,1400000US11001009811,0,0,71,414,0,30,20,240,124,1386
163,1400000US11001009901,0,0,0,11,17,97,0,22,827,127
164,1400000US11001009902,14,149,0,87,7,201,0,60,875,235
165,1400000US11001009903,0,20,0,89,9,99,46,10,307,209
166,1400000US11001009905,10,30,0,175,23,91,21,11,397,654
167,1400000US11001009907,0,0,54,328,0,33,4,55,224,870
168,1400000US11001010100,0,0,0,0,0,0,0,50,361,1204
169,1400000US11001010200,0,0,15,72,0,0,11,59,477,1237
170,1400000US11001010300,0,45,24,84,34,106,25,7,606,442
171,1400000US11001010400,0,8,68,234,0,108,0,137,390,1064
172,1400000US11001010600,0,25,0,107,32,136,15,40,835,629
173,1400000US11001010700,0,8,0,0,0,0,0,14,220,1006
174,1400000US11001010900,0,12,33,321,0,0,21,144,109,1017
175,1400000US11001011000,15,50,0,79,0,140,18,122,1874,709
176,1400000US11001011100,0,54,22,54,62,215,10,28,1152,489
177,1400000US11001001902,0,22,25,56,25,109,0,34,648,202
178,1400000US11001008100,12,25,0,0,73,26,28,33,742,647
179,1400000US11001000801,11,85,48,0,0,91,0,20,1852,1286
180,1400000US51059415100,0,24,0,0,25,84,10,0,1041,164
181,1400000US51059415401,15,37,39,152,0,39,0,38,521,1604
182,1400000US51059416000,6,84,9,139,34,107,0,3,1195,662
183,1400000US51059420100,37,83,0,30,15,42,11,0,1062,135
184,1400000US51059420800,14,105,0,12,63,20,0,0,973,186
185,1400000US51059421200,7,40,0,0,11,34,0,0,627,46
186,1400000US51059421600,6,79,27,251,4,50,33,45,914,998
187,1400000US51059421800,14,59,48,196,28,51,37,94,946,1152
188,1400000US51059422301,31,18,0,21,57,7,0,36,703,562
189,1400000US51059422401,0,5,0,25,0,0,12,31,399,681
190,1400000US51059430203,0,32,11,29,0,58,0,0,792,142
191,1400000US51059430500,0,51,0,0,0,0,0,0,536,50
192,1400000US51059430901,0,36,3,56,33,37,16,32,1086,393
193,1400000US51059431801,10,75,0,69,96,57,0,27,1178,243
194,1400000US51059431900,16,43,0,0,34,14,0,0,954,122
195,1400000US51059432300,15,75,5,19,48,26,30,10,1367,371
196,1400000US51059432702,0,70,0,85,34,56,19,36,1142,358
197,1400000US51059440600,0,73,0,0,0,34,0,0,892,25
198,1400000US51059450200,0,27,8,91,20,99,13,8,714,511
199,1400000US51059450500,23,67,0,101,19,26,0,17,667,165
200,1400000US51059450702,0,25,44,108,63,0,97,20,288,1094
201,1400000US51059451300,25,18,47,0,19,7,0,0,821,89
202,1400000US51059451900,32,65,0,194,7,146,81,61,1244,876
203,1400000US51059452102,0,31,25,59,16,64,0,0,722,255
204,1400000US51059452502,0,0,0,12,117,19,65,107,409,1089
205,1400000US51059452802,0,0,13,42,57,45,14,35,1155,282
206,1400000US51059460200,18,22,0,0,0,40,0,0,1257,27
207,1400000US51059460300,0,21,0,15,0,22,0,0,863,85
208,1400000US51059460600,71,14,0,4,12,59,11,9,1164,153
209,1400000US51059461000,0,0,0,6,0,17,0,0,700,72
210,1400000US51059461601,0,13,0,23,49,67,0,9,1328,958
211,1400000US51059461901,0,33,40,28,34,33,40,35,626,682
212,1400000US51059470600,9,43,0,0,0,14,0,13,827,270
213,1400000US51059471000,11,0,0,0,15,10,0,0,748,106
214,1400000US51059471303,0,29,0,36,13,15,0,0,881,849
215,1400000US51059480202,0,0,36,70,23,0,8,0,339,1051
216,1400000US51059480501,0,11,0,16,11,39,0,0,1036,54
217,1400000US51059480802,0,24,0,16,58,14,0,0,1040,469
218,1400000US51059481000,21,9,0,16,15,11,39,12,846,650
219,1400000US51059481104,0,0,0,25,0,14,0,11,587,515
220,1400000US51059481701,0,17,0,0,14,0,0,0,1961,53
221,1400000US51059482301,0,48,0,11,0,89,0,0,1643,314
222,1400000US51059482502,35,58,0,12,9,14,0,0,1017,44
