GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Unmarried-partner households:,Margin of Error; Unmarried-partner households:,Estimate; Unmarried-partner households: - Male householder and male partner,Margin of Error; Unmarried-partner households: - Male householder and male partner,Estimate; Unmarried-partner households: - Male householder and female partner,Margin of Error; Unmarried-partner households: - Male householder and female partner,Estimate; Unmarried-partner households: - Female householder and female partner,Margin of Error; Unmarried-partner households: - Female householder and female partner,Estimate; Unmarried-partner households: - Female householder and male partner,Margin of Error; Unmarried-partner households: - Female householder and male partner,Estimate; All other households,Margin of Error; All other households
1400000US11001002600,11001002600,"Census Tract 26, District of Columbia, District of Columbia",992,48,77,39,46,28,13,15,0,95,18,26,915,66
1400000US11001002701,11001002701,"Census Tract 27.01, District of Columbia, District of Columbia",2656,167,288,154,20,33,201,144,5,9,62,55,2368,206
1400000US11001002702,11001002702,"Census Tract 27.02, District of Columbia, District of Columbia",2120,186,277,100,46,43,134,76,27,31,70,46,1843,194
1400000US11001002801,11001002801,"Census Tract 28.01, District of Columbia, District of Columbia",1718,102,100,78,0,95,47,49,0,95,53,62,1618,117
1400000US11001002802,11001002802,"Census Tract 28.02, District of Columbia, District of Columbia",1976,114,162,81,14,24,103,72,14,16,31,24,1814,122
1400000US11001002900,11001002900,"Census Tract 29, District of Columbia, District of Columbia",1473,110,115,64,11,16,41,43,0,95,63,49,1358,123
1400000US11001003000,11001003000,"Census Tract 30, District of Columbia, District of Columbia",1356,93,115,54,43,33,26,21,0,95,46,37,1241,109
1400000US11001003100,11001003100,"Census Tract 31, District of Columbia, District of Columbia",925,99,77,42,22,24,0,95,10,16,45,31,848,111
1400000US11001003200,11001003200,"Census Tract 32, District of Columbia, District of Columbia",1700,132,189,76,23,21,60,64,18,25,88,68,1511,158
1400000US11001003301,11001003301,"Census Tract 33.01, District of Columbia, District of Columbia",1241,116,84,45,42,29,6,12,7,11,29,33,1157,124
1400000US11001003302,11001003302,"Census Tract 33.02, District of Columbia, District of Columbia",955,63,59,41,22,19,20,28,0,95,17,24,896,79
1400000US11001003400,11001003400,"Census Tract 34, District of Columbia, District of Columbia",1175,138,67,54,21,30,38,43,1,11,7,12,1108,144
1400000US11001003500,11001003500,"Census Tract 35, District of Columbia, District of Columbia",947,87,97,59,32,28,58,50,0,95,7,10,850,95
1400000US11001003600,11001003600,"Census Tract 36, District of Columbia, District of Columbia",1863,141,158,92,57,43,73,73,11,18,17,26,1705,156
1400000US11001003700,11001003700,"Census Tract 37, District of Columbia, District of Columbia",2240,195,192,108,22,34,54,52,0,95,116,83,2048,209
1400000US11001003800,11001003800,"Census Tract 38, District of Columbia, District of Columbia",2639,169,255,86,90,53,49,41,32,34,84,50,2384,187
1400000US11001003900,11001003900,"Census Tract 39, District of Columbia, District of Columbia",2756,178,182,92,13,23,30,35,46,42,93,77,2574,188
1400000US11001004001,11001004001,"Census Tract 40.01, District of Columbia, District of Columbia",2057,180,204,98,17,21,91,57,0,95,96,83,1853,203
1400000US11001004002,11001004002,"Census Tract 40.02, District of Columbia, District of Columbia",1580,159,162,75,46,29,48,46,0,95,68,43,1418,154
1400000US11001004100,11001004100,"Census Tract 41, District of Columbia, District of Columbia",1507,114,115,57,16,19,36,33,0,95,63,52,1392,116
1400000US11001004201,11001004201,"Census Tract 42.01, District of Columbia, District of Columbia",2133,87,291,98,110,59,98,62,44,36,39,37,1842,129
1400000US11001004202,11001004202,"Census Tract 42.02, District of Columbia, District of Columbia",1657,111,151,77,57,46,44,35,0,95,50,59,1506,129
1400000US11001004300,11001004300,"Census Tract 43, District of Columbia, District of Columbia",1756,177,184,88,126,75,26,44,32,37,0,95,1572,187
1400000US11001004400,11001004400,"Census Tract 44, District of Columbia, District of Columbia",2425,134,260,109,165,92,44,41,17,20,34,32,2165,166
1400000US11001004600,11001004600,"Census Tract 46, District of Columbia, District of Columbia",1109,118,121,65,10,16,56,42,10,15,45,52,988,123
1400000US11001004701,11001004701,"Census Tract 47.01, District of Columbia, District of Columbia",1615,200,49,50,0,95,0,95,0,95,49,50,1566,197
1400000US11001004702,11001004702,"Census Tract 47.02, District of Columbia, District of Columbia",894,90,48,41,0,95,32,38,0,95,16,23,846,104
1400000US11001004801,11001004801,"Census Tract 48.01, District of Columbia, District of Columbia",947,97,104,42,35,25,52,36,0,95,17,19,843,104
1400000US11001004802,11001004802,"Census Tract 48.02, District of Columbia, District of Columbia",1349,87,162,100,14,20,87,69,38,56,23,37,1187,121
1400000US11001004901,11001004901,"Census Tract 49.01, District of Columbia, District of Columbia",1030,66,102,69,84,61,18,27,0,95,0,95,928,95
1400000US11001004902,11001004902,"Census Tract 49.02, District of Columbia, District of Columbia",1425,110,137,63,88,53,14,22,0,95,35,33,1288,133
1400000US11001005001,11001005001,"Census Tract 50.01, District of Columbia, District of Columbia",896,96,166,85,102,71,28,48,0,95,36,32,730,107
1400000US11001005002,11001005002,"Census Tract 50.02, District of Columbia, District of Columbia",3462,158,278,111,119,75,74,67,0,95,85,55,3184,186
1400000US11001005201,11001005201,"Census Tract 52.01, District of Columbia, District of Columbia",4023,266,456,159,239,120,60,47,11,17,146,78,3567,304
1400000US11001005301,11001005301,"Census Tract 53.01, District of Columbia, District of Columbia",3440,212,307,111,136,76,81,64,0,95,90,66,3133,208
1400000US11001005500,11001005500,"Census Tract 55, District of Columbia, District of Columbia",3875,279,261,107,119,80,108,68,12,20,22,26,3614,295
1400000US11001005600,11001005600,"Census Tract 56, District of Columbia, District of Columbia",3417,277,59,48,0,95,30,35,0,95,29,33,3358,267
1400000US11001005800,11001005800,"Census Tract 58, District of Columbia, District of Columbia",1751,147,147,74,42,42,18,20,12,18,75,53,1604,143
1400000US11001005900,11001005900,"Census Tract 59, District of Columbia, District of Columbia",1405,140,160,76,29,25,75,59,22,36,34,29,1245,126
1400000US11001006202,11001006202,"Census Tract 62.02, District of Columbia, District of Columbia",0,95,0,95,0,95,0,95,0,95,0,95,0,95
1400000US11001006400,11001006400,"Census Tract 64, District of Columbia, District of Columbia",920,83,46,36,12,18,22,25,0,95,12,20,874,90
1400000US11001006500,11001006500,"Census Tract 65, District of Columbia, District of Columbia",1330,107,91,57,11,18,46,45,0,95,34,26,1239,123
1400000US11001006600,11001006600,"Census Tract 66, District of Columbia, District of Columbia",933,97,81,44,11,16,32,30,0,95,38,27,852,104
1400000US11001006700,11001006700,"Census Tract 67, District of Columbia, District of Columbia",1836,87,156,65,49,44,34,27,0,95,73,47,1680,97
1400000US11001006801,11001006801,"Census Tract 68.01, District of Columbia, District of Columbia",837,81,80,49,0,95,21,20,0,95,59,42,757,92
1400000US11001006802,11001006802,"Census Tract 68.02, District of Columbia, District of Columbia",886,87,56,38,24,26,16,25,12,18,4,6,830,85
1400000US11001006804,11001006804,"Census Tract 68.04, District of Columbia, District of Columbia",0,95,0,95,0,95,0,95,0,95,0,95,0,95
1400000US11001006900,11001006900,"Census Tract 69, District of Columbia, District of Columbia",1138,60,69,53,36,31,13,28,0,95,20,24,1069,78
1400000US11001007000,11001007000,"Census Tract 70, District of Columbia, District of Columbia",1157,71,135,75,20,26,14,15,29,39,72,57,1022,101
1400000US11001007100,11001007100,"Census Tract 71, District of Columbia, District of Columbia",1247,95,41,33,0,95,25,26,7,12,9,14,1206,97
1400000US11001007200,11001007200,"Census Tract 72, District of Columbia, District of Columbia",972,125,65,45,0,95,40,36,0,95,25,27,907,124
1400000US11001007301,11001007301,"Census Tract 73.01, District of Columbia, District of Columbia",676,124,14,23,0,95,14,23,0,95,0,95,662,123
1400000US11001007304,11001007304,"Census Tract 73.04, District of Columbia, District of Columbia",1180,108,189,87,0,95,70,61,0,95,119,66,991,130
1400000US11001007401,11001007401,"Census Tract 74.01, District of Columbia, District of Columbia",844,79,17,21,12,19,0,95,0,95,5,9,827,81
1400000US11001007403,11001007403,"Census Tract 74.03, District of Columbia, District of Columbia",1220,73,183,84,7,11,27,34,0,95,149,72,1037,100
1400000US11001007404,11001007404,"Census Tract 74.04, District of Columbia, District of Columbia",1129,132,35,44,0,95,9,15,0,95,26,42,1094,133
1400000US11001007406,11001007406,"Census Tract 74.06, District of Columbia, District of Columbia",980,92,52,59,0,95,0,95,0,95,52,59,928,100
1400000US11001007407,11001007407,"Census Tract 74.07, District of Columbia, District of Columbia",1115,78,27,27,6,12,13,21,0,95,8,12,1088,80
1400000US11001007408,11001007408,"Census Tract 74.08, District of Columbia, District of Columbia",1027,106,20,29,0,95,0,95,0,95,20,29,1007,113
1400000US11001007409,11001007409,"Census Tract 74.09, District of Columbia, District of Columbia",1498,77,80,56,25,39,0,95,20,18,35,38,1418,93
1400000US11001007502,11001007502,"Census Tract 75.02, District of Columbia, District of Columbia",1681,118,77,49,23,38,0,95,0,95,54,31,1604,121
1400000US11001007503,11001007503,"Census Tract 75.03, District of Columbia, District of Columbia",817,87,33,29,0,95,0,95,9,14,24,26,784,90
1400000US11001007504,11001007504,"Census Tract 75.04, District of Columbia, District of Columbia",1040,105,45,46,0,95,27,37,0,95,18,28,995,115
1400000US11001007601,11001007601,"Census Tract 76.01, District of Columbia, District of Columbia",1799,178,84,70,0,95,34,39,0,95,50,59,1715,190
1400000US11001007603,11001007603,"Census Tract 76.03, District of Columbia, District of Columbia",2097,134,112,91,13,24,10,18,0,95,89,91,1985,153
1400000US11001007604,11001007604,"Census Tract 76.04, District of Columbia, District of Columbia",1717,110,152,77,36,32,72,59,0,95,44,43,1565,126
1400000US11001007605,11001007605,"Census Tract 76.05, District of Columbia, District of Columbia",1685,98,81,63,0,95,68,61,0,95,13,21,1604,109
1400000US11001007703,11001007703,"Census Tract 77.03, District of Columbia, District of Columbia",2205,141,91,76,0,95,48,56,0,95,43,56,2114,159
1400000US11001007707,11001007707,"Census Tract 77.07, District of Columbia, District of Columbia",1428,121,64,62,0,95,0,95,0,95,64,62,1364,121
1400000US11001007708,11001007708,"Census Tract 77.08, District of Columbia, District of Columbia",1125,95,66,59,8,13,0,95,0,95,58,58,1059,97
1400000US11001007709,11001007709,"Census Tract 77.09, District of Columbia, District of Columbia",1001,120,72,79,0,95,34,56,11,17,27,42,929,116
1400000US11001007803,11001007803,"Census Tract 78.03, District of Columbia, District of Columbia",1318,115,83,58,0,95,60,48,0,95,23,22,1235,132
1400000US11001007804,11001007804,"Census Tract 78.04, District of Columbia, District of Columbia",1022,124,16,19,0,95,9,16,0,95,7,11,1006,127
1400000US11001007806,11001007806,"Census Tract 78.06, District of Columbia, District of Columbia",869,98,75,75,21,31,47,67,0,95,7,11,794,95
1400000US11001007807,11001007807,"Census Tract 78.07, District of Columbia, District of Columbia",857,73,51,45,0,95,0,95,0,95,51,45,806,83
1400000US11001007808,11001007808,"Census Tract 78.08, District of Columbia, District of Columbia",1218,132,15,20,0,95,0,95,0,95,15,20,1203,132
1400000US11001007809,11001007809,"Census Tract 78.09, District of Columbia, District of Columbia",1095,122,72,55,0,95,23,26,0,95,49,49,1023,125
1400000US11001007901,11001007901,"Census Tract 79.01, District of Columbia, District of Columbia",1578,93,147,82,15,24,110,72,0,95,22,34,1431,110
1400000US11001007903,11001007903,"Census Tract 79.03, District of Columbia, District of Columbia",746,68,31,38,24,35,0,95,0,95,7,12,715,85
1400000US11001008001,11001008001,"Census Tract 80.01, District of Columbia, District of Columbia",1247,92,74,39,12,18,51,36,0,95,11,17,1173,101
1400000US11001008002,11001008002,"Census Tract 80.02, District of Columbia, District of Columbia",1542,87,100,47,33,27,7,13,0,95,60,38,1442,94
1400000US11001008100,11001008100,"Census Tract 81, District of Columbia, District of Columbia",1347,110,156,74,14,21,80,45,39,49,23,23,1191,113
1400000US11001008200,11001008200,"Census Tract 82, District of Columbia, District of Columbia",1478,101,150,77,21,24,50,44,0,95,79,54,1328,124
1400000US11001008301,11001008301,"Census Tract 83.01, District of Columbia, District of Columbia",1120,83,143,56,75,32,22,25,0,95,46,35,977,98
1400000US11001008302,11001008302,"Census Tract 83.02, District of Columbia, District of Columbia",1019,33,133,82,45,34,12,18,12,17,64,69,886,89
1400000US11001008402,11001008402,"Census Tract 84.02, District of Columbia, District of Columbia",1039,115,92,42,0,95,45,36,0,95,47,29,947,108
1400000US11001008410,11001008410,"Census Tract 84.10, District of Columbia, District of Columbia",529,74,68,45,14,20,45,38,0,95,9,14,461,81
1400000US11001008701,11001008701,"Census Tract 87.01, District of Columbia, District of Columbia",811,82,12,11,0,95,2,4,0,95,10,10,799,81
1400000US11001008702,11001008702,"Census Tract 87.02, District of Columbia, District of Columbia",651,91,30,26,15,19,15,17,0,95,0,95,621,92
1400000US11001008802,11001008802,"Census Tract 88.02, District of Columbia, District of Columbia",1814,130,249,89,0,95,95,50,0,95,154,77,1565,136
1400000US11001008803,11001008803,"Census Tract 88.03, District of Columbia, District of Columbia",443,70,28,38,0,95,28,38,0,95,0,95,415,73
1400000US11001008804,11001008804,"Census Tract 88.04, District of Columbia, District of Columbia",1254,122,181,97,0,95,96,83,0,95,85,67,1073,139
1400000US11001008903,11001008903,"Census Tract 89.03, District of Columbia, District of Columbia",1210,119,54,55,0,95,23,37,0,95,31,35,1156,120
1400000US11001008904,11001008904,"Census Tract 89.04, District of Columbia, District of Columbia",1589,122,135,86,0,95,85,69,4,9,46,47,1454,134
1400000US11001009000,11001009000,"Census Tract 90, District of Columbia, District of Columbia",1619,81,36,55,0,95,36,55,0,95,0,95,1583,94
1400000US11001009102,11001009102,"Census Tract 91.02, District of Columbia, District of Columbia",1612,114,96,63,0,95,0,95,12,19,84,59,1516,131
1400000US11001009201,11001009201,"Census Tract 92.01, District of Columbia, District of Columbia",525,73,40,35,0,95,10,14,14,24,16,23,485,84
1400000US11001009203,11001009203,"Census Tract 92.03, District of Columbia, District of Columbia",1206,112,15,23,0,95,15,23,0,95,0,95,1191,113
1400000US11001009204,11001009204,"Census Tract 92.04, District of Columbia, District of Columbia",1266,104,134,87,0,95,82,76,9,15,43,43,1132,130
1400000US11001009301,11001009301,"Census Tract 93.01, District of Columbia, District of Columbia",1152,82,65,57,0,95,13,20,13,23,39,58,1087,85
1400000US11001009302,11001009302,"Census Tract 93.02, District of Columbia, District of Columbia",422,67,10,14,0,95,0,95,0,95,10,14,412,72
1400000US11001009400,11001009400,"Census Tract 94, District of Columbia, District of Columbia",1783,85,154,100,56,62,23,27,15,25,60,76,1629,115
