OBJECTID,GEO.id,acs_bpl,acs_bplp,acs_bplm,acs_bplf,acs_bplmp,acs_bplfp
56,1400000US11001007601,759,19.4,328,431,18.4,20.1
57,1400000US11001007703,1473,26.3,525,948,22.9,28.7
58,1400000US11001007806,486,23.0,142,344,15.7,28.5
59,1400000US11001007901,1420,37.7,422,998,26.7,45.6
60,1400000US11001008302,57,2.8,21,36,2.2,3.4
61,1400000US11001008702,287,16.8,131,156,15.2,18.3
62,1400000US11001008904,846,25.8,426,420,27.0,24.7
63,1400000US11001009203,314,12.4,237,77,16.5,7.0
64,1400000US11001009302,53,4.4,53,0,8.5,0.0
65,1400000US11001009504,359,13.0,176,183,12.3,13.8
66,1400000US11001009509,151,5.5,33,118,2.7,7.8
67,1400000US11001009602,1239,41.8,450,789,39.3,43.3
68,1400000US11001009603,496,15.2,198,298,13.8,16.3
69,1400000US11001009604,402,20.1,92,310,14.3,22.8
70,1400000US11001009700,764,31.8,295,469,30.2,32.9
71,1400000US11001009802,533,45.6,232,301,49.5,43.0
72,1400000US11001009807,461,14.5,234,227,15.2,13.9
73,1400000US11001009904,385,23.8,77,308,10.0,36.3
74,1400000US11001009906,219,13.1,129,90,14.5,11.6
75,1400000US11001010500,822,19.4,424,398,18.2,20.9
76,1400000US11001010800,1011,64.7,425,586,60.6,68.1
77,1400000US11001000202,495,14.4,197,298,11.5,17.4
78,1400000US11001000300,681,12.0,323,358,11.3,12.7
79,1400000US11001000501,459,14.3,92,367,7.0,19.3
80,1400000US11001000502,234,7.2,88,146,6.2,8.0
81,1400000US11001000600,216,5.3,53,163,2.8,7.6
82,1400000US11001000701,69,1.5,0,69,0.0,2.6
83,1400000US11001000802,209,8.1,118,91,9.3,6.9
84,1400000US11001000901,183,4.9,101,82,5.5,4.3
85,1400000US11001000902,128,5.7,21,107,1.9,9.3
86,1400000US11001001001,543,7.7,318,225,9.6,6.0
87,1400000US11001001100,314,7.4,124,190,6.1,8.5
88,1400000US11001001200,485,9.7,159,326,7.3,11.6
89,1400000US11001001301,427,10.1,308,119,14.2,5.8
90,1400000US11001001302,451,6.4,154,297,5.1,7.5
91,1400000US11001001402,198,6.8,48,150,3.4,9.9
92,1400000US11001001500,169,3.0,88,81,3.2,2.8
93,1400000US11001001600,172,3.9,33,139,1.6,5.9
94,1400000US11001001803,424,14.3,177,247,12.9,15.5
95,1400000US11001001804,1276,26.5,540,736,23.1,29.8
96,1400000US11001001901,443,10.6,80,363,4.6,14.9
97,1400000US11001002001,188,7.0,119,69,9.4,4.9
98,1400000US11001002002,412,11.5,185,227,12.1,11.0
99,1400000US11001002101,806,17.0,417,389,18.1,16.0
100,1400000US11001002102,526,12.2,149,377,8.9,14.3
101,1400000US11001002202,315,10.8,170,145,13.4,8.8
102,1400000US11001002301,367,12.3,165,202,10.3,14.6
103,1400000US11001002302,401,30.9,222,179,29.9,32.2
104,1400000US11001002400,478,12.7,286,192,14.4,10.8
105,1400000US11001002502,532,11.0,332,200,14.3,8.0
106,1400000US11001002600,137,6.0,83,54,8.0,4.3
107,1400000US11001002701,654,12.5,299,355,10.7,14.7
108,1400000US11001002702,387,7.6,115,272,4.5,10.6
109,1400000US11001002802,860,21.6,385,475,19.3,24.0
110,1400000US11001003000,701,23.1,361,340,26.1,20.7
111,1400000US11001003100,224,7.8,113,111,6.8,9.1
112,1400000US11001003200,918,20.5,287,631,14.1,25.9
113,1400000US11001003302,416,18.9,179,237,15.7,22.4
114,1400000US11001003400,900,34.0,357,543,26.2,42.2
115,1400000US11001003500,744,31.9,407,337,30.1,34.3
116,1400000US11001003700,1111,26.2,624,487,31.2,21.7
117,1400000US11001003800,240,5.9,194,46,8.1,2.8
118,1400000US11001003900,230,5.1,153,77,7.0,3.4
119,1400000US11001004001,120,3.7,74,46,4.5,2.9
120,1400000US11001004100,114,4.2,46,68,3.6,4.8
121,1400000US11001004201,694,19.6,394,300,19.3,20.0
122,1400000US11001004300,552,19.3,295,257,21.1,17.6
123,1400000US11001004400,550,12.3,316,234,13.7,10.7
124,1400000US11001004600,454,19.1,150,304,14.2,22.9
125,1400000US11001004701,1884,49.0,720,1164,45.0,51.9
126,1400000US11001004801,252,14.4,101,151,12.1,16.5
127,1400000US11001004802,418,13.7,161,257,11.5,15.5
128,1400000US11001004902,453,17.3,229,224,15.8,19.1
129,1400000US11001005001,163,10.3,163,0,15.1,0.0
130,1400000US11001005002,689,11.8,462,227,13.9,9.1
131,1400000US11001005201,619,11.9,329,290,10.7,13.6
132,1400000US11001005301,1000,16.7,513,487,16.6,16.8
133,1400000US11001005500,758,12.8,414,344,13.6,11.9
134,1400000US11001005800,150,5.6,44,106,3.4,7.7
135,1400000US11001005900,1570,44.4,1086,484,51.4,34.0
136,1400000US11001006202,0,-,0,0,-,-
137,1400000US11001006500,33,1.3,11,22,1.0,1.5
138,1400000US11001006600,162,8.7,54,108,6.5,10.5
139,1400000US11001006700,184,4.6,128,56,6.6,2.7
140,1400000US11001006802,56,2.7,27,29,2.9,2.5
141,1400000US11001006804,31,91.2,24,7,88.9,100.0
142,1400000US11001006900,202,9.1,53,149,4.9,13.0
143,1400000US11001007000,208,10.7,58,150,7.1,13.3
144,1400000US11001007200,141,11.7,67,74,12.1,11.4
145,1400000US11001007301,35,1.4,25,10,1.9,0.9
146,1400000US11001007304,1298,38.2,450,848,30.3,44.3
147,1400000US11001007401,1255,57.3,445,810,47.3,64.7
148,1400000US11001007404,1616,48.8,667,949,47.4,49.8
149,1400000US11001007406,1495,47.2,601,894,45.7,48.3
150,1400000US11001009301,810,23.2,253,557,15.7,29.7
151,1400000US11001009400,344,8.7,177,167,10.0,7.6
152,1400000US11001009501,796,19.7,471,325,22.8,16.5
153,1400000US11001009503,244,8.8,102,142,8.0,9.5
154,1400000US11001009505,167,6.2,58,109,5.3,6.9
155,1400000US11001009507,83,4.4,41,42,4.9,4.0
156,1400000US11001009508,271,9.0,123,148,9.2,8.8
157,1400000US11001009601,1336,45.6,538,798,56.3,40.5
158,1400000US11001009801,606,39.6,250,356,33.7,45.2
159,1400000US11001009803,567,24.3,206,361,21.6,26.2
160,1400000US11001009804,702,24.5,320,382,26.1,23.4
161,1400000US11001009810,813,34.9,343,470,33.2,36.3
162,1400000US11001009811,1631,46.2,494,1137,39.9,49.6
163,1400000US11001009901,121,6.0,25,96,2.8,8.5
164,1400000US11001009902,650,23.4,275,375,24.6,22.6
165,1400000US11001009903,337,24.3,148,189,21.6,27.0
166,1400000US11001009905,483,18.1,209,274,17.0,19.0
167,1400000US11001009907,1053,40.7,303,750,33.3,44.7
168,1400000US11001010100,296,14.0,117,179,11.3,16.5
169,1400000US11001010200,281,10.6,110,171,10.4,10.7
170,1400000US11001010300,133,4.9,30,103,2.2,7.6
171,1400000US11001010400,1354,34.3,785,569,37.2,31.0
172,1400000US11001010600,589,16.2,341,248,16.7,15.5
173,1400000US11001010700,494,28.6,179,315,26.2,30.2
174,1400000US11001010900,1480,48.4,426,1054,35.1,57.3
175,1400000US11001011000,708,17.4,294,414,17.1,17.7
176,1400000US11001011100,444,11.1,197,247,10.6,11.6
177,1400000US11001001902,165,7.8,83,82,8.7,7.0
178,1400000US11001008100,222,6.6,49,173,3.0,10.0
179,1400000US11001000801,403,7.0,204,199,8.0,6.1
180,1400000US51059415100,233,6.8,91,142,5.6,7.9
181,1400000US51059415401,314,6.8,189,125,9.0,4.9
182,1400000US51059416000,775,14.9,260,515,10.8,18.3
183,1400000US51059420100,599,14.7,383,216,18.0,11.1
184,1400000US51059420800,330,9.0,187,143,9.5,8.5
185,1400000US51059421200,0,0.0,0,0,0.0,0.0
186,1400000US51059421600,853,14.6,274,579,9.8,19.1
187,1400000US51059421800,495,9.3,255,240,10.4,8.4
188,1400000US51059422301,26,0.9,0,26,0.0,1.9
189,1400000US51059422401,178,9.1,13,165,1.5,15.6
190,1400000US51059430203,246,8.9,66,180,5.0,12.4
191,1400000US51059430500,64,3.8,32,32,4.2,3.5
192,1400000US51059430901,164,3.7,74,90,3.7,3.8
193,1400000US51059431801,102,2.5,0,102,0.0,4.8
194,1400000US51059431900,0,0.0,0,0,0.0,0.0
195,1400000US51059432300,185,3.5,89,96,3.4,3.6
196,1400000US51059432702,115,2.7,63,52,2.8,2.7
197,1400000US51059440600,124,4.0,75,49,5.1,3.0
198,1400000US51059450200,551,14.1,291,260,14.9,13.3
199,1400000US51059450500,333,12.3,169,164,12.3,12.3
200,1400000US51059450702,606,15.3,269,337,12.8,18.1
201,1400000US51059451300,0,0.0,0,0,0.0,0.0
202,1400000US51059451900,288,4.9,80,208,3.0,6.6
203,1400000US51059452102,366,13.6,137,229,10.8,16.1
204,1400000US51059452502,1208,24.9,624,584,25.5,24.3
205,1400000US51059452802,441,15.3,170,271,13.0,17.2
206,1400000US51059460200,87,2.2,26,61,1.4,2.9
207,1400000US51059460300,39,1.4,9,30,0.6,2.2
208,1400000US51059460600,24,0.6,0,24,0.0,1.3
209,1400000US51059461000,43,2.0,7,36,0.7,3.1
210,1400000US51059461601,144,2.4,107,37,3.5,1.3
211,1400000US51059461901,428,11.5,189,239,10.3,12.6
212,1400000US51059470600,163,5.7,15,148,1.1,9.8
213,1400000US51059471000,31,1.6,31,0,3.4,0.0
214,1400000US51059471303,139,3.8,38,101,2.3,5.1
215,1400000US51059480202,17,0.8,3,14,0.3,1.3
