GEO.id,GEO.id2,GEO.display-label,VD01,VD02,VD03,VD04,VD05,VD06,VD07,VD08,VD09,VD10,VD11,VD12,VD13,VD14,VD15,VD16,VD17,VD18,VD19,VD20,VD21,VD22,VD23,VD24,VD25
Id,Id2,Geography,Total:,"Less than $10,000","$10,000 to $14,999","$15,000 to $19,999","$20,000 to $24,999","$25,000 to $29,999","$30,000 to $34,999","$35,000 to $39,999","$40,000 to $49,999","$50,000 to $59,999","$60,000 to $69,999","$70,000 to $79,999","$80,000 to $89,999","$90,000 to $99,999","$100,000 to $124,999","$125,000 to $149,999","$150,000 to $174,999","$175,000 to $199,999","$200,000 to $249,999","$250,000 to $299,999","$300,000 to $399,999","$400,000 to $499,999","$500,000 to $749,999","$750,000 to $999,999","$1,000,000 or more"
1400000US11001001803,11001001803,"Census Tract 18.03, District of Columbia, District of Columbia",202,0,0,0,0,0,0,0,0,0,0,0,0,0,9,19,20,38,50,22,22,14,0,8,0
1400000US11001001804,11001001804,"Census Tract 18.04, District of Columbia, District of Columbia",499,0,0,0,0,0,0,0,0,0,0,0,14,6,30,86,104,106,69,72,6,6,0,0,0
1400000US11001001901,11001001901,"Census Tract 19.01, District of Columbia, District of Columbia",1160,0,0,7,0,0,0,0,0,0,0,0,7,78,340,352,204,118,38,0,0,0,9,0,7
1400000US11001001902,11001001902,"Census Tract 19.02, District of Columbia, District of Columbia",665,0,0,0,0,0,0,0,0,0,0,12,5,12,65,193,182,93,84,13,6,0,0,0,0
1400000US11001002001,11001002001,"Census Tract 20.01, District of Columbia, District of Columbia",302,0,0,0,0,7,0,0,0,0,0,0,0,0,7,10,19,20,36,41,80,22,60,0,0
1400000US11001002002,11001002002,"Census Tract 20.02, District of Columbia, District of Columbia",768,0,0,0,0,0,0,0,0,0,0,0,6,9,123,142,148,124,100,61,33,16,6,0,0
1400000US11001002101,11001002101,"Census Tract 21.01, District of Columbia, District of Columbia",764,0,0,0,0,0,0,0,0,0,0,57,52,97,232,169,89,23,30,0,0,0,9,6,0
1400000US11001002102,11001002102,"Census Tract 21.02, District of Columbia, District of Columbia",1020,0,0,0,0,0,0,0,0,0,0,0,0,47,180,380,279,117,17,0,0,0,0,0,0
1400000US11001002201,11001002201,"Census Tract 22.01, District of Columbia, District of Columbia",865,0,0,6,0,8,0,0,0,9,0,0,10,80,342,255,117,33,0,0,0,0,0,0,5
1400000US11001002202,11001002202,"Census Tract 22.02, District of Columbia, District of Columbia",467,0,0,0,0,0,0,0,6,0,0,0,8,66,192,132,38,18,0,7,0,0,0,0,0
1400000US11001002301,11001002301,"Census Tract 23.01, District of Columbia, District of Columbia",736,0,0,0,0,0,0,0,0,0,0,9,5,49,282,251,105,20,7,0,0,8,0,0,0
1400000US11001002302,11001002302,"Census Tract 23.02, District of Columbia, District of Columbia",130,0,0,0,0,0,0,0,0,0,0,0,0,7,62,52,0,0,0,0,9,0,0,0,0
1400000US11001002400,11001002400,"Census Tract 24, District of Columbia, District of Columbia",726,0,16,0,0,0,0,6,0,0,0,8,13,20,231,235,118,48,6,20,5,0,0,0,0
1400000US11001002501,11001002501,"Census Tract 25.01, District of Columbia, District of Columbia",536,0,0,0,0,0,0,0,0,6,0,0,6,7,40,75,139,112,104,36,5,6,0,0,0
1400000US11001002502,11001002502,"Census Tract 25.02, District of Columbia, District of Columbia",661,0,0,0,0,0,0,9,8,7,14,0,0,35,123,165,122,68,110,0,0,0,0,0,0
1400000US11001002600,11001002600,"Census Tract 26, District of Columbia, District of Columbia",672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,31,35,91,208,153,131,0,11
1400000US11001002701,11001002701,"Census Tract 27.01, District of Columbia, District of Columbia",426,0,0,0,10,0,7,0,0,0,0,0,0,0,0,7,43,53,63,105,97,31,10,0,0
1400000US11001002702,11001002702,"Census Tract 27.02, District of Columbia, District of Columbia",672,9,0,0,0,0,0,0,0,0,0,0,0,0,8,31,0,22,123,115,282,47,25,0,10
1400000US11001002801,11001002801,"Census Tract 28.01, District of Columbia, District of Columbia",209,0,0,10,0,0,0,0,0,0,0,19,7,13,46,16,52,7,32,7,0,0,0,0,0
1400000US11001002802,11001002802,"Census Tract 28.02, District of Columbia, District of Columbia",108,0,0,0,0,0,12,0,0,0,0,0,0,5,8,46,0,6,6,18,0,0,0,0,7
1400000US11001002900,11001002900,"Census Tract 29, District of Columbia, District of Columbia",533,0,0,0,0,0,0,6,0,0,5,19,0,21,134,119,97,50,35,5,42,0,0,0,0
1400000US11001003000,11001003000,"Census Tract 30, District of Columbia, District of Columbia",187,0,0,0,0,0,0,0,0,0,0,0,0,19,4,51,6,45,5,33,16,8,0,0,0
1400000US11001003100,11001003100,"Census Tract 31, District of Columbia, District of Columbia",415,0,0,0,0,0,0,0,0,11,0,17,68,54,118,68,31,26,10,0,7,5,0,0,0
1400000US11001003200,11001003200,"Census Tract 32, District of Columbia, District of Columbia",826,0,0,0,0,0,0,0,6,6,7,10,102,175,133,183,143,27,17,8,0,0,0,9,0
1400000US11001003301,11001003301,"Census Tract 33.01, District of Columbia, District of Columbia",523,0,0,0,0,0,0,0,0,0,7,6,19,0,94,147,122,33,49,34,7,5,0,0,0
1400000US11001003302,11001003302,"Census Tract 33.02, District of Columbia, District of Columbia",378,0,0,0,0,0,0,0,0,0,8,4,0,24,57,71,53,85,39,31,0,0,0,6,0
1400000US11001003400,11001003400,"Census Tract 34, District of Columbia, District of Columbia",325,0,8,0,0,0,0,8,0,0,9,15,0,37,95,66,38,16,23,10,0,0,0,0,0
1400000US11001003500,11001003500,"Census Tract 35, District of Columbia, District of Columbia",197,0,0,0,0,0,0,0,0,0,0,0,46,25,52,31,14,29,0,0,0,0,0,0,0
1400000US11001003600,11001003600,"Census Tract 36, District of Columbia, District of Columbia",233,0,0,0,0,0,0,0,0,0,0,0,0,16,41,32,38,33,16,24,27,0,6,0,0
1400000US11001003700,11001003700,"Census Tract 37, District of Columbia, District of Columbia",53,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,7,8,17,6,0,0,0,0,0
1400000US11001003800,11001003800,"Census Tract 38, District of Columbia, District of Columbia",192,0,0,0,0,0,0,0,0,0,0,0,0,0,15,19,17,10,70,51,10,0,0,0,0
1400000US11001003900,11001003900,"Census Tract 39, District of Columbia, District of Columbia",188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,20,27,54,35,37,0,0
1400000US11001004001,11001004001,"Census Tract 40.01, District of Columbia, District of Columbia",241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,15,9,66,28,83,24,0
1400000US11001004002,11001004002,"Census Tract 40.02, District of Columbia, District of Columbia",89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,12,0,17,17,19,6,6
1400000US11001004100,11001004100,"Census Tract 41, District of Columbia, District of Columbia",281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,18,19,60,173
1400000US11001004201,11001004201,"Census Tract 42.01, District of Columbia, District of Columbia",255,0,0,0,0,0,0,0,0,0,0,7,8,0,9,0,7,7,35,17,52,49,57,0,7
1400000US11001004202,11001004202,"Census Tract 42.02, District of Columbia, District of Columbia",147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,26,18,14,47,22,6
1400000US11001004300,11001004300,"Census Tract 43, District of Columbia, District of Columbia",223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,6,6,13,39,71,36,25,0,0
1400000US11001004400,11001004400,"Census Tract 44, District of Columbia, District of Columbia",484,8,0,0,0,0,0,0,0,0,0,11,11,24,72,37,80,3,51,60,69,27,31,0,0
1400000US11001004600,11001004600,"Census Tract 46, District of Columbia, District of Columbia",425,0,0,0,0,0,0,0,0,8,10,7,23,51,116,102,29,44,26,0,0,0,0,0,9
1400000US11001004700,11001004700,"Census Tract 47, District of Columbia, District of Columbia",81,0,0,0,0,0,0,0,0,0,0,0,14,16,30,7,0,8,6,0,0,0,0,0,0
1400000US11001004801,11001004801,"Census Tract 48.01, District of Columbia, District of Columbia",289,0,0,0,0,0,0,0,0,0,15,30,0,32,69,58,34,21,23,7,0,0,0,0,0
1400000US11001004802,11001004802,"Census Tract 48.02, District of Columbia, District of Columbia",107,0,0,0,0,0,0,0,0,0,0,6,13,26,0,0,17,0,17,0,28,0,0,0,0
1400000US11001004901,11001004901,"Census Tract 49.01, District of Columbia, District of Columbia",178,0,0,0,6,0,0,0,0,0,0,21,8,10,14,10,31,22,17,23,16,0,0,0,0
1400000US11001004902,11001004902,"Census Tract 49.02, District of Columbia, District of Columbia",65,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,22,5,7,0,15,0,0,0,0
1400000US11001005000,11001005000,"Census Tract 50, District of Columbia, District of Columbia",261,0,0,0,0,0,0,0,0,0,0,0,18,13,9,14,0,31,13,16,34,26,71,8,8
1400000US11001005100,11001005100,"Census Tract 51, District of Columbia, District of Columbia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US11001005201,11001005201,"Census Tract 52.01, District of Columbia, District of Columbia",135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,16,17,36,41,0,8
1400000US11001005202,11001005202,"Census Tract 52.02, District of Columbia, District of Columbia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US11001005301,11001005301,"Census Tract 53.01, District of Columbia, District of Columbia",107,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,9,0,40,42,7,0
1400000US11001005302,11001005302,"Census Tract 53.02, District of Columbia, District of Columbia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US11001005401,11001005401,"Census Tract 54.01, District of Columbia, District of Columbia",33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,22,0,0
1400000US11001005402,11001005402,"Census Tract 54.02, District of Columbia, District of Columbia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US11001005500,11001005500,"Census Tract 55, District of Columbia, District of Columbia",135,0,0,0,0,0,0,0,0,0,0,0,0,0,11,9,0,0,9,0,35,10,18,43,0
1400000US11001005600,11001005600,"Census Tract 56, District of Columbia, District of Columbia",151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,7,22,62,26,11,0,0
1400000US11001005701,11001005701,"Census Tract 57.01, District of Columbia, District of Columbia",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
1400000US11001005702,11001005702,"Census Tract 57.02, District of Columbia, District of Columbia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US11001005800,11001005800,"Census Tract 58, District of Columbia, District of Columbia",31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,12,10,0,0
1400000US11001005900,11001005900,"Census Tract 59, District of Columbia, District of Columbia",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0
1400000US11001006001,11001006001,"Census Tract 60.01, District of Columbia, District of Columbia",261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,121,52,0,0,0,0,0,0,0
1400000US11001006002,11001006002,"Census Tract 60.02, District of Columbia, District of Columbia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US11001006100,11001006100,"Census Tract 61, District of Columbia, District of Columbia",86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,11,0,43,10,0,0,0,0
