OBJECTID,GEO.id,decma,dectp,decmpp,decfpp,decaapp
159,1400000US11001009803,32.8,2236,46.2,53.8,96.8
160,1400000US11001009804,26.8,2566,43.7,56.3,97.8
161,,,,,,
162,,,,,,
163,1400000US11001009901,49.9,2302,44.9,55.1,93.9
164,1400000US11001009902,42.5,2993,44.3,55.7,96.4
165,1400000US11001009903,37.1,2081,43.8,56.2,98.1
166,1400000US11001009905,32.3,2670,45.9,54.1,98.5
167,1400000US11001009907,25.3,3037,42.8,57.2,98.5
168,,,,,,
169,,,,,,
170,,,,,,
171,,,,,,
172,,,,,,
173,,,,,,
174,,,,,,
175,,,,,,
176,,,,,,
177,1400000US11001001902,44.5,2062,45.8,54.2,89.3
178,1400000US11001008100,35.0,2527,52.8,47.2,32.4
179,1400000US11001000801,41.1,6721,42.0,58.0,4.3
180,1400000US51059415100,41.6,3237,49.1,50.9,10.0
181,,,,,,
182,1400000US51059416000,37.7,4080,48.9,51.1,17.3
183,1400000US51059420100,37.7,3371,50.2,49.8,10.1
184,1400000US51059420800,39.0,3358,49.9,50.1,6.6
185,1400000US51059421200,41.5,2053,49.4,50.6,7.2
186,1400000US51059421600,29.8,5549,49.8,50.2,47.0
187,1400000US51059421800,31.6,4568,45.8,54.2,37.4
188,,,,,,
189,,,,,,
190,,,,,,
191,1400000US51059430500,38.6,1686,49.8,50.2,3.8
192,,,,,,
193,,,,,,
194,1400000US51059431900,42.0,3433,50.8,49.2,3.2
195,1400000US51059432300,39.4,4949,49.6,50.4,4.5
196,,,,,,
197,1400000US51059440600,37.9,2437,51.0,49.0,3.6
198,1400000US51059450200,30.5,4596,52.4,47.6,5.5
199,1400000US51059450500,35.4,2856,50.7,49.3,1.7
200,,,,,,
201,1400000US51059451300,43.6,2140,47.3,52.7,2.5
202,1400000US51059451900,33.6,6144,51.4,48.6,17.0
203,,,,,,
204,,,,,,
205,,,,,,
206,1400000US51059460200,41.9,4030,49.9,50.1,1.2
207,1400000US51059460300,41.4,2715,49.8,50.2,0.8
208,1400000US51059460600,37.9,4373,51.5,48.5,3.1
209,1400000US51059461000,39.9,2322,48.5,51.5,10.7
210,,,,,,
211,,,,,,
212,1400000US51059470600,44.7,2320,46.9,53.1,1.2
213,1400000US51059471000,38.3,1772,48.9,51.1,1.9
214,,,,,,
215,,,,,,
216,,,,,,
217,,,,,,
218,1400000US51059481000,29.2,3952,50.3,49.7,13.9
219,,,,,,
220,,,,,,
221,,,,,,
222,,,,,,
223,,,,,,
224,,,,,,
225,,,,,,
226,,,,,,
227,,,,,,
228,,,,,,
229,,,,,,
230,,,,,,
231,1400000US51013100100,39.5,4232,48.7,51.3,1.3
232,1400000US51013100400,45.9,3264,48.9,51.1,1.3
233,1400000US51013100800,35.6,1479,49.1,50.9,45.7
234,,,,,,
235,,,,,,
236,,,,,,
237,1400000US51013101900,37.2,2364,50.7,49.3,1.9
238,,,,,,
239,,,,,,
240,,,,,,
241,1400000US51013103402,45.7,3012,50.8,49.2,8.1
242,,,,,,
243,1400000US51510200103,32.1,6949,48.5,51.5,34.4
244,,,,,,
245,1400000US51510200301,29.7,3508,48.1,51.9,25.7
246,,,,,,
247,1400000US51510200500,29.9,4241,44.0,56.0,24.8
248,1400000US51510200600,36.2,4527,49.1,50.9,24.7
249,,,,,,
250,,,,,,
251,1400000US51510200900,41.7,4518,46.7,53.3,3.8
252,1400000US51510201204,34.6,2924,53.4,46.6,50.2
253,1400000US51510201600,32.3,4089,47.9,52.1,45.4
254,1400000US51510202001,47.4,2145,47.8,52.2,3.1
255,,,,,,
256,1400000US51610500300,39.8,3385,50.3,49.7,3.8
257,1400000US51059415200,41.3,3032,43.9,56.1,3.5
258,1400000US51059415300,38.0,3783,48.6,51.4,16.2
259,,,,,,
260,1400000US51059415500,41.7,5744,45.1,54.9,20.2
261,1400000US51059415600,48.4,2478,48.1,51.9,1.1
262,1400000US51059415700,44.1,3622,48.1,51.9,0.7
263,1400000US51059415800,44.1,4434,49.5,50.5,3.1
264,1400000US51059415900,46.2,3034,48.5,51.5,3.2
265,1400000US51059416100,47.1,3461,48.5,51.5,3.4
266,1400000US51059416200,25.4,4201,50.7,49.3,29.5
267,1400000US51059416300,44.7,1750,50.7,49.3,1.5
268,,,,,,
269,,,,,,
270,,,,,,
271,1400000US51059420300,38.4,5210,49.8,50.2,7.9
272,,,,,,
273,,,,,,
274,,,,,,
275,1400000US51059420600,32.3,4396,50.8,49.2,18.0
276,1400000US51059420700,41.7,3689,49.1,50.9,7.4
277,,,,,,
278,,,,,,
279,,,,,,
280,,,,,,
281,,,,,,
282,1400000US51059421300,38.4,3833,49.0,51.0,12.7
283,1400000US51059421400,30.6,5945,50.1,49.9,33.9
284,1400000US51059421500,30.9,5622,49.4,50.6,30.2
285,,,,,,
286,,,,,,
287,1400000US51059421900,21.7,3059,50.0,50.0,35.5
288,1400000US51059422000,39.8,2717,48.7,51.3,22.9
289,,,,,,
290,,,,,,
291,,,,,,
292,,,,,,
293,,,,,,
294,,,,,,
295,,,,,,
296,,,,,,
297,,,,,,
298,,,,,,
299,,,,,,
300,1400000US51059430400,38.5,6597,49.7,50.3,2.9
301,1400000US51059430600,32.3,6307,52.6,47.4,4.8
302,1400000US51059430700,37.7,2586,50.4,49.6,2.7
303,,,,,,
304,,,,,,
305,,,,,,
306,,,,,,
307,,,,,,
308,1400000US51059431300,38.1,4388,49.0,51.0,4.8
309,1400000US51059431400,38.9,4315,48.8,51.2,6.0
310,1400000US51059431500,41.5,4903,48.6,51.4,4.5
311,1400000US51059431600,37.9,6057,49.3,50.7,7.4
312,,,,,,
313,1400000US51059432000,33.6,3367,47.7,52.3,5.9
314,1400000US51059432100,39.2,3505,47.0,53.0,4.6
315,,,,,,
316,,,,,,
317,,,,,,
318,,,,,,
319,1400000US51059432500,39.1,5870,49.0,51.0,5.2
320,1400000US51059432600,37.1,4721,49.7,50.3,7.4
321,,,,,,
322,1400000US51059432800,32.8,2182,48.1,51.9,16.2
323,1400000US51059440100,43.7,7485,48.1,51.9,2.0
324,,,,,,
325,,,,,,
326,1400000US51059440300,43.5,2691,49.3,50.7,2.2
327,,,,,,
328,,,,,,
329,,,,,,
330,,,,,,
331,1400000US51059440800,44.0,5576,48.5,51.5,1.4
332,1400000US51059450100,33.0,5020,51.0,49.0,6.0
333,1400000US51059450300,35.8,4553,49.0,51.0,7.6
334,1400000US51059450400,42.2,2458,48.3,51.7,1.4
335,,,,,,
336,,,,,,
337,,,,,,
338,1400000US51059450800,41.1,3192,48.7,51.3,4.2
339,1400000US51059450900,40.1,1598,49.6,50.4,1.3
340,1400000US51059451000,42.8,2712,47.3,52.7,2.9
341,1400000US51059451100,44.7,2141,50.0,50.0,1.7
342,1400000US51059451200,48.2,1631,49.8,50.2,1.6
343,1400000US51059451400,30.9,3191,54.5,45.5,5.0
344,,,,,,
345,,,,,,
346,,,,,,
347,,,,,,
348,1400000US51059451800,40.8,3216,48.6,51.4,3.4
349,1400000US51059452000,44.2,2733,46.2,53.8,9.1
350,,,,,,
351,1400000US51059452200,35.8,6059,49.3,50.7,8.0
352,,,,,,
353,,,,,,
354,1400000US51059452400,36.6,6494,50.2,49.8,5.9
355,,,,,,
356,1400000US51059452600,36.5,4247,48.4,51.6,18.1
357,1400000US51059452700,32.4,4790,48.6,51.4,17.8
358,,,,,,
359,1400000US51059460100,42.3,3795,49.4,50.6,2.0
360,1400000US51059460400,39.9,4310,47.9,52.1,3.0
361,,,,,,
362,,,,,,
363,,,,,,
364,,,,,,
365,1400000US51059460800,40.2,2878,48.4,51.6,2.3
366,1400000US51059460900,44.4,2262,49.3,50.7,1.5
367,1400000US51059461100,41.0,6939,50.3,49.7,2.2
368,,,,,,
369,,,,,,
370,1400000US51059461500,37.6,5199,49.4,50.6,3.7
371,,,,,,
372,1400000US51059461700,33.8,5811,50.6,49.4,5.5
373,,,,,,
374,,,,,,
375,,,,,,
376,1400000US51059470100,44.5,2847,50.0,50.0,1.2
377,1400000US51059470300,45.5,3132,48.2,51.8,1.7
378,1400000US51059470400,43.8,4754,48.2,51.8,2.5
379,1400000US51059470500,44.1,5121,47.3,52.7,1.3
380,1400000US51059470700,41.5,4973,49.0,51.0,2.0
381,1400000US51059470800,42.9,2782,47.4,52.6,1.9
382,1400000US51059470900,42.7,6359,47.5,52.5,1.3
383,1400000US51059471100,36.8,6479,50.6,49.4,2.4
384,,,,,,
385,,,,,,
386,,,,,,
387,,,,,,
388,,,,,,
389,,,,,,
390,1400000US51059480100,44.2,4076,50.6,49.4,1.1
391,,,,,,
392,,,,,,
393,1400000US51059480300,42.9,6552,49.7,50.3,2.1
394,,,,,,
395,,,,,,
396,,,,,,
397,,,,,,
398,,,,,,
399,,,,,,
400,,,,,,
401,,,,,,
402,,,,,,
403,,,,,,
404,,,,,,
405,,,,,,
406,,,,,,
407,,,,,,
408,,,,,,
409,,,,,,
410,,,,,,
411,1400000US51059481400,41.0,6294,48.1,51.9,8.8
412,1400000US51059481500,46.7,2143,51.1,48.9,3.2
413,1400000US51059481600,43.2,3052,49.2,50.8,1.5
414,,,,,,
415,1400000US51059481900,35.9,5518,47.1,52.9,8.6
416,,,,,,
417,1400000US51059482100,36.0,3225,50.3,49.7,9.8
418,,,,,,
419,,,,,,
420,,,,,,
421,,,,,,
422,,,,,,
423,1400000US51059482400,40.0,2373,50.2,49.8,3.9
424,,,,,,
425,,,,,,
426,,,,,,
427,,,,,,
428,,,,,,
429,,,,,,
430,,,,,,
431,,,,,,
432,1400000US51059491000,36.7,1911,50.1,49.9,2.7
433,,,,,,
434,,,,,,
435,,,,,,
436,,,,,,
437,,,,,,
438,,,,,,
439,,,,,,
440,,,,,,
441,,,,,,
442,,,,,,
443,,,,,,
444,,,,,,
445,,,,,,
446,,,,,,
447,,,,,,
448,,,,,,
449,,,,,,
450,,,,,,
451,,,,,,
452,1400000US51059492000,43.2,6211,50.8,49.2,3.8
453,1400000US51059492100,44.1,6575,50.5,49.5,2.4
454,,,,,,
455,,,,,,
456,1400000US51059492300,33.2,3431,50.1,49.9,8.6
457,1400000US51059492400,31.4,4272,48.9,51.1,15.7
458,,,,,,
459,,,,,,
460,,,,,,
461,1400000US51013100200,41.9,5448,48.5,51.5,1.1
462,1400000US51013100300,42.3,6122,46.9,53.1,2.1
463,1400000US51013100500,38.7,3788,49.3,50.7,1.7
464,1400000US51013100600,37.5,2953,48.6,51.4,4.3
465,1400000US51013100700,35.5,5310,49.0,51.0,5.3
466,1400000US51013100900,37.1,3945,49.3,50.7,5.5
467,1400000US51013101000,36.8,2872,48.8,51.2,2.7
468,1400000US51013101100,37.2,4574,48.8,51.2,1.9
469,1400000US51013101200,40.6,3584,47.6,52.4,2.3
470,1400000US51013101300,36.3,5820,50.7,49.3,2.1
471,,,,,,
472,,,,,,
473,,,,,,
474,1400000US51013101500,33.8,6013,49.3,50.7,3.9
475,,,,,,
476,,,,,,
477,,,,,,
478,,,,,,
479,,,,,,
480,,,,,,
481,,,,,,
482,,,,,,
483,,,,,,
484,,,,,,
485,1400000US51013102100,46.4,2211,46.4,53.6,4.2
486,1400000US51013102200,30.2,7576,52.2,47.8,15.2
487,,,,,,
488,1400000US51013102400,34.7,3450,50.9,49.1,12.4
489,1400000US51013102500,32.5,4158,49.7,50.3,14.3
490,1400000US51013102600,33.7,3115,49.0,51.0,11.3
491,,,,,,
492,,,,,,
493,,,,,,
494,,,,,,
495,1400000US51013103000,36.4,3090,43.2,56.8,2.8
496,1400000US51013103100,35.5,4150,48.2,51.8,60.7
497,1400000US51013103200,32.5,6902,49.3,50.7,17.6
498,1400000US51013103300,35.4,1024,48.0,52.0,61.2
499,1400000US51013103401,22.9,2245,80.4,19.6,25.6
500,,,,,,
501,,,,,,
502,,,,,,
503,,,,,,
504,1400000US51013103700,46.0,2327,51.7,48.3,2.9
505,1400000US51013103800,29.3,4490,53.7,46.3,16.8
506,,,,,,
507,,,,,,
508,,,,,,
509,1400000US51510201300,36.3,3034,47.7,52.3,27.0
510,1400000US51510201400,34.4,3791,47.7,52.3,11.7
511,1400000US51510201500,40.3,3445,47.3,52.7,5.5
512,1400000US51510201801,39.3,4727,45.3,54.7,19.7
513,1400000US51510201802,40.3,1876,45.1,54.9,25.0
514,1400000US51510201900,36.0,1644,49.9,50.1,7.2
515,1400000US51510202002,38.9,2479,46.1,53.9,3.0
516,1400000US51510200102,31.1,4021,51.2,48.8,23.1
517,1400000US51510200104,28.1,3089,50.3,49.7,27.1
518,1400000US51510200105,34.6,4025,52.2,47.8,37.5
519,,,,,,
520,1400000US51510200201,35.9,3416,47.2,52.8,21.7
521,1400000US51510200202,46.8,1538,48.2,51.8,4.7
522,1400000US51510200302,35.4,3857,49.2,50.8,20.4
523,1400000US51510200303,37.0,4933,43.3,56.7,28.8
524,,,,,,
525,,,,,,
526,,,,,,
527,,,,,,
528,,,,,,
529,1400000US51510200801,42.3,2454,48.5,51.5,6.7
530,1400000US51510200802,33.6,2840,47.5,52.5,22.9
531,1400000US51510201000,37.4,2677,41.1,58.9,4.9
532,1400000US51510201100,38.6,2702,48.8,51.2,8.3
533,1400000US51510201202,32.5,3278,49.7,50.3,24.2
534,1400000US51510201203,27.8,7120,56.3,43.8,22.7
535,,,,,,
536,,,,,,
537,,,,,,
538,,,,,,
539,1400000US51610500100,42.4,2288,49.0,51.0,2.0
540,1400000US51610500200,38.3,4704,47.3,52.7,3.5
541,1400000US51059420400,31.4,2513,51.4,48.6,22.1
542,,,,,,
543,,,,,,
544,1400000US24031700304,31.8,5376,48.2,51.8,13.8
545,1400000US24031700607,36.1,7957,49.2,50.8,3.3
546,,,,,,
547,1400000US24031700710,35.6,6310,50.0,50.0,16.5
548,,,,,,
549,,,,,,
550,1400000US24031700815,31.2,6319,49.4,50.6,25.7
551,,,,,,
552,,,,,,
553,1400000US24033803001,34.6,2934,46.8,53.2,96.5
554,1400000US24033803002,36.2,2947,45.5,54.5,97.1
555,1400000US24033803100,36.3,2567,47.1,52.9,95.2
556,1400000US24033803200,27.2,3051,44.8,55.2,95.6
557,1400000US24033803512,33.6,4146,46.5,53.5,90.7
558,1400000US24033803519,27.7,4866,47.8,52.2,75.3
559,,,,,,
560,1400000US24033803613,31.0,5137,47.8,52.2,74.5
561,1400000US24033804001,29.8,3949,46.7,53.3,82.6
562,1400000US24033804400,37.9,2393,48.1,51.9,51.6
563,1400000US24033804900,36.6,3848,45.0,55.0,79.3
564,1400000US24033805601,26.9,5669,59.1,40.9,13.0
565,1400000US24033805904,39.8,3069,49.3,50.7,37.1
566,1400000US24033806200,35.1,3905,46.1,53.9,36.0
567,1400000US24033806602,30.1,4422,49.7,50.3,55.2
568,1400000US24033806712,34.0,2807,44.5,55.5,53.9
569,1400000US24033807304,41.5,1719,50.9,49.1,32.4
570,,,,,,
571,,,,,,
572,,,,,,
573,,,,,,
574,1400000US24031700901,41.5,2850,43.5,56.5,16.7
575,1400000US24031701002,39.0,3608,54.5,45.5,10.5
576,1400000US24031701102,36.0,5688,51.4,48.6,6.8
577,1400000US24031701210,45.3,3966,49.6,50.4,2.0
578,1400000US24031701215,40.3,3994,43.9,56.1,5.5
579,1400000US24031701304,41.1,6146,50.0,50.0,5.1
580,1400000US24031701313,35.0,3956,48.7,51.3,9.4
581,1400000US24031701409,41.1,3942,49.3,50.7,11.8
582,,,,,,
583,,,,,,
584,,,,,,
585,1400000US24031701900,31.2,3218,51.1,48.9,20.6
586,1400000US24031702102,37.5,2964,50.3,49.7,7.1
587,1400000US24031702500,36.6,2660,45.2,54.8,47.6
588,1400000US24031703201,41.2,6870,48.3,51.7,7.9
589,1400000US24031703209,40.4,4885,46.2,53.8,18.2
590,,,,,,
591,1400000US24031703301,37.4,4253,49.9,50.1,10.6
592,1400000US24031703402,36.3,3271,49.4,50.6,13.0
593,1400000US24031703602,38.2,2696,47.7,52.3,5.9
594,1400000US24031703902,34.9,6222,48.4,51.6,21.1
595,,,,,,
596,,,,,,
597,1400000US24031705300,46.5,1976,49.6,50.4,0.7
598,1400000US24031705601,39.8,2652,45.9,54.1,1.3
599,1400000US24031705602,46.9,3234,40.8,59.2,3.6
600,1400000US24031705701,42.3,4120,46.5,53.5,1.7
601,1400000US24031705901,45.3,4044,47.7,52.3,3.2
602,,,,,,
603,1400000US24033800106,35.5,2188,45.5,54.5,35.9
604,1400000US24033800209,28.9,4472,46.0,54.0,62.3
605,,,,,,
606,1400000US24033800408,38.6,4002,48.5,51.5,52.0
607,,,,,,
608,,,,,,
609,,,,,,
610,,,,,,
611,,,,,,
612,,,,,,
613,,,,,,
614,,,,,,
615,1400000US24033801308,38.4,3712,46.5,53.5,76.2
616,,,,,,
617,,,,,,
618,1400000US24033801702,29.5,3394,44.3,55.7,88.6
619,1400000US24033801801,31.4,2099,44.7,55.3,91.9
620,1400000US24033801805,35.1,2310,47.9,52.1,93.2
621,1400000US24033802104,36.2,2095,44.5,55.5,84.8
622,1400000US24033802203,37.4,4791,46.6,53.4,83.4
623,1400000US24033802406,30.2,2435,43.9,56.1,93.6
624,1400000US24033802600,33.0,3314,47.2,52.8,92.7
625,1400000US24031700308,32.2,5616,48.2,51.8,12.2
626,1400000US24031700309,31.1,3939,48.1,51.9,18.6
627,1400000US24031700310,32.1,4200,48.2,51.8,11.9
628,,,,,,
629,,,,,,
630,1400000US24031700400,42.7,2034,49.7,50.3,8.1
631,1400000US24031700500,36.5,6440,49.7,50.3,4.9
632,1400000US24031700604,40.2,6378,49.7,50.3,4.0
633,1400000US24031700606,38.9,4554,49.3,50.7,2.4
634,1400000US24031700608,39.4,4958,49.8,50.2,4.5
635,1400000US24031700610,40.3,2106,50.1,49.9,5.8
636,,,,,,
637,,,,,,
638,,,,,,
639,,,,,,
640,1400000US24031700704,35.4,2936,50.1,49.9,7.7
641,1400000US24031700706,29.8,3269,50.2,49.8,21.3
642,1400000US24031700711,35.2,6086,49.0,51.0,15.1
643,1400000US24031700713,29.8,5115,51.1,48.9,17.4
644,1400000US24031700715,33.2,5685,49.1,50.9,17.7
645,1400000US24031700716,32.7,7613,48.3,51.7,16.3
646,,,,,,
647,,,,,,
648,,,,,,
649,,,,,,
650,,,,,,
651,,,,,,
652,1400000US24031700810,35.9,4935,48.1,51.9,15.8
653,1400000US24031700811,34.2,3722,46.7,53.3,25.1
654,1400000US24031700812,39.6,4055,46.2,53.8,13.6
655,1400000US24031700101,40.8,3849,50.3,49.7,6.4
656,1400000US24031700103,39.2,4530,50.2,49.8,6.6
