OID,OBJECTID,GEO_ID,STATE,COUNTY,TRACT,NAME,LSAD,CENSUSAREA,GEOID_TXT,CTYFIPS,Shape_Leng,Shape_Area
-1,1,1400000US11001007407,11,001,007407,74.07,Tract,0.236000000000000,11001007407,11001,15060.951637800001000,6706389.103710000400000
-1,2,1400000US11001007409,11,001,007409,74.09,Tract,0.154000000000000,11001007409,11001,9941.929687109999600,4429518.397889999700000
-1,3,1400000US11001007502,11,001,007502,75.02,Tract,0.238000000000000,11001007502,11001,14376.417115599999000,6842619.796120000100000
-1,4,1400000US11001007503,11,001,007503,75.03,Tract,0.193000000000000,11001007503,11001,8928.501593560000400,5312069.970209999900000
-1,5,1400000US11001007504,11,001,007504,75.04,Tract,0.308000000000000,11001007504,11001,14008.192017500000000,8718197.639310000500000
-1,6,1400000US11001007603,11,001,007603,76.03,Tract,0.474000000000000,11001007603,11001,16317.618502200001000,12856879.199700000000000
-1,7,1400000US11001007604,11,001,007604,76.04,Tract,0.528000000000000,11001007604,11001,17744.423429900002000,14928874.876100000000000
-1,8,1400000US11001007605,11,001,007605,76.05,Tract,0.175000000000000,11001007605,11001,12034.083215500001000,4873930.780190000300000
-1,9,1400000US11001007707,11,001,007707,77.07,Tract,0.325000000000000,11001007707,11001,14129.425998100000000,9226634.574340000700000
-1,10,1400000US11001007708,11,001,007708,77.08,Tract,0.283000000000000,11001007708,11001,14010.345139300000000,9200929.589209999900000
-1,11,1400000US11001007709,11,001,007709,77.09,Tract,0.325000000000000,11001007709,11001,15103.606839900000000,9947935.907789999600000
-1,12,1400000US11001007803,11,001,007803,78.03,Tract,0.387000000000000,11001007803,11001,14769.838693800000000,10657052.469200000000000
-1,13,1400000US11001007804,11,001,007804,78.04,Tract,0.326000000000000,11001007804,11001,14823.640697800000000,9154423.637770000800000
-1,14,1400000US11001007807,11,001,007807,78.07,Tract,0.202000000000000,11001007807,11001,11019.391186600000000,5627169.986460000300000
-1,15,1400000US11001007808,11,001,007808,78.08,Tract,0.364000000000000,11001007808,11001,13576.045929500000000,10303069.308300000000000
-1,16,1400000US11001007809,11,001,007809,78.09,Tract,0.207000000000000,11001007809,11001,12716.585612900000000,5879032.900100000200000
-1,17,1400000US11001007903,11,001,007903,79.03,Tract,0.094000000000000,11001007903,11001,7052.699065320000000,2653776.790000000000000
-1,18,1400000US11001008001,11,001,008001,80.01,Tract,0.126000000000000,11001008001,11001,7860.083006009999700,3535879.636890000200000
-1,19,1400000US11001008002,11,001,008002,80.02,Tract,0.223000000000000,11001008002,11001,12586.067694600000000,6087480.474829999700000
-1,20,1400000US11001008200,11,001,008200,82,Tract,0.131000000000000,11001008200,11001,9957.577549449999400,3659803.173020000100000
-1,21,1400000US11001008301,11,001,008301,83.01,Tract,0.117000000000000,11001008301,11001,7767.949278860000000,3269627.152619999800000
-1,22,1400000US11001008402,11,001,008402,84.02,Tract,0.104000000000000,11001008402,11001,8717.378909950000900,2863891.208930000200000
-1,23,1400000US11001008410,11,001,008410,84.10,Tract,0.085000000000000,11001008410,11001,7628.350898370000300,2388674.638069999900000
-1,24,1400000US11001008701,11,001,008701,87.01,Tract,0.148000000000000,11001008701,11001,8640.173796869999900,4005434.376079999800000
-1,25,1400000US11001008802,11,001,008802,88.02,Tract,0.182000000000000,11001008802,11001,9338.939833270000200,5077523.556020000000000
-1,26,1400000US11001008803,11,001,008803,88.03,Tract,0.445000000000000,11001008803,11001,17334.082406699999000,12352793.769700000000000
-1,27,1400000US11001008804,11,001,008804,88.04,Tract,0.304000000000000,11001008804,11001,12805.355237000000000,8519833.908749999500000
-1,28,1400000US11001008903,11,001,008903,89.03,Tract,0.116000000000000,11001008903,11001,9804.018522750000600,3226673.954100000200000
-1,29,1400000US11001009000,11,001,009000,90,Tract,0.550000000000000,11001009000,11001,17719.786688799999000,15704383.477200000000000
-1,30,1400000US11001009102,11,001,009102,91.02,Tract,0.709000000000000,11001009102,11001,20777.124907900001000,19747952.707500000000000
-1,31,1400000US11001009201,11,001,009201,92.01,Tract,0.247000000000000,11001009201,11001,10905.036972300000000,6881365.069810000200000
-1,32,1400000US11001009204,11,001,009204,92.04,Tract,0.117000000000000,11001009204,11001,8252.996391230000900,3267701.506180000000000
-1,33,1400000US11001000100,11,001,000100,1,Tract,0.722000000000000,11001000100,11001,31800.932257699998000,25265826.699200001000000
-1,34,1400000US11001000201,11,001,000201,2.01,Tract,0.209000000000000,11001000201,11001,10623.713148500001000,5934212.791530000000000
-1,35,1400000US11001000400,11,001,000400,4,Tract,0.592000000000000,11001000400,11001,19014.045498700001000,16405862.314400000000000
-1,36,1400000US11001000702,11,001,000702,7.02,Tract,0.113000000000000,11001000702,11001,8586.448065790000300,3216136.512470000000000
-1,37,1400000US11001001002,11,001,001002,10.02,Tract,0.343000000000000,11001001002,11001,12893.603781899999000,9563227.051510000600000
-1,38,1400000US11001001401,11,001,001401,14.01,Tract,0.304000000000000,11001001401,11001,13221.471109800001000,8472865.502280000600000
-1,39,1400000US11001001702,11,001,001702,17.02,Tract,0.362000000000000,11001001702,11001,15988.433718099999000,9679116.214449999900000
-1,40,1400000US11001002201,11,001,002201,22.01,Tract,0.160000000000000,11001002201,11001,8450.254098150000600,4466339.532719999600000
-1,41,1400000US11001002501,11,001,002501,25.01,Tract,0.210000000000000,11001002501,11001,10188.327151400001000,5846274.985720000200000
-1,42,1400000US11001002801,11,001,002801,28.01,Tract,0.066000000000000,11001002801,11001,5659.168935069999900,1845267.750440000100000
