GEO_ID_2,HD01_VD01
1400000US51059416200,73500
1400000US51059416300,97159
1400000US51059420201,124535
1400000US51059420202,90150
1400000US51059420203,112981
1400000US51059420300,114076
1400000US51059420501,88456
1400000US51059420502,76423
1400000US51059420503,68750
1400000US51059420600,93988
1400000US51059420700,99594
1400000US51059421001,97841
1400000US51059421002,96530
1400000US51059421101,120238
1400000US51059421102,103343
1400000US51059421103,128618
1400000US51059421300,123090
1400000US51059421400,42946
1400000US51059421500,51094
1400000US51059421701,55354
1400000US51059421702,102448
1400000US51059421900,61985
1400000US51059422000,106806
1400000US51059422101,77135
1400000US51059422102,78204
1400000US51059422201,133807
1400000US51059422202,87328
1400000US51059422302,89199
1400000US51059422402,115924
1400000US51059422403,118594
1400000US51059430101,150388
1400000US51059430102,107572
1400000US51059430201,105882
1400000US51059430202,122500
1400000US51059430400,104926
1400000US51059430600,83472
1400000US51059430700,100329
1400000US51059430801,116645
1400000US51059430802,104250
1400000US51059430902,111735
1400000US51059431001,105729
1400000US51059431002,103548
1400000US51059431300,117955
1400000US51059431400,124892
1400000US51059431500,126250
1400000US51059431600,75082
1400000US51059431802,124628
1400000US51059432000,113750
1400000US51059432100,105592
1400000US51059432201,70845
1400000US51059432202,105504
1400000US51059432401,145469
1400000US51059432402,138182
1400000US51059432500,143375
1400000US51059432600,171719
1400000US51059432701,150724
1400000US51059432800,86304
1400000US51059440100,139881
1400000US51059440201,76681
1400000US51059440202,105056
1400000US51059440300,167829
1400000US51059440501,127090
1400000US51059440502,140441
1400000US51059440701,158021
1400000US51059440702,142254
1400000US51059440800,133854
1400000US51059450100,81099
1400000US51059450300,82917
1400000US51059450400,124830
1400000US51059450601,117228
1400000US51059450602,64656
1400000US51059450701,113071
1400000US51059450800,93000
1400000US51059450900,130972
1400000US51059451000,114750
1400000US51059451100,160417
1400000US51059451200,198088
1400000US51059451400,46000
1400000US51059451501,64931
1400000US51059451502,73542
1400000US51059451601,56958
1400000US51059451602,75778
1400000US51059451800,103125
1400000US51059452000,94632
1400000US51059452101,102578
1400000US51059452200,64844
1400000US51059452301,57526
1400000US51059452302,74755
1400000US51059452400,91558
1400000US51059452501,96250
1400000US51059452600,78646
1400000US51059452700,63924
1400000US51059452801,82833
1400000US51059460100,173750
1400000US51059460400,127137
1400000US51059460501,168690
1400000US51059460502,173576
1400000US51059460701,94970
1400000US51059460702,124896
1400000US51059460800,104313
1400000US51059460900,146964
1400000US51059461100,152006
1400000US51059461201,195242
1400000US51059461202,107593
1400000US51059461500,154271
1400000US51059461602,105742
1400000US51059461700,106653
1400000US51059461801,101677
1400000US51059461802,94950
1400000US51059461902,54871
1400000US51059470100,236827
1400000US51059470300,230278
1400000US51059470400,190227
1400000US51059470500,156250
1400000US51059470700,158058
1400000US51059470800,134083
1400000US51059470900,139681
1400000US51059471100,101929
1400000US51059471201,79360
1400000US51059471202,97750
1400000US51059471301,84063
1400000US51059471304,196250
1400000US51059471401,89717
1400000US51059471402,71277
1400000US51059480100,202656
1400000US51059480201,220870
1400000US51059480203,102857
1400000US51059480300,206994
1400000US51059480401,185988
1400000US51059480402,211969
1400000US51059480502,128145
1400000US51059480503,126792
1400000US51059480504,152097
1400000US51059480505,105085
1400000US51059480801,92006
1400000US51059480901,97031
1400000US51059480902,90147
1400000US51059480903,85022
1400000US51059481101,84770
1400000US51059481102,116838
1400000US51059481103,108649
1400000US51059481105,184028
1400000US51059481106,162614
1400000US51059481201,163382
1400000US51059481202,79100
1400000US51059481400,115625
1400000US51059481500,179306
1400000US51059481600,208333
1400000US51059481702,91313
1400000US51059481900,108553
1400000US51059482001,201382
1400000US51059482100,77147
1400000US51059482201,64018
1400000US51059482202,70224
1400000US51059482203,128889
1400000US51059482302,70690
1400000US51059482303,123886
1400000US51059482400,173950
1400000US51059482501,104220
1400000US51059482503,174309
1400000US51059482504,175313
1400000US51059482601,151535
1400000US51059482602,170802
1400000US51059490101,126013
1400000US51059490103,114491
1400000US51059490502,156321
1400000US51059491000,188409
1400000US51059491101,170208
1400000US51059491102,124536
1400000US51059491201,79741
1400000US51059491301,111250
1400000US51059491302,100552
1400000US51059491303,73707
1400000US51059491402,102500
1400000US51059491403,165875
1400000US51059491404,133068
1400000US51059491405,152031
1400000US51059491502,180474
1400000US51059491601,73462
1400000US51059491602,108250
1400000US51059491701,82548
1400000US51059491702,78846
1400000US51059491704,80500
1400000US51059491705,160458
1400000US51059491802,110357
1400000US51059491803,100593
1400000US51059492000,186111
1400000US51059492100,202292
1400000US51059492201,207321
1400000US51059492203,188125
1400000US51059492300,117885
1400000US51059492400,88981
1400000US51059492500,177813
1400000US51059980200,-
1400000US51059980300,-
1400000US51013100200,176955
1400000US51013100300,209531
1400000US51013100500,151991
1400000US51013100600,106821
1400000US51013100700,88566
1400000US51013100900,115486
1400000US51013101000,139562
1400000US51013101100,140534
1400000US51013101200,133355
1400000US51013101300,145238
1400000US51013101402,129835
1400000US51013101403,102901
1400000US51013101404,105366
1400000US51013101500,110721
1400000US51013101601,106845
1400000US51013101603,101536
1400000US51013101701,88348
1400000US51013101702,83929
1400000US51013101801,137708
1400000US51013101802,106719
1400000US51013101803,74764
1400000US51013102001,54519
1400000US51013102002,61087
1400000US51013102003,38013
1400000US51013102100,102750
1400000US51013102200,50717
1400000US51013102302,92667
1400000US51013102400,83328
1400000US51013102500,87429
1400000US51013102600,84464
1400000US51013102701,47627
1400000US51013102801,62941
1400000US51013102802,135673
1400000US51013102901,103090
1400000US51013103000,113036
1400000US51013103100,81198
1400000US51013103200,79007
1400000US51013103300,61927
1400000US51013103401,119931
1400000US51013103501,86151
1400000US51013103502,102500
1400000US51013103503,84456
1400000US51013103601,125481
1400000US51013103700,177619
1400000US51013103800,82096
1400000US51013980100,-
1400000US51013980200,-
1400000US51059491103,96643
1400000US51510201300,103348
1400000US51510201400,104258
1400000US51510201500,152024
1400000US51510201801,109316
1400000US51510201802,135852
1400000US51510201900,100357
1400000US51510202002,100513
1400000US51510200102,72421
1400000US51510200104,62380
1400000US51510200105,46183
1400000US51510200106,77153
1400000US51510200201,78875
1400000US51510200202,182250
1400000US51510200302,102832
1400000US51510200303,61108
1400000US51510200403,105813
1400000US51510200404,150375
1400000US51510200406,61867
1400000US51510200407,67758
1400000US51510200703,110313
1400000US51510200801,120294
1400000US51510200802,95109
1400000US51510201000,80541
1400000US51510201100,135156
1400000US51510201202,91893
1400000US51510201203,47123
1400000US51600300100,
1400000US51600300200,
1400000US51600300400,
1400000US51600300500,
1400000US51610500100,139643
1400000US51610500200,112917
1400000US51059420400,63929
1400000US51059482002,119087
1400000US24031700105,99244
1400000US24031700304,107524
1400000US24031700607,148199
1400000US24031700611,149013
1400000US24031700710,90735
1400000US24031700718,112708
1400000US24031700723,51690
1400000US24031700815,87386
1400000US24031700820,73092
1400000US24031700824,143179
1400000US24033803001,72135
1400000US24033803002,62003
1400000US24033803100,58827
1400000US24033803200,51699
1400000US24033803512,84355
1400000US24033803519,77188
1400000US24033803525,53643
1400000US24033803613,56250
1400000US24033804001,39323
1400000US24033804400,56750
1400000US24033804900,53145
1400000US24033805601,40833
1400000US24033805904,56116
1400000US24033806200,70037
1400000US24033806602,60729
1400000US24033806712,72997
1400000US24033807304,86442
1400000US24031700826,117163
1400000US24031700828,146146
1400000US24031700829,125176
1400000US24031700830,63716
1400000US24031700901,70000
1400000US24031701002,192000
1400000US24031701102,80106
1400000US24031701210,169688
1400000US24031701215,83438
1400000US24031701304,117076
1400000US24031701313,116758
1400000US24031701409,150750
1400000US24031701422,38063
1400000US24031701508,50392
1400000US24031701601,58728
1400000US24031701900,56910
1400000US24031702102,127159
1400000US24031702500,60234
1400000US24031703201,100893
1400000US24031703209,57429
1400000US24031703218,56500
1400000US24031703301,71786
1400000US24031703402,95563
1400000US24031703602,114779
1400000US24031703902,67321
1400000US24031704403,82772
1400000US24031704804,110000
1400000US24031705300,"250,000+"
1400000US24031705601,177917
1400000US24031705602,81722
1400000US24031705701,146033
1400000US24031705901,195043
1400000US24031706011,184500
1400000US24033800106,84327
1400000US24033800209,50798
1400000US24033800214,60843
1400000US24033800408,117906
1400000US24033800413,70216
1400000US24033800514,169839
1400000US24033800519,127321
1400000US24033800704,87599
1400000US24033801005,123107
1400000US24033801006,114417
1400000US24033801209,97788
1400000US24033801216,83221
1400000US24033801308,104219
1400000US24033801313,109571
1400000US24033801409,55964
1400000US24033801702,46383
1400000US24033801801,45048
1400000US24033801805,51634
1400000US24033802104,41264
1400000US24033802203,48536
1400000US24033802406,60778
1400000US24033802600,52319
1400000US24031700308,92576
1400000US24031700309,83133
1400000US24031700310,75610
1400000US24031700311,129135
1400000US24031700312,132736
1400000US24031700400,138611
1400000US24031700500,100066
1400000US24031700604,170387
1400000US24031700606,156324
1400000US24031700608,212361
1400000US24031700610,135236
1400000US24031700613,104453
1400000US24031700614,76589
1400000US24031700615,144236
1400000US24031700616,140430
1400000US24031700704,75850
1400000US24031700706,60000
1400000US24031700711,98017
1400000US24031700713,53406
1400000US24031700715,96855
1400000US24031700716,78425
1400000US24031700717,67180
1400000US24031700719,61913
1400000US24031700720,87250
1400000US24031700721,60205
1400000US24031700722,79766
1400000US24031700724,49858
1400000US24031700810,96346
1400000US24031700811,87475
1400000US24031700812,80221
1400000US24031700101,169375
1400000US24031700103,159891
1400000US24031700104,120472
1400000US24031700204,91250
1400000US24031700205,140987
1400000US24031700206,118192
1400000US24031700207,86270
1400000US24031700208,119193
1400000US24031700306,96972
1400000US24031700813,77500
1400000US24031700816,70697
1400000US24031700817,91332
1400000US24031700818,65914
1400000US24031700819,78077
1400000US24031700822,58403
1400000US24031700823,110341
1400000US24033803300,68558
1400000US24033803401,51046
1400000US24033803402,56446
1400000US24033803508,38878
1400000US24033803509,42250
1400000US24033803513,76067
1400000US24033803514,82955
1400000US24033803516,102188
1400000US24033806711,57861
1400000US24033806713,46285
1400000US24033806714,54063
1400000US24033806800,93800
1400000US24033806900,73289
1400000US24033807000,55278
1400000US24033807102,68825
1400000US24033807200,17603
1400000US24033807301,67617
1400000US24033807305,68750
1400000US24033807404,78385
1400000US24033807407,80662
1400000US24033807408,89113
1400000US24033807409,67574
1400000US24033807410,58108
1400000US24033803520,117321
1400000US24033803521,108797
1400000US24033803522,99221
1400000US24033803523,122663
1400000US24033803524,72788
1400000US24033803526,96150
1400000US24033803527,96042
1400000US24033803601,87778
1400000US24033803602,57102
1400000US24033803605,76715
1400000US24033803606,74479
1400000US24033803608,67724
1400000US24033803610,56600
1400000US24033803612,47793
1400000US24033803700,61288
