GEO_ID,edu_1,edu_2,edu_3,edu_4
1400000US11001000100,-3.437950589,0.095168576,-0.040222106,-0.126459669
1400000US11001000201,-3.01412952,0.581542183,0.313514003,-0.219728457
1400000US11001000202,-3.258685596,0.208632689,0.077105438,-0.201445407
1400000US11001000300,-3.539823583,0.328742302,-0.042799897,-0.140663643
1400000US11001000400,-3.567038347,-0.033081784,-0.296731832,-0.027095847
1400000US11001000501,-2.928437605,-0.452038575,-0.151911743,-0.048261888
1400000US11001000502,-3.565164117,-0.304753344,-0.414264645,0.00430462
1400000US11001000600,-3.657109024,-0.19369198,-0.639854373,0.083591262
1400000US11001000701,-3.328530548,0.220092322,-0.050519798,-0.098943432
1400000US11001000702,-3.522853495,0.176255812,-0.301731457,-0.022867357
1400000US11001000801,-3.072332865,0.193253118,0.396507484,-0.324704482
1400000US11001000802,-3.369360404,0.317311065,0.246679404,-0.27419979
1400000US11001000901,-2.757447836,0.265016479,0.797685225,-0.533754454
1400000US11001000902,-2.39267609,0.376250884,1.205593678,-0.66531347
1400000US11001001001,-2.995146271,0.202850568,0.407077256,-0.415561749
1400000US11001001002,-3.102755343,0.256523682,0.263892669,-0.260402743
1400000US11001001100,-2.581721493,-0.207605129,-0.145117092,-0.174185402
1400000US11001001200,-3.241491884,-0.057546032,-0.556935848,0.002474029
1400000US11001001301,-2.038016438,-0.036983786,-0.168220246,0.03420166
1400000US11001001302,-3.408427243,0.00505425,-0.239580709,-0.110035307
1400000US11001001401,-2.314943445,-0.624828873,0.469957015,-0.45756714
1400000US11001001402,-2.741303204,-0.247244596,-0.242673188,-0.090381164
1400000US11001001500,-1.637270796,-0.161317318,-0.126309314,-0.02773489
1400000US11001001600,-1.466285802,0.10006219,0.564346169,-0.013390439
1400000US11001001702,-0.476250522,0.327394804,0.226888612,0.02593333
1400000US11001001803,-1.466285802,0.10006219,0.564346169,-0.013390439
1400000US11001001804,0.241424011,0.067907379,0.621045956,0.021561342
1400000US11001001901,0.232202502,-0.011411128,0.377353832,-0.057920614
1400000US11001001902,0.074263886,0.027285186,0.051571542,-0.05826328
1400000US11001002001,0.078852905,-0.375133347,0.511694426,-0.124999689
1400000US11001002002,0.862260284,-0.007402554,0.280472051,-0.00314197
1400000US11001002101,0.704610047,0.237949962,0.214290268,-0.057356145
1400000US11001002102,0.862713422,0.072494809,0.072729753,-0.105044243
1400000US11001002201,1.272958327,0.123078398,0.0948481,0.004483158
1400000US11001002202,0.237165197,0.959964671,0.206277198,0.138653045
1400000US11001002301,0.360346223,0.971322428,0.148946651,0.177283394
1400000US11001002302,0.476939579,0.698155943,0.307934815,0.182185646
1400000US11001002400,0.946889526,0.109195608,0.32555953,0.123205647
1400000US11001002501,0.654808914,0.557601834,0.173513083,0.147964286
1400000US11001002502,1.304322712,-0.486754198,0.458906184,0.223466061
1400000US11001002600,-1.166742495,-0.141873601,0.045590497,0.115222892
1400000US11001002701,0.299499218,-1.243778378,0.669421468,0.11019235
1400000US11001002702,-1.706577055,-0.614524955,0.223372159,0.046648941
1400000US11001002801,1.583876985,-1.514743707,0.652822555,0.237941813
1400000US11001002802,0.302889483,-1.087912379,0.589161537,0.22693652
1400000US11001002900,1.593767607,-1.089586465,0.580163853,0.191574021
