GEO_ID,DEC_MA,DEC_AAPp,D24pb,D24plh,D25ph,D25pb,dec_ue16p,dec_nw16p,DEC_p1000,DEC_MGR,DEC_MI,DEC_BPLp,DEC_BPLMp,DEC_BPLFp,DEC_pOO,DEC_pRO,DEC_pFOC,DEC_pFRC
1400000US11001000100,40.7,4,0.5625,0.25,0.058467742,83.4,0.014,0.269,0.147716229,1284.129,121134.86,0.05198973,0.023962345,0.028027386,0.531204112,0.468795888,0.009544787,0.003671072
1400000US11001000201,19.9,5.4,0.005835668,0,0.125,60.8,0.021,0.459,0,0,115066.34,0.711442786,0,0.711442786,0.666666667,0.333333333,0,0
1400000US11001000202,32.9,1.6,0.524977293,0,0.027926078,85.3,0.003,0.319,0.099873578,1827.364,118664.78,0.244749806,0.090225564,0.154524242,0.561650993,0.438349007,0.00261233,0.003657262
1400000US11001000300,30.4,3.1,0.536057692,0.044070513,0.053093035,83.5,0.016,0.252,0.033206831,1294.601,96287.42,0.156173913,0.073913043,0.08226087,0.47300216,0.52699784,0.011519078,0.003599712
1400000US11001000400,45.2,4.4,0.716216216,0,0.067612688,81.5,0.002,0.359,0.256666667,1645.413,169035.1,0.029980013,0.003331113,0.026648901,0.673134328,0.326865672,0,0
1400000US11001000501,32.5,4.8,0.565217391,0.033248082,0.046770601,83.3,0.029,0.193,0,1277.584,85766.99,0.059587471,0.023300229,0.036287242,0.177765237,0.822234763,0.00282167,0
1400000US11001000502,38,2.7,0.634285714,0.182857143,0.038120909,82.2,0.011,0.193,0.056530214,1205.589,87460.84,0.043435663,0.025146963,0.0182887,0.493604651,0.506395349,0.014534884,0
1400000US11001000600,45.6,12.8,0.718954248,0.10130719,0.061403509,72.5,0.006,0.367,0.113983549,1144.066,117164.66,0.048018648,0.013053613,0.034965035,0.620673743,0.379326257,0.017535764,0.008306414
1400000US11001000701,44.5,3.6,0.585427136,0.113065327,0.075990299,72.4,0.026,0.337,0.024590164,990.913,69992.23,0.057565415,0.023435722,0.034129693,0.489536878,0.510463122,0.005831904,0
1400000US11001000702,31.2,6.6,0.586805556,0,0.056565657,77.1,0.022,0.236,0,1000.076,48752.4,0.189518586,0.08226691,0.107251676,0.206776716,0.793223284,0.009122502,0.020851434
