GEO_ID,DEC_MA,DEC_AAP,DPB,DPL,D25PH,D25PB,DEC_16P,DC_NW16,DEC_100,DEC_MGR,DEC_MI,DEC_BPLP,DEC_BPLM,DEC_BPLF,DEC_POO,DEC_PRO,DEC_FOC,DEC_FRC
1400000US11001003800,32.5,32,0.357142857,0.283613445,0.11663758,44.9,3.8,25.7,0,908.446,49596.7,0.213778256,0.108719053,0.105059203,0.2200409,0.7799591,0.002862986,0.040490798
1400000US11001003900,32.6,19.7,0.568965517,0.218390805,0.071485306,69.8,2.6,17.4,0,969.969,55674.39,0.083981002,0.041666667,0.042314335,0.257883672,0.742116328,0.002803083,0.009460406
1400000US11001004001,35.5,5.2,0.90052356,0,0.053430079,83.8,0.5,12,0,1106.105,77241.47,0.052472859,0.018395657,0.034077201,0.447948164,0.552051836,0.002159827,0.00475162
1400000US11001004002,33.1,12.3,0.6875,0.144230769,0.0508,75.2,2.2,16,0.06741573,1077.307,71026.34,0.051455653,0.027420447,0.024035206,0.361547085,0.638452915,0.00896861,0.013452915
1400000US11001004100,42.8,3.8,0.811023622,0.062992126,0.039059032,81.8,0.9,22.6,0.615658363,1141.448,115414.53,0.036493455,0.027370091,0.009123364,0.460468058,0.539531942,0.004427577,0.0
1400000US11001004201,32.1,14.2,0.861035422,0,0.059722716,77.2,2.4,11,0.02745098,1102.178,70031.5,0.089610003,0.051801131,0.037808872,0.329026304,0.670973696,0.004614675,0.013382557
1400000US11001004202,33.6,7.4,0.762068966,0.151724138,0.049329124,80.3,2,15.8,0.040816327,979.132,62498.21,0.078686281,0.046185426,0.032500855,0.295502092,0.704497908,0.0,0.0
1400000US11001004300,33.0,39,0.292929293,0.202020202,0.100262861,47.9,3.4,30,0,858.704,52151.87,0.197725284,0.101778944,0.09594634,0.243943662,0.756056338,0.008450704,0.053521127
1400000US11001004400,33.6,58.8,0.313793103,0.234482759,0.160651921,42,3.1,30.8,0,971.278,55632.5,0.203150912,0.089552239,0.113598673,0.460854093,0.539145907,0.03202847,0.053380783
1400000US11001004600,33.1,90.5,0.111111111,0.252525253,0.305335446,18.9,12.5,43.5,0.021176471,723.877,43382.88,0.241610738,0.118456376,0.123154362,0.46253469,0.53746531,0.039777983,0.129509713
1400000US11001004700,32.1,92.1,0.043589744,0.443589744,0.277647059,10.4,10.8,56.8,0,325.941,18466.06,0.368319692,0.141068849,0.227250843,0.06954023,0.93045977,0.004022989,0.255747126
1400000US11001004801,38.2,77.2,0,0.358208955,0.224099927,15.5,6.4,43.5,0,726.495,31923.89,0.299387869,0.157484697,0.141903172,0.381578947,0.618421053,0.023923445,0.046650718
1400000US11001004802,33.6,76.1,0.145962733,0.406832298,0.312465678,12.4,7.8,40.6,0,692.461,36074.73,0.210290055,0.103936464,0.106353591,0.16057774,0.83942226,0.033135089,0.212404418
1400000US11001004901,34.4,78.5,0.185430464,0.437086093,0.198435277,27,8.9,42.4,0,454.223,24805.55,0.353184878,0.154324184,0.198860694,0.292654028,0.707345972,0.009478673,0.120853081
1400000US11001004902,28.8,60.1,0.109489051,0.433090024,0.222482436,23.1,4.3,27.6,0,763.147,40116.92,0.186265709,0.103231598,0.083034111,0.100798403,0.899201597,0.0,0.105788423
1400000US11001005000,33.1,37,0.260377358,0.395283019,0.159630607,36.5,5.4,28,0.030651341,797.181,43533.41,0.273417023,0.163194923,0.1102221,0.229385722,0.770614278,0.008577753,0.022966242
1400000US11001005100,40.4,24.9,0.75,0.25,0.101488498,51.3,2.6,39.2,0,979.132,47451.25,0.094133697,0.025920873,0.068212824,0.109734513,0.890265487,0.0,0.010619469
1400000US11001005201,33.7,23.2,0.628099174,0.022727273,0.104554029,62.1,4.1,22.2,0.059259259,901.901,46549.35,0.193832599,0.084801762,0.109030837,0.236261928,0.763738072,0.0,0.034221783
1400000US11001005202,30.1,21.4,0.426966292,0.084269663,0.153271028,57.4,2.9,30,0,831.215,37682.18,0.259590793,0.083120205,0.176470588,0.017892644,0.982107356,0.0,0.013916501
1400000US11001005301,32.9,7.1,0.856481481,0.052469136,0.050153049,79.4,2.6,10.5,0,1032.801,66117.59,0.087077535,0.036580517,0.050497018,0.333152763,0.666847237,0.003791983,0.01056338
1400000US11001005302,40.7,4,1,0,0,85.5,0,18.5,0,1336.489,83994.6,0.032608696,0.032608696,0,0.512195122,0.487804878,0.0,0.0
1400000US11001005401,26.3,5.4,0.37037037,0,0.04176611,84.7,1.9,24.9,0,1113.959,55171.73,0.149058149,0.064701065,0.084357084,0.190082645,0.809917355,0.0,0.0
1400000US11001005402,46.5,0,#DIV/0!,#DIV/0!,#DIV/0!,(X),(X),(X),0,0,0,0,0,0,#DIV/0!,#DIV/0!,0.0,0.0
1400000US11001005500,34.4,8.2,0.606060606,0,0.045081967,81.5,1,20.1,0,1195.117,78028.18,0.127791289,0.061021446,0.066769843,0.335166514,0.664833486,0.0,0.002749771
1400000US11001005600,29.0,6,0.173637516,0.003802281,0.070978821,70,2.6,42.2,0,1110.032,51425.37,0.246128433,0.079909147,0.166219286,0.347862767,0.652137233,0.0,0.003937008
1400000US11001005701,20.6,7.1,0.108229989,0.005636979,0.06957708,73.8,47.3,21.5,0,971.278,12552,0.535959975,0.257035647,0.278924328,0.085784314,0.914215686,0.0,0.0
1400000US11001005702,0.0,(X),#DIV/0!,#DIV/0!,#DIV/0!,(X),(X),(X),0,0,0,0,0,0,#DIV/0!,#DIV/0!,0.0,0.0
1400000US11001005800,42.7,13.8,0.252252252,0.369369369,0.11589404,44.7,2.7,34.7,0,1421.574,53203,0.313642757,0.157524613,0.156118143,0.189814815,0.810185185,0.010416667,0.009259259
1400000US11001005900,39.6,82,0.37254902,0.068627451,0.281081081,17.9,20.4,36.3,0,519.673,27515.18,0.369911504,0.22359882,0.146312684,0.01510574,0.98489426,0.0,0.036253776
1400000US11001006001,37.1,58.1,0.6492891,0.090047393,0.152311877,52.5,6.8,21.7,0,907.137,52196.38,0.129213483,0.064044944,0.065168539,0.174404762,0.825595238,0.0125,0.036309524
1400000US11001006002,17.5,96.4,0,0.617977528,0.28975265,3.2,25.5,47.4,0,213.367,18933.38,0.591755319,0.242021277,0.349734043,0,1,0.0,0.454545455
1400000US11001006100,41.5,59,0.502564103,0.174358974,0.094175286,65.9,2.8,26.9,0,954.261,57736.06,0.12742883,0.068233168,0.059195662,0.232236842,0.767763158,0.0,0.038157895
1400000US11001006201,51.6,4.9,1,0,0.113043478,69.6,10.7,8.7,0,0,83574.41,0.087248322,0.087248322,0,1,0,0.0,0.0
1400000US11001006202,47.0,41.7,#DIV/0!,#DIV/0!,#DIV/0!,(X),(X),(X),0,0,0,0,0,0,#DIV/0!,#DIV/0!,0.0,0.0
1400000US11001006301,48.5,55.3,0.490384615,0.230769231,0.098975016,58.9,4.5,38.6,0,862.631,58504.45,0.153516983,0.062048676,0.091468307,0.556270096,0.443729904,0.012861736,0.044614148
1400000US11001006302,39.3,45.6,#DIV/0!,#DIV/0!,0,76.4,0,18.2,0,0,88085.23,0,0,0,0,1,0.0,0.0
1400000US11001006400,36.9,90.8,0,0.3125,0.240391335,8.7,6.1,62,0,356.048,17362.58,0.4253141,0.135411819,0.28990228,0.143147208,0.856852792,0.010152284,0.226395939
1400000US11001006500,34.1,9.6,0.769230769,0.028340081,0.059367397,81.4,1.4,12.7,0,1026.256,81031.03,0.053216839,0.032962669,0.02025417,0.420714286,0.579285714,0.005714286,0.01
1400000US11001006600,35.0,4.7,0.8,0.032258065,0.014160486,91.2,1.5,13.7,0.012285012,1175.482,99171.15,0.052268811,0.039632395,0.012636416,0.457142857,0.542857143,0.006666667,0.005714286
1400000US11001006700,37.1,22.7,0.613333333,0.124444444,0.064439946,76.2,0.7,19.7,0,1044.582,100730.17,0.04854643,0.029635902,0.018910528,0.577517315,0.422482685,0.011720831,0.008524241
1400000US11001006801,39.4,92.5,0,0.432748538,0.328671329,20.3,10,41.6,0.016055046,744.821,40136.56,0.243746935,0.118195194,0.125551741,0.51187905,0.48812095,0.028077754,0.042116631
1400000US11001006802,39.5,84.9,0.215686275,0.426470588,0.296507937,18.8,5.8,40.3,0,663.663,51177.97,0.231148349,0.109906358,0.121241991,0.581775701,0.418224299,0.035046729,0.031542056
1400000US11001006804,31.9,86.8,0.037441498,0.708268331,0.373259053,14.8,0,90.1,0,0,40579,0.095890411,0.058219178,0.037671233,0.32,0.68,0.0,0.0
1400000US11001006900,41.1,53.5,0.320512821,0.115384615,0.22310231,48.4,6,32.1,0,873.103,67332.34,0.187811634,0.078116343,0.109695291,0.579234973,0.420765027,0.033879781,0.032786885
1400000US11001007000,33.3,23.3,0.115819209,0.028248588,0.106277191,70.4,3.3,16.1,0,1087.779,87845.68,0.135237069,0.061422414,0.073814655,0.545009785,0.454990215,0.014677104,0.028375734
1400000US11001007100,29.8,85.8,0.14229249,0.679841897,0.236651285,23.8,8.9,46.3,0,261.8,32753.8,0.425225225,0.181261261,0.243963964,0.302946593,0.697053407,0.02854512,0.262430939
1400000US11001007200,36.2,94.9,0.066298343,0.491712707,0.290811775,5.8,10.8,65.5,0,188.496,10588.5,0.620801733,0.243228602,0.377573131,0.01463964,0.98536036,0.0,0.22972973
1400000US11001007301,23.7,30,0.039443155,0.104408353,0.141809291,36,1.9,21.3,0,1349.579,64300.7,0.025480458,0.012740229,0.012740229,0.031594416,0.968405584,0.005143277,0.082292432
1400000US11001007302,35.1,95.8,0,0.368932039,0.29911155,11,6.7,46.4,0,692.461,42923.42,0.224923077,0.094461538,0.130461538,0.369701727,0.630298273,0.040031397,0.131868132
1400000US11001007304,25.4,97.8,0.030769231,0.330769231,0.449263158,5.3,10.6,52.4,0,612.612,29517.95,0.437696806,0.161718399,0.275978408,0.214430209,0.785569791,0.025623736,0.33513149
