GEO_ID,emp_1,emp_2
1400000US11001008903,0.684155723,0.523480699
1400000US11001008904,0.760373391,0.542193824
1400000US11001009000,0.983183076,0.834008961
1400000US11001009102,0.842339279,0.189425359
1400000US11001009201,0.396769042,-0.067242451
1400000US11001009203,0.323242267,0.599601778
1400000US11001009204,0.377918017,0.430009806
1400000US11001009301,0.249681394,0.314424182
1400000US11001009302,0.263378842,0.309720177
1400000US11001009400,0.220370241,0.674993838
1400000US11001009501,0.208365742,0.231705259
1400000US11001009503,-0.033240404,0.688779323
1400000US11001009504,0.402651277,-0.105351192
1400000US11001009505,-0.189068246,0.8521017
1400000US11001009507,-0.035122853,1.172810271
1400000US11001009508,-0.075070497,1.075358083
1400000US11001009509,0.340596242,0.018908495
1400000US11001009601,0.876951507,0.719151711
1400000US11001009602,0.702604355,0.512026968
1400000US11001009603,0.486142095,0.71649797
1400000US11001009604,1.030005826,1.389746926
1400000US11001009700,1.364263969,-0.291529199
1400000US11001009801,1.269897818,-0.546908073
1400000US11001009802,1.397564039,-0.44224367
1400000US11001009803,0.986499414,-0.261011491
1400000US11001009804,1.073674704,-0.455608467
1400000US11001009807,1.50134709,-1.845079672
1400000US11001009810,0.861708421,-0.368551121
1400000US11001009811,0.873348628,-0.724939996
1400000US11001009901,0.029895719,0.455767044
1400000US11001009902,0.004090186,0.613976052
1400000US11001009903,1.144751899,0.657451066
1400000US11001009904,1.141736888,0.484879799
1400000US11001009905,0.698071691,0.410886671
1400000US11001009906,1.053822755,0.431468392
1400000US11001009907,0.60986973,0.36293789
1400000US11001010100,-1.57452292,-0.24500876
1400000US11001010200,-0.217682647,-1.626206276
1400000US11001010300,-1.73105561,-0.413863852
1400000US11001010400,1.390880254,-0.188240189
1400000US11001010500,-0.173245246,-1.507012968
1400000US11001010600,1.405426022,-0.725738043
1400000US11001010700,-0.446022231,-2.458343572
1400000US11001010800,0.159161572,-1.853159769
1400000US11001010900,1.803983779,-2.89092454
1400000US11001011000,-0.285300821,-0.704746293
1400000US11001011100,0.944646118,0.956484726
