GEO_ID,GEO_ID_1,DEC_MA,DEC_AAP,DPB,DPL,D25PH,D25PB,DEC_16P,DC_NW16,DEC_100,DEC_MGR,DEC_MI,DEC_BPLP,DEC_BPLM,DEC_BPLF,DEC_POO,DEC_PRO,DEC_FOC,DEC_FRC,AREA,PERCENTAGE
1400000US11001004300,1400000US11001003700,26.5,56.9,0.112299465,0.27540107,0.203333333,16.2,3.9,37.8,0,657.118,34325.91,0.340878225,0.150746944,0.190131281,0.088169643,0.911830357,0.012834821,0.163504464,1.48958410984e-06,5.93902084308
1400000US11001004300,1400000US11001003800,32.5,32,0.357142857,0.283613445,0.11663758,44.9,3.8,25.7,0,908.446,49596.7,0.213778256,0.108719053,0.105059203,0.2200409,0.7799591,0.002862986,0.040490798,1.57463120648e-08,0.0627810641486
1400000US11001004300,1400000US11001004201,32.1,14.2,0.861035422,0,0.059722716,77.2,2.4,11,0.02745098,1102.178,70031.5,0.089610003,0.051801131,0.037808872,0.329026304,0.670973696,0.004614675,0.013382557,8.42221509044e-07,3.3579648599
1400000US11001004300,1400000US11001004300,33.0,39,0.292929293,0.202020202,0.100262861,47.9,3.4,30,0,858.704,52151.87,0.197725284,0.101778944,0.09594634,0.243943662,0.756056338,0.008450704,0.053521127,2.18409740229e-05,87.0806818484
1400000US11001004300,1400000US11001004400,33.6,58.8,0.313793103,0.234482759,0.160651921,42,3.1,30.8,0,971.278,55632.5,0.203150912,0.089552239,0.113598673,0.460854093,0.539145907,0.03202847,0.053380783,8.72483542268e-07,3.47862058178
1400000US11001004400,1400000US11001003400,21.2,91.9,0.050024284,0.071393881,0.278619019,18.5,7.5,53.3,0,468.622,24153.67,0.401907922,0.17959353,0.222314392,0.331758034,0.668241966,0.007561437,0.119092628,9.78515192654e-09,0.0184690325641
1400000US11001004400,1400000US11001003500,22.8,83.9,0.114711601,0.066753078,0.232240437,22.2,4.7,47.9,0,557.634,24792.46,0.359013867,0.176168464,0.182845403,0.276978417,0.723021583,0.014388489,0.075539568,5.1720973875e-07,0.976210035278
1400000US11001004400,1400000US11001003600,32.9,62,0.124210526,0.389473684,0.199066874,20.3,6.7,37.3,0,644.028,29432.87,0.279355334,0.13174725,0.147608084,0.171553337,0.828446663,0.017467249,0.141609482,7.90789868576e-07,1.49258018104
1400000US11001004400,1400000US11001004400,33.6,58.8,0.313793103,0.234482759,0.160651921,42,3.1,30.8,0,971.278,55632.5,0.203150912,0.089552239,0.113598673,0.460854093,0.539145907,0.03202847,0.053380783,5.16122103865e-05,97.415717353
1400000US11001004400,1400000US11001004801,38.2,77.2,0,0.358208955,0.224099927,15.5,6.4,43.5,0,726.495,31923.89,0.299387869,0.157484697,0.141903172,0.381578947,0.618421053,0.023923445,0.046650718,5.14001254429e-08,0.0970154165953
1400000US11001004600,1400000US11001003302,37.7,91.5,0.054794521,0.431506849,0.253742515,24.3,9.1,36.2,0,805.035,60132.84,0.151013874,0.069370331,0.081643543,0.648522551,0.351477449,0.023328149,0.073094868,2.32850550564e-07,0.516754996159
1400000US11001004600,1400000US11001003400,21.2,91.9,0.050024284,0.071393881,0.278619019,18.5,7.5,53.3,0,468.622,24153.67,0.401907922,0.17959353,0.222314392,0.331758034,0.668241966,0.007561437,0.119092628,3.91808365758e-07,0.869523091323
1400000US11001004600,1400000US11001004600,33.1,90.5,0.111111111,0.252525253,0.305335446,18.9,12.5,43.5,0.021176471,723.877,43382.88,0.241610738,0.118456376,0.123154362,0.46253469,0.53746531,0.039777983,0.129509713,4.40879581438e-05,97.8424684248
1400000US11001004600,1400000US11001004700,32.1,92.1,0.043589744,0.443589744,0.277647059,10.4,10.8,56.8,0,325.941,18466.06,0.368319692,0.141068849,0.227250843,0.06954023,0.93045977,0.004022989,0.255747126,2.6401402652e-07,0.585914729125
1400000US11001004600,1400000US11001008600,40.8,78.7,#DIV/0!,#DIV/0!,0.265306122,22.4,32.7,26.5,0,818.125,76903.75,0.285714286,0.285714286,0,0.538461538,0.461538462,0.0,0.461538462,8.35159718937e-08,0.185343326999
1400000US11001004701,1400000US11001004600,33.1,90.5,0.111111111,0.252525253,0.305335446,18.9,12.5,43.5,0.021176471,723.877,43382.88,0.241610738,0.118456376,0.123154362,0.46253469,0.53746531,0.039777983,0.129509713,1.2599772668e-07,0.377426749298
1400000US11001004701,1400000US11001004700,32.1,92.1,0.043589744,0.443589744,0.277647059,10.4,10.8,56.8,0,325.941,18466.06,0.368319692,0.141068849,0.227250843,0.06954023,0.93045977,0.004022989,0.255747126,3.29849493017e-05,98.806561981
1400000US11001004701,1400000US11001004802,33.6,76.1,0.145962733,0.406832298,0.312465678,12.4,7.8,40.6,0,692.461,36074.73,0.210290055,0.103936464,0.106353591,0.16057774,0.83942226,0.033135089,0.212404418,2.01390650463e-07,0.603266586995
1400000US11001004701,1400000US11001008600,40.8,78.7,#DIV/0!,#DIV/0!,0.265306122,22.4,32.7,26.5,0,818.125,76903.75,0.285714286,0.285714286,0,0.538461538,0.461538462,0.0,0.461538462,7.10211763718e-08,0.212744248929
1400000US11001004702,1400000US11001004700,32.1,92.1,0.043589744,0.443589744,0.277647059,10.4,10.8,56.8,0,325.941,18466.06,0.368319692,0.141068849,0.227250843,0.06954023,0.93045977,0.004022989,0.255747126,3.37072159418e-05,99.999504387
1400000US11001004702,1400000US11001008600,40.8,78.7,#DIV/0!,#DIV/0!,0.265306122,22.4,32.7,26.5,0,818.125,76903.75,0.285714286,0.285714286,0,0.538461538,0.461538462,0.0,0.461538462,1.63944856032e-10,0.000486376696856
1400000US11001004801,1400000US11001003400,21.2,91.9,0.050024284,0.071393881,0.278619019,18.5,7.5,53.3,0,468.622,24153.67,0.401907922,0.17959353,0.222314392,0.331758034,0.668241966,0.007561437,0.119092628,4.39063722722e-07,1.32013693492
1400000US11001004801,1400000US11001004400,33.6,58.8,0.313793103,0.234482759,0.160651921,42,3.1,30.8,0,971.278,55632.5,0.203150912,0.089552239,0.113598673,0.460854093,0.539145907,0.03202847,0.053380783,6.95198837605e-08,0.209026074154
1400000US11001004801,1400000US11001004600,33.1,90.5,0.111111111,0.252525253,0.305335446,18.9,12.5,43.5,0.021176471,723.877,43382.88,0.241610738,0.118456376,0.123154362,0.46253469,0.53746531,0.039777983,0.129509713,6.23497333417e-07,1.87467516917
1400000US11001004801,1400000US11001004801,38.2,77.2,0,0.358208955,0.224099927,15.5,6.4,43.5,0,726.495,31923.89,0.299387869,0.157484697,0.141903172,0.381578947,0.618421053,0.023923445,0.046650718,3.19344231222e-05,96.0175238294
