GEO_ID,demo_1,demo_2
1400000US11001000100,-1.719115461,-0.729114048
1400000US11001000201,-0.22676877,-2.46532725
1400000US11001000202,-1.119340498,-1.585965832
1400000US11001000300,-1.498580829,-1.175607883
1400000US11001000400,-1.578260794,-1.034573368
1400000US11001000501,-1.397277502,-1.045290446
1400000US11001000502,-1.785657556,-0.791215207
1400000US11001000600,-2.035023119,-0.470660753
1400000US11001000701,-1.984718861,-0.601694682
1400000US11001000702,-1.711983702,-0.958462088
1400000US11001000801,-1.192450531,-1.46478495
1400000US11001000802,-1.333233044,-1.37500891
1400000US11001000901,-1.303280926,-1.347129228
1400000US11001000902,-1.224692622,-1.42190122
1400000US11001001001,-1.196784728,-1.433369618
1400000US11001001002,-1.616632257,-0.986346595
1400000US11001001100,-2.519173224,-0.009261737
1400000US11001001200,-2.331449563,-0.193022305
1400000US11001001301,-1.835526023,0.429023794
1400000US11001001302,-1.562773754,-0.428441946
1400000US11001001401,-2.311088758,-0.197530738
1400000US11001001402,-2.628854679,0.176378999
1400000US11001001500,-2.18031684,1.161159764
1400000US11001001600,-0.96167185,0.164888321
1400000US11001001702,-0.739883306,1.394399079
1400000US11001001803,-0.96167185,0.164888321
1400000US11001001804,-0.098471742,0.268022368
1400000US11001001901,-0.563839955,1.24506991
1400000US11001001902,-0.982932987,1.876702148
1400000US11001002001,-0.650562623,0.709146647
1400000US11001002002,-0.27422661,0.818656469
1400000US11001002101,-0.398573948,1.273555113
1400000US11001002102,-0.562306243,1.61342487
1400000US11001002201,-0.101416053,1.040687391
1400000US11001002202,0.260866352,0.310277689
1400000US11001002301,-0.001018915,0.698101242
1400000US11001002302,0.734093271,0.087165968
1400000US11001002400,0.048189713,0.527483578
1400000US11001002501,-0.353421725,0.897484632
1400000US11001002502,0.09531517,0.053539304
1400000US11001002600,-0.864830738,0.009151244
1400000US11001002701,-0.328627212,-0.691630724
1400000US11001002702,-0.831928628,-0.934397275
1400000US11001002801,0.29234036,-0.78565372
1400000US11001002802,0.075577466,-1.071066071
1400000US11001002900,0.48391418,-0.643300266
1400000US11001003000,0.569635436,-0.653429194
1400000US11001003100,0.355601828,-0.235369692
1400000US11001003200,1.229106296,-0.615689263
1400000US11001003301,0.899834705,-0.048632098
1400000US11001003302,0.72005746,0.477255261
1400000US11001003400,1.053196964,-0.23722185
1400000US11001003500,1.232350122,-0.720212131
1400000US11001003600,1.046267698,-0.819252225
1400000US11001003700,0.455251252,-1.105620516
1400000US11001003800,-0.548298174,-1.377599883
1400000US11001003900,-0.567873022,-1.454166733
1400000US11001004001,-1.058917342,-1.235401575
1400000US11001004002,-1.035979202,-1.082936158
1400000US11001004100,-1.719204909,-0.950140022
1400000US11001004201,-0.669512988,-1.470318696
1400000US11001004202,-1.199281076,-1.261781306
1400000US11001004300,0.096973128,-1.032831863
1400000US11001004400,1.093268493,-0.666557172
1400000US11001004600,0.901870094,0.149248533
1400000US11001004701,0.502380379,0.34662051
1400000US11001004702,0.284577686,0.610659287
1400000US11001004801,0.82816663,-0.198016539
1400000US11001004802,0.624753405,-0.007666843
1400000US11001004901,0.110948608,-0.417849819
1400000US11001004902,0.407586612,-0.502022008
1400000US11001005001,0.110948608,-0.417849819
1400000US11001005002,0.328124525,-1.055553929
1400000US11001005201,-0.533764796,-1.08976395
1400000US11001005301,-0.895196475,-1.56388436
1400000US11001005500,-1.411827238,-1.19454855
1400000US11001005600,-1.471930786,-0.733952446
1400000US11001005800,-0.567768713,0.160217523
1400000US11001005900,-0.50703175,0.883764066
1400000US11001006202,-1.294102377,-0.493087428
1400000US11001006400,0.349856916,-0.184122602
1400000US11001006500,-0.846879622,-0.313554378
1400000US11001006600,-1.163856524,-0.734153102
1400000US11001006700,-0.499051881,0.044635545
1400000US11001006801,0.293433216,0.521074086
1400000US11001006802,0.532876322,0.454832819
1400000US11001006804,-0.072820844,0.684586588
1400000US11001006900,-0.245715798,0.369470684
1400000US11001007000,-0.479545414,-0.533163773
1400000US11001007100,0.308239724,0.401172226
1400000US11001007200,0.900155913,-0.832135954
1400000US11001007301,0.670463904,-0.214102776
1400000US11001007304,2.354081094,-0.891681491
1400000US11001007401,0.824954409,-0.118331303
1400000US11001007403,2.520964234,-1.06208738
1400000US11001007404,1.825949612,-0.495506325
1400000US11001007406,2.795723663,-1.331342513
1400000US11001007407,2.740849052,-1.269642575
1400000US11001007408,2.194426705,-0.748760161
1400000US11001007409,2.260269329,-0.807263723
1400000US11001007502,1.667316311,-0.237061795
1400000US11001007503,1.553614218,-0.146110791
1400000US11001007504,1.696762506,-0.272379239
1400000US11001007601,1.151113933,0.098285152
1400000US11001007603,0.582339544,0.69599641
1400000US11001007604,0.202063965,1.112128545
1400000US11001007605,0.926255068,0.447195116
1400000US11001007703,0.588441592,0.821263553
1400000US11001007707,0.996144355,0.442476691
1400000US11001007708,0.564943206,0.844394987
1400000US11001007709,0.221497934,1.060507551
1400000US11001007803,0.691614512,0.749019533
1400000US11001007804,0.595715031,0.844080265
1400000US11001007806,0.82666241,0.608729448
1400000US11001007807,0.759998384,0.687135972
1400000US11001007808,0.775163767,0.673805354
1400000US11001007809,0.466565644,0.971394886
1400000US11001007901,0.243337883,0.776663126
1400000US11001007903,0.503364462,0.583862345
1400000US11001008001,0.020960495,0.468279626
1400000US11001008002,-0.025379213,0.222986021
1400000US11001008100,-0.305926103,0.073002626
1400000US11001008200,-1.00709034,-0.491380807
1400000US11001008301,-0.743693044,0.03314348
1400000US11001008302,-0.097375173,0.113686206
1400000US11001008402,0.136741597,0.799594117
1400000US11001008410,0.488384199,0.258016618
1400000US11001008701,0.273743875,0.949549123
1400000US11001008702,0.77749337,0.124348758
1400000US11001008802,0.523066351,0.317568008
1400000US11001008803,0.507097203,0.537856613
1400000US11001008804,-0.262084572,0.78831356
1400000US11001008903,-0.154359087,0.490359615
1400000US11001008904,0.033069259,0.592299958
1400000US11001009000,-0.29590405,1.672583421
1400000US11001009102,0.03480347,0.749466901
1400000US11001009201,0.180747046,0.394139916
1400000US11001009203,0.384206772,0.492682548
1400000US11001009204,0.363577054,0.751831747
1400000US11001009301,-0.332207411,1.265313938
1400000US11001009302,-0.013728786,1.001437927
1400000US11001009400,-0.883015962,1.821186441
1400000US11001009501,-0.154960734,0.82782416
1400000US11001009503,-0.961898809,1.913279599
1400000US11001009504,-0.476791735,1.052339213
1400000US11001009505,-0.825862358,1.769537133
1400000US11001009507,-1.007006345,2.339651351
1400000US11001009508,-0.958860056,2.19609727
1400000US11001009509,-0.4885361,1.345243003
1400000US11001009601,0.033908314,0.543400538
1400000US11001009602,0.152080853,0.571422093
