GEO_ID,hsv_1,hsv_2
1400000US11001008904,1.00136529,0.290777775
1400000US11001009000,1.124052806,0.413465292
1400000US11001009102,0.408929341,-0.142398778
1400000US11001009201,0.213008405,-0.338319714
1400000US11001009203,0.105236329,-0.082702288
1400000US11001009204,0.664911968,0.476973351
1400000US11001009301,0.493294241,-0.058033879
1400000US11001009302,0.651547352,0.100219233
1400000US11001009400,-0.363381685,-0.914709804
1400000US11001009501,0.152029937,-0.558557577
1400000US11001009503,-0.263094979,-0.814423098
1400000US11001009504,-0.25358325,-0.804911369
1400000US11001009505,0.571269725,-0.13931779
1400000US11001009507,0.472016902,-0.238570613
1400000US11001009508,0.048813894,-0.66177362
1400000US11001009509,-0.219651206,-0.930238721
1400000US11001009601,1.174023846,0.463436331
1400000US11001009602,0.809476499,0.098888984
1400000US11001009603,0.708569463,-0.002018052
1400000US11001009604,0.605387882,-0.105199632
1400000US11001009700,1.134391642,0.423804127
1400000US11001009801,1.067533838,0.356946323
1400000US11001009802,1.235022976,0.524435461
1400000US11001009803,0.946224832,0.235637318
1400000US11001009804,0.954840529,0.244253014
1400000US11001009807,0.358703263,-0.351884252
1400000US11001009810,0.790453041,0.079865527
1400000US11001009811,0.767018347,0.056430832
1400000US11001009901,0.325643343,0.1435284
1400000US11001009902,0.445007121,-0.077569521
1400000US11001009903,1.349577276,0.638989761
1400000US11001009904,1.115882711,0.557911088
1400000US11001009905,1.017072981,0.459101359
1400000US11001009906,1.008454777,0.297867262
1400000US11001009907,0.672833913,0.11477397
1400000US11001010100,-0.740978656,-0.464740983
1400000US11001010200,0.751854721,0.041267207
1400000US11001010300,-0.132426894,-0.695580615
1400000US11001010400,0.785800565,0.075213051
1400000US11001010500,0.676036593,-0.034550922
1400000US11001010600,0.431459367,0.214621343
1400000US11001010700,-0.632997857,-1.343585372
1400000US11001010800,-0.53085016,-1.241437675
1400000US11001010900,0.022622177,-0.687965338
1400000US11001011000,0.576232366,-0.134355149
1400000US11001011100,0.880515788,0.169928273
