GEO_ID,dem,edu,emp,Gen,hou,pov,ten
1400000US11001003302,0.29538989,1.013677025,0.147498896,-0.113990445,0.146948875,-0.68314411,-1.471943629
1400000US11001003400,1.991293541,0.330296347,0.91672106,-0.442776911,0.899543729,2.289096123,0.469775965
1400000US11001003500,1.69227205,-0.051708645,0.343494408,-0.456303767,0.710983233,1.880641421,0.813661298
1400000US11001003600,0.27288759,0.619908939,-0.029016081,0.090137647,0.523069968,1.078512327,1.495223435
1400000US11001003700,0.705624734,0.428430552,-0.325521283,0.013632537,0.462763689,1.494790503,1.986934766
1400000US11001003800,-0.337920938,-0.94799521,-1.018660236,-1.180941241,-0.095023981,0.082063848,1.217047318
1400000US11001003900,-0.609485559,-2.227876095,-1.589407503,-1.383305252,-0.28094007,-1.357584843,1.010625036
1400000US11001004001,-1.156743361,-3.717132788,-2.100498622,-1.43936711,-0.578386094,-1.946379793,-0.143756013
1400000US11001004002,-0.786944491,-2.785345716,-1.711293635,-1.115199742,-1.328726302,-1.829323709,0.34504339
1400000US11001004100,-1.899137753,-3.419996416,-1.494561945,-1.389332001,-7.573165309,-2.575332553,-0.185571674
1400000US11001004201,-0.633160951,-3.406133864,-1.934286452,-1.287889452,-0.832480753,-1.372159626,0.573035836
1400000US11001004202,-0.925795842,-3.057844729,-1.76297358,-1.533647866,-0.805231868,-1.491353517,0.709755779
1400000US11001004300,-0.188689337,-1.108661064,-0.822371394,-0.788144912,0.011685586,-0.047088108,1.063007399
1400000US11001004400,0.09897124,-0.705883155,-0.776290732,0.096180697,-0.215251227,-0.07740393,-0.258540795
1400000US11001004600,0.770244565,0.769763283,0.917819643,0.913267502,0.088093189,0.482444231,-0.29357177
1400000US11001004701,0.894006624,1.441325306,1.476434927,0.330463431,1.23937923,2.029837119,2.150227625
1400000US11001004702,0.899909,1.447915085,1.48469142,0.320121705,1.251332061,2.049660227,2.169316139
1400000US11001004801,0.005725915,0.979263263,0.286914833,-0.254637918,0.333331047,1.231038222,0.198853695
1400000US11001004802,0.415576914,1.236843269,0.259129617,1.174378174,0.401493847,0.27139178,1.540590444
1400000US11001004901,0.381918329,0.475698769,0.451306312,-0.360736673,0.936996179,1.808415626,0.748294461
1400000US11001004902,0.605032538,0.806629283,-0.814347101,-0.834607975,0.260889024,0.004601789,1.939234222
1400000US11001005001,-0.275660889,-0.122482397,-0.697929418,-1.012669296,-0.195292221,0.813279668,1.105088036
1400000US11001005002,-0.295960854,-0.106781959,-0.713432081,-1.062816525,-0.210579094,0.827551414,1.164486807
1400000US11001005201,-0.622992089,-2.451699517,-1.185057762,-1.317510633,-0.743091159,-0.107073929,1.096949901
1400000US11001005301,-0.873068979,-3.465899501,-1.981932887,-1.356856715,-0.408723388,-1.449340636,0.522247722
1400000US11001005500,-1.065360079,-3.131692218,-1.59790736,-1.5264466,-1.003735206,-1.288630629,0.414303132
1400000US11001005600,-0.616701006,-1.994025033,-0.349852109,-1.50893961,-0.731072259,0.036330096,0.30279486
1400000US11001005800,-1.706674296,-0.505209099,-0.599655589,-1.089249293,-1.157155452,1.02179877,1.422811733
1400000US11001005900,-0.082662075,-0.293291941,1.333630807,-1.298641798,0.81779648,2.046219104,2.492534029
1400000US11001006202,-1.64874544,-0.587129557,-2.817164333,-1.561973191,1.934868206,-1.428618932,-0.496428587
1400000US11001006400,0.375527711,1.054508373,1.240021174,0.343885941,1.157450783,2.552201835,1.73401682
1400000US11001006500,-0.949523876,-3.278077595,-1.970652563,-1.258808639,-0.314154382,-1.90584676,-0.032620323
1400000US11001006600,-1.136888146,-3.755897817,-1.938894163,-1.258559129,-0.824943024,-2.218515857,-0.269551969
1400000US11001006700,-0.972763589,-2.620181804,-1.646775719,-1.025058516,-0.407121161,-2.256267379,-1.008347542
1400000US11001006801,0.154124628,1.522904992,0.56925381,-0.184415964,0.133228759,0.461283079,-0.579703722
1400000US11001006802,-0.015292308,0.993115407,0.049142032,0.065689394,0.461969708,0.2504311,-1.038281286
1400000US11001006804,0.783696429,2.397029562,2.115207221,-1.506125655,1.937363763,-0.955125788,0.554088743
