GEO_ID,ten_1,ten_2
1400000US11001000100,-0.449457223,-2.87E-11
1400000US11001000201,-1.420875378,-3.76E-11
1400000US11001000202,-1.527032401,-3.86E-11
1400000US11001000300,-0.849890007,-3.24E-11
1400000US11001000400,-0.286855964,-2.72E-11
1400000US11001000501,0.312857773,-2.17E-11
1400000US11001000502,0.045943178,-2.42E-11
1400000US11001000600,-0.64512758,-3.05E-11
1400000US11001000701,-0.66744806,-3.07E-11
1400000US11001000702,-0.46704811,-2.89E-11
1400000US11001000801,-1.209369826,-3.57E-11
1400000US11001000802,-1.230531772,-3.59E-11
1400000US11001000901,-2.450256289,-4.70E-11
1400000US11001000902,-3.283631097,-5.46E-11
1400000US11001001001,-2.148468583,-4.42E-11
1400000US11001001002,-1.710956867,-4.02E-11
1400000US11001001100,-1.866228285,-4.17E-11
1400000US11001001200,-0.953660325,8.77E-10
1400000US11001001301,-0.738731097,6.20E-10
1400000US11001001302,0.211843822,1.12E-09
1400000US11001001401,-2.666610858,-4.90E-11
1400000US11001001402,-1.724377489,1.10E-09
1400000US11001001500,-2.321228781,-4.58E-11
1400000US11001001600,-0.780008078,-3.17E-11
1400000US11001001702,-2.459464362,-4.71E-11
1400000US11001001803,-0.780008078,-3.17E-11
1400000US11001001804,0.442445358,-2.06E-11
1400000US11001001901,-2.027788501,-4.31E-11
1400000US11001001902,-3.504842473,-5.67E-11
1400000US11001002001,0.163232389,-2.31E-11
1400000US11001002002,-1.371337065,-3.71E-11
1400000US11001002101,-2.354896662,-4.61E-11
1400000US11001002102,-2.577931932,-4.82E-11
1400000US11001002201,-1.448042316,-3.78E-11
1400000US11001002202,-0.338561289,-2.77E-11
1400000US11001002301,-1.089538992,-3.46E-11
1400000US11001002302,-0.623271113,-3.03E-11
1400000US11001002400,-1.283556919,-3.63E-11
1400000US11001002501,-2.498930724,-4.75E-11
1400000US11001002502,-0.96754142,-3.34E-11
1400000US11001002600,-0.35083401,5.41E-10
1400000US11001002701,0.807741674,-1.72E-11
1400000US11001002702,0.970849414,-1.57E-11
1400000US11001002801,0.789465227,-1.74E-11
1400000US11001002802,1.581591553,-1.01E-11
1400000US11001002900,0.215904862,-2.26E-11
1400000US11001003000,0.208965161,-2.27E-11
1400000US11001003100,-0.742369092,-3.14E-11
1400000US11001003200,0.200772694,-2.28E-11
1400000US11001003301,-0.10903569,-2.56E-11
1400000US11001003302,-1.146876642,-3.51E-11
1400000US11001003400,-0.340876642,-2.77E-11
1400000US11001003500,-0.169477425,-2.61E-11
