,GEO.id,HC01_VC32,HC01_VC23,HC02_VC23,sdsdsds89
394,1400000US24033800601,18.4,21.1,19.0,208
395,1400000US24033800603,36.7,25.9,25.6,335
396,1400000US24033800604,15.1,25.7,24.4,74
397,1400000US24033800605,28.6,24.8,30.7,631
398,1400000US24033800606,45.2,15.3,18.9,228
399,1400000US24033800701,29.4,27.6,30.0,282
400,1400000US24033800702,30.9,31.3,31.1,230
401,1400000US24033800703,34.9,24.3,25.7,523
402,1400000US24033800800,25.3,37.1,37.3,213
403,1400000US24033800900,15.6,29.4,26.4,147
404,1400000US24033801001,16.1,38.6,37.3,305
405,1400000US24033801002,28.3,26.2,27.4,471
406,1400000US24033801104,32.2,15.2,15.7,1259
407,1400000US24033801202,20.6,30.4,32.0,456
408,1400000US24033801203,25.1,24.7,23.3,486
409,1400000US24033801204,23.6,31.0,34.4,523
410,1400000US24033801205,19.5,29.9,28.6,360
411,1400000US24033801206,22.8,30.8,29.4,525
412,1400000US24033801207,21.7,33.2,35.7,275
413,1400000US24033801301,26.0,26.2,27.7,627
414,1400000US24033801302,35.6,23.2,23.3,99
415,1400000US24033801305,27.4,30.1,32.7,351
416,1400000US24033801306,34.8,24.8,24.4,400
417,1400000US24033801307,38.0,14.5,15.2,422
418,1400000US24033801308,31.2,14.5,13.9,288
419,1400000US24033801309,60.8,15.3,17.6,129
420,1400000US24033801402,19.2,35.6,40.5,478
421,1400000US24033801403,31.7,19.6,20.1,479
422,1400000US24033801404,27.6,27.4,27.3,345
423,1400000US24033801405,18.1,30.3,29.3,332
424,1400000US24033801406,29.1,27.0,28.3,286
425,1400000US24033801407,24.8,29.7,35.2,486
426,1400000US24033801500,14.8,37.4,44.6,166
427,1400000US24033801600,10.5,42.1,45.5,301
428,1400000US24033801701,19.2,26.7,30.0,456
429,1400000US24033801702,13.7,35.5,35.8,387
430,1400000US24033801704,16.8,35.6,37.4,547
431,1400000US24033801706,10.8,33.6,32.6,130
432,1400000US24033801707,8.7,38.2,46.2,681
433,1400000US24033801708,16.7,41.1,45.6,377
434,1400000US24033801801,11.4,40.2,39.1,219
435,1400000US24033801802,13.8,33.9,33.6,370
436,1400000US24033801804,24.1,32.6,39.1,200
437,1400000US24033801805,13.3,40.4,45.6,168
438,1400000US24033801807,16.5,35.3,41.4,424
439,1400000US24033801808,17.5,37.8,36.0,300
440,1400000US24033801901,28.3,23.6,22.2,298
441,1400000US24033801902,17.9,32.5,40.9,656
442,1400000US24033801904,14.5,33.7,33.3,265
443,1400000US24033801905,19.5,32.2,31.9,235
444,1400000US24033801906,10.2,41.8,38.9,203
445,1400000US24033802001,13.8,41.1,42.3,594
446,1400000US24033802002,15.7,33.2,35.8,365
447,1400000US24033802103,14.7,34.8,37.6,215
448,1400000US24033802104,17.6,33.0,40.1,204
449,1400000US24033802105,12.3,36.4,36.7,913
450,1400000US24033802201,12.7,42.9,46.1,205
451,1400000US24033802203,14.5,35.5,38.4,378
452,1400000US24033802204,20.9,31.0,32.9,350
453,1400000US24033802301,11.5,36.7,38.9,326
454,1400000US24033802403,15.2,38.9,41.7,567
455,1400000US24033802404,7.4,40.8,38.4,495
456,1400000US24033802405,11.3,42.5,51.6,353
457,1400000US24033802406,11.1,43.9,54.9,313
458,1400000US24033802501,9.2,31.9,27.3,359
459,1400000US24033802502,9.1,37.6,40.8,251
460,1400000US24033802600,7.8,40.3,40.5,263
461,1400000US24033802700,8.3,42.8,40.9,237
462,1400000US24033802803,16.8,33.4,31.7,441
463,1400000US24033802804,14.6,36.1,43.2,502
464,1400000US24033802805,12.1,37.4,38.3,375
465,1400000US24033802901,9.2,35.3,42.0,340
466,1400000US24033803001,9.7,37.5,45.3,228
467,1400000US24033803002,11.5,39.4,44.3,184
468,1400000US24033803100,8.6,32.4,37.6,284
469,1400000US24033803200,10.1,37.8,30.1,319
470,1400000US24033803300,7.2,36.7,38.9,424
471,1400000US24033803401,5.5,34.4,34.3,89
472,1400000US24033803402,6.1,48.6,45.5,413
473,1400000US24033803505,32.6,16.7,16.3,481
474,1400000US24033803508,11.8,34.0,37.2,443
475,1400000US24033803509,3.9,40.6,42.9,414
476,1400000US24033803512,35.2,25.1,29.5,290
477,1400000US24033803513,31.1,22.4,25.6,368
478,1400000US24033803514,49.2,24.8,28.7,137
479,1400000US24033803515,48.2,16.7,17.5,533
480,1400000US24033803516,43.1,20.7,21.6,214
481,1400000US24033803517,41.6,18.5,17.5,547
482,1400000US24033803518,17.6,28.2,30.7,723
483,1400000US24033803519,13.5,33.3,36.7,432
484,1400000US24033803601,33.2,22.4,18.0,264
485,1400000US24033803602,16.1,31.9,23.7,128
486,1400000US24033803605,27.5,24.8,21.3,612
487,1400000US24033803606,30.5,25.4,25.7,438
488,1400000US24033803607,32.7,23.6,23.2,234
489,1400000US24033803608,23.7,32.8,31.7,495
490,1400000US24033803610,36.3,23.2,23.8,238
491,1400000US24033803612,21.0,36.1,39.1,387
492,1400000US24033803613,22.4,29.3,33.4,472
493,1400000US24033803700,13.9,37.6,34.8,135
