GEO_ID,ACS_edu1,ACS_edu2,ACS_edu3,ACS_edu4
1400000US11001000100,-2.80082966,0.199250149,-0.587878486,-0.351213487
1400000US11001000201,-0.934412059,0.067333155,1.782465226,0.754161528
1400000US11001000202,-1.907507414,-0.315737185,1.888908584,-0.335838621
1400000US11001000300,-2.657935966,-0.143853261,-0.629859987,-0.048119835
1400000US11001000400,-1.222665792,-2.291264539,0.477660488,-0.379269009
1400000US11001000501,-3.105948512,0.028843063,-0.534506288,-0.06665985
1400000US11001000502,-2.693895603,-0.164464194,-1.593255511,-0.123915838
1400000US11001000600,-1.989207694,-0.122943787,-0.612834694,-0.234394989
1400000US11001000701,-3.222834737,-0.166567126,-1.576533439,0.031559865
1400000US11001000702,-3.240297605,0.306276626,-1.502126285,0.163949653
1400000US11001000801,-1.729298286,0.04300513,1.094373109,-0.242541978
1400000US11001000802,-2.78275338,-0.491709384,-1.008082442,-0.148273093
1400000US11001000901,-1.647654644,-0.191353196,1.865531753,-0.392913536
1400000US11001000902,-1.279804485,-0.022467603,1.837445089,-0.395456993
1400000US11001001001,-2.07222906,-0.155852781,0.949417468,-0.100158782
1400000US11001001002,-1.557759554,-0.102152586,0.26657491,-0.084442874
1400000US11001001100,-2.034000755,-0.525279812,0.104185823,-0.26927494
1400000US11001001200,-2.665761904,0.061840856,-0.620691603,-0.178171118
1400000US11001001301,-2.858077541,-0.371801087,-1.071427532,-0.209008749
1400000US11001001302,-3.388829031,0.166467966,-1.262998152,0.004099147
1400000US11001001401,-2.342864968,-0.276752491,-0.232825588,-0.39889075
1400000US11001001402,-0.300159926,-1.277545456,1.166379863,-0.229427817
1400000US11001001500,-2.463727697,-0.45295886,-0.635727491,0.005144941
1400000US11001001600,-1.22832622,-1.103818851,-0.397717285,-0.203586312
1400000US11001001702,-0.439180905,1.003051899,-0.082846278,0.094312593
1400000US11001001803,1.422807902,-0.46615761,0.035749375,0.070186482
1400000US11001001804,1.905210527,-0.916967982,0.050145025,0.355692425
1400000US11001001901,0.886634878,-0.648249853,0.02448721,0.214323864
1400000US11001001902,0.519714675,-0.228044595,-0.264401696,0.270599078
1400000US11001002001,0.581972527,-1.341540775,-1.262247226,0.156864689
1400000US11001002002,0.757348025,0.075753861,-0.071577351,-0.034535999
