GEO_ID,ACS_demo1,ACS_demo2
1400000US11001000100,-1.164879309,-0.157386816
1400000US11001000201,1.182895567,-2.336596121
1400000US11001000202,0.257314837,-1.579580962
1400000US11001000300,0.006928543,-1.329194668
1400000US11001000400,-1.047645019,-0.300554271
1400000US11001000501,-0.000135778,-1.296197183
1400000US11001000502,-0.873432171,-0.366712265
1400000US11001000600,-1.651849298,0.597559209
1400000US11001000701,-1.820368888,0.649379557
1400000US11001000702,0.117144494,-1.218978718
1400000US11001000801,-1.268565987,-0.040733556
1400000US11001000802,-1.050968176,-0.223753814
1400000US11001000901,1.090967431,-2.348400644
1400000US11001000902,-1.144267376,-0.216898497
1400000US11001001001,-0.573758653,-0.687996754
1400000US11001001002,-0.040314626,-0.875665251
1400000US11001001100,-1.169201503,-0.16170901
1400000US11001001200,-0.437864523,-0.832535272
1400000US11001001301,-0.463124695,-0.457177376
1400000US11001001302,-0.356160842,-0.871017012
1400000US11001001401,-0.790520449,-0.26376964
1400000US11001001402,-1.214191613,0.734753343
1400000US11001001500,-1.374321799,0.514530446
1400000US11001001600,-0.19078466,1.89837662
1400000US11001001702,0.547733682,0.814082747
1400000US11001001803,0.249151164,1.657261726
1400000US11001001804,0.594441803,0.620420026
1400000US11001001901,0.516872215,1.644550128
1400000US11001001902,0.063597783,1.972480931
1400000US11001002001,0.100432571,0.587121574
1400000US11001002002,-0.116864274,1.271215385
1400000US11001002101,0.751574877,0.59727497
1400000US11001002102,0.67586542,1.122492616
1400000US11001002201,1.014438686,0.840107874
1400000US11001002202,0.662781797,1.489996158
1400000US11001002301,0.622883012,1.36997376
1400000US11001002302,-1.235225729,2.536531441
1400000US11001002400,0.661736778,1.188487588
1400000US11001002501,0.418786832,1.306093904
1400000US11001002502,0.468797207,-0.005997156
1400000US11001002600,-1.052226374,1.277305747
1400000US11001002701,0.220760112,-0.734775935
1400000US11001002702,-0.058928484,-0.653908268
1400000US11001002801,0.860561884,-0.475561328
1400000US11001002802,0.602438277,-0.59346861
1400000US11001002900,0.687302093,-0.548666602
1400000US11001003000,0.976889099,-0.259079595
1400000US11001003100,0.710702134,-0.425112043
1400000US11001003200,0.888422063,0.313473183
1400000US11001003301,0.845292085,0.71102308
1400000US11001003302,0.960110293,0.285006895
1400000US11001003400,2.683323941,-0.655889616
1400000US11001003500,1.585854483,0.009360429
1400000US11001003600,0.605155326,0.190453673
1400000US11001003700,1.406228441,-0.45069826
1400000US11001003800,-0.02430495,-0.398944796
1400000US11001003900,-0.100152351,-0.534884907
1400000US11001004001,-0.757196919,-0.591002371
1400000US11001004002,-0.211785346,-0.846826937
1400000US11001004100,-1.234987471,-0.087278654
1400000US11001004201,0.122883733,-1.012930445
1400000US11001004202,-0.326532494,-1.021666796
1400000US11001004300,0.040155936,-0.234329393
1400000US11001004400,0.31510433,-0.440122681
1400000US11001004600,0.965105479,0.690620151
