GEO_ID,ten_1,ten_2
1400000US11001000100,-0.601654369,0.022201785
1400000US11001000201,-0.632672886,-2.552229549
1400000US11001000202,0.040512179,0.018335827
1400000US11001000300,-0.530737059,0.02177485
1400000US11001000400,0.00325989,0.018560093
1400000US11001000501,-2.242162738,0.03207794
1400000US11001000502,-0.728680309,0.022966504
1400000US11001000600,0.274073852,0.016929744
1400000US11001000701,-0.117680514,0.019288176
1400000US11001000702,-1.723391185,0.028954842
1400000US11001000801,-0.183773288,0.019686066
1400000US11001000802,-0.014984829,0.018669929
1400000US11001000901,1.060116322,0.012197628
1400000US11001000902,1.283633151,0.010852016
1400000US11001001001,0.902589656,0.013145966
1400000US11001001002,-1.115075702,0.025292674
1400000US11001001100,1.075862706,0.012102831
1400000US11001001200,-0.661397626,0.02256145
1400000US11001001301,-1.810386429,0.029478569
1400000US11001001302,-1.541594192,0.027860392
1400000US11001001401,-0.495664073,0.021563705
1400000US11001001402,0.137984315,0.017749028
1400000US11001001500,1.560955716,0.009182484
1400000US11001001600,1.319295025,0.010637325
1400000US11001001702,0.257246723,0.017031047
1400000US11001001803,-2.07929029,0.031097419
1400000US11001001804,-2.01635818,0.030718556
1400000US11001001901,1.024163238,0.012414072
1400000US11001001902,0.702793098,0.014348777
1400000US11001002001,-1.140548197,0.025446023
1400000US11001002002,-0.103522624,0.019202943
1400000US11001002101,-0.615219096,0.022283447
1400000US11001002102,-0.402399231,0.021002234
1400000US11001002201,0.990715868,0.012615431
1400000US11001002202,-0.998907788,0.024593322
1400000US11001002301,0.390325717,0.016229887
1400000US11001002302,-1.951422085,0.030327629
1400000US11001002400,0.31491652,0.016683864
1400000US11001002501,-0.573697988,0.022033483
1400000US11001002502,-1.506410241,0.027648578
1400000US11001002600,0.683389383,0.014465591
1400000US11001002701,-2.013263094,0.030699923
1400000US11001002702,-0.864856743,0.023786311
1400000US11001002801,-2.159169244,0.031578304
1400000US11001002802,-2.589667285,0.03416998
1400000US11001002900,-1.072330766,0.025035342
1400000US11001003000,-1.753914321,0.029138597
