GEO_ID,houserentval_1,houserentval_2
1400000US11001000100,-3.43066348,-3.223089001
1400000US11001000201,2.495405812,-1.860939777
1400000US11001000202,-3.636609163,-1.846261057
1400000US11001000300,-1.256934438,-0.182676147
1400000US11001000400,-2.771130026,-2.431401632
1400000US11001000501,-1.320043561,-0.611513545
1400000US11001000502,-2.161562019,-2.464163116
1400000US11001000600,-2.726911078,-2.620757044
1400000US11001000701,-0.174690749,-0.606372413
1400000US11001000702,0.500803708,0.133662327
1400000US11001000801,-1.868860595,-0.77001553
1400000US11001000802,-0.366573709,-0.921189247
1400000US11001000901,-4.294973429,-3.761624183
1400000US11001000902,-2.803411727,-1.013063621
1400000US11001001001,-0.75993621,-0.15282664
1400000US11001001002,0.219592471,0.414873564
1400000US11001001100,-1.674582458,-0.981419177
1400000US11001001200,-0.808261155,-0.373259009
1400000US11001001301,-3.703874069,-2.792503161
1400000US11001001302,-0.441803836,-0.003728343
1400000US11001001401,-1.81504549,-1.850265412
1400000US11001001402,0.754758065,-0.863235482
1400000US11001001500,-1.843536161,-0.053188054
1400000US11001001600,0.65420817,-0.807044688
1400000US11001001702,0.112187407,-0.012159573
1400000US11001001803,0.679263352,-0.96331697
1400000US11001001804,1.149279893,-0.514813858
1400000US11001001901,1.232260257,-0.597794223
1400000US11001001902,0.981782489,-0.347316454
1400000US11001002001,0.38222616,-0.885405847
1400000US11001002002,1.041410446,-0.668783507
1400000US11001002101,1.087812956,-0.453346921
1400000US11001002102,1.05400614,-0.419540105
1400000US11001002201,0.677521152,-0.043055117
1400000US11001002202,1.250700339,-0.616234304
1400000US11001002301,1.063226181,-0.428760146
1400000US11001002302,-0.041642011,0.676108046
1400000US11001002400,0.959896691,-0.452182618
1400000US11001002501,1.42393387,-0.928589574
1400000US11001002502,1.066924305,-0.520335774
1400000US11001002600,-1.004200007,-1.592622361
1400000US11001002701,0.42088969,-0.60087457
1400000US11001002702,0.336430429,-0.301165475
1400000US11001002801,0.980370789,-0.628402718
1400000US11001002802,1.132376485,-0.49791045
1400000US11001002900,0.894179958,-0.779133833
1400000US11001003000,-0.330769129,-0.359842357
1400000US11001003100,0.771802403,-0.366749037
1400000US11001003200,1.228004024,-0.878651672
1400000US11001003301,0.668301111,-0.033835076
1400000US11001003302,0.322029483,0.056308549
1400000US11001003400,1.126229791,-0.491763756
1400000US11001003500,1.353657458,-0.719191423
1400000US11001003600,0.969489102,-0.335023067
1400000US11001003700,1.032492712,-0.398026677
1400000US11001003800,-0.255194815,-0.653069664
1400000US11001003900,0.382770805,-0.045837513
1400000US11001004001,-1.011568642,-0.681060288
1400000US11001004002,-0.549590832,-0.581737407
1400000US11001004100,-2.540855204,-2.735889161
1400000US11001004201,-0.17344586,-0.098025295
1400000US11001004202,-1.075679382,-0.745171029
1400000US11001004300,-0.517789972,-1.447353826
1400000US11001004400,-1.014736563,0.50515702
1400000US11001004600,0.958732388,-0.324266353
1400000US11001004701,1.800829424,-1.166363389
1400000US11001004702,0.799402706,-0.797077414
1400000US11001004801,1.006467471,-0.553132487
1400000US11001004802,0.59715409,-1.340467529
1400000US11001004901,-0.166399968,-2.460529822
1400000US11001004902,0.025074502,-0.48651418
1400000US11001005001,-1.046590574,-0.768329117
1400000US11001005002,0.499693596,-0.515923969
1400000US11001005201,-0.113540162,-0.118026614
1400000US11001005301,-0.470235822,-0.271881383
1400000US11001005500,-0.944100935,0.191624292
1400000US11001005600,-0.309009472,-0.353449434
1400000US11001005800,-0.782866494,1.007481612
1400000US11001005900,-0.362806756,0.997272791
1400000US11001006202,2.495405812,-1.860939777
1400000US11001006400,1.95603344,-1.321567405
1400000US11001006500,-0.146598806,-0.157231953
1400000US11001006600,-1.470135174,-1.625215622
1400000US11001006700,-0.639451434,-0.69925813
1400000US11001006801,0.868631639,-0.497347467
1400000US11001006802,0.230654537,0.020253845
1400000US11001006804,2.495405812,-1.860939777
1400000US11001006900,0.25954598,0.374920055
1400000US11001007000,-0.247840301,0.469909756
1400000US11001007100,1.784163426,-1.425823789
1400000US11001007200,0.612980868,0.021485167
