GEO_ID,ACS_emp1,ACS_emp2
1400000US11001000100,-0.505286276,-0.383800488
1400000US11001000201,2.545147459,-4.415877092
1400000US11001000202,0.425055711,-1.80496391
1400000US11001000300,-0.745414992,0.019935372
1400000US11001000400,-0.961115071,-0.909614563
1400000US11001000501,-0.581263157,0.14209604
1400000US11001000502,-1.069905827,-0.514511303
1400000US11001000600,0.211287034,-1.30488273
1400000US11001000701,-0.563915501,-0.652385553
1400000US11001000702,-0.818750872,0.870405189
1400000US11001000801,0.590049567,-0.170279173
1400000US11001000802,-0.151002349,-1.065298705
1400000US11001000901,1.770324706,-2.741215043
1400000US11001000902,0.11431457,-0.757990618
1400000US11001001001,-0.010487098,-1.246715742
1400000US11001001002,-1.134064415,0.163174078
1400000US11001001100,-0.873402352,-0.751916564
1400000US11001001200,-0.727060409,-0.325633501
1400000US11001001301,-0.261427178,-0.545856014
1400000US11001001302,-0.805133599,-0.165756738
1400000US11001001401,-0.599915069,-1.066305633
1400000US11001001402,0.722641816,-1.325416077
1400000US11001001500,-0.03248961,-1.674632879
1400000US11001001600,0.128938771,-1.345239825
1400000US11001001702,0.129780791,0.167284243
1400000US11001001803,1.146960991,1.072487995
1400000US11001001804,0.926903385,0.474509877
1400000US11001001901,0.850629176,-0.553564141
1400000US11001001902,1.092936655,-1.12308591
1400000US11001002001,-0.761970595,-0.822446535
1400000US11001002002,0.699847251,-0.116469713
1400000US11001002101,1.591136401,0.382901868
1400000US11001002102,0.801557026,0.02723123
1400000US11001002201,1.18266323,-0.067562471
1400000US11001002202,1.348449138,-0.069741235
1400000US11001002301,1.34564323,0.669296825
1400000US11001002302,2.098166141,-2.987252905
1400000US11001002400,1.535610414,0.929249289
1400000US11001002501,1.565321052,0.245110072
1400000US11001002502,0.668584994,0.160203262
1400000US11001002600,-0.409947885,-0.806353169
1400000US11001002701,-1.026990185,0.424215924
1400000US11001002702,-0.732045081,0.579190468
1400000US11001002801,0.584140421,-0.2461736
1400000US11001002802,-0.233053283,0.448314745
1400000US11001002900,0.720133237,0.967592529
1400000US11001003000,0.908928585,1.842243621
1400000US11001003100,0.451168389,-0.113201568
1400000US11001003200,0.181411488,0.442867836
1400000US11001003301,0.164063833,1.237349429
1400000US11001003302,0.186528582,2.155625763
1400000US11001003400,3.041003533,-1.680492057
1400000US11001003500,1.280097931,-0.124095386
1400000US11001003600,-0.186159897,0.033305283
1400000US11001003700,0.450623698,-0.07175509
1400000US11001003800,-1.627774212,0.943196378
1400000US11001003900,-1.257314464,0.081915196
1400000US11001004001,-1.35273531,1.036273552
1400000US11001004002,-1.618514466,0.238606267
1400000US11001004100,-0.519365786,0.162002242
1400000US11001004201,-1.510350854,0.416755159
1400000US11001004202,-1.269759902,0.503378495
