GEO_ID,ACS_MA,ACS_AAPp,ACS_24pb,ACS_24plh,ACS_25ph,ACS_25pb,ASC_UEP,ACS_NWP,ACS_p1000,ACS_MGR,ACS_OO,ACS_RO,ACS_FOC,ACS_FRC,ACS_BPL,ACS_MBPL,ACS_FBPL,ACS_MI
1400000US11001002501,41.4,72.4,12,20.2,23.6,36.4,9,36.2,0.012048193,652,0.51446281,0.48553719,0.009297521,0.06714876,28.4,25.5,32,48750
1400000US11001002502,34.6,43.2,35.4,17.5,26.6,30.8,6.6,30.4,0.00761035,901,0.333333333,0.666666667,0.01065449,0.052765094,11,14.3,8,42199
1400000US11001002600,48.6,37.7,20,42.2,7.9,68.8,1.6,29.6,0.279835391,1226,0.758584807,0.241415193,0.035379813,0,6,8,4.3,144141
1400000US11001002701,32.2,20.6,12.1,70.8,10.4,64,3.1,16.4,0.070532915,1085,0.234904271,0.765095729,0.022459499,0.033873343,12.5,10.7,14.7,58617
1400000US11001002702,34,16,15.6,60.1,3.1,68.1,4.2,17.4,0.051891892,1210,0.457920792,0.542079208,0.029207921,0.006435644,7.6,4.5,10.6,95490
1400000US11001002801,30.3,41.4,75.4,3.1,18.6,34.8,5.4,32.7,0.024464832,894,0.206569804,0.793430196,0,0.066329754,20.9,19.2,22.9,43661
1400000US11001002802,31,32.7,37.5,23.7,13.4,32.1,5.1,21.9,0,887,0.122968581,0.877031419,0,0.064463705,21.6,19.3,24,41453
1400000US11001002900,30.8,35.7,24.6,43.2,21.8,36.6,8.7,25,0.044982699,873,0.417630058,0.582369942,0.041907514,0.050578035,18,19.1,16.7,56000
1400000US11001003000,30.8,49.1,9.7,35.6,7,57.6,11.3,20.1,0.114754098,1408,0.285268901,0.714731099,0,0.106001559,23.1,26.1,20.7,52228
1400000US11001003100,31.3,39.1,28.2,9.7,21,33.3,5.4,30.8,0.01986755,1047,0.633788038,0.366211962,0.043022036,0.078698846,7.8,6.8,9.1,69063
1400000US11001003200,34.1,60.3,22.8,29.8,25.7,30.1,6.1,24.9,0.024691358,732,0.590163934,0.409836066,0.02671524,0.043715847,20.5,14.1,25.9,50665
1400000US11001003301,36.3,68.5,7.2,54.1,19,55.8,8,19.1,0,1189,0.771236333,0.228763667,0.042052145,0.014297729,22.4,25.1,19.7,83285
1400000US11001003302,33.6,61.3,22.4,48.1,17,60,10.3,12.7,0.022181146,1331,0.571881607,0.428118393,0.021141649,0.090909091,18.9,15.7,22.4,80039
1400000US11001003400,20.3,79.4,5.5,6.6,21.5,48.5,7.9,60.5,0,891,0.512597741,0.487402259,0.039965248,0.016507385,34,26.2,42.2,30603
1400000US11001003500,29.1,69.4,6.5,3.4,29.7,24,7.4,36.8,0,743,0.333700441,0.666299559,0,0.088105727,31.9,30.1,34.3,41136
1400000US11001003600,34.9,50.9,31,53.6,19.7,35.4,4.2,25.2,0,993,0.321249303,0.678750697,0.02119353,0.069157836,19.5,19.4,19.7,46034
1400000US11001003700,27.7,54.6,11.9,14.2,12.8,49.3,5.5,30.5,0,952,0.200564972,0.799435028,0.012241055,0.138888889,26.2,31.2,21.7,52292
1400000US11001003800,35.1,22.7,0,73.9,6.3,74.6,2.9,8.4,0.133603239,1288,0.287990672,0.712009328,0.012436844,0.005441119,5.9,8.1,2.8,76121
1400000US11001003900,34.8,17.8,0,93.7,7.1,76.5,1.7,17.2,0.025766871,1278,0.286366831,0.713633169,0.008081518,0,5.1,7,3.4,72466
1400000US11001004001,37.8,1.3,0,86.5,1.3,94.7,3.8,9.7,0.201530612,1525,0.580454097,0.419545903,0.006910168,0,3.7,4.5,2.9,100439
1400000US11001004002,33.8,8,0,88,5.7,83.7,1.2,13.5,0.152920962,1407,0.371884984,0.628115016,0,0,5.5,4.2,6.7,85368
1400000US11001004100,42.7,1.9,0,85.8,3.4,84.1,3.7,21.9,0.511921459,1354,0.47852349,0.52147651,0,0.008724832,4.2,3.6,4.8,97500
1400000US11001004201,31.3,11.9,0,86.2,6.8,78.5,1.9,13,0.078455791,1442,0.378238342,0.621761658,0,0.027790862,19.6,19.3,20,86406
1400000US11001004202,33.5,1.3,0,82.6,2.6,89.9,2.7,14.1,0.212634823,1525,0.406386976,0.593613024,0,0,4.8,3.4,6.1,83588
1400000US11001004300,35.6,28,0,90.5,5.1,63.2,3.6,27.1,0.22513089,1115,0.213288666,0.786711334,0,0.012841988,19.3,21.1,17.6,51016
1400000US11001004400,33.2,29.6,6.6,67.8,6.5,74.2,4.3,10.8,0.099076406,1912,0.550369686,0.449630314,0,0.01987061,12.3,13.7,10.7,98030
1400000US11001004600,35.6,70.8,13.2,27.9,27.5,40.8,6.5,24.9,0,1000,0.542961609,0.457038391,0.054844607,0.08226691,19.1,14.2,22.9,76623
1400000US11001004701,23.8,88.2,41.1,0,31,22.8,19.7,42.1,0,452,0.122542595,0.877457405,0,0.232634338,49,45,51.9,15119
1400000US11001004702,36.9,58.9,45.7,20.7,10.6,48.3,14.8,36.7,0.054744526,898,0.341645885,0.658354115,0,0.097256858,33.1,43.4,22.5,43476
1400000US11001004801,39.3,49.8,26.9,32.1,17.1,49.4,5.6,29.9,0.015686275,910,0.566666667,0.433333333,0.042222222,0.011111111,14.4,12.1,16.5,76618
1400000US11001004802,34.3,60.6,8.9,28.8,34.2,34.8,5.9,23.7,0.119318182,787,0.13343442,0.86656558,0,0.090978014,13.7,11.5,15.5,42244
1400000US11001004901,33,55.4,19.8,0,22.9,48.1,9.7,25.9,0.282442748,671,0.284473398,0.715526602,0,0.136807818,24.3,17.8,30.8,52375
1400000US11001004902,29.9,32.1,2,80.3,6.6,61.1,3.3,10.1,0.094907407,1251,0.322147651,0.677852349,0,0.054436987,17.3,15.8,19.1,78482
1400000US11001005001,37.5,29.1,0,100,2.8,68.3,1.5,15.1,0.212121212,1508,0.574626866,0.425373134,0.036069652,0,10.3,15.1,0,119643
1400000US11001005002,34.4,20.3,67.5,32.5,8.2,56.7,4.4,22.2,0.05635148,1087,0.303214596,0.696785404,0,0,11.8,13.9,9.1,73173
1400000US11001005201,34.5,13,0,71.7,4.7,82.8,3.7,15,0.075,1416,0.318766067,0.681233933,0,0.003856041,11.9,10.7,13.6,64811
1400000US11001005301,35.6,15.8,0,97,4.6,74.9,1.9,10.2,0.119214586,1482,0.412496384,0.587503616,0,0,16.7,16.6,16.8,91638
1400000US11001005500,34.8,7.7,0,78.3,4.4,86.1,2.4,22.9,0.120111732,1787,0.377637131,0.622362869,0.003691983,0,12.8,13.6,11.9,88831
1400000US11001005600,31,5.6,0,63.5,4.7,80,1.6,44.3,0.112316034,1403,0.380265096,0.619734904,0.004123711,0,26.2,19.9,31.9,61806
1400000US11001005800,32.8,6,0,73.3,6.2,83.2,2.8,14.1,0.035493827,2000,0.382978723,0.617021277,0,0,5.6,3.4,7.7,119167
1400000US11001005900,35.3,39.1,3.4,78.6,19.6,46.7,8.7,38.6,0,1860,0.093982421,0.906017579,0,0.012846518,44.4,51.4,34,66790
1400000US11001006202,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,0,NA,NA,NA,NA
1400000US11001006400,37.8,89.1,13.5,12.8,35.4,22.7,10.8,40.7,0,351,0.237859267,0.762140733,0,0.227948464,31.1,21.7,38.5,21191
1400000US11001006500,33.3,3.1,0,100,2.8,89.7,2,15.4,0.081258191,1414,0.548132184,0.451867816,0,0,1.3,1,1.5,113542
