GEO_ID,tengen_1,tengen_2
1400000US11001009601,-2.877185363,4.372214079
1400000US11001009602,-1.649205001,2.71597246
1400000US11001009603,0.028999527,0.782442114
1400000US11001009604,1.450568079,0.987244229
1400000US11001009700,-2.864561253,4.656523872
1400000US11001009801,-2.826683432,3.43666057
1400000US11001009802,-2.534383964,1.064847137
1400000US11001009803,-1.637793345,0.168256518
1400000US11001009804,-2.761838765,1.292301938
1400000US11001009807,0.383339527,0.650566126
1400000US11001009810,-5.041887111,3.572350284
1400000US11001009811,-3.296516034,1.826979207
1400000US11001009901,-0.347901426,-1.121635401
1400000US11001009902,2.595591468,3.322829083
1400000US11001009903,-1.0882258,1.75193717
1400000US11001009904,-1.254768196,-0.214768631
1400000US11001009905,-1.302291509,1.403767171
1400000US11001009906,-0.705376579,2.297857321
1400000US11001009907,-3.584426128,2.114889301
1400000US11001010100,-0.21845249,-1.251084337
1400000US11001010200,-0.690054736,-0.779482091
1400000US11001010300,0.063325438,0.830402177
1400000US11001010400,-1.873823278,0.707107913
1400000US11001010500,-0.590139987,-0.87939684
1400000US11001010600,-0.569060467,0.039376855
1400000US11001010700,-0.038883813,-1.071515661
1400000US11001010800,-0.21845249,-1.251084337
1400000US11001010900,-3.125700314,2.242712035
1400000US11001011000,-0.029125539,-0.375026035
1400000US11001011100,0.317669385,0.023909795
1400000US24031700101,0.781389636,-0.202073949
1400000US24031700103,0.556749648,-0.439233383
1400000US24031700104,1.682493249,1.009216647
1400000US24031700105,0.087732647,-0.340672205
1400000US24031700204,0.276354865,-0.756276983
1400000US24031700205,0.838413037,0.172627216
1400000US24031700206,0.539860205,-0.163265259
1400000US24031700207,-0.569145462,1.463195268
1400000US24031700208,0.970635868,-0.06199598
1400000US24031700304,-0.804004735,-0.665532092
1400000US24031700306,0.140935133,-0.724962742
1400000US24031700308,1.631299332,1.024102345
1400000US24031700309,0.087420516,0.869991341
1400000US24031700310,0.049974072,0.251933804
1400000US24031700311,1.044239698,0.193522841
1400000US24031700312,0.268324429,-0.068973005
1400000US24031700400,0.018132029,-0.825360771
1400000US24031700500,0.626785078,-0.031448326
1400000US24031700604,-0.21845249,-1.251084337
1400000US24031700606,1.425582368,0.39295052
1400000US24031700607,0.024410958,-0.838995723
1400000US24031700608,0.812385837,-0.220246011
1400000US24031700610,0.514299332,-0.518332515
1400000US24031700611,0.575524403,-0.457107445
1400000US24031700613,0.865583278,0.231265037
1400000US24031700614,0.080822886,-0.021531829
1400000US24031700615,1.310375394,0.277743547
1400000US24031700616,0.956931097,-0.075700751
1400000US24031700704,-0.163300388,0.235885606
1400000US24031700706,-0.505189452,0.846919161
1400000US24031700710,1.294404117,0.539900515
1400000US24031700711,0.406871959,0.000849616
1400000US24031700713,-0.519690658,-0.215255342
1400000US24031700715,1.468765048,0.977181573
1400000US24031700716,1.368570369,0.69643061
1400000US24031700717,0.034722349,-0.009786989
1400000US24031700718,-0.131310737,-0.529304177
1400000US24031700719,-0.712569569,-0.292513197
1400000US24031700720,-0.916329093,0.157263052
1400000US24031700721,-1.432594343,0.634762204
1400000US24031700722,0.309570993,1.131388034
1400000US24031700723,-0.218664361,-0.94135516
1400000US24031700724,-0.21845249,-1.251084337
1400000US24031700810,-0.830014698,-0.255090448
1400000US24031700811,-0.279220926,0.711396844
1400000US24031700812,0.724769038,-0.307862809
1400000US24031700813,1.747516296,1.52342922
1400000US24031700815,0.372875202,0.457800115
1400000US24031700816,-0.192006206,-0.070809335
1400000US24031700817,-0.476713249,-0.060731739
1400000US24031700818,-0.556744543,-0.035440054
1400000US24031700819,0.117520005,0.461197697
1400000US24031700820,-1.803405933,0.333869106
1400000US24031700822,0.278394294,-0.120469219
1400000US24031700823,0.097019934,-0.935611914
1400000US24031700824,1.048531944,0.015900096
1400000US24031700826,0.250909567,-0.78172228
1400000US24031700828,1.929873329,1.197288347
1400000US24031700829,0.678276988,-0.086823704
1400000US24031700830,-0.424178336,-1.045358491
1400000US24031700832,-1.252013062,0.401510846
1400000US24031700833,0.412521774,1.12072178
1400000US24031700834,0.507593591,0.096100541
1400000US24031700835,0.51981058,-0.007491035
1400000US24031700901,0.150274979,-0.220815073
1400000US24031700902,-0.025084727,0.656576086
1400000US24031700903,-0.529310342,-0.216044847
1400000US24031700904,-0.836359083,-0.633177744
1400000US24031700905,-0.43765893,-0.674067121
1400000US24031701001,0.334414708,0.026089551
1400000US24031701002,0.27697781,-0.755654037
1400000US24031701004,0.328471283,0.87152415
1400000US24031701005,0.82965447,-0.202977377
1400000US24031701006,1.729531031,0.696899184
1400000US24031701007,-0.00802274,-0.356949183
1400000US24031701101,0.949939494,0.077378024
1400000US24031701102,0.347240463,0.425305852
1400000US24031701201,0.78168423,0.453022886
1400000US24031701202,0.514686661,-0.517945187
1400000US24031701205,-0.272521792,-1.197015035
1400000US24031701206,0.734526553,-0.298105295
1400000US24031701210,0.060522605,-0.972109242
1400000US24031701211,-0.407871874,-0.248923967
1400000US24031701212,0.645369549,-0.387262298
1400000US24031701213,0.10828795,-0.82149132
1400000US24031701214,0.069481783,-0.785076105
1400000US24031701215,-0.244515268,-0.395744575
1400000US24031701216,-0.415210023,-1.054326803
1400000US24031701218,-0.492968382,-0.976568445
1400000US24031701219,-0.551242047,-0.918294779
1400000US24031701220,0.153471801,-0.609502229
1400000US24031701221,-0.329877288,-0.445489024
1400000US24031701303,-0.047421298,-0.87342578
1400000US24031701304,1.238430528,0.20579868
1400000US24031701306,1.114450914,0.081819066
1400000US24031701307,0.275160104,-0.757471744
1400000US24031701308,-0.001126504,-1.033758352
1400000US24031701312,-0.348828651,-0.147751319
1400000US24031701313,-0.348868878,-0.511072046
1400000US24031701314,0.601192165,0.002996812
1400000US24031701315,1.614299017,1.328339618
1400000US24031701316,0.967165555,0.29510097
1400000US24031701317,-0.268677364,-1.120099687
1400000US24031701407,0.401941418,-0.63069043
1400000US24031701408,-0.157970998,-1.014064212
1400000US24031701409,-0.003918187,-1.036550034
1400000US24031701410,0.615899147,1.133671924
1400000US24031701414,0.169387837,0.802522849
1400000US24031701415,0.621828111,0.523972204
1400000US24031701417,-0.892705238,1.04192735
1400000US24031701418,0.425113957,-0.607517891
1400000US24031701420,0.037623047,-0.593669382
1400000US24031701421,-2.85631751,1.386780683
1400000US24031701422,-2.142285836,0.672749009
1400000US24031701423,1.760438531,2.147281271
1400000US24031701503,1.378339184,0.345707336
1400000US24031701505,-0.204846962,0.830486428
1400000US24031701506,1.261058358,0.22842651
1400000US24031701507,1.117269152,0.084637304
1400000US24031701508,-0.738574954,1.113880694
1400000US24031701509,-1.043194256,0.157612926
1400000US24031701601,-0.748610826,1.856793902
1400000US24031701602,-0.860528579,-0.327304847
1400000US24031701701,0.259387387,-0.040427645
1400000US24031701702,-1.820055629,0.831431643
1400000US24031701703,0.276950623,-0.178349915
1400000US24031701704,0.902480382,-0.130151466
1400000US24031701800,0.598543931,-0.098244862
1400000US24031701900,-0.779790166,-0.689746661
1400000US24031702000,-0.062570366,1.071505038
1400000US24031702101,-0.557833822,-0.223730463
1400000US24031702102,0.294026646,-0.585711661
1400000US24031702200,1.095496417,0.062864569
1400000US24031702301,-0.479884958,-0.06681816
1400000US24031702302,-0.617312585,0.070013023
1400000US24031702401,0.135695556,0.125891571
1400000US24031702402,-0.256056024,0.252690174
1400000US24031702500,-0.499008196,-0.970528631
1400000US24031702601,-0.939977875,-0.529558952
1400000US24031702602,-0.830680101,-0.058748151
1400000US24031702700,-0.744059443,0.441314141
1400000US24031702800,0.209302447,-0.823329401
1400000US24031702900,0.061132088,-0.871971806
1400000US24031703000,0.263951773,-0.438481449
1400000US24031703100,-0.386482177,-0.788734823
1400000US24031703201,0.06251108,-0.808173545
1400000US24031703202,0.436759461,-0.595872387
1400000US24031703206,0.710103986,0.039625472
1400000US24031703207,-1.924570545,0.811727172
1400000US24031703208,0.721804388,-0.22002761
1400000US24031703209,0.138788454,-0.364227493
1400000US24031703210,0.227247074,-0.500309939
1400000US24031703212,-0.563644051,-0.905892776
1400000US24031703213,-1.83445116,1.806084829
1400000US24031703214,-2.478532841,1.008996014
1400000US24031703215,-1.336961185,0.168451532
1400000US24031703216,0.094533774,-0.741340529
1400000US24031703218,-0.21845249,-1.251084337
1400000US24031703219,-0.21845249,-1.251084337
1400000US24031703220,0.510128678,0.403414638
1400000US24031703221,1.157667787,0.513281012
1400000US24031703301,1.750683717,0.856653776
1400000US24031703302,0.592280885,0.778211261
1400000US24031703401,0.314868016,-0.297926787
1400000US24031703402,0.814412587,0.064899637
1400000US24031703403,0.003027612,-1.029604236
1400000US24031703404,0.927680475,1.289846272
1400000US24031703501,-0.771145914,0.129459877
1400000US24031703502,-0.447013546,-0.618163897
1400000US24031703601,1.648625047,1.110731483
1400000US24031703602,0.899990582,-0.132641266
1400000US24031703701,0.25447193,-0.265054171
1400000US24031703702,0.234593883,-0.612471786
1400000US24031703800,-0.395418871,0.255962311
1400000US24031703901,-0.31183584,-1.157700987
1400000US24031703902,0.280653919,0.844911967
1400000US24031704000,1.01957692,0.359543778
1400000US24031704100,0.189234948,-0.8433969
1400000US24031704200,1.086386175,0.170852151
1400000US24031704300,0.567101663,-0.211722634
1400000US24031704401,1.44756116,0.519558883
1400000US24031704403,-0.21845249,-1.251084337
1400000US24031704404,0.025418366,-1.007213482
1400000US24031704501,1.042710743,0.155174266
1400000US24031704502,0.379657239,-0.361685868
1400000US24031704503,0.195272883,-0.66789853
1400000US24031704600,0.508456393,-0.308494655
1400000US24031704700,0.227073662,-0.104954091
1400000US24031704803,-0.830072381,-0.639464446
1400000US24031704804,-0.752353586,-0.717183241
1400000US24031704805,-0.395251752,-1.074285075
1400000US24031704806,-0.312344097,-1.15719273
1400000US24031705000,0.030587351,-1.002044496
