OBJECTID,GEO.id,dec_ma,dec_tp,dec_tpp,dec_mp,dec_mpp,dec_fp,dec_fpp,dec_aap,dec_aapp
452,1400000US51059492000,43.2,6211,100.0,3157,50.8,3054,49.2,233,3.8
453,1400000US51059492100,44.1,6575,100.0,3323,50.5,3252,49.5,157,2.4
454,,,,,,,,,,
455,,,,,,,,,,
456,1400000US51059492300,33.2,3431,100.0,1720,50.1,1711,49.9,295,8.6
457,1400000US51059492400,31.4,4272,100.0,2091,48.9,2181,51.1,669,15.7
458,,,,,,,,,,
459,,,,,,,,,,
460,,,,,,,,,,
461,1400000US51013100200,41.9,5448,100.0,2645,48.5,2803,51.5,61,1.1
462,1400000US51013100300,42.3,6122,100.0,2869,46.9,3253,53.1,131,2.1
463,1400000US51013100500,38.7,3788,100.0,1869,49.3,1919,50.7,63,1.7
464,1400000US51013100600,37.5,2953,100.0,1434,48.6,1519,51.4,127,4.3
465,1400000US51013100700,35.5,5310,100.0,2603,49.0,2707,51.0,283,5.3
466,1400000US51013100900,37.1,3945,100.0,1943,49.3,2002,50.7,216,5.5
467,1400000US51013101000,36.8,2872,100.0,1401,48.8,1471,51.2,78,2.7
468,1400000US51013101100,37.2,4574,100.0,2231,48.8,2343,51.2,86,1.9
469,1400000US51013101200,40.6,3584,100.0,1706,47.6,1878,52.4,84,2.3
470,1400000US51013101300,36.3,5820,100.0,2949,50.7,2871,49.3,124,2.1
471,,,,,,,,,,
472,,,,,,,,,,
473,,,,,,,,,,
474,1400000US51013101500,33.8,6013,100.0,2967,49.3,3046,50.7,237,3.9
475,,,,,,,,,,
476,,,,,,,,,,
477,,,,,,,,,,
478,,,,,,,,,,
479,,,,,,,,,,
480,,,,,,,,,,
481,,,,,,,,,,
482,,,,,,,,,,
483,,,,,,,,,,
484,,,,,,,,,,
485,1400000US51013102100,46.4,2211,100.0,1027,46.4,1184,53.6,92,4.2
486,1400000US51013102200,30.2,7576,100.0,3955,52.2,3621,47.8,1154,15.2
487,,,,,,,,,,
488,1400000US51013102400,34.7,3450,100.0,1757,50.9,1693,49.1,427,12.4
489,1400000US51013102500,32.5,4158,100.0,2068,49.7,2090,50.3,594,14.3
490,1400000US51013102600,33.7,3115,100.0,1525,49.0,1590,51.0,352,11.3
491,,,,,,,,,,
492,,,,,,,,,,
493,,,,,,,,,,
494,,,,,,,,,,
495,1400000US51013103000,36.4,3090,100.0,1334,43.2,1756,56.8,87,2.8
496,1400000US51013103100,35.5,4150,100.0,2000,48.2,2150,51.8,2519,60.7
497,1400000US51013103200,32.5,6902,100.0,3404,49.3,3498,50.7,1216,17.6
498,1400000US51013103300,35.4,1024,100.0,492,48.0,532,52.0,627,61.2
499,1400000US51013103401,22.9,2245,100.0,1804,80.4,441,19.6,574,25.6
500,,,,,,,,,,
501,,,,,,,,,,
502,,,,,,,,,,
503,,,,,,,,,,
504,1400000US51013103700,46.0,2327,100.0,1204,51.7,1123,48.3,67,2.9
505,1400000US51013103800,29.3,4490,100.0,2411,53.7,2079,46.3,756,16.8
506,,,,,,,,,,
507,,,,,,,,,,
508,,,,,,,,,,
509,1400000US51510201300,36.3,3034,100.0,1447,47.7,1587,52.3,820,27.0
510,1400000US51510201400,34.4,3791,100.0,1808,47.7,1983,52.3,444,11.7
511,1400000US51510201500,40.3,3445,100.0,1631,47.3,1814,52.7,189,5.5
512,1400000US51510201801,39.3,4727,100.0,2142,45.3,2585,54.7,932,19.7
513,1400000US51510201802,40.3,1876,100.0,847,45.1,1029,54.9,469,25.0
514,1400000US51510201900,36.0,1644,100.0,820,49.9,824,50.1,119,7.2
515,1400000US51510202002,38.9,2479,100.0,1144,46.1,1335,53.9,75,3.0
516,1400000US51510200102,31.1,4021,100.0,2059,51.2,1962,48.8,930,23.1
517,1400000US51510200104,28.1,3089,100.0,1554,50.3,1535,49.7,838,27.1
518,1400000US51510200105,34.6,4025,100.0,2101,52.2,1924,47.8,1511,37.5
519,,,,,,,,,,
520,1400000US51510200201,35.9,3416,100.0,1613,47.2,1803,52.8,740,21.7
521,1400000US51510200202,46.8,1538,100.0,741,48.2,797,51.8,72,4.7
522,1400000US51510200302,35.4,3857,100.0,1897,49.2,1960,50.8,785,20.4
523,1400000US51510200303,37.0,4933,100.0,2138,43.3,2795,56.7,1419,28.8
524,,,,,,,,,,
525,,,,,,,,,,
526,,,,,,,,,,
527,,,,,,,,,,
528,,,,,,,,,,
529,1400000US51510200801,42.3,2454,100.0,1189,48.5,1265,51.5,164,6.7
530,1400000US51510200802,33.6,2840,100.0,1350,47.5,1490,52.5,649,22.9
531,1400000US51510201000,37.4,2677,100.0,1101,41.1,1576,58.9,130,4.9
532,1400000US51510201100,38.6,2702,100.0,1318,48.8,1384,51.2,223,8.3
533,1400000US51510201202,32.5,3278,100.0,1629,49.7,1649,50.3,793,24.2
534,1400000US51510201203,27.8,7120,100.0,4005,56.3,3115,43.8,1619,22.7
535,,,,,,,,,,
536,,,,,,,,,,
537,,,,,,,,,,
538,,,,,,,,,,
539,1400000US51610500100,42.4,2288,100.0,1121,49.0,1167,51.0,45,2.0
540,1400000US51610500200,38.3,4704,100.0,2224,47.3,2480,52.7,166,3.5
541,1400000US51059420400,31.4,2513,100.0,1292,51.4,1221,48.6,556,22.1
542,,,,,,,,,,
543,,,,,,,,,,
544,1400000US24031700304,31.8,5376,100.0,2589,48.2,2787,51.8,742,13.8
545,1400000US24031700607,36.1,7957,100.0,3913,49.2,4044,50.8,265,3.3
546,,,,,,,,,,
547,1400000US24031700710,35.6,6310,100.0,3156,50.0,3154,50.0,1042,16.5
548,,,,,,,,,,
549,,,,,,,,,,
550,1400000US24031700815,31.2,6319,100.0,3119,49.4,3200,50.6,1625,25.7
551,,,,,,,,,,
552,,,,,,,,,,
553,1400000US24033803001,34.6,2934,100.0,1372,46.8,1562,53.2,2830,96.5
554,1400000US24033803002,36.2,2947,100.0,1340,45.5,1607,54.5,2862,97.1
555,1400000US24033803100,36.3,2567,100.0,1210,47.1,1357,52.9,2443,95.2
556,1400000US24033803200,27.2,3051,100.0,1368,44.8,1683,55.2,2918,95.6
557,1400000US24033803512,33.6,4146,100.0,1927,46.5,2219,53.5,3760,90.7
558,1400000US24033803519,27.7,4866,100.0,2327,47.8,2539,52.2,3664,75.3
559,,,,,,,,,,
560,1400000US24033803613,31.0,5137,100.0,2457,47.8,2680,52.2,3827,74.5
561,1400000US24033804001,29.8,3949,100.0,1843,46.7,2106,53.3,3260,82.6
562,1400000US24033804400,37.9,2393,100.0,1151,48.1,1242,51.9,1235,51.6
563,1400000US24033804900,36.6,3848,100.0,1730,45.0,2118,55.0,3051,79.3
564,1400000US24033805601,26.9,5669,100.0,3351,59.1,2318,40.9,737,13.0
565,1400000US24033805904,39.8,3069,100.0,1513,49.3,1556,50.7,1138,37.1
566,1400000US24033806200,35.1,3905,100.0,1800,46.1,2105,53.9,1407,36.0
567,1400000US24033806602,30.1,4422,100.0,2198,49.7,2224,50.3,2441,55.2
568,1400000US24033806712,34.0,2807,100.0,1250,44.5,1557,55.5,1514,53.9
569,1400000US24033807304,41.5,1719,100.0,875,50.9,844,49.1,557,32.4
570,,,,,,,,,,
571,,,,,,,,,,
572,,,,,,,,,,
573,,,,,,,,,,
574,1400000US24031700901,41.5,2850,100.0,1239,43.5,1611,56.5,477,16.7
575,1400000US24031701002,39.0,3608,100.0,1966,54.5,1642,45.5,378,10.5
576,1400000US24031701102,36.0,5688,100.0,2922,51.4,2766,48.6,387,6.8
577,1400000US24031701210,45.3,3966,100.0,1966,49.6,2000,50.4,80,2.0
578,1400000US24031701215,40.3,3994,100.0,1755,43.9,2239,56.1,219,5.5
579,1400000US24031701304,41.1,6146,100.0,3072,50.0,3074,50.0,315,5.1
580,1400000US24031701313,35.0,3956,100.0,1928,48.7,2028,51.3,373,9.4
581,1400000US24031701409,41.1,3942,100.0,1943,49.3,1999,50.7,467,11.8
582,,,,,,,,,,
583,,,,,,,,,,
584,,,,,,,,,,
585,1400000US24031701900,31.2,3218,100.0,1643,51.1,1575,48.9,664,20.6
586,1400000US24031702102,37.5,2964,100.0,1492,50.3,1472,49.7,209,7.1
587,1400000US24031702500,36.6,2660,100.0,1201,45.2,1459,54.8,1267,47.6
588,1400000US24031703201,41.2,6870,100.0,3320,48.3,3550,51.7,546,7.9
589,1400000US24031703209,40.4,4885,100.0,2255,46.2,2630,53.8,889,18.2
590,,,,,,,,,,
591,1400000US24031703301,37.4,4253,100.0,2121,49.9,2132,50.1,450,10.6
592,1400000US24031703402,36.3,3271,100.0,1616,49.4,1655,50.6,425,13.0
593,1400000US24031703602,38.2,2696,100.0,1285,47.7,1411,52.3,159,5.9
594,1400000US24031703902,34.9,6222,100.0,3012,48.4,3210,51.6,1315,21.1
595,,,,,,,,,,
596,,,,,,,,,,
597,1400000US24031705300,46.5,1976,100.0,981,49.6,995,50.4,14,0.7
598,1400000US24031705601,39.8,2652,100.0,1216,45.9,1436,54.1,35,1.3
599,1400000US24031705602,46.9,3234,100.0,1319,40.8,1915,59.2,116,3.6
600,1400000US24031705701,42.3,4120,100.0,1914,46.5,2206,53.5,68,1.7
601,1400000US24031705901,45.3,4044,100.0,1927,47.7,2117,52.3,129,3.2
602,,,,,,,,,,
603,1400000US24033800106,35.5,2188,100.0,995,45.5,1193,54.5,785,35.9
604,1400000US24033800209,28.9,4472,100.0,2056,46.0,2416,54.0,2784,62.3
605,,,,,,,,,,
606,1400000US24033800408,38.6,4002,100.0,1940,48.5,2062,51.5,2083,52.0
607,,,,,,,,,,
608,,,,,,,,,,
609,,,,,,,,,,
610,,,,,,,,,,
611,,,,,,,,,,
612,,,,,,,,,,
613,,,,,,,,,,
614,,,,,,,,,,
615,1400000US24033801308,38.4,3712,100.0,1727,46.5,1985,53.5,2828,76.2
616,,,,,,,,,,
617,,,,,,,,,,
618,1400000US24033801702,29.5,3394,100.0,1503,44.3,1891,55.7,3008,88.6
619,1400000US24033801801,31.4,2099,100.0,938,44.7,1161,55.3,1930,91.9
620,1400000US24033801805,35.1,2310,100.0,1107,47.9,1203,52.1,2153,93.2
621,1400000US24033802104,36.2,2095,100.0,933,44.5,1162,55.5,1776,84.8
622,1400000US24033802203,37.4,4791,100.0,2235,46.6,2556,53.4,3995,83.4
623,1400000US24033802406,30.2,2435,100.0,1070,43.9,1365,56.1,2279,93.6
624,1400000US24033802600,33.0,3314,100.0,1564,47.2,1750,52.8,3072,92.7
625,1400000US24031700308,32.2,5616,100.0,2706,48.2,2910,51.8,684,12.2
626,1400000US24031700309,31.1,3939,100.0,1895,48.1,2044,51.9,732,18.6
627,1400000US24031700310,32.1,4200,100.0,2025,48.2,2175,51.8,500,11.9
628,,,,,,,,,,
629,,,,,,,,,,
630,1400000US24031700400,42.7,2034,100.0,1010,49.7,1024,50.3,165,8.1
631,1400000US24031700500,36.5,6440,100.0,3202,49.7,3238,50.3,317,4.9
632,1400000US24031700604,40.2,6378,100.0,3170,49.7,3208,50.3,252,4.0
633,1400000US24031700606,38.9,4554,100.0,2247,49.3,2307,50.7,108,2.4
634,1400000US24031700608,39.4,4958,100.0,2470,49.8,2488,50.2,222,4.5
635,1400000US24031700610,40.3,2106,100.0,1055,50.1,1051,49.9,122,5.8
636,,,,,,,,,,
637,,,,,,,,,,
638,,,,,,,,,,
639,,,,,,,,,,
640,1400000US24031700704,35.4,2936,100.0,1471,50.1,1465,49.9,225,7.7
641,1400000US24031700706,29.8,3269,100.0,1641,50.2,1628,49.8,696,21.3
642,1400000US24031700711,35.2,6086,100.0,2980,49.0,3106,51.0,922,15.1
643,1400000US24031700713,29.8,5115,100.0,2615,51.1,2500,48.9,888,17.4
644,1400000US24031700715,33.2,5685,100.0,2794,49.1,2891,50.9,1007,17.7
645,1400000US24031700716,32.7,7613,100.0,3677,48.3,3936,51.7,1243,16.3
646,,,,,,,,,,
647,,,,,,,,,,
648,,,,,,,,,,
649,,,,,,,,,,
650,,,,,,,,,,
651,,,,,,,,,,
652,1400000US24031700810,35.9,4935,100.0,2372,48.1,2563,51.9,779,15.8
653,1400000US24031700811,34.2,3722,100.0,1737,46.7,1985,53.3,934,25.1
654,1400000US24031700812,39.6,4055,100.0,1872,46.2,2183,53.8,552,13.6
655,1400000US24031700101,40.8,3849,100.0,1935,50.3,1914,49.7,247,6.4
656,1400000US24031700103,39.2,4530,100.0,2275,50.2,2255,49.8,297,6.6
657,,,,,,,,,,
658,1400000US24031700204,39.4,1949,100.0,987,50.6,962,49.4,43,2.2
659,1400000US24031700205,35.8,5196,100.0,2577,49.6,2619,50.4,126,2.4
660,1400000US24031700206,35.2,5430,100.0,2691,49.6,2739,50.4,203,3.7
661,,,,,,,,,,
662,,,,,,,,,,
663,1400000US24031700306,31.5,6161,100.0,3033,49.2,3128,50.8,1107,18.0
664,1400000US24031700813,37.4,5459,100.0,2484,45.5,2975,54.5,911,16.7
665,1400000US24031700816,31.5,7627,100.0,3743,49.1,3884,50.9,1316,17.3
666,1400000US24031700817,32.3,4434,100.0,2138,48.2,2296,51.8,439,9.9
667,1400000US24031700818,29.1,5672,100.0,2808,49.5,2864,50.5,1357,23.9
668,1400000US24031700819,31.8,6151,100.0,2983,48.5,3168,51.5,887,14.4
669,,,,,,,,,,
670,,,,,,,,,,
671,1400000US24033803300,32.4,4619,100.0,2156,46.7,2463,53.3,4376,94.7
672,1400000US24033803401,33.1,1424,100.0,661,46.4,763,53.6,1378,96.8
673,1400000US24033803402,31.0,4744,100.0,2162,45.6,2582,54.4,4583,96.6
674,1400000US24033803508,25.6,5051,100.0,2221,44.0,2830,56.0,4742,93.9
675,1400000US24033803509,25.5,3053,100.0,1441,47.2,1612,52.8,2819,92.3
676,1400000US24033803513,34.5,4262,100.0,1795,42.1,2467,57.9,4033,94.6
677,1400000US24033803514,33.4,2736,100.0,1131,41.3,1605,58.7,2571,94.0
678,1400000US24033803516,34.1,3255,100.0,1472,45.2,1783,54.8,2239,68.8
679,1400000US24033806711,33.5,4158,100.0,1864,44.8,2294,55.2,2330,56.0
680,,,,,,,,,,
681,,,,,,,,,,
682,1400000US24033806800,37.9,3689,100.0,1872,50.7,1817,49.3,444,12.0
683,1400000US24033806900,35.0,3864,100.0,1947,50.4,1917,49.6,612,15.8
684,1400000US24033807000,29.9,4655,100.0,2454,52.7,2201,47.3,800,17.2
685,1400000US24033807102,34.5,2405,100.0,1209,50.3,1196,49.7,404,16.8
686,1400000US24033807200,20.1,11591,100.0,6185,53.4,5406,46.6,1766,15.2
687,1400000US24033807301,28.8,3107,100.0,1667,53.7,1440,46.3,542,17.4
688,1400000US24033807305,32.7,3554,100.0,1753,49.3,1801,50.7,1407,39.6
689,1400000US24033807404,34.3,4758,100.0,2452,51.5,2306,48.5,1035,21.8
690,1400000US24033807407,35.9,4594,100.0,2291,49.9,2303,50.1,1561,34.0
691,1400000US24033807408,37.8,5384,100.0,2573,47.8,2811,52.2,1347,25.0
692,,,,,,,,,,
693,,,,,,,,,,
694,,,,,,,,,,
695,,,,,,,,,,
696,,,,,,,,,,
697,,,,,,,,,,
698,,,,,,,,,,
699,,,,,,,,,,
700,,,,,,,,,,
701,1400000US24033803601,37.3,3497,100.0,1667,47.7,1830,52.3,3268,93.5
702,1400000US24033803602,33.8,1938,100.0,882,45.5,1056,54.5,1871,96.5
703,1400000US24033803605,36.3,6341,100.0,3123,49.3,3218,50.7,3617,57.0
704,1400000US24033803606,37.1,4930,100.0,2472,50.1,2458,49.9,2422,49.1
705,1400000US24033803608,35.8,5475,100.0,2625,47.9,2850,52.1,4091,74.7
706,1400000US24033803610,36.7,3184,100.0,1569,49.3,1615,50.7,1903,59.8
707,1400000US24033803612,30.9,3308,100.0,1533,46.3,1775,53.7,2577,77.9
708,1400000US24033803700,35.3,2153,100.0,1021,47.4,1132,52.6,1286,59.7
709,1400000US24033803801,35.6,2156,100.0,1024,47.5,1132,52.5,1505,69.8
710,1400000US24033803803,31.8,5242,100.0,2548,48.6,2694,51.4,3796,72.4
711,1400000US24033803900,27.8,3922,100.0,2068,52.7,1854,47.3,1765,45.0
712,1400000US24033804002,33.0,3808,100.0,1881,49.4,1927,50.6,2030,53.3
713,1400000US24033804101,32.1,3467,100.0,1713,49.4,1754,50.6,2387,68.8
714,1400000US24033804102,31.4,5260,100.0,2478,47.1,2782,52.9,4315,82.0
715,1400000US24033804200,40.1,3093,100.0,1485,48.0,1608,52.0,1258,40.7
716,1400000US24033804300,29.9,3475,100.0,1701,48.9,1774,51.1,2728,78.5
717,1400000US24033804600,33.4,2862,100.0,1389,48.5,1473,51.5,1517,53.0
718,1400000US24033804700,34.6,3825,100.0,1925,50.3,1900,49.7,1779,46.5
719,,,,,,,,,,
720,,,,,,,,,,
721,1400000US24033805000,32.9,5238,100.0,2327,44.4,2911,55.6,4223,80.6
722,1400000US24033805101,30.1,3389,100.0,1781,52.6,1608,47.4,1687,49.8
723,1400000US24033805201,31.7,3890,100.0,1926,49.5,1964,50.5,2458,63.2
724,1400000US24033805202,32.5,3682,100.0,1772,48.1,1910,51.9,2808,76.3
725,1400000US24033805500,30.8,4201,100.0,2081,49.5,2120,50.5,1968,46.8
726,1400000US24033805602,26.1,5142,100.0,2994,58.2,2148,41.8,1381,26.9
727,1400000US24033805700,30.1,5403,100.0,2719,50.3,2684,49.7,2172,40.2
728,1400000US24033805801,33.7,3841,100.0,1849,48.1,1992,51.9,1795,46.7
729,1400000US24033805802,32.0,3483,100.0,1750,50.2,1733,49.8,1517,43.6
730,,,,,,,,,,
731,,,,,,,,,,
732,,,,,,,,,,
733,,,,,,,,,,
734,1400000US24033806000,33.4,4098,100.0,1991,48.6,2107,51.4,1970,48.1
735,1400000US24033806100,37.9,4417,100.0,1998,45.2,2419,54.8,1566,35.5
736,1400000US24033806300,33.1,1903,100.0,960,50.4,943,49.6,765,40.2
737,1400000US24033806400,40.2,3131,100.0,1565,50.0,1566,50.0,214,6.8
738,1400000US24033806501,28.3,4637,100.0,2477,53.4,2160,46.6,1772,38.2
739,1400000US24033806601,28.1,4294,100.0,2255,52.5,2039,47.5,1906,44.4
740,1400000US24033806706,41.3,3553,100.0,1664,46.8,1889,53.2,1675,47.1
741,1400000US24033806708,36.0,4126,100.0,1977,47.9,2149,52.1,694,16.8
742,1400000US24033806710,34.9,4818,100.0,2293,47.6,2525,52.4,2272,47.2
743,1400000US24033803607,38.3,2994,100.0,1476,49.3,1518,50.7,2084,69.6
744,1400000US24031701417,29.8,4690,100.0,2023,43.1,2667,56.9,2218,47.3
745,,,,,,,,,,
746,1400000US24033807405,39.7,4804,100.0,2327,48.4,2477,51.6,742,15.4
747,1400000US24031704502,44.5,2679,100.0,1287,48.0,1392,52.0,82,3.1
748,,,,,,,,,,
749,,,,,,,,,,
750,,,,,,,,,,
751,,,,,,,,,,
752,1400000US24031700902,35.0,3686,100.0,1796,48.7,1890,51.3,921,25.0
753,1400000US24031700903,32.3,1852,100.0,888,47.9,964,52.1,412,22.2
754,1400000US24031700904,36.8,1772,100.0,809,45.7,963,54.3,128,7.2
755,1400000US24031700905,34.9,3944,100.0,1921,48.7,2023,51.3,136,3.4
756,1400000US24031701001,39.0,5397,100.0,2573,47.7,2824,52.3,365,6.8
757,1400000US24031701004,38.5,4986,100.0,2428,48.7,2558,51.3,461,9.2
758,1400000US24031701005,40.1,2692,100.0,1255,46.6,1437,53.4,135,5.0
759,,,,,,,,,,
760,,,,,,,,,,
761,1400000US24031701101,38.8,4333,100.0,2147,49.5,2186,50.5,278,6.4
762,1400000US24031701201,36.5,5889,100.0,2852,48.4,3037,51.6,347,5.9
763,1400000US24031701202,42.9,2610,100.0,1232,47.2,1378,52.8,29,1.1
764,1400000US24031701205,45.2,5587,100.0,2712,48.5,2875,51.5,84,1.5
765,1400000US24031701206,43.4,6326,100.0,3088,48.8,3238,51.2,165,2.6
766,1400000US24031701211,35.5,3720,100.0,1821,49.0,1899,51.0,425,11.4
767,1400000US24031701212,41.4,2801,100.0,1419,50.7,1382,49.3,164,5.9
768,1400000US24031701213,42.2,5030,100.0,2234,44.4,2796,55.6,142,2.8
769,1400000US24031701214,34.8,1823,100.0,812,44.5,1011,55.5,48,2.6
770,,,,,,,,,,
771,,,,,,,,,,
772,,,,,,,,,,
773,,,,,,,,,,
774,,,,,,,,,,
775,1400000US24031701303,46.1,3758,100.0,1845,49.1,1913,50.9,171,4.6
776,1400000US24031701306,38.9,2958,100.0,1454,49.2,1504,50.8,160,5.4
777,1400000US24031701307,38.8,2667,100.0,1291,48.4,1376,51.6,226,8.5
778,1400000US24031701308,42.2,2379,100.0,1162,48.8,1217,51.2,274,11.5
779,1400000US24031701312,37.4,6192,100.0,2981,48.1,3211,51.9,482,7.8
780,,,,,,,,,,
781,,,,,,,,,,
782,,,,,,,,,,
783,,,,,,,,,,
784,1400000US24031701408,41.0,5456,100.0,2717,49.8,2739,50.2,710,13.0
785,1400000US24031701410,33.4,6780,100.0,3192,47.1,3588,52.9,2246,33.1
786,1400000US24031701414,36.8,7197,100.0,3354,46.6,3843,53.4,2303,32.0
787,1400000US24031701415,39.4,7588,100.0,3640,48.0,3948,52.0,2406,31.7
788,,,,,,,,,,
789,,,,,,,,,,
790,,,,,,,,,,
791,,,,,,,,,,
792,1400000US24031701503,42.0,6378,100.0,3066,48.1,3312,51.9,1349,21.2
793,1400000US24031701505,35.9,6483,100.0,3023,46.6,3460,53.4,2436,37.6
794,1400000US24031701506,42.7,4914,100.0,2370,48.2,2544,51.8,860,17.5
795,1400000US24031701507,43.4,5204,100.0,2518,48.4,2686,51.6,952,18.3
796,,,,,,,,,,
797,,,,,,,,,,
798,1400000US24031701701,37.2,3630,100.0,1690,46.6,1940,53.4,871,24.0
799,1400000US24031701702,29.8,2680,100.0,1273,47.5,1407,52.5,1016,37.9
800,1400000US24031701703,35.2,3395,100.0,1676,49.4,1719,50.6,1250,36.8
801,1400000US24031701704,37.7,2702,100.0,1269,47.0,1433,53.0,948,35.1
802,1400000US24031701800,37.2,4850,100.0,2232,46.0,2618,54.0,1762,36.3
803,1400000US24031702000,29.8,5275,100.0,2688,51.0,2587,49.0,1361,25.8
804,1400000US24031702101,32.7,5438,100.0,2653,48.8,2785,51.2,2225,40.9
805,1400000US24031701407,41.0,5627,100.0,2788,49.5,2839,50.5,1073,19.1
806,1400000US24031702200,37.0,4157,100.0,2010,48.4,2147,51.6,614,14.8
807,1400000US24031702301,31.3,3783,100.0,1860,49.2,1923,50.8,1283,33.9
808,1400000US24031702302,35.4,4099,100.0,1939,47.3,2160,52.7,1003,24.5
809,1400000US24031702401,38.7,2543,100.0,1257,49.4,1286,50.6,433,17.0
810,1400000US24031702402,34.5,4582,100.0,2193,47.9,2389,52.1,1749,38.2
811,1400000US24031702601,34.2,4242,100.0,1869,44.1,2373,55.9,2064,48.7
812,1400000US24031702602,30.5,4558,100.0,2077,45.6,2481,54.4,1686,37.0
813,1400000US24031702700,34.2,6607,100.0,3224,48.8,3383,51.2,1803,27.3
814,1400000US24031702800,37.5,4545,100.0,2071,45.6,2474,54.4,1324,29.1
815,1400000US24031702900,42.5,5088,100.0,2419,47.5,2669,52.5,870,17.1
816,1400000US24031703000,38.0,1682,100.0,832,49.5,850,50.5,193,11.5
817,1400000US24031703100,36.9,4350,100.0,2125,48.9,2225,51.1,547,12.6
818,1400000US24031703202,44.4,5280,100.0,2501,47.4,2779,52.6,324,6.1
819,1400000US24031703206,41.3,3513,100.0,1745,49.7,1768,50.3,527,15.0
820,1400000US24031703207,31.9,5309,100.0,2626,49.5,2683,50.5,1442,27.2
821,1400000US24031703208,44.3,5181,100.0,2527,48.8,2654,51.2,817,15.8
822,1400000US24031703210,39.8,3092,100.0,1485,48.0,1607,52.0,610,19.7
823,1400000US24031703212,38.2,7548,100.0,3600,47.7,3948,52.3,2056,27.2
824,1400000US24031703213,30.2,5463,100.0,2502,45.8,2961,54.2,2231,40.8
825,1400000US24031703214,30.6,6699,100.0,3192,47.6,3507,52.4,2408,35.9
826,1400000US24031703215,35.5,2997,100.0,1401,46.7,1596,53.3,957,31.9
827,,,,,,,,,,
828,,,,,,,,,,
829,,,,,,,,,,
830,,,,,,,,,,
831,1400000US24031703302,37.0,3689,100.0,1871,50.7,1818,49.3,391,10.6
832,1400000US24031703401,37.6,4764,100.0,2358,49.5,2406,50.5,541,11.4
833,1400000US24031703403,35.1,3290,100.0,1586,48.2,1704,51.8,425,12.9
834,1400000US24031703404,32.0,2904,100.0,1473,50.7,1431,49.3,649,22.3
835,1400000US24031703501,32.8,6192,100.0,3039,49.1,3153,50.9,1155,18.7
836,1400000US24031703502,41.3,2942,100.0,1416,48.1,1526,51.9,445,15.1
837,1400000US24031703601,39.1,4236,100.0,1982,46.8,2254,53.2,538,12.7
838,1400000US24031703701,34.3,3609,100.0,1787,49.5,1822,50.5,544,15.1
839,1400000US24031703702,35.2,3715,100.0,1869,50.3,1846,49.7,519,14.0
840,1400000US24031703800,34.0,2070,100.0,1081,52.2,989,47.8,364,17.6
841,1400000US24031703901,39.5,2838,100.0,1336,47.1,1502,52.9,435,15.3
842,1400000US24031704000,37.7,6059,100.0,2806,46.3,3253,53.7,1174,19.4
843,1400000US24031704100,44.8,4553,100.0,2123,46.6,2430,53.4,150,3.3
844,1400000US24031704200,41.7,1873,100.0,879,46.9,994,53.1,47,2.5
845,1400000US24031704300,39.5,3390,100.0,1624,47.9,1766,52.1,28,0.8
846,1400000US24031704401,41.7,3059,100.0,1482,48.4,1577,51.6,187,6.1
847,,,,,,,,,,
848,1400000US24031704501,41.9,3464,100.0,1655,47.8,1809,52.2,152,4.4
849,1400000US24031704503,38.3,3491,100.0,1679,48.1,1812,51.9,98,2.8
850,1400000US24031704600,39.4,4987,100.0,2275,45.6,2712,54.4,93,1.9
851,1400000US24031704700,40.9,3792,100.0,1839,48.5,1953,51.5,46,1.2
852,,,,,,,,,,
853,,,,,,,,,,
854,,,,,,,,,,
855,1400000US24031705000,38.5,4616,100.0,2234,48.4,2382,51.6,218,4.7
856,1400000US24031705100,45.4,5000,100.0,2296,45.9,2704,54.1,194,3.9
857,1400000US24031705200,45.2,3138,100.0,1502,47.9,1636,52.1,102,3.3
858,1400000US24031705400,43.1,2726,100.0,1263,46.3,1463,53.7,24,0.9
859,,,,,,,,,,
860,,,,,,,,,,
861,1400000US24031705702,47.6,4560,100.0,2101,46.1,2459,53.9,39,0.9
862,1400000US24031705800,43.2,5778,100.0,2834,49.0,2944,51.0,133,2.3
863,1400000US24031705902,45.4,4137,100.0,1933,46.7,2204,53.3,114,2.8
864,1400000US24031705903,44.8,4284,100.0,2050,47.9,2234,52.1,79,1.8
865,1400000US24031706005,46.4,4445,100.0,2158,48.5,2287,51.5,151,3.4
866,1400000US24031706007,43.7,7190,100.0,3421,47.6,3769,52.4,212,2.9
867,1400000US24031706008,43.0,5355,100.0,2609,48.7,2746,51.3,126,2.4
868,1400000US24031706009,42.3,5607,100.0,2747,49.0,2860,51.0,196,3.5
869,,,,,,,,,,
870,,,,,,,,,,
871,,,,,,,,,,
872,1400000US24033800102,37.7,2714,100.0,1274,46.9,1440,53.1,526,19.4
873,1400000US24033800103,32.5,1898,100.0,1029,54.2,869,45.8,560,29.5
874,1400000US24033800105,34.3,3111,100.0,1426,45.8,1685,54.2,1187,38.2
875,,,,,,,,,,
876,,,,,,,,,,
877,1400000US24033800203,41.8,4083,100.0,2012,49.3,2071,50.7,381,9.3
878,1400000US24033800206,31.3,3797,100.0,1805,47.5,1992,52.5,2258,59.5
879,1400000US24033800208,35.3,6120,100.0,3007,49.1,3113,50.9,2413,39.4
880,1400000US24033800210,28.8,2919,100.0,1367,46.8,1552,53.2,1764,60.4
881,1400000US24033800211,31.9,2881,100.0,1338,46.4,1543,53.6,1336,46.4
882,,,,,,,,,,
