OBJECTID,GEO.id,dec_ma,dec_tp,dec_tpp,dec_mp,dec_mpp,dec_fp,dec_fpp,dec_aap,dec_aapp
76,,,,,,,,,,
77,1400000US11001000202,32.9,3850,100.0,1912,49.7,1938,50.3,61,1.6
78,1400000US11001000300,30.4,5706,100.0,2649,46.4,3057,53.6,175,3.1
79,1400000US11001000501,32.5,2765,100.0,1171,42.4,1594,57.6,134,4.8
80,1400000US11001000502,38.0,3112,100.0,1393,44.8,1719,55.2,83,2.7
81,1400000US11001000600,45.6,4919,100.0,2075,42.2,2844,57.8,630,12.8
82,1400000US11001000701,44.5,4395,100.0,1782,40.5,2613,59.5,159,3.6
83,1400000US11001000802,34.3,2806,100.0,1370,48.8,1436,51.2,93,3.3
84,1400000US11001000901,21.4,7208,100.0,3131,43.4,4077,56.6,408,5.7
85,1400000US11001000902,41.8,1973,100.0,917,46.5,1056,53.5,96,4.9
86,1400000US11001001001,40.5,6062,100.0,2815,46.4,3247,53.6,195,3.2
87,1400000US11001001100,42.4,4428,100.0,1925,43.5,2503,56.5,252,5.7
88,1400000US11001001200,37.4,4856,100.0,2182,44.9,2674,55.1,281,5.8
89,1400000US11001001301,38.8,3747,100.0,1716,45.8,2031,54.2,270,7.2
90,1400000US11001001302,38.3,6294,100.0,2582,41.0,3712,59.0,374,5.9
91,1400000US11001001402,54.5,3925,100.0,2279,58.1,1646,41.9,555,14.1
92,1400000US11001001500,44.8,5649,100.0,2664,47.2,2985,52.8,633,11.2
93,1400000US11001001600,48.2,4030,100.0,1871,46.4,2159,53.6,2919,72.4
94,1400000US11001001803,37.1,3066,100.0,1417,46.2,1649,53.8,2146,70.0
95,1400000US11001001804,36.7,4156,100.0,1900,45.7,2256,54.3,2995,72.1
96,1400000US11001001901,42.6,3949,100.0,1734,43.9,2215,56.1,3586,90.8
97,1400000US11001002001,38.7,2435,100.0,1176,48.3,1259,51.7,1510,62.0
98,1400000US11001002002,39.4,3781,100.0,1782,47.1,1999,52.9,2785,73.7
99,1400000US11001002101,36.2,5233,100.0,2504,47.9,2729,52.1,4241,81.0
100,1400000US11001002102,41.2,4631,100.0,2094,45.2,2537,54.8,4162,89.9
101,1400000US11001002202,39.0,3013,100.0,1316,43.7,1697,56.3,2702,89.7
102,1400000US11001002301,40.4,2995,100.0,1336,44.6,1659,55.4,2639,88.1
103,1400000US11001002302,31.8,1345,100.0,582,43.3,763,56.7,848,63.0
104,1400000US11001002400,39.4,3580,100.0,1736,48.5,1844,51.5,2966,82.8
105,1400000US11001002502,32.7,5486,100.0,2765,50.4,2721,49.6,3087,56.3
106,1400000US11001002600,46.6,2184,100.0,994,45.5,1190,54.5,1344,61.5
107,1400000US11001002701,32.2,5742,100.0,2914,50.7,2828,49.3,1737,30.3
108,1400000US11001002702,32.6,6052,100.0,3298,54.5,2754,45.5,1214,20.1
109,1400000US11001002802,30.7,4700,100.0,2497,53.1,2203,46.9,1524,32.4
110,1400000US11001003000,29.3,2829,100.0,1383,48.9,1446,51.1,1930,68.2
111,1400000US11001003100,32.6,2755,100.0,1353,49.1,1402,50.9,1839,66.8
112,1400000US11001003200,35.4,4480,100.0,2138,47.7,2342,52.3,3676,82.1
113,1400000US11001003302,37.7,1830,100.0,903,49.3,927,50.7,1675,91.5
114,1400000US11001003400,21.2,4249,100.0,1874,44.1,2375,55.9,3903,91.9
115,1400000US11001003500,22.8,3498,100.0,1553,44.4,1945,55.6,2936,83.9
116,1400000US11001003700,26.5,4990,100.0,2380,47.7,2610,52.3,2839,56.9
117,1400000US11001003800,32.5,4718,100.0,2551,54.1,2167,45.9,1511,32.0
118,1400000US11001003900,32.6,4643,100.0,2340,50.4,2303,49.6,916,19.7
119,1400000US11001004001,35.5,3474,100.0,1750,50.4,1724,49.6,182,5.2
120,1400000US11001004100,42.8,2570,100.0,1238,48.2,1332,51.8,98,3.8
121,1400000US11001004201,32.1,3392,100.0,1935,57.0,1457,43.0,482,14.2
