OBJECTID,GEO.id,acs_ma,acs_tp,acs_tpp,acs_mp,acs_mpp,acs_fp,acs_fpp,acs_aap,acs_aapp
66,1400000US11001009509,50.5,2754,2754,1238,45.0,1516,55.0,2442,88.7
67,1400000US11001009602,26.7,3017,3017,1144,37.9,1873,62.1,2973,98.5
68,1400000US11001009603,35.6,3273,3273,1435,43.8,1838,56.2,3232,98.7
69,1400000US11001009604,41.6,2022,2022,660,32.6,1362,67.4,2011,99.5
70,1400000US11001009700,27.8,2403,2403,978,40.7,1425,59.3,2393,99.6
71,1400000US11001009802,28.5,1169,1169,469,40.1,700,59.9,1151,98.5
72,1400000US11001009807,41.4,3232,3232,1564,48.4,1668,51.6,3189,98.7
73,1400000US11001009904,31.1,1618,1618,770,47.6,848,52.4,1580,97.7
74,1400000US11001009906,37.5,1670,1670,892,53.4,778,46.6,1562,93.5
75,1400000US11001010500,35.2,4230,4230,2328,55.0,1902,45.0,2011,47.5
76,1400000US11001010800,19.7,6818,6818,2723,39.9,4095,60.1,637,9.3
77,1400000US11001000202,27.8,4553,4553,2214,48.6,2339,51.4,88,1.9
78,1400000US11001000300,30.3,5664,5664,2851,50.3,2813,49.7,106,1.9
79,1400000US11001000501,30.5,3388,3388,1358,40.1,2030,59.9,85,2.5
80,1400000US11001000502,39.5,3241,3241,1426,44.0,1815,56.0,124,3.8
81,1400000US11001000600,48.2,4777,4777,2141,44.8,2636,55.2,388,8.1
82,1400000US11001000701,49.3,4585,4585,1971,43.0,2614,57.0,249,5.4
83,1400000US11001000802,41.1,2595,2595,1275,49.1,1320,50.9,77,3.0
84,1400000US11001000901,19.8,7789,7789,3417,43.9,4372,56.1,268,3.4
85,1400000US11001000902,41.6,2228,2228,1083,48.6,1145,51.4,22,1.0
86,1400000US11001001001,36.4,8039,8039,3626,45.1,4413,54.9,264,3.3
87,1400000US11001001100,42.0,4247,4247,2022,47.6,2225,52.4,74,1.7
88,1400000US11001001200,35.0,5002,5002,2183,43.6,2819,56.4,154,3.1
89,1400000US11001001301,37.0,4410,4410,2194,49.8,2216,50.2,494,11.2
90,1400000US11001001302,34.4,7012,7012,3044,43.4,3968,56.6,288,4.1
91,1400000US11001001402,46.7,2958,2958,1411,47.7,1547,52.3,632,21.4
92,1400000US11001001500,46.4,5692,5692,2722,47.8,2970,52.2,716,12.6
93,1400000US11001001600,47.4,4448,4448,2083,46.8,2365,53.2,3202,72.0
94,1400000US11001001803,44.0,2965,2965,1376,46.4,1589,53.6,2272,76.6
95,1400000US11001001804,37.1,4809,4809,2338,48.6,2471,51.4,2913,60.6
96,1400000US11001001901,42.6,4197,4197,1746,41.6,2451,58.4,3464,82.5
97,1400000US11001002001,39.4,2668,2668,1264,47.4,1404,52.6,1290,48.4
98,1400000US11001002002,43.9,3604,3604,1530,42.5,2074,57.5,2135,59.2
99,1400000US11001002101,36.2,4735,4735,2299,48.6,2436,51.4,3016,63.7
100,1400000US11001002102,39.2,4331,4331,1686,38.9,2645,61.1,3209,74.1
101,1400000US11001002202,41.1,2930,2930,1279,43.7,1651,56.3,2411,82.3
102,1400000US11001002301,40.7,2998,2998,1617,53.9,1381,46.1,2357,78.6
103,1400000US11001002302,55.8,1945,1945,1266,65.1,679,34.9,1218,62.6
104,1400000US11001002400,39.6,3771,3771,1990,52.8,1781,47.2,2839,75.3
105,1400000US11001002502,34.6,4872,4872,2330,47.8,2542,52.2,2104,43.2
106,1400000US11001002600,48.6,2276,2276,1032,45.3,1244,54.7,858,37.7
107,1400000US11001002701,32.2,5414,5414,2853,52.7,2561,47.3,1114,20.6
108,1400000US11001002702,34.0,5103,5103,2544,49.9,2559,50.1,819,16.0
109,1400000US11001002802,31.0,3999,3999,2003,50.1,1996,49.9,1309,32.7
110,1400000US11001003000,30.8,3029,3029,1385,45.7,1644,54.3,1488,49.1
111,1400000US11001003100,31.3,2878,2878,1658,57.6,1220,42.4,1126,39.1
112,1400000US11001003200,34.1,4473,4473,2035,45.5,2438,54.5,2698,60.3
113,1400000US11001003302,33.6,2198,2198,1139,51.8,1059,48.2,1347,61.3
114,1400000US11001003400,20.3,4832,4832,1803,37.3,3029,62.7,3837,79.4
115,1400000US11001003500,29.1,2518,2518,1425,56.6,1093,43.4,1748,69.4
116,1400000US11001003700,27.7,5119,5119,2246,43.9,2873,56.1,2795,54.6
117,1400000US11001003800,35.1,4074,4074,2412,59.2,1662,40.8,926,22.7
118,1400000US11001003900,34.8,4476,4476,2186,48.8,2290,51.2,797,17.8
119,1400000US11001004001,37.8,3250,3250,1647,50.7,1603,49.3,41,1.3
120,1400000US11001004100,42.7,2708,2708,1281,47.3,1427,52.7,52,1.9
121,1400000US11001004201,31.3,3536,3536,2037,57.6,1499,42.4,420,11.9
122,1400000US11001004300,35.6,2864,2864,1400,48.9,1464,51.1,803,28.0
123,1400000US11001004400,33.2,4478,4478,2300,51.4,2178,48.6,1324,29.6
124,1400000US11001004600,35.6,2383,2383,1058,44.4,1325,55.6,1688,70.8
125,1400000US11001004701,23.8,3841,3841,1599,41.6,2242,58.4,3387,88.2
126,1400000US11001004801,39.3,1760,1760,847,48.1,913,51.9,876,49.8
127,1400000US11001004802,34.3,3061,3061,1406,45.9,1655,54.1,1856,60.6
128,1400000US11001004902,29.9,2625,2625,1451,55.3,1174,44.7,842,32.1
129,1400000US11001005001,37.5,1576,1576,1081,68.6,495,31.4,459,29.1
130,1400000US11001005002,34.4,5820,5820,3323,57.1,2497,42.9,1184,20.3
131,1400000US11001005201,34.5,5203,5203,3069,59.0,2134,41.0,678,13.0
132,1400000US11001005301,35.6,5981,5981,3083,51.5,2898,48.5,945,15.8
133,1400000US11001005500,34.8,6065,6065,3094,51.0,2971,49.0,468,7.7
134,1400000US11001005800,32.8,2675,2675,1303,48.7,1372,51.3,161,6.0
135,1400000US11001005900,35.3,3956,3956,2341,59.2,1615,40.8,1547,39.1
136,1400000US11001006202,-,0,0,0,-,0,-,0,-
137,1400000US11001006500,33.3,2550,2550,1070,42.0,1480,58.0,80,3.1
138,1400000US11001006600,34.3,1860,1860,836,44.9,1024,55.1,0,0.0
139,1400000US11001006700,37.7,4032,4032,1948,48.3,2084,51.7,565,14.0
140,1400000US11001006802,37.3,2128,2128,962,45.2,1166,54.8,1262,59.3
141,1400000US11001006804,34.1,2496,2496,2063,82.7,433,17.3,2275,91.1
142,1400000US11001006900,34.4,2227,2227,1078,48.4,1149,51.6,760,34.1
143,1400000US11001007000,33.8,2248,2248,1117,49.7,1131,50.3,253,11.3
144,1400000US11001007200,34.7,1201,1201,554,46.1,647,53.9,683,56.9
145,1400000US11001007301,24.9,2664,2664,1495,56.1,1169,43.9,561,21.1
146,1400000US11001007304,29.4,3562,3562,1563,43.9,1999,56.1,3533,99.2
147,1400000US11001007401,23.6,2242,2242,990,44.2,1252,55.8,2106,93.9
148,1400000US11001007404,19.0,3322,3322,1406,42.3,1916,57.7,3284,98.9
149,1400000US11001007406,21.5,3173,3173,1322,41.7,1851,58.3,3173,100.0
150,1400000US11001009301,41.8,3485,3485,1608,46.1,1877,53.9,2489,71.4
151,1400000US11001009400,45.3,3982,3982,1775,44.6,2207,55.4,3457,86.8
152,1400000US11001009501,20.8,6360,6360,3533,55.6,2827,44.4,3377,53.1
153,1400000US11001009503,51.2,2830,2830,1301,46.0,1529,54.0,2291,81.0
154,1400000US11001009505,47.2,2677,2677,1094,40.9,1583,59.1,2354,87.9
155,1400000US11001009507,46.2,1901,1901,839,44.1,1062,55.9,1729,91.0
156,1400000US11001009508,46.6,3024,3024,1337,44.2,1687,55.8,2707,89.5
157,1400000US11001009601,17.9,2927,2927,956,32.7,1971,67.3,2915,99.6
158,1400000US11001009801,19.7,1529,1529,742,48.5,787,51.5,1504,98.4
159,1400000US11001009803,28.4,2374,2374,994,41.9,1380,58.1,2326,98.0
160,1400000US11001009804,26.0,2900,2900,1268,43.7,1632,56.3,2722,93.9
161,1400000US11001009810,26.2,2328,2328,1033,44.4,1295,55.6,2186,93.9
162,1400000US11001009811,25.6,3530,3530,1238,35.1,2292,64.9,3505,99.3
163,1400000US11001009901,52.4,2017,2017,890,44.1,1127,55.9,1832,90.8
164,1400000US11001009902,45.7,2773,2773,1117,40.3,1656,59.7,2615,94.3
165,1400000US11001009903,39.2,1384,1384,684,49.4,700,50.6,1363,98.5
166,1400000US11001009905,33.6,2668,2668,1228,46.0,1440,54.0,2591,97.1
167,1400000US11001009907,26.8,2587,2587,910,35.2,1677,64.8,2504,96.8
168,1400000US11001010100,31.9,2115,2115,1031,48.7,1084,51.3,416,19.7
169,1400000US11001010200,42.9,2661,2661,1060,39.8,1601,60.2,1136,42.7
170,1400000US11001010300,36.3,3163,3163,1630,51.5,1533,48.5,1905,60.2
171,1400000US11001010400,36.8,4594,4594,2506,54.5,2088,45.5,4297,93.5
172,1400000US11001010600,34.1,3637,3637,2041,56.1,1596,43.9,1993,54.8
173,1400000US11001010700,27.1,1881,1881,773,41.1,1108,58.9,275,14.6
174,1400000US11001010900,22.7,3200,3200,1360,42.5,1840,57.5,3110,97.2
175,1400000US11001011000,45.9,4528,4528,2112,46.6,2416,53.4,1992,44.0
176,1400000US11001011100,47.0,4299,4299,1971,45.8,2328,54.2,3688,85.8
177,1400000US11001001902,46.5,2121,2121,949,44.7,1172,55.3,1689,79.6
178,1400000US11001008100,30.9,3440,3440,1672,48.6,1768,51.4,667,19.4
179,1400000US11001000801,43.1,6286,6286,2784,44.3,3502,55.7,141,2.2
180,1400000US51059415100,35.8,3449,3449,1639,47.5,1810,52.5,421,12.2
181,1400000US51059415401,30.4,4623,4623,2095,45.3,2528,54.7,1786,38.6
182,1400000US51059416000,34.9,5309,5309,2468,46.5,2841,53.5,819,15.4
183,1400000US51059420100,38.5,4069,4069,2126,52.2,1943,47.8,511,12.6
184,1400000US51059420800,36.4,3660,3660,1971,53.9,1689,46.1,358,9.8
185,1400000US51059421200,43.4,1856,1856,949,51.1,907,48.9,156,8.4
186,1400000US51059421600,31.9,5838,5838,2810,48.1,3028,51.9,2447,41.9
187,1400000US51059421800,32.9,5330,5330,2484,46.6,2846,53.4,1952,36.6
188,1400000US51059422301,38.9,2741,2741,1397,51.0,1344,49.0,315,11.5
189,1400000US51059422401,37.8,1948,1948,889,45.6,1059,54.4,280,14.4
190,1400000US51059430203,40.5,2774,2774,1319,47.5,1455,52.5,67,2.4
191,1400000US51059430500,38.8,1680,1680,758,45.1,922,54.9,55,3.3
192,1400000US51059430901,38.4,4413,4413,2031,46.0,2382,54.0,506,11.5
193,1400000US51059431801,37.7,4157,4157,2044,49.2,2113,50.8,147,3.5
194,1400000US51059431900,37.9,3335,3335,1709,51.2,1626,48.8,228,6.8
195,1400000US51059432300,41.0,5267,5267,2622,49.8,2645,50.2,262,5.0
196,1400000US51059432702,38.3,4227,4227,2242,53.0,1985,47.0,582,13.8
197,1400000US51059440600,38.2,3099,3099,1460,47.1,1639,52.9,170,5.5
198,1400000US51059450200,32.7,3940,3940,1987,50.4,1953,49.6,295,7.5
199,1400000US51059450500,37.2,2702,2702,1372,50.8,1330,49.2,59,2.2
200,1400000US51059450702,30.9,3963,3963,2104,53.1,1859,46.9,663,16.7
201,1400000US51059451300,41.0,2210,2210,1139,51.5,1071,48.5,60,2.7
202,1400000US51059451900,33.2,5865,5865,2712,46.2,3153,53.8,1563,26.6
203,1400000US51059452102,43.0,2970,2970,1359,45.8,1611,54.2,455,15.3
204,1400000US51059452502,33.6,4847,4847,2446,50.5,2401,49.5,2412,49.8
205,1400000US51059452802,44.7,2884,2884,1305,45.2,1579,54.8,501,17.4
206,1400000US51059460200,43.2,3994,3994,1897,47.5,2097,52.5,41,1.0
207,1400000US51059460300,43.4,2808,2808,1444,51.4,1364,48.6,25,0.9
208,1400000US51059460600,45.0,4175,4175,2063,49.4,2112,50.6,46,1.1
209,1400000US51059461000,39.6,2168,2168,1021,47.1,1147,52.9,113,5.2
210,1400000US51059461601,36.1,5950,5950,3065,51.5,2885,48.5,224,3.8
211,1400000US51059461901,32.9,3734,3734,1838,49.2,1896,50.8,868,23.2
212,1400000US51059470600,49.3,2850,2850,1338,46.9,1512,53.1,0,0.0
213,1400000US51059471000,39.8,1912,1912,903,47.2,1009,52.8,10,0.5
214,1400000US51059471303,34.2,3683,3683,1691,45.9,1992,54.1,91,2.5
215,1400000US51059480202,30.8,2122,2122,1051,49.5,1071,50.5,86,4.1
216,1400000US51059480501,38.9,3635,3635,1904,52.4,1731,47.6,66,1.8
217,1400000US51059480802,40.0,4028,4028,2135,53.0,1893,47.0,133,3.3
218,1400000US51059481000,32.4,4042,4042,2180,53.9,1862,46.1,271,6.7
219,1400000US51059481104,30.8,2559,2559,1307,51.1,1252,48.9,160,6.3
220,1400000US51059481701,44.5,6230,6230,3249,52.2,2981,47.8,240,3.9
221,1400000US51059482301,43.0,4172,4172,2109,50.6,2063,49.4,273,6.5
222,1400000US51059482502,40.1,3127,3127,1641,52.5,1486,47.5,57,1.8
223,1400000US51059490501,33.3,3171,3171,1730,54.6,1441,45.4,136,4.3
224,1400000US51059491202,28.6,1439,1439,858,59.6,581,40.4,161,11.2
225,1400000US51059491401,32.9,4529,4529,2056,45.4,2473,54.6,473,10.4
226,1400000US51059491501,33.3,6346,6346,2896,45.6,3450,54.4,683,10.8
227,1400000US51059491703,29.5,4300,4300,2310,53.7,1990,46.3,172,4.0
228,1400000US51059491801,30.2,2447,2447,1408,57.5,1039,42.5,106,4.3
229,1400000US51059492202,44.0,6783,6783,3310,48.8,3473,51.2,290,4.3
230,1400000US51059980100,-,0,0,0,-,0,-,0,-
231,1400000US51013100100,38.4,4504,4504,2460,54.6,2044,45.4,116,2.6
232,1400000US51013100400,47.3,3350,3350,1671,49.9,1679,50.1,0,0.0
233,1400000US51013100800,31.6,1444,1444,761,52.7,683,47.3,430,29.8
234,1400000US51013101401,28.0,1244,1244,613,49.3,631,50.7,77,6.2
235,1400000US51013101602,31.3,1408,1408,617,43.8,791,56.2,57,4.0
236,1400000US51013101703,35.2,2458,2458,1347,54.8,1111,45.2,99,4.0
237,1400000US51013101900,37.5,2453,2453,992,40.4,1461,59.6,35,1.4
238,1400000US51013102301,35.5,1329,1329,625,47.0,704,53.0,0,0.0
239,1400000US51013102702,34.1,1415,1415,817,57.7,598,42.3,154,10.9
240,1400000US51013102902,34.7,4080,4080,1896,46.5,2184,53.5,226,5.5
241,1400000US51013103402,37.9,3864,3864,1798,46.5,2066,53.5,627,16.2
242,1400000US51013103602,26.7,1088,1088,410,37.7,678,62.3,6,0.6
243,1400000US51510200103,34.0,7367,7367,3423,46.5,3944,53.5,3132,42.5
244,1400000US51510200107,31.4,5089,5089,2329,45.8,2760,54.2,724,14.2
245,1400000US51510200301,30.8,2745,2745,1275,46.4,1470,53.6,821,29.9
246,1400000US51510200405,31.9,6658,6658,2922,43.9,3736,56.1,2535,38.1
247,1400000US51510200500,31.8,4207,4207,2010,47.8,2197,52.2,1707,40.6
248,1400000US51510200600,36.3,4607,4607,2188,47.5,2419,52.5,1288,28.0
249,1400000US51510200701,30.0,746,746,366,49.1,380,50.9,30,4.0
250,1400000US51510200702,35.4,3013,3013,1652,54.8,1361,45.2,267,8.9
251,1400000US51510200900,37.8,4923,4923,2299,46.7,2624,53.3,37,0.8
252,1400000US51510201204,35.3,2685,2685,1462,54.5,1223,45.5,867,32.3
253,1400000US51510201600,35.1,4641,4641,2136,46.0,2505,54.0,1791,38.6
254,1400000US51510202001,48.5,1961,1961,954,48.6,1007,51.4,19,1.0
255,,,,,,,,,,
256,1400000US51610500300,41.2,3490,3490,1763,50.5,1727,49.5,12,0.3
257,1400000US51059415200,44.9,3110,3110,1347,43.3,1763,56.7,48,1.5
258,1400000US51059415300,38.1,4087,4087,1862,45.6,2225,54.4,607,14.9
259,1400000US51059415402,45.0,2562,2562,1216,47.5,1346,52.5,253,9.9
260,1400000US51059415500,42.2,5821,5821,2712,46.6,3109,53.4,1176,20.2
261,1400000US51059415600,47.4,2634,2634,1325,50.3,1309,49.7,34,1.3
262,1400000US51059415700,42.4,3722,3722,1808,48.6,1914,51.4,40,1.1
263,1400000US51059415800,45.3,4559,4559,2329,51.1,2230,48.9,94,2.1
264,1400000US51059415900,46.5,2948,2948,1471,49.9,1477,50.1,211,7.2
265,1400000US51059416100,48.4,3496,3496,1707,48.8,1789,51.2,138,3.9
266,1400000US51059416200,20.7,4430,4430,2271,51.3,2159,48.7,990,22.3
267,1400000US51059416300,41.2,2245,2245,1183,52.7,1062,47.3,390,17.4
268,1400000US51059420201,38.6,3644,3644,1719,47.2,1925,52.8,561,15.4
269,1400000US51059420202,30.9,1875,1875,953,50.8,922,49.2,287,15.3
270,1400000US51059420203,44.1,2566,2566,1394,54.3,1172,45.7,326,12.7
271,1400000US51059420300,39.9,6029,6029,3317,55.0,2712,45.0,705,11.7
272,1400000US51059420501,58.0,1385,1385,667,48.2,718,51.8,142,10.3
273,1400000US51059420502,38.6,1368,1368,794,58.0,574,42.0,320,23.4
274,1400000US51059420503,30.9,2797,2797,1733,62.0,1064,38.0,462,16.5
275,1400000US51059420600,33.6,4239,4239,2347,55.4,1892,44.6,783,18.5
276,1400000US51059420700,39.3,3961,3961,2036,51.4,1925,48.6,226,5.7
277,1400000US51059421001,38.4,2889,2889,1441,49.9,1448,50.1,301,10.4
278,1400000US51059421002,35.4,4994,4994,2604,52.1,2390,47.9,1012,20.3
279,1400000US51059421101,36.2,5589,5589,2731,48.9,2858,51.1,1015,18.2
280,1400000US51059421102,36.7,3509,3509,1536,43.8,1973,56.2,250,7.1
281,1400000US51059421103,39.1,5300,5300,2426,45.8,2874,54.2,703,13.3
282,1400000US51059421300,39.5,3752,3752,1937,51.6,1815,48.4,526,14.0
283,1400000US51059421400,30.0,5870,5870,2693,45.9,3177,54.1,2117,36.1
284,1400000US51059421500,32.7,6640,6640,3337,50.3,3303,49.7,1587,23.9
285,1400000US51059421701,30.8,4088,4088,2208,54.0,1880,46.0,1246,30.5
286,1400000US51059421702,35.4,4322,4322,2286,52.9,2036,47.1,1134,26.2
287,1400000US51059421900,22.6,2202,2202,1232,55.9,970,44.1,450,20.4
288,1400000US51059422000,41.6,3804,3804,1840,48.4,1964,51.6,754,19.8
289,1400000US51059422101,30.5,6750,6750,3576,53.0,3174,47.0,2160,32.0
290,1400000US51059422102,32.5,5933,5933,2718,45.8,3215,54.2,2522,42.5
291,1400000US51059422201,37.3,3129,3129,1574,50.3,1555,49.7,333,10.6
292,1400000US51059422202,30.5,5361,5361,2608,48.6,2753,51.4,1676,31.3
293,1400000US51059422302,39.9,5509,5509,2457,44.6,3052,55.4,1050,19.1
294,1400000US51059422402,34.9,5035,5035,2637,52.4,2398,47.6,925,18.4
295,1400000US51059422403,43.7,2368,2368,1268,53.5,1100,46.5,157,6.6
296,1400000US51059430101,44.0,4479,4479,2166,48.4,2313,51.6,156,3.5
297,1400000US51059430102,41.1,2725,2725,1134,41.6,1591,58.4,236,8.7
298,1400000US51059430201,36.5,4589,4589,2149,46.8,2440,53.2,548,11.9
299,1400000US51059430202,41.5,5430,5430,2687,49.5,2743,50.5,168,3.1
300,1400000US51059430400,39.5,7226,7226,3761,52.0,3465,48.0,142,2.0
301,1400000US51059430600,30.3,7587,7587,3872,51.0,3715,49.0,591,7.8
302,1400000US51059430700,39.2,2772,2772,1433,51.7,1339,48.3,63,2.3
303,1400000US51059430801,42.5,4214,4214,2073,49.2,2141,50.8,216,5.1
304,1400000US51059430802,40.0,3694,3694,1839,49.8,1855,50.2,186,5.0
305,1400000US51059430902,34.9,3361,3361,1788,53.2,1573,46.8,146,4.3
306,1400000US51059431001,40.1,4691,4691,2377,50.7,2314,49.3,98,2.1
307,1400000US51059431002,40.5,2090,2090,957,45.8,1133,54.2,400,19.1
308,1400000US51059431300,42.5,4084,4084,1843,45.1,2241,54.9,231,5.7
309,1400000US51059431400,38.2,4678,4678,2209,47.2,2469,52.8,222,4.7
310,1400000US51059431500,43.9,5273,5273,2552,48.4,2721,51.6,574,10.9
311,1400000US51059431600,43.2,7987,7987,3704,46.4,4283,53.6,817,10.2
312,1400000US51059431802,41.1,3425,3425,1593,46.5,1832,53.5,207,6.0
313,1400000US51059432000,36.0,3274,3274,1593,48.7,1681,51.3,228,7.0
314,1400000US51059432100,39.8,3614,3614,1640,45.4,1974,54.6,271,7.5
315,1400000US51059432201,38.0,1828,1828,890,48.7,938,51.3,42,2.3
316,1400000US51059432202,37.7,4703,4703,2291,48.7,2412,51.3,215,4.6
317,1400000US51059432401,40.7,3663,3663,1760,48.0,1903,52.0,128,3.5
318,1400000US51059432402,44.2,4889,4889,2241,45.8,2648,54.2,290,5.9
319,1400000US51059432500,42.7,5821,5821,2923,50.2,2898,49.8,431,7.4
320,1400000US51059432600,38.1,5121,5121,2538,49.6,2583,50.4,448,8.7
321,1400000US51059432701,37.9,3173,3173,1605,50.6,1568,49.4,334,10.5
322,1400000US51059432800,33.3,2247,2247,1041,46.3,1206,53.7,781,34.8
323,1400000US51059440100,41.2,7514,7514,3696,49.2,3818,50.8,208,2.8
324,1400000US51059440201,31.7,1968,1968,1015,51.6,953,48.4,120,6.1
325,1400000US51059440202,31.8,5909,5909,2832,47.9,3077,52.1,753,12.7
326,1400000US51059440300,45.5,2798,2798,1424,50.9,1374,49.1,122,4.4
327,1400000US51059440501,43.4,5126,5126,2458,48.0,2668,52.0,0,0.0
328,1400000US51059440502,19.8,6838,6838,3767,55.1,3071,44.9,856,12.5
329,1400000US51059440701,44.8,2794,2794,1341,48.0,1453,52.0,139,5.0
330,1400000US51059440702,45.6,5400,5400,2720,50.4,2680,49.6,7,0.1
331,1400000US51059440800,43.1,6176,6176,2873,46.5,3303,53.5,95,1.5
332,1400000US51059450100,35.7,5168,5168,2398,46.4,2770,53.6,351,6.8
333,1400000US51059450300,40.4,4964,4964,2416,48.7,2548,51.3,317,6.4
334,1400000US51059450400,40.0,2688,2688,1294,48.1,1394,51.9,8,0.3
335,1400000US51059450601,42.8,3468,3468,1730,49.9,1738,50.1,97,2.8
336,1400000US51059450602,35.2,4120,4120,1684,40.9,2436,59.1,128,3.1
337,1400000US51059450701,37.6,2892,2892,1562,54.0,1330,46.0,129,4.5
338,1400000US51059450800,44.0,3307,3307,1526,46.1,1781,53.9,176,5.3
